Date,The Boeing Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.35
2004-02-13,0,44.45
2004-02-20,0,44.34
2004-02-27,0,43.37
2004-03-05,0,42.72
2004-03-12,0,40.30
2004-03-19,0,39.43
2004-03-26,0,39.35
2004-04-02,0,41.84
2004-04-09,0,
2004-04-16,0,41.50
2004-04-23,0,42.45
2004-04-30,0,42.69
2004-05-07,0,43.40
2004-05-14,0,43.44
2004-05-21,0,43.40
2004-05-28,0,45.80
2004-06-04,0,46.90
2004-06-11,0,
2004-06-18,0,49.80
2004-06-25,0,51.30
2004-07-02,0,49.52
2004-07-09,0,50.04
2004-07-16,0,49.13
2004-07-23,0,47.06
2004-07-30,0,50.75
2004-08-06,0,48.33
2004-08-13,0,49.72
2004-08-20,0,50.46
2004-08-27,0,51.99
2004-09-03,0,53.10
2004-09-10,0,54.15
2004-09-17,0,55.15
2004-09-24,0,53.14
2004-10-01,0,52.48
2004-10-08,0,50.10
2004-10-15,0,50.19
2004-10-22,0,49.51
2004-10-29,0,49.90
2004-11-05,0,51.15
2004-11-12,0,53.93
2004-11-19,0,53.77
2004-11-26,0,54.02
2004-12-03,0,55.26
2004-12-10,0,52.42
2004-12-17,0,53.10
2004-12-24,0,
2004-12-31,0,51.77
2005-01-07,0,50.31
2005-01-14,0,50.91
2005-01-21,0,50.07
2005-01-28,0,49.92
2005-02-04,0,52.58
2005-02-11,0,54.14
2005-02-18,0,52.78
2005-02-25,0,54.99
2005-03-04,0,58.38
2005-03-11,0,57.49
2005-03-18,0,57.16
2005-03-25,0,
2005-04-01,0,58.78
2005-04-08,0,58.60
2005-04-15,0,57.00
2005-04-22,0,57.88
2005-04-29,0,59.52
2005-05-06,0,61.01
2005-05-13,0,59.50
2005-05-20,0,61.90
2005-05-27,0,63.02
2005-06-03,0,64.66
2005-06-10,0,64.65
2005-06-17,0,64.62
2005-06-24,0,60.59
2005-07-01,0,64.68
2005-07-08,0,65.07
2005-07-15,0,64.75
2005-07-22,0,66.20
2005-07-29,0,66.01
2005-08-05,0,66.19
2005-08-12,0,66.54
2005-08-19,0,67.15
2005-08-26,0,66.31
2005-09-02,0,64.34
2005-09-09,0,65.40
2005-09-16,0,64.80
2005-09-23,0,63.20
2005-09-30,0,67.95
2005-10-07,0,67.30
2005-10-14,0,67.50
2005-10-21,0,66.02
2005-10-28,0,65.64
2005-11-04,0,65.28
2005-11-11,0,65.35
2005-11-18,0,66.95
2005-11-25,0,69.06
2005-12-02,0,69.44
2005-12-09,0,69.65
2005-12-16,0,70.75
2005-12-23,0,71.49
2005-12-30,0,70.24
2006-01-06,0,69.35
2006-01-13,0,69.48
2006-01-20,0,66.50
2006-01-27,100,68.56
2006-02-03,0,70.87
2006-02-10,0,72.53
2006-02-17,0,72.96
2006-02-24,0,74.31
2006-03-03,0,73.39
2006-03-10,0,74.79
2006-03-17,0,77.85
2006-03-24,0,78.73
2006-03-31,0,77.93
2006-04-07,0,79.57
2006-04-14,0,
2006-04-21,0,86.46
2006-04-28,0,83.45
2006-05-05,0,88.47
2006-05-12,0,87.01
2006-05-19,0,84.61
2006-05-26,0,83.50
2006-06-02,0,83.80
2006-06-09,0,80.50
2006-06-16,0,85.54
2006-06-23,0,83.39
2006-06-30,0,81.91
2006-07-07,0,79.99
2006-07-14,0,77.25
2006-07-21,0,79.08
2006-07-28,0,78.91
2006-08-04,0,79.49
2006-08-11,0,75.96
2006-08-18,0,77.62
2006-08-25,0,73.93
2006-09-01,0,75.43
2006-09-08,0,72.80
2006-09-15,0,75.01
2006-09-22,0,77.25
2006-09-29,0,78.85
2006-10-06,0,83.68
2006-10-13,0,82.39
2006-10-20,0,81.74
2006-10-27,0,79.74
2006-11-03,0,79.97
2006-11-10,0,85.62
2006-11-17,0,89.52
2006-11-24,0,89.77
2006-12-01,0,89.55
2006-12-08,0,90.13
2006-12-15,0,90.70
2006-12-22,0,88.76
2006-12-29,0,88.84
2007-01-05,0,89.15
2007-01-12,0,88.13
2007-01-19,0,88.63
2007-01-26,0,85.43
2007-02-02,0,90.05
2007-02-09,81,90.00
2007-02-16,82,90.94
2007-02-23,0,90.28
2007-03-02,0,87.03
2007-03-09,0,89.51
2007-03-16,0,90.00
2007-03-23,0,90.98
2007-03-30,0,88.91
2007-04-06,0,
2007-04-13,74,91.03
2007-04-20,65,93.29
2007-04-27,66,94.02
2007-05-04,0,93.61
2007-05-11,0,93.40
2007-05-18,0,96.63
2007-05-25,0,98.25
2007-06-01,0,99.83
2007-06-08,72,98.19
2007-06-15,75,98.15
2007-06-22,78,95.92
2007-06-29,81,96.16
2007-07-06,84,98.88
2007-07-13,56,101.88
2007-07-20,56,103.86
2007-07-27,55,103.71
2007-08-03,55,104.24
2007-08-10,61,98.44
2007-08-17,55,95.93
2007-08-24,53,98.47
2007-08-31,53,96.70
2007-09-07,61,94.84
2007-09-14,69,99.35
2007-09-21,89,102.59
2007-09-28,63,104.99
2007-10-05,68,102.25
2007-10-12,73,96.69
2007-10-19,66,93.90
2007-10-26,71,96.02
2007-11-02,76,97.76
2007-11-09,50,94.21
2007-11-16,50,89.99
2007-11-23,64,89.54
2007-11-30,79,92.54
2007-12-07,69,93.16
2007-12-14,57,88.42
2007-12-21,57,89.07
2007-12-28,57,88.25
2008-01-04,57,85.82
2008-01-11,52,80.52
2008-01-18,55,78.40
2008-01-25,59,77.03
2008-02-01,58,82.76
2008-02-08,51,79.33
2008-02-15,58,85.18
2008-02-22,53,83.04
2008-02-29,48,82.79
2008-03-07,64,76.60
2008-03-14,53,76.23
2008-03-21,53,
2008-03-28,53,73.47
2008-04-04,56,75.65
2008-04-11,78,76.86
2008-04-18,55,78.66
2008-04-25,56,84.84
2008-05-02,45,85.69
2008-05-09,54,84.06
2008-05-16,63,85.17
2008-05-23,43,81.48
2008-05-30,43,82.77
2008-06-06,38,73.16
2008-06-13,39,75.12
2008-06-20,40,75.83
2008-06-27,48,66.92
2008-07-04,46,
2008-07-11,47,63.28
2008-07-18,49,68.14
2008-07-25,57,63.83
2008-08-01,48,62.01
2008-08-08,47,67.86
2008-08-15,47,64.45
2008-08-22,47,65.55
2008-08-29,53,65.56
2008-09-05,55,62.89
2008-09-12,43,63.30
2008-09-19,58,59.76
2008-09-26,46,58.32
2008-10-03,43,53.83
2008-10-10,52,41.80
2008-10-17,52,44.55
2008-10-24,47,45.24
2008-10-31,33,52.42
2008-11-07,52,46.58
2008-11-14,39,41.04
2008-11-21,39,39.58
2008-11-28,39,42.63
2008-12-05,39,39.53
2008-12-12,51,39.20
2008-12-19,40,41.24
2008-12-26,39,40.53
2009-01-02,39,45.25
2009-01-09,39,44.45
2009-01-16,44,42.46
2009-01-23,46,41.98
2009-01-30,47,42.31
2009-02-06,43,42.92
2009-02-13,42,40.48
2009-02-20,43,36.31
2009-02-27,40,31.44
2009-03-06,42,30.10
2009-03-13,32,33.40
2009-03-20,30,32.55
2009-03-27,32,37.53
2009-04-03,33,37.69
2009-04-10,44,
2009-04-17,49,38.32
2009-04-24,38,38.72
2009-05-01,33,41.21
2009-05-08,50,45.83
2009-05-15,38,43.00
2009-05-22,40,42.94
2009-05-29,43,44.85
2009-06-05,43,52.65
2009-06-12,43,51.44
2009-06-19,51,48.44
2009-06-26,42,41.88
2009-07-03,37,
2009-07-10,47,39.65
2009-07-17,47,41.36
2009-07-24,47,42.37
2009-07-31,35,42.91
2009-08-07,33,46.69
2009-08-14,44,44.87
2009-08-21,35,45.87
2009-08-28,33,51.04
2009-09-04,36,49.15
2009-09-11,27,51.35
2009-09-18,58,53.02
2009-09-25,46,51.52
2009-10-02,42,51.40
2009-10-09,47,52.69
2009-10-16,39,53.19
2009-10-23,48,49.89
2009-10-30,45,47.80
2009-11-06,30,49.68
2009-11-13,34,50.68
2009-11-20,44,51.70
2009-11-27,28,52.45
2009-12-04,27,54.68
2009-12-11,42,55.60
2009-12-18,53,53.44
2009-12-25,38,
2010-01-01,38,
2010-01-08,63,61.60
2010-01-15,33,60.82
2010-01-22,51,57.77
2010-01-29,54,60.60
2010-02-05,41,58.40
2010-02-12,27,59.65
2010-02-19,49,63.59
2010-02-26,42,63.16
2010-03-05,54,67.93
2010-03-12,51,69.83
2010-03-19,29,70.72
2010-03-26,49,72.59
2010-04-02,45,
2010-04-09,49,72.42
2010-04-16,59,70.79
2010-04-23,38,75.13
2010-04-30,48,72.43
2010-05-07,34,66.72
2010-05-14,37,69.82
2010-05-21,60,64.56
2010-05-28,30,64.18
2010-06-04,52,61.15
2010-06-11,28,65.38
2010-06-18,31,67.96
2010-06-25,35,68.77
2010-07-02,47,61.94
2010-07-09,40,64.66
2010-07-16,29,61.90
2010-07-23,35,67.93
2010-07-30,33,68.14
2010-08-06,27,68.70
2010-08-13,28,64.84
2010-08-20,42,64.60
2010-08-27,42,63.16
2010-09-03,37,64.64
2010-09-10,31,63.84
2010-09-17,46,62.95
2010-09-24,26,64.60
2010-10-01,31,66.83
2010-10-08,33,69.23
2010-10-15,53,70.11
2010-10-22,48,71.26
2010-10-29,29,70.64
2010-11-05,34,71.27
2010-11-12,43,63.09
2010-11-19,27,63.59
2010-11-26,21,64.80
2010-12-03,20,66.54
2010-12-10,36,64.16
2010-12-17,32,65.03
2010-12-24,23,
2010-12-31,21,65.26
2011-01-07,32,69.38
2011-01-14,25,70.07
2011-01-21,53,71.68
2011-01-28,40,69.23
2011-02-04,43,71.38
2011-02-11,33,72.14
2011-02-18,48,73.04
2011-02-25,39,72.30
2011-03-04,35,71.80
2011-03-11,49,71.64
2011-03-18,32,69.10
2011-03-25,37,73.34
2011-04-01,27,74.01
2011-04-08,38,73.47
2011-04-15,58,72.60
2011-04-22,43,
2011-04-29,40,79.78
2011-05-06,43,79.31
2011-05-13,30,79.03
2011-05-20,35,77.52
2011-05-27,40,76.99
2011-06-03,34,74.84
2011-06-10,41,72.69
2011-06-17,37,74.16
2011-06-24,39,71.26
2011-07-01,34,74.27
2011-07-08,36,75.07
2011-07-15,31,71.28
2011-07-22,30,72.67
2011-07-29,30,70.47
2011-08-05,42,62.75
2011-08-12,23,61.75
2011-08-19,35,57.54
2011-08-26,33,62.80
2011-09-02,29,64.03
2011-09-09,37,61.79
2011-09-16,49,65.38
2011-09-23,61,59.51
2011-09-30,42,60.51
2011-10-07,51,61.81
2011-10-14,42,63.89
2011-10-21,37,64.59
2011-10-28,43,68.17
2011-11-04,37,65.80
2011-11-11,42,66.92
2011-11-18,42,67.46
2011-11-25,30,62.78
2011-12-02,36,71.30
2011-12-09,34,71.93
2011-12-16,37,71.01
2011-12-23,30,73.97
2011-12-30,24,73.35
2012-01-06,33,73.98
2012-01-13,36,74.60
2012-01-20,31,75.52
2012-01-27,34,74.55
2012-02-03,57,76.34
2012-02-10,40,74.95
2012-02-17,40,75.35
2012-02-24,58,76.06
2012-03-02,42,74.90
2012-03-09,31,73.29
2012-03-16,39,75.20
2012-03-23,29,73.97
2012-03-30,28,74.37
2012-04-06,30,
2012-04-13,32,72.92
2012-04-20,46,73.55
2012-04-27,33,77.27
2012-05-04,42,75.84
2012-05-11,47,73.56
2012-05-18,41,69.15
2012-05-25,36,70.00
2012-06-01,34,67.24
2012-06-08,42,69.94
2012-06-15,17,71.99
2012-06-22,30,71.96
2012-06-29,21,74.30
2012-07-06,32,73.69
2012-07-13,35,73.51
2012-07-20,37,73.89
2012-07-27,43,75.51
2012-08-03,35,72.81
2012-08-10,32,74.21
2012-08-17,27,73.91
2012-08-24,22,71.09
2012-08-31,36,71.40
2012-09-07,32,72.89
2012-09-14,50,71.28
2012-09-21,41,69.97
2012-09-28,44,69.60
2012-10-05,40,70.89
2012-10-12,46,71.85
2012-10-19,45,74.01
2012-10-26,46,71.11
2012-11-02,37,70.05
2012-11-09,32,73.25
2012-11-16,27,70.77
2012-11-23,38,73.74
2012-11-30,37,74.28
2012-12-07,36,74.64
2012-12-14,30,74.02
2012-12-21,38,76.17
2012-12-28,20,74.69
2013-01-04,20,77.69
2013-01-11,30,75.16
2013-01-18,33,75.04
2013-01-25,38,75.03
2013-02-01,44,74.87
2013-02-08,47,76.56
2013-02-15,31,75.03
2013-02-22,34,76.66
2013-03-01,36,77.28
2013-03-08,41,81.23
2013-03-15,35,86.43
2013-03-22,17,84.82
2013-03-29,39,
2013-04-05,35,86.17
2013-04-12,42,88.89
2013-04-19,37,87.96
2013-04-26,39,92.85
2013-05-03,38,93.74
2013-05-10,29,94.24
2013-05-17,26,98.92
2013-05-24,23,100.00
2013-05-31,42,99.02
2013-06-07,21,102.49
2013-06-14,24,101.83
2013-06-21,38,99.98
2013-06-28,27,102.44
2013-07-05,30,104.20
2013-07-12,38,101.87
2013-07-19,34,106.96
2013-07-26,28,105.60
2013-08-02,41,107.90
2013-08-09,20,105.33
2013-08-16,28,103.47
2013-08-23,20,105.48
2013-08-30,33,103.92
2013-09-06,32,106.07
2013-09-13,22,111.33
2013-09-20,49,116.63
2013-09-27,41,118.74
2013-10-04,29,117.20
2013-10-11,32,117.98
2013-10-18,35,122.52
2013-10-25,25,131.19
2013-11-01,33,133.03
2013-11-08,36,133.49
2013-11-15,44,136.08
2013-11-22,36,135.97
2013-11-29,31,134.25
2013-12-06,26,135.18
2013-12-13,27,133.83
2013-12-20,24,136.67
2013-12-27,16,136.90
2014-01-03,21,137.62
2014-01-10,26,141.90
2014-01-17,33,140.46
2014-01-24,30,136.65
2014-01-31,29,125.26
2014-02-07,34,127.02
2014-02-14,21,130.16
2014-02-21,29,128.28
2014-02-28,29,128.92
2014-03-07,29,128.54
2014-03-14,41,123.11
2014-03-21,35,122.58
2014-03-28,33,124.46
2014-04-04,34,127.38
2014-04-11,32,122.07
2014-04-18,27,
2014-04-25,29,128.66
2014-05-02,0,
