Date,"The Travelers Companies, Inc.",Price
2004-01-09,96,
2004-01-16,97,
2004-01-23,100,
2004-01-30,100,
2004-02-06,97,42.78
2004-02-13,97,43.22
2004-02-20,100,43.06
2004-02-27,98,42.74
2004-03-05,98,42.24
2004-03-12,91,40.63
2004-03-19,96,40.17
2004-03-26,85,39.74
2004-04-02,98,42.13
2004-04-09,93,
2004-04-16,91,42.70
2004-04-23,93,42.60
2004-04-30,95,40.67
2004-05-07,95,40.23
2004-05-14,88,40.23
2004-05-21,89,39.76
2004-05-28,88,39.68
2004-06-04,84,40.46
2004-06-11,91,
2004-06-18,91,41.27
2004-06-25,91,41.59
2004-07-02,86,39.61
2004-07-09,89,38.72
2004-07-16,93,38.30
2004-07-23,95,35.66
2004-07-30,91,37.07
2004-08-06,90,33.86
2004-08-13,92,32.94
2004-08-20,92,34.73
2004-08-27,90,34.75
2004-09-03,84,34.32
2004-09-10,79,33.69
2004-09-17,81,35.18
2004-09-24,84,34.32
2004-10-01,81,33.51
2004-10-08,82,33.85
2004-10-15,76,31.94
2004-10-22,78,31.13
2004-10-29,80,33.96
2004-11-05,75,36.31
2004-11-12,72,36.54
2004-11-19,79,35.71
2004-11-26,61,36.42
2004-12-03,76,37.23
2004-12-10,75,36.85
2004-12-17,71,37.19
2004-12-24,64,
2004-12-31,67,37.07
2005-01-07,80,36.98
2005-01-14,81,37.49
2005-01-21,78,36.20
2005-01-28,82,36.90
2005-02-04,81,38.67
2005-02-11,81,39.40
2005-02-18,80,38.14
2005-02-25,82,38.82
2005-03-04,76,38.24
2005-03-11,80,37.89
2005-03-18,76,36.96
2005-03-25,78,
2005-04-01,75,35.36
2005-04-08,72,35.28
2005-04-15,75,34.10
2005-04-22,76,34.45
2005-04-29,75,35.80
2005-05-06,76,37.92
2005-05-13,73,37.27
2005-05-20,76,37.40
2005-05-27,74,38.15
2005-06-03,70,38.38
2005-06-10,75,39.15
2005-06-17,75,38.89
2005-06-24,78,38.16
2005-07-01,72,39.60
2005-07-08,69,40.03
2005-07-15,81,41.46
2005-07-22,82,41.09
2005-07-29,79,44.02
2005-08-05,77,44.01
2005-08-12,79,44.40
2005-08-19,79,44.34
2005-08-26,73,44.74
2005-09-02,69,42.44
2005-09-09,65,41.86
2005-09-16,72,43.50
2005-09-23,74,42.75
2005-09-30,70,44.87
2005-10-07,73,42.47
2005-10-14,72,42.33
2005-10-21,72,42.30
2005-10-28,72,44.46
2005-11-04,70,45.72
2005-11-11,67,46.02
2005-11-18,69,46.45
2005-11-25,54,46.31
2005-12-02,67,46.50
2005-12-09,65,45.39
2005-12-16,61,44.78
2005-12-23,57,45.33
2005-12-30,54,44.67
2006-01-06,65,47.21
2006-01-13,70,47.25
2006-01-20,66,45.01
2006-01-27,70,46.54
2006-02-03,68,44.79
2006-02-10,69,43.63
2006-02-17,64,43.03
2006-02-24,66,42.55
2006-03-03,66,42.87
2006-03-10,66,42.32
2006-03-17,63,41.55
2006-03-24,64,41.46
2006-03-31,64,41.79
2006-04-07,64,41.29
2006-04-14,65,
2006-04-21,66,42.71
2006-04-28,63,44.03
2006-05-05,66,45.76
2006-05-12,64,44.72
2006-05-19,60,44.65
2006-05-26,59,43.81
2006-06-02,56,43.80
2006-06-09,63,43.10
2006-06-16,62,43.88
2006-06-23,63,44.15
2006-06-30,59,44.58
2006-07-07,52,44.10
2006-07-14,64,43.56
2006-07-21,68,44.22
2006-07-28,66,46.14
2006-08-04,63,44.49
2006-08-11,61,42.62
2006-08-18,65,44.50
2006-08-25,62,43.66
2006-09-01,57,44.30
2006-09-08,53,45.05
2006-09-15,58,45.96
2006-09-22,57,46.20
2006-09-29,60,46.89
2006-10-06,56,47.64
2006-10-13,57,49.09
2006-10-20,58,48.39
2006-10-27,57,49.92
2006-11-03,57,51.14
2006-11-10,54,52.91
2006-11-17,56,52.12
2006-11-24,43,51.13
2006-12-01,53,51.25
2006-12-08,52,52.32
2006-12-15,52,53.56
2006-12-22,48,53.55
2006-12-29,40,53.69
2007-01-05,52,52.41
2007-01-12,57,51.06
2007-01-19,55,51.37
2007-01-26,57,50.66
2007-02-02,56,52.43
2007-02-09,54,52.49
2007-02-16,54,52.73
2007-02-23,53,53.00
2007-03-02,52,50.58
2007-03-09,55,51.68
2007-03-16,54,50.35
2007-03-23,53,52.49
2007-03-30,53,51.77
2007-04-06,55,
2007-04-13,54,53.19
2007-04-20,54,53.96
2007-04-27,54,53.67
2007-05-04,54,54.70
2007-05-11,52,56.76
2007-05-18,52,56.29
2007-05-25,51,54.57
2007-06-01,48,54.58
2007-06-08,54,54.60
2007-06-15,51,53.92
2007-06-22,53,52.38
2007-06-29,53,53.50
2007-07-06,45,54.52
2007-07-13,55,53.58
2007-07-20,54,51.73
