Date,AXP,Price
2004-01-09,67,
2004-01-16,83,
2004-01-23,100,
2004-01-30,69,
2004-02-06,67,53.06
2004-02-13,100,53.65
2004-02-20,68,53.16
2004-02-27,73,53.42
2004-03-05,60,52.77
2004-03-12,60,52.12
2004-03-19,60,51.08
2004-03-26,72,50.03
2004-04-02,84,52.43
2004-04-09,69,
2004-04-16,96,50.58
2004-04-23,49,50.27
2004-04-30,49,48.95
2004-05-07,49,48.49
2004-05-14,50,48.86
2004-05-21,52,49.63
2004-05-28,49,50.70
2004-06-04,49,50.98
2004-06-11,85,
2004-06-18,57,51.96
2004-06-25,57,51.35
2004-07-02,58,51.24
2004-07-09,58,50.01
2004-07-16,59,48.73
2004-07-23,59,48.11
2004-07-30,59,50.25
2004-08-06,74,49.34
2004-08-13,48,49.35
2004-08-20,47,50.00
2004-08-27,59,50.00
2004-09-03,63,50.26
2004-09-10,66,51.33
2004-09-17,50,51.40
2004-09-24,62,51.21
2004-10-01,45,51.65
2004-10-08,71,52.25
2004-10-15,50,52.50
2004-10-22,71,51.73
2004-10-29,60,53.07
2004-11-05,60,55.12
2004-11-12,93,55.63
2004-11-19,60,55.70
2004-11-26,60,56.11
2004-12-03,60,56.25
2004-12-10,56,55.18
2004-12-17,57,55.91
2004-12-24,67,
2004-12-31,63,56.37
2005-01-07,86,53.76
2005-01-14,53,52.72
2005-01-21,42,51.93
2005-01-28,58,52.80
2005-02-04,85,55.82
2005-02-11,56,55.19
2005-02-18,40,54.13
2005-02-25,78,54.58
2005-03-04,54,54.95
2005-03-11,71,53.54
2005-03-18,58,52.40
2005-03-25,45,
2005-04-01,49,50.90
2005-04-08,76,51.54
2005-04-15,47,50.72
2005-04-22,51,49.81
2005-04-29,56,52.70
2005-05-06,36,53.00
2005-05-13,48,51.75
2005-05-20,51,53.06
2005-05-27,54,53.25
2005-06-03,59,54.18
2005-06-10,52,54.71
2005-06-17,44,54.83
2005-06-24,44,53.61
2005-07-01,72,53.54
2005-07-08,48,53.93
2005-07-15,41,53.76
2005-07-22,37,54.57
2005-07-29,37,55.00
2005-08-05,47,55.81
2005-08-12,34,56.67
2005-08-19,49,56.10
2005-08-26,49,55.01
2005-09-02,55,55.36
2005-09-09,48,58.19
2005-09-16,32,59.46
2005-09-23,33,56.90
2005-09-30,37,57.44
2005-10-07,69,49.82
2005-10-14,58,47.95
2005-10-21,58,47.15
2005-10-28,38,49.54
2005-11-04,52,49.40
2005-11-11,32,50.45
2005-11-18,39,49.91
2005-11-25,33,52.62
2005-12-02,48,51.61
2005-12-09,41,51.15
2005-12-16,51,51.93
2005-12-23,56,52.31
2005-12-30,46,51.46
2006-01-06,40,52.68
2006-01-13,41,53.44
2006-01-20,33,51.40
2006-01-27,42,53.30
2006-02-03,44,52.33
2006-02-10,28,53.00
2006-02-17,59,54.45
2006-02-24,45,54.87
2006-03-03,29,53.75
2006-03-10,29,54.23
2006-03-17,20,54.65
2006-03-24,34,53.18
2006-03-31,30,52.55
2006-04-07,34,51.70
2006-04-14,37,
2006-04-21,40,52.25
2006-04-28,34,53.81
2006-05-05,27,53.75
2006-05-12,52,52.89
2006-05-19,34,52.23
2006-05-26,58,54.41
2006-06-02,37,54.72
2006-06-09,44,53.46
2006-06-16,33,52.92
2006-06-23,26,52.59
2006-06-30,26,53.22
2006-07-07,21,51.98
2006-07-14,25,51.27
2006-07-21,29,50.62
2006-07-28,45,52.19
2006-08-04,46,52.21
2006-08-11,24,51.80
2006-08-18,26,53.26
2006-08-25,32,52.92
2006-09-01,24,52.55
2006-09-08,18,52.62
2006-09-15,36,53.75
2006-09-22,38,54.11
2006-09-29,33,56.08
2006-10-06,33,56.59
2006-10-13,27,58.02
