Date,CSCO,Price
2004-01-09,22,
2004-01-16,28,
2004-01-23,26,
2004-01-30,11,
2004-02-06,29,24.74
2004-02-13,17,24.06
2004-02-20,12,23.19
2004-02-27,12,23.16
2004-03-05,12,22.89
2004-03-12,12,23.13
2004-03-19,13,22.50
2004-03-26,13,23.40
2004-04-02,13,24.43
2004-04-09,14,
2004-04-16,14,22.48
2004-04-23,14,23.32
2004-04-30,14,20.91
2004-05-07,17,21.69
2004-05-14,20,21.24
2004-05-21,10,21.64
2004-05-28,13,22.37
2004-06-04,13,22.78
2004-06-11,14,
2004-06-18,17,23.42
2004-06-25,12,23.43
2004-07-02,11,22.95
2004-07-09,13,22.36
2004-07-16,15,21.53
2004-07-23,17,20.93
2004-07-30,10,20.92
2004-08-06,13,19.93
2004-08-13,16,17.86
2004-08-20,17,18.88
2004-08-27,14,19.47
2004-09-03,12,18.75
2004-09-10,12,20.46
2004-09-17,17,19.16
2004-09-24,14,18.40
2004-10-01,14,18.93
2004-10-08,10,18.78
2004-10-15,16,18.48
2004-10-22,12,18.27
2004-10-29,12,19.21
2004-11-05,10,19.97
2004-11-12,14,19.26
2004-11-19,9,19.01
2004-11-26,15,19.23
2004-12-03,9,19.43
2004-12-10,15,19.42
2004-12-17,9,18.99
2004-12-24,15,
2004-12-31,17,19.32
2005-01-07,19,18.72
2005-01-14,21,18.88
2005-01-21,12,18.01
2005-01-28,10,17.90
2005-02-04,15,17.90
2005-02-11,31,17.70
2005-02-18,14,17.30
2005-02-25,12,17.20
2005-03-04,15,18.04
2005-03-11,13,18.45
2005-03-18,14,17.80
2005-03-25,10,
2005-04-01,16,17.70
2005-04-08,43,17.90
2005-04-15,30,17.20
2005-04-22,23,17.43
2005-04-29,25,17.27
2005-05-06,26,18.02
2005-05-13,52,18.89
2005-05-20,39,19.47
2005-05-27,48,19.79
2005-06-03,27,19.40
2005-06-10,27,19.24
2005-06-17,29,19.53
2005-06-24,35,19.30
2005-07-01,47,18.99
2005-07-08,35,19.31
2005-07-15,46,19.89
2005-07-22,39,19.32
2005-07-29,39,19.15
2005-08-05,37,19.30
2005-08-12,65,17.80
2005-08-19,29,17.82
2005-08-26,27,17.40
2005-09-02,22,17.72
2005-09-09,34,18.58
2005-09-16,25,18.42
2005-09-23,25,18.05
2005-09-30,29,17.92
2005-10-07,30,17.63
2005-10-14,27,17.27
2005-10-21,33,17.03
2005-10-28,31,17.14
2005-11-04,32,17.87
2005-11-11,42,17.47
2005-11-18,39,17.02
2005-11-25,32,17.55
2005-12-02,29,17.64
2005-12-09,29,17.55
2005-12-16,34,17.52
2005-12-23,26,17.35
2005-12-30,24,17.12
2006-01-06,47,18.77
2006-01-13,52,18.92
2006-01-20,36,18.51
2006-01-27,35,18.78
2006-02-03,26,18.15
2006-02-10,80,19.76
2006-02-17,41,19.86
2006-02-24,34,19.85
2006-03-03,53,21.04
2006-03-10,50,20.82
2006-03-17,48,21.62
2006-03-24,41,21.36
2006-03-31,47,21.67
2006-04-07,33,20.81
2006-04-14,37,
2006-04-21,37,20.68
2006-04-28,36,20.95
2006-05-05,41,21.75
2006-05-12,59,20.34
2006-05-19,38,20.87
2006-05-26,31,20.31
2006-06-02,31,20.44
2006-06-09,25,19.97
2006-06-16,27,19.98
2006-06-23,29,19.61
2006-06-30,27,19.53
2006-07-07,27,19.39
2006-07-14,27,17.94
2006-07-21,26,17.46
2006-07-28,24,18.08
2006-08-04,26,17.24
2006-08-11,68,19.54
2006-08-18,42,20.86
2006-08-25,36,21.05
2006-09-01,47,22.27
2006-09-08,33,21.75
2006-09-15,42,22.72
2006-09-22,33,22.88
2006-09-29,38,22.98
2006-10-06,38,24.09
2006-10-13,36,24.53
2006-10-20,50,24.55
2006-10-27,38,23.72
2006-11-03,36,23.77
2006-11-10,98,26.74
2006-11-17,60,26.93
2006-11-24,46,26.84
2006-12-01,52,26.69
2006-12-08,36,26.98
2006-12-15,44,27.56
2006-12-22,48,26.93
2006-12-29,34,27.33
2007-01-05,51,28.47
2007-01-12,62,28.92
2007-01-19,47,26.70
2007-01-26,56,26.35
2007-02-02,40,27.14
2007-02-09,89,27.71
2007-02-16,46,27.52
2007-02-23,39,27.51
2007-03-02,54,25.30
2007-03-09,43,26.08
2007-03-16,42,25.99
2007-03-23,37,26.19
2007-03-30,33,25.53
2007-04-06,28,
2007-04-13,31,26.68
2007-04-20,37,26.99
2007-04-27,41,27.03
2007-05-04,47,27.91
2007-05-11,78,26.63
2007-05-18,37,26.21
2007-05-25,38,25.52
2007-06-01,35,26.86
2007-06-08,31,26.48
2007-06-15,35,27.39
2007-06-22,33,26.92
2007-06-29,35,27.85
2007-07-06,34,28.47
2007-07-13,51,29.89
2007-07-20,51,29.59
2007-07-27,55,28.97
2007-08-03,40,29.46
2007-08-10,87,31.39
