Date,JNJ,Price
2004-01-09,42,
2004-01-16,27,
2004-01-23,27,
2004-01-30,33,
2004-02-06,35,54.15
2004-02-13,25,54.23
2004-02-20,33,53.30
2004-02-27,30,53.91
2004-03-05,31,53.13
2004-03-12,33,50.71
2004-03-19,34,50.05
2004-03-26,28,50.13
2004-04-02,28,51.18
2004-04-09,33,
2004-04-16,40,54.13
2004-04-23,46,53.68
2004-04-30,40,54.03
2004-05-07,37,55.30
2004-05-14,45,54.52
2004-05-21,41,54.94
2004-05-28,41,55.71
2004-06-04,36,56.38
2004-06-11,36,
2004-06-18,32,55.25
2004-06-25,46,54.50
2004-07-02,54,55.35
2004-07-09,57,54.99
2004-07-16,61,56.80
2004-07-23,46,55.74
2004-07-30,26,55.27
2004-08-06,31,54.60
2004-08-13,37,55.54
2004-08-20,38,57.04
2004-08-27,56,57.71
2004-09-03,36,57.85
2004-09-10,34,57.57
2004-09-17,38,58.52
2004-09-24,63,56.55
2004-10-01,39,57.00
2004-10-08,54,55.32
2004-10-15,43,56.58
2004-10-22,30,57.29
2004-10-29,58,58.38
2004-11-05,44,59.18
2004-11-12,39,61.00
2004-11-19,40,60.54
2004-11-26,36,60.45
2004-12-03,29,61.91
2004-12-10,61,60.25
2004-12-17,73,63.58
2004-12-24,26,
2004-12-31,25,63.42
2005-01-07,47,62.61
2005-01-14,30,62.70
2005-01-21,40,61.85
2005-01-28,51,64.62
2005-02-04,54,66.24
2005-02-11,49,66.60
2005-02-18,42,65.43
2005-02-25,37,66.22
2005-03-04,32,67.74
2005-03-11,52,67.60
2005-03-18,29,67.25
2005-03-25,35,
2005-04-01,59,66.85
2005-04-08,69,68.64
2005-04-15,32,69.40
2005-04-22,40,68.49
2005-04-29,56,68.63
2005-05-06,47,68.21
2005-05-13,35,67.10
2005-05-20,43,67.20
2005-05-27,48,67.43
2005-06-03,39,66.44
2005-06-10,57,66.48
2005-06-17,49,66.56
2005-06-24,43,65.58
2005-07-01,35,64.95
2005-07-08,35,64.28
