Date,T,Price
2004-01-09,61,
2004-01-16,62,
2004-01-23,62,
2004-01-30,62,
2004-02-06,61,26.02
2004-02-13,62,25.05
2004-02-20,63,23.88
2004-02-27,62,24.01
2004-03-05,63,25.02
2004-03-12,62,24.36
2004-03-19,63,24.62
2004-03-26,60,23.92
2004-04-02,63,24.87
2004-04-09,62,
2004-04-16,66,24.17
2004-04-23,66,25.42
2004-04-30,65,24.90
2004-05-07,63,24.74
2004-05-14,61,24.50
2004-05-21,62,24.33
2004-05-28,63,23.70
2004-06-04,62,23.93
2004-06-11,64,
2004-06-18,63,24.60
2004-06-25,62,23.80
2004-07-02,65,24.11
2004-07-09,67,23.59
2004-07-16,66,23.10
2004-07-23,66,24.22
2004-07-30,64,25.34
2004-08-06,67,24.85
2004-08-13,64,25.06
2004-08-20,65,25.57
2004-08-27,66,25.84
2004-09-03,65,26.20
2004-09-10,64,26.57
2004-09-17,65,26.48
2004-09-24,63,26.05
2004-10-01,63,26.32
2004-10-08,65,26.83
2004-10-15,65,26.68
2004-10-22,62,25.24
2004-10-29,63,25.26
2004-11-05,63,26.25
2004-11-12,63,26.67
2004-11-19,64,25.89
2004-11-26,63,25.48
2004-12-03,65,25.81
2004-12-10,67,25.31
2004-12-17,66,25.70
2004-12-24,62,
2004-12-31,61,25.77
2005-01-07,64,25.08
2005-01-14,62,24.41
2005-01-21,62,24.58
2005-01-28,64,23.62
2005-02-04,66,24.60
2005-02-11,68,24.26
2005-02-18,66,24.18
2005-02-25,66,24.21
2005-03-04,62,24.49
2005-03-11,65,24.00
2005-03-18,62,23.35
2005-03-25,66,
2005-04-01,66,23.66
2005-04-08,64,23.75
2005-04-15,63,23.00
2005-04-22,64,23.20
2005-04-29,67,23.80
2005-05-06,66,23.62
2005-05-13,65,23.08
2005-05-20,66,23.63
2005-05-27,64,23.67
2005-06-03,65,23.34
2005-06-10,66,23.63
2005-06-17,66,24.02
2005-06-24,67,23.50
2005-07-01,66,23.93
2005-07-08,70,23.57
2005-07-15,71,24.12
2005-07-22,67,23.72
2005-07-29,67,24.45
2005-08-05,67,24.61
2005-08-12,66,24.46
2005-08-19,68,24.14
2005-08-26,67,23.71
2005-09-02,69,23.87
2005-09-09,67,24.05
2005-09-16,65,24.23
2005-09-23,64,23.77
2005-09-30,64,23.97
2005-10-07,66,22.75
2005-10-14,66,22.20
2005-10-21,64,23.00
2005-10-28,65,23.89
2005-11-04,64,23.66
2005-11-11,65,23.95
2005-11-18,65,24.38
2005-11-25,66,24.77
2005-12-02,68,25.07
2005-12-09,68,24.90
2005-12-16,68,24.96
2005-12-23,64,24.63
2005-12-30,63,24.49
2006-01-06,64,24.93
2006-01-13,66,24.99
2006-01-20,64,24.71
2006-01-27,65,25.89
2006-02-03,66,26.79
2006-02-10,68,27.48
2006-02-17,69,28.28
2006-02-24,66,27.57
2006-03-03,68,27.99
2006-03-10,67,27.23
2006-03-17,65,27.00
2006-03-24,66,27.37
2006-03-31,67,27.04
2006-04-07,67,26.16
2006-04-14,69,
2006-04-21,67,25.35
2006-04-28,67,26.21
2006-05-05,69,25.97
2006-05-12,70,25.62
2006-05-19,71,25.28
2006-05-26,69,26.23
2006-06-02,69,26.73
2006-06-09,69,26.62
2006-06-16,69,27.79
2006-06-23,70,27.37
2006-06-30,68,27.89
2006-07-07,72,27.74
2006-07-14,72,26.58
2006-07-21,69,27.34
2006-07-28,67,30.06
2006-08-04,69,30.97
2006-08-11,67,30.22
2006-08-18,68,30.51
2006-08-25,69,30.63
2006-09-01,66,31.61
2006-09-08,67,31.35
2006-09-15,68,31.86
2006-09-22,67,32.90
2006-09-29,68,32.56
2006-10-06,67,31.78
2006-10-13,68,33.60
2006-10-20,68,34.44
2006-10-27,69,34.22
2006-11-03,66,33.72
2006-11-10,66,33.05
2006-11-17,67,33.20
2006-11-24,66,32.67
2006-12-01,67,34.00
2006-12-08,69,34.97
2006-12-15,69,35.66
2006-12-22,67,34.98
2006-12-29,66,35.75
2007-01-05,66,33.96
2007-01-12,66,34.73
2007-01-19,67,35.07
2007-01-26,66,36.40
2007-02-02,67,38.12
2007-02-09,65,36.90
2007-02-16,65,37.48
2007-02-23,69,37.00
2007-03-02,64,36.44
2007-03-09,68,36.55
2007-03-16,68,36.98
2007-03-23,65,38.88
2007-03-30,67,39.43
2007-04-06,69,
2007-04-13,68,38.84
2007-04-20,70,39.87
2007-04-27,70,38.64
2007-05-04,72,39.48
2007-05-11,72,39.59
2007-05-18,72,41.10
2007-05-25,73,40.76
2007-06-01,74,40.53
2007-06-08,75,40.26
2007-06-15,74,40.28
2007-06-22,74,38.85
2007-06-29,75,41.50
2007-07-06,81,40.66
2007-07-13,78,40.40
2007-07-20,75,39.06
2007-07-27,77,39.24
2007-08-03,73,39.45
2007-08-10,75,38.87
2007-08-17,77,39.05
2007-08-24,76,40.36
2007-08-31,75,39.87
2007-09-07,73,38.73
2007-09-14,75,40.44
2007-09-21,74,42.53
2007-09-28,74,42.31
2007-10-05,76,42.14
2007-10-12,74,42.29
