Date,TRV,Price
2004-01-09,85,
2004-01-16,93,
2004-01-23,96,
2004-01-30,73,
2004-02-06,80,42.78
2004-02-13,88,43.22
2004-02-20,75,43.06
2004-02-27,78,42.74
2004-03-05,100,42.24
2004-03-12,69,40.63
2004-03-19,71,40.17
2004-03-26,79,39.74
2004-04-02,87,42.13
2004-04-09,78,
2004-04-16,67,42.70
2004-04-23,76,42.60
2004-04-30,64,40.67
2004-05-07,65,40.23
2004-05-14,66,40.23
2004-05-21,67,39.76
2004-05-28,75,39.68
2004-06-04,76,40.46
2004-06-11,68,
2004-06-18,67,41.27
2004-06-25,66,41.59
2004-07-02,58,39.61
2004-07-09,56,38.72
2004-07-16,56,38.30
2004-07-23,62,35.66
2004-07-30,56,37.07
2004-08-06,60,33.86
2004-08-13,62,32.94
2004-08-20,49,34.73
2004-08-27,54,34.75
2004-09-03,52,34.32
2004-09-10,59,33.69
2004-09-17,45,35.18
2004-09-24,54,34.32
2004-10-01,44,33.51
2004-10-08,43,33.85
2004-10-15,37,31.94
2004-10-22,46,31.13
2004-10-29,38,33.96
2004-11-05,43,36.31
2004-11-12,53,36.54
2004-11-19,50,35.71
2004-11-26,52,36.42
2004-12-03,47,37.23
2004-12-10,54,36.85
2004-12-17,57,37.19
2004-12-24,49,
2004-12-31,61,37.07
2005-01-07,47,36.98
2005-01-14,38,37.49
2005-01-21,40,36.20
2005-01-28,36,36.90
2005-02-04,45,38.67
2005-02-11,35,39.40
2005-02-18,36,38.14
2005-02-25,46,38.82
2005-03-04,40,38.24
2005-03-11,39,37.89
2005-03-18,44,36.96
2005-03-25,38,
2005-04-01,41,35.36
2005-04-08,34,35.28
2005-04-15,41,34.10
2005-04-22,29,34.45
2005-04-29,38,35.80
2005-05-06,39,37.92
2005-05-13,41,37.27
2005-05-20,35,37.40
2005-05-27,30,38.15
2005-06-03,37,38.38
2005-06-10,34,39.15
2005-06-17,36,38.89
2005-06-24,31,38.16
2005-07-01,36,39.60
2005-07-08,29,40.03
2005-07-15,34,41.46
2005-07-22,31,41.09
2005-07-29,37,44.02
2005-08-05,31,44.01
2005-08-12,35,44.40
2005-08-19,31,44.34
2005-08-26,37,44.74
2005-09-02,35,42.44
2005-09-09,33,41.86
2005-09-16,26,43.50
2005-09-23,28,42.75
2005-09-30,26,44.87
2005-10-07,28,42.47
2005-10-14,29,42.33
2005-10-21,25,42.30
2005-10-28,26,44.46
2005-11-04,32,45.72
2005-11-11,27,46.02
2005-11-18,28,46.45
2005-11-25,26,46.31
2005-12-02,28,46.50
2005-12-09,26,45.39
2005-12-16,32,44.78
2005-12-23,38,45.33
2005-12-30,29,44.67
2006-01-06,26,47.21
2006-01-13,26,47.25
2006-01-20,23,45.01
2006-01-27,23,46.54
2006-02-03,24,44.79
2006-02-10,26,43.63
2006-02-17,24,43.03
2006-02-24,20,42.55
2006-03-03,25,42.87
2006-03-10,21,42.32
2006-03-17,22,41.55
2006-03-24,28,41.46
2006-03-31,27,41.79
2006-04-07,25,41.29
2006-04-14,23,
2006-04-21,22,42.71
2006-04-28,23,44.03
2006-05-05,23,45.76
2006-05-12,27,44.72
2006-05-19,30,44.65
2006-05-26,31,43.81
2006-06-02,23,43.80
2006-06-09,21,43.10
2006-06-16,25,43.88
2006-06-23,18,44.15
2006-06-30,23,44.58
2006-07-07,23,44.10
2006-07-14,25,43.56
2006-07-21,23,44.22
2006-07-28,23,46.14
2006-08-04,21,44.49
2006-08-11,21,42.62
2006-08-18,20,44.50
2006-08-25,20,43.66
2006-09-01,21,44.30
2006-09-08,21,45.05
2006-09-15,19,45.96
2006-09-22,24,46.20
2006-09-29,21,46.89
2006-10-06,23,47.64
2006-10-13,21,49.09
2006-10-20,18,48.39
2006-10-27,23,49.92
2006-11-03,22,51.14
2006-11-10,18,52.91
2006-11-17,18,52.12
2006-11-24,21,51.13
2006-12-01,25,51.25
2006-12-08,21,52.32
2006-12-15,20,53.56
2006-12-22,25,53.55
2006-12-29,24,53.69
2007-01-05,20,52.41
2007-01-12,18,51.06
2007-01-19,22,51.37
2007-01-26,19,50.66
2007-02-02,24,52.43
2007-02-09,23,52.49
2007-02-16,20,52.73
2007-02-23,21,53.00
2007-03-02,19,50.58
2007-03-09,21,51.68
2007-03-16,22,50.35
2007-03-23,20,52.49
2007-03-30,19,51.77
2007-04-06,20,
2007-04-13,19,53.19
2007-04-20,19,53.96
2007-04-27,23,53.67
2007-05-04,19,54.70
2007-05-11,17,56.76
2007-05-18,23,56.29
2007-05-25,24,54.57
2007-06-01,20,54.58
2007-06-08,18,54.60
2007-06-15,17,53.92
2007-06-22,19,52.38
2007-06-29,17,53.50
2007-07-06,19,54.52
2007-07-13,19,53.58
2007-07-20,21,51.73
2007-07-27,19,50.65
2007-08-03,21,48.92
2007-08-10,20,50.63
2007-08-17,21,52.93
2007-08-24,18,52.51
2007-08-31,19,50.54
2007-09-07,18,49.85
2007-09-14,16,49.69
2007-09-21,18,51.01
2007-09-28,20,50.34
2007-10-05,15,53.81
2007-10-12,21,54.17
2007-10-19,18,51.21
2007-10-26,19,53.21
2007-11-02,20,52.42
2007-11-09,20,51.40
2007-11-16,20,52.72
2007-11-23,22,51.61
2007-11-30,19,53.11
2007-12-07,20,54.16
2007-12-14,18,52.69
2007-12-21,21,53.71
2007-12-28,24,54.14
2008-01-04,19,51.39
2008-01-11,19,51.46
2008-01-18,21,46.19
2008-01-25,20,45.43
2008-02-01,21,49.63
2008-02-08,19,46.56
2008-02-15,19,47.87
2008-02-22,18,47.90
2008-02-29,20,46.41
2008-03-07,17,46.63
2008-03-14,18,44.92
2008-03-21,18,
2008-03-28,18,47.42
2008-04-04,17,49.30
2008-04-11,15,49.30
2008-04-18,18,50.31
2008-04-25,16,50.21
2008-05-02,18,52.06
2008-05-09,15,50.18
2008-05-16,20,50.82
2008-05-23,18,48.31
2008-05-30,20,49.81
2008-06-06,19,47.25
2008-06-13,19,47.84
2008-06-20,18,45.63
2008-06-27,19,44.30
2008-07-04,17,
2008-07-11,18,44.12
2008-07-18,20,43.95
2008-07-25,23,42.33
2008-08-01,16,44.06
2008-08-08,19,44.39
2008-08-15,23,44.46
2008-08-22,19,44.31
2008-08-29,16,44.16
2008-09-05,20,43.28
2008-09-12,21,45.05
2008-09-19,21,50.76
2008-09-26,20,44.00
2008-10-03,21,38.80
2008-10-10,24,30.50
2008-10-17,21,34.03
2008-10-24,20,41.74
2008-10-31,22,42.55
2008-11-07,20,39.61
2008-11-14,21,41.88
2008-11-21,19,38.77
2008-11-28,22,43.65
2008-12-05,20,43.41
2008-12-12,21,40.58
2008-12-19,19,42.84
2008-12-26,23,42.47
2009-01-02,21,45.20
2009-01-09,19,41.98
2009-01-16,21,41.05
2009-01-23,19,37.92
2009-01-30,22,38.64
2009-02-06,20,39.72
2009-02-13,21,40.37
2009-02-20,22,38.34
2009-02-27,22,36.15
2009-03-06,19,34.44
2009-03-13,21,38.34
2009-03-20,19,38.81
2009-03-27,20,39.35
2009-04-03,21,42.61
2009-04-10,20,
2009-04-17,20,42.53
2009-04-24,17,39.50
2009-05-01,19,41.21
2009-05-08,20,38.82
2009-05-15,20,39.76
2009-05-22,22,40.26
2009-05-29,24,40.66
2009-06-05,23,43.75
2009-06-12,20,43.20
2009-06-19,19,42.08
2009-06-26,19,40.88
2009-07-03,17,
2009-07-10,20,39.00
2009-07-17,22,40.42
2009-07-24,19,43.22
2009-07-31,21,43.07
2009-08-07,18,47.46
2009-08-14,20,47.25
2009-08-21,18,48.20
2009-08-28,17,49.61
2009-09-04,19,50.12
2009-09-11,21,48.41
2009-09-18,21,47.37
2009-09-25,20,47.75
2009-10-02,20,49.04
2009-10-09,22,48.81
2009-10-16,20,48.67
2009-10-23,20,51.30
2009-10-30,19,49.79
2009-11-06,21,51.90
2009-11-13,20,53.28
2009-11-20,18,52.38
2009-11-27,20,51.65
2009-12-04,21,51.04
2009-12-11,22,50.70
2009-12-18,22,48.14
2009-12-25,22,
2010-01-01,24,
2010-01-08,23,48.56
2010-01-15,23,48.79
2010-01-22,21,48.31
2010-01-29,19,50.67
2010-02-05,19,50.28
2010-02-12,19,50.45
2010-02-19,21,52.88
2010-02-26,21,52.59
2010-03-05,19,53.94
2010-03-12,20,53.16
2010-03-19,20,53.46
2010-03-26,19,54.35
2010-04-02,19,
2010-04-09,19,52.40
2010-04-16,19,52.14
2010-04-23,19,53.38
2010-04-30,20,50.74
2010-05-07,19,49.26
2010-05-14,20,50.12
2010-05-21,21,49.23
2010-05-28,19,49.47
2010-06-04,18,48.61
2010-06-11,17,50.41
2010-06-18,19,51.35
2010-06-25,17,51.12
2010-07-02,19,48.54
2010-07-09,19,51.15
2010-07-16,19,49.62
2010-07-23,21,50.14
2010-07-30,19,50.45
2010-08-06,20,50.27
2010-08-13,17,50.14
2010-08-20,19,50.09
2010-08-27,19,49.87
2010-09-03,20,51.03
2010-09-10,20,50.06
2010-09-17,20,52.67
2010-09-24,21,53.12
2010-10-01,21,52.12
2010-10-08,20,52.81
2010-10-15,22,53.63
2010-10-22,22,55.10
2010-10-29,20,55.20
2010-11-05,21,57.44
2010-11-12,21,56.31
2010-11-19,20,55.49
2010-11-26,22,54.37
2010-12-03,20,54.86
2010-12-10,23,54.78
2010-12-17,23,55.18
2010-12-24,22,
2010-12-31,23,55.71
2011-01-07,22,53.33
2011-01-14,22,54.63
2011-01-21,21,55.00
2011-01-28,22,55.81
2011-02-04,21,57.41
2011-02-11,20,58.99
2011-02-18,20,60.92
2011-02-25,20,59.60
2011-03-04,20,59.18
2011-03-11,20,58.88
2011-03-18,19,58.06
2011-03-25,21,58.98
2011-04-01,19,59.71
2011-04-08,18,59.58
2011-04-15,21,59.80
2011-04-22,18,
2011-04-29,21,63.28
2011-05-06,22,63.43
2011-05-13,19,62.33
2011-05-20,19,62.25
2011-05-27,20,61.52
2011-06-03,20,61.18
2011-06-10,20,59.21
2011-06-17,19,57.92
2011-06-24,18,56.68
2011-07-01,17,59.11
2011-07-08,20,58.66
2011-07-15,17,57.90
2011-07-22,18,57.58
2011-07-29,18,55.13
2011-08-05,17,52.57
2011-08-12,20,51.13
2011-08-19,18,49.46
2011-08-26,16,48.30
2011-09-02,20,48.87
2011-09-09,21,48.14
2011-09-16,17,50.61
2011-09-23,18,47.12
2011-09-30,19,48.73
2011-10-07,18,49.00
2011-10-14,19,51.27
2011-10-21,19,57.35
2011-10-28,19,59.48
2011-11-04,17,58.14
2011-11-11,19,58.43
2011-11-18,18,56.22
2011-11-25,19,53.41
2011-12-02,16,54.24
2011-12-09,17,56.02
2011-12-16,19,57.28
2011-12-23,18,59.35
2011-12-30,17,59.17
2012-01-06,18,59.35
2012-01-13,19,59.37
2012-01-20,16,61.59
2012-01-27,17,58.05
2012-02-03,19,60.12
2012-02-10,18,59.38
2012-02-17,17,59.85
2012-02-24,16,58.60
2012-03-02,18,58.01
2012-03-09,16,57.61
2012-03-16,17,59.20
2012-03-23,15,58.20
2012-03-30,16,59.20
2012-04-06,17,
2012-04-13,17,58.12
2012-04-20,17,62.75
2012-04-27,16,64.01
2012-05-04,16,64.50
2012-05-11,16,64.62
2012-05-18,14,62.18
2012-05-25,15,62.60
2012-06-01,16,60.58
2012-06-08,15,62.14
2012-06-15,15,63.41
2012-06-22,16,63.35
2012-06-29,15,63.84
2012-07-06,15,63.26
2012-07-13,16,63.13
2012-07-20,15,62.71
2012-07-27,14,62.72
2012-08-03,15,63.71
2012-08-10,16,63.98
2012-08-17,15,65.13
2012-08-24,17,65.40
2012-08-31,17,64.74
2012-09-07,16,65.21
2012-09-14,16,68.58
2012-09-21,16,68.61
2012-09-28,18,68.26
2012-10-05,17,69.56
2012-10-12,15,68.72
2012-10-19,16,73.51
2012-10-26,16,71.56
2012-11-02,17,69.62
2012-11-09,16,68.98
2012-11-16,17,68.65
2012-11-23,16,71.27
2012-11-30,16,70.82
2012-12-07,16,73.39
2012-12-14,16,73.37
2012-12-21,15,72.82
2012-12-28,16,71.24
2013-01-04,16,74.06
2013-01-11,15,74.85
2013-01-18,15,76.31
2013-01-25,16,78.35
2013-02-01,15,79.89
2013-02-08,14,78.86
2013-02-15,16,80.39
2013-02-22,14,81.01
2013-03-01,16,80.69
2013-03-08,16,81.65
2013-03-15,15,82.28
2013-03-22,16,83.69
2013-03-29,15,
