Date,Exxon Mobil Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,40.51
2004-02-13,0,41.91
2004-02-20,0,42.03
2004-02-27,0,42.17
2004-03-05,0,42.49
2004-03-12,0,42.03
2004-03-19,0,41.50
2004-03-26,0,40.74
2004-04-02,0,41.91
2004-04-09,0,
2004-04-16,0,43.86
2004-04-23,0,42.97
2004-04-30,0,42.55
2004-05-07,0,43.25
2004-05-14,0,43.27
2004-05-21,0,42.60
2004-05-28,0,43.25
2004-06-04,0,43.37
2004-06-11,0,
2004-06-18,0,44.98
2004-06-25,0,44.25
2004-07-02,0,44.72
2004-07-09,0,45.45
2004-07-16,0,45.83
2004-07-23,0,45.32
2004-07-30,0,46.30
2004-08-06,0,45.12
2004-08-13,0,44.92
2004-08-20,0,45.25
2004-08-27,0,45.44
2004-09-03,0,47.06
2004-09-10,0,47.37
2004-09-17,0,48.37
2004-09-24,0,47.83
2004-10-01,0,48.89
2004-10-08,0,49.84
2004-10-15,0,49.02
2004-10-22,0,48.70
2004-10-29,0,49.22
2004-11-05,0,50.39
2004-11-12,0,50.42
2004-11-19,0,50.38
2004-11-26,0,51.65
2004-12-03,0,50.27
2004-12-10,0,50.15
2004-12-17,0,49.80
2004-12-24,0,
2004-12-31,0,51.26
2005-01-07,0,49.79
2005-01-14,0,51.07
2005-01-21,0,50.44
2005-01-28,0,51.27
2005-02-04,0,55.29
2005-02-11,0,56.11
2005-02-18,0,59.41
2005-02-25,0,63.26
2005-03-04,0,63.57
2005-03-11,0,61.05
2005-03-18,0,62.65
2005-03-25,0,
2005-04-01,0,60.55
2005-04-08,0,60.01
2005-04-15,0,56.19
2005-04-22,0,59.42
2005-04-29,0,57.03
2005-05-06,0,57.60
2005-05-13,0,53.70
2005-05-20,0,54.01
2005-05-27,0,56.80
2005-06-03,0,57.15
2005-06-10,0,58.38
2005-06-17,0,60.89
2005-06-24,0,58.15
2005-07-01,0,58.31
2005-07-08,0,59.40
2005-07-15,0,58.16
2005-07-22,0,59.50
2005-07-29,0,58.75
2005-08-05,0,58.09
2005-08-12,0,61.05
2005-08-19,0,58.82
2005-08-26,0,58.41
2005-09-02,0,60.68
2005-09-09,0,63.20
2005-09-16,0,63.70
2005-09-23,0,63.83
2005-09-30,0,63.54
2005-10-07,0,59.60
2005-10-14,0,58.64
2005-10-21,0,55.37
2005-10-28,0,56.31
2005-11-04,0,57.90
2005-11-11,0,56.52
2005-11-18,0,58.25
2005-11-25,0,60.11
2005-12-02,0,59.07
2005-12-09,0,58.50
2005-12-16,0,58.06
2005-12-23,0,57.10
2005-12-30,0,56.17
2006-01-06,0,59.43
2006-01-13,0,60.97
2006-01-20,0,60.53
2006-01-27,0,61.29
2006-02-03,0,61.39
2006-02-10,0,59.43
2006-02-17,0,60.55
2006-02-24,0,60.42
2006-03-03,0,60.98
2006-03-10,0,59.18
2006-03-17,0,61.05
2006-03-24,0,61.17
2006-03-31,0,60.86
2006-04-07,0,61.33
2006-04-14,0,
2006-04-21,0,65.00
2006-04-28,0,63.08
2006-05-05,0,64.00
2006-05-12,0,62.24
2006-05-19,0,60.45
2006-05-26,0,61.58
2006-06-02,0,61.65
2006-06-09,0,58.80
2006-06-16,0,58.80
2006-06-23,0,58.10
2006-06-30,0,61.35
2006-07-07,0,62.84
2006-07-14,0,64.90
2006-07-21,0,63.93
2006-07-28,0,67.00
2006-08-04,0,68.69
2006-08-11,0,69.73
2006-08-18,0,69.10
2006-08-25,0,70.43
2006-09-01,0,68.10
2006-09-08,0,66.81
2006-09-15,0,64.65
2006-09-22,0,64.91
2006-09-29,0,67.10
2006-10-06,0,67.52
2006-10-13,0,68.40
2006-10-20,0,69.55
2006-10-27,0,71.46
2006-11-03,0,72.15
2006-11-10,0,74.42
2006-11-17,0,73.08
2006-11-24,0,72.38
2006-12-01,0,77.20
2006-12-08,0,75.50
2006-12-15,0,77.30
2006-12-22,0,75.41
2006-12-29,0,76.63
2007-01-05,0,73.24
2007-01-12,0,72.66
2007-01-19,0,73.53
2007-01-26,0,73.61
2007-02-02,0,75.54
2007-02-09,0,75.22
2007-02-16,0,75.29
2007-02-23,0,75.22
2007-03-02,0,70.01
2007-03-09,0,71.12
2007-03-16,0,69.86
2007-03-23,0,75.02
2007-03-30,0,75.45
2007-04-06,0,
2007-04-13,0,77.41
2007-04-20,0,79.76
2007-04-27,0,80.36
2007-05-04,0,80.55
2007-05-11,0,81.23
2007-05-18,0,83.26
2007-05-25,0,83.51
2007-06-01,0,84.22
2007-06-08,0,82.68
2007-06-15,0,85.94
2007-06-22,0,82.52
2007-06-29,0,83.88
2007-07-06,0,86.46
2007-07-13,0,90.33
2007-07-20,0,91.94
2007-07-27,0,85.59
2007-08-03,0,82.08
2007-08-10,0,84.51
2007-08-17,0,84.14
2007-08-24,0,85.69
2007-08-31,0,85.73
2007-09-07,0,85.75
2007-09-14,0,88.67
2007-09-21,0,92.31
2007-09-28,0,92.56
2007-10-05,0,91.36
2007-10-12,0,93.48
2007-10-19,0,92.14
2007-10-26,0,92.21
2007-11-02,0,87.93
2007-11-09,0,86.85
2007-11-16,0,85.10
2007-11-23,0,88.29
2007-11-30,0,89.16
2007-12-07,0,91.50
2007-12-14,0,91.18
2007-12-21,0,93.43
2007-12-28,0,95.00
2008-01-04,0,92.08
2008-01-11,0,90.30
2008-01-18,79,85.08
2008-01-25,0,83.94
2008-02-01,0,85.95
2008-02-08,0,81.71
2008-02-15,0,85.37
2008-02-22,0,87.17
2008-02-29,0,87.01
2008-03-07,0,82.49
2008-03-14,0,85.91
2008-03-21,0,
2008-03-28,0,85.22
2008-04-04,0,88.74
2008-04-11,74,88.62
2008-04-18,83,94.00
2008-04-25,91,92.46
2008-05-02,100,89.61
2008-05-09,74,88.82
2008-05-16,74,92.67
2008-05-23,74,90.70
2008-05-30,74,88.76
2008-06-06,0,86.79
2008-06-13,0,88.36
2008-06-20,0,84.91
2008-06-27,0,86.55
2008-07-04,0,
2008-07-11,0,85.48
2008-07-18,0,81.54
2008-07-25,0,81.70
2008-08-01,0,79.72
2008-08-08,0,78.72
2008-08-15,0,77.07
2008-08-22,0,80.30
2008-08-29,0,80.01
2008-09-05,0,75.62
2008-09-12,0,77.50
2008-09-19,0,79.61
2008-09-26,80,80.65
2008-10-03,67,77.94
2008-10-10,0,62.36
2008-10-17,0,68.04
2008-10-24,0,69.04
2008-10-31,0,74.12
2008-11-07,0,73.95
2008-11-14,0,73.68
2008-11-21,0,75.81
2008-11-28,0,80.15
2008-12-05,0,76.60
2008-12-12,69,80.45
2008-12-19,0,75.02
2008-12-26,0,77.19
2009-01-02,0,81.64
2009-01-09,0,77.57
2009-01-16,0,78.10
2009-01-23,0,78.04
2009-01-30,0,76.48
2009-02-06,0,80.34
2009-02-13,0,74.59
2009-02-20,0,71.23
2009-02-27,0,67.90
2009-03-06,0,64.03
2009-03-13,0,67.20
2009-03-20,0,66.09
2009-03-27,0,69.98
2009-04-03,0,70.44
2009-04-10,0,
2009-04-17,0,66.75
2009-04-24,72,66.57
2009-05-01,0,68.01
2009-05-08,0,70.80
2009-05-15,0,69.11
2009-05-22,0,68.83
2009-05-29,0,69.35
2009-06-05,0,72.97
2009-06-12,59,73.78
2009-06-19,53,71.05
2009-06-26,56,69.05
2009-07-03,58,
2009-07-10,61,65.12
2009-07-17,64,68.52
2009-07-24,66,72.29
2009-07-31,61,70.39
2009-08-07,61,69.47
2009-08-14,61,68.21
2009-08-21,64,69.92
2009-08-28,66,70.12
2009-09-04,69,69.18
2009-09-11,71,69.98
2009-09-18,51,69.99
2009-09-25,51,68.70
2009-10-02,93,66.58
2009-10-09,69,69.27
2009-10-16,83,73.12
2009-10-23,57,73.57
2009-10-30,57,71.67
2009-11-06,58,72.58
2009-11-13,60,72.47
2009-11-20,46,74.38
2009-11-27,53,74.87
2009-12-04,73,74.25
2009-12-11,93,72.83
2009-12-18,80,68.21
2009-12-25,57,
2010-01-01,57,
2010-01-08,57,69.52
2010-01-15,57,69.11
2010-01-22,57,66.10
2010-01-29,51,64.43
2010-02-05,56,64.80
2010-02-12,68,64.80
2010-02-19,59,65.87
2010-02-26,59,65.00
2010-03-05,59,66.47
2010-03-12,59,66.80
2010-03-19,61,67.04
2010-03-26,63,66.54
2010-04-02,63,
2010-04-09,49,68.76
2010-04-16,59,67.93
2010-04-23,76,69.24
2010-04-30,43,67.77
2010-05-07,69,63.70
2010-05-14,61,63.60
2010-05-21,44,60.88
2010-05-28,44,60.46
2010-06-04,54,59.53
2010-06-11,42,61.86
2010-06-18,42,63.10
2010-06-25,42,59.10
2010-07-02,42,56.57
2010-07-09,42,58.78
2010-07-16,48,57.96
2010-07-23,54,59.72
2010-07-30,58,59.68
2010-08-06,51,61.97
2010-08-13,51,59.91
2010-08-20,51,58.89
2010-08-27,51,59.80
2010-09-03,38,61.32
2010-09-10,38,61.20
2010-09-17,38,60.78
2010-09-24,38,61.75
2010-10-01,37,62.54
2010-10-08,37,64.38
2010-10-15,41,65.19
2010-10-22,36,66.34
2010-10-29,36,66.49
2010-11-05,0,70.00
2010-11-12,0,70.99
2010-11-19,0,70.54
2010-11-26,0,69.23
2010-12-03,0,71.19
2010-12-10,56,72.18
2010-12-17,39,72.17
2010-12-24,39,
2010-12-31,39,73.12
2011-01-07,39,75.59
2011-01-14,46,77.84
2011-01-21,48,78.98
2011-01-28,50,78.99
2011-02-04,52,83.28
2011-02-11,55,82.82
2011-02-18,54,84.50
2011-02-25,54,85.34
2011-03-04,50,85.08
2011-03-11,38,82.12
2011-03-18,40,80.85
2011-03-25,41,83.62
2011-04-01,43,84.68
2011-04-08,44,85.95
2011-04-15,46,84.29
2011-04-22,48,
2011-04-29,49,87.98
2011-05-06,38,82.69
2011-05-13,43,80.87
2011-05-20,47,81.57
2011-05-27,51,82.63
2011-06-03,56,81.18
2011-06-10,60,79.78
2011-06-17,44,79.02
2011-06-24,44,76.78
2011-07-01,32,82.01
2011-07-08,32,82.42
2011-07-15,32,83.00
2011-07-22,32,85.22
2011-07-29,51,79.79
2011-08-05,40,74.82
2011-08-12,40,72.00
2011-08-19,34,69.80
2011-08-26,33,72.64
2011-09-02,33,72.14
2011-09-09,34,71.01
2011-09-16,35,74.55
2011-09-23,40,69.31
2011-09-30,43,72.63
2011-10-07,37,73.56
2011-10-14,44,78.11
2011-10-21,34,80.13
2011-10-28,38,81.48
2011-11-04,42,78.52
2011-11-11,42,79.72
2011-11-18,35,77.90
2011-11-25,35,73.90
2011-12-02,35,79.79
2011-12-09,33,81.34
2011-12-16,33,80.16
2011-12-23,0,85.22
2011-12-30,0,84.76
2012-01-06,0,85.12
2012-01-13,0,84.88
2012-01-20,0,87.49
2012-01-27,28,85.83
2012-02-03,38,84.92
2012-02-10,32,83.80
2012-02-17,38,85.62
2012-02-24,45,87.34
2012-03-02,38,86.33
2012-03-09,25,84.30
2012-03-16,25,86.44
2012-03-23,30,85.55
2012-03-30,28,86.73
2012-04-06,28,
2012-04-13,26,82.95
2012-04-20,50,85.30
2012-04-27,37,86.08
2012-05-04,46,84.57
2012-05-11,39,83.10
2012-05-18,42,81.47
2012-05-25,40,82.08
2012-06-01,25,77.92
2012-06-08,30,80.84
2012-06-15,34,83.22
2012-06-22,27,82.11
2012-06-29,28,85.57
2012-07-06,30,84.80
2012-07-13,30,85.47
2012-07-20,30,85.95
2012-07-27,30,87.45
2012-08-03,30,87.55
2012-08-10,33,88.44
2012-08-17,25,88.40
2012-08-24,32,88.05
2012-08-31,39,87.30
2012-09-07,40,89.92
2012-09-14,41,92.30
2012-09-21,31,91.92
2012-09-28,33,91.45
2012-10-05,32,92.55
2012-10-12,25,91.03
2012-10-19,25,92.15
2012-10-26,25,90.62
2012-11-02,31,90.27
2012-11-09,38,87.21
2012-11-16,31,86.45
2012-11-23,33,89.09
2012-11-30,32,88.14
2012-12-07,32,88.60
2012-12-14,26,88.08
2012-12-21,26,87.23
2012-12-28,26,85.10
2013-01-04,26,88.96
2013-01-11,35,89.61
2013-01-18,25,90.80
2013-01-25,23,91.73
2013-02-01,53,90.04
2013-02-08,37,88.61
2013-02-15,37,88.36
2013-02-22,26,89.20
2013-03-01,26,89.43
2013-03-08,28,88.97
2013-03-15,39,89.37
2013-03-22,35,89.29
2013-03-29,35,
2013-04-05,24,89.01
2013-04-12,34,88.99
2013-04-19,26,87.45
2013-04-26,38,88.00
2013-05-03,28,90.02
2013-05-10,30,90.14
2013-05-17,26,91.76
2013-05-24,26,91.53
2013-05-31,28,90.47
2013-06-07,20,91.45
2013-06-14,24,90.58
2013-06-21,26,89.48
2013-06-28,28,90.35
2013-07-05,35,91.57
2013-07-12,29,93.40
2013-07-19,24,95.17
2013-07-26,24,94.79
2013-08-02,22,91.95
2013-08-09,22,90.72
2013-08-16,27,87.91
2013-08-23,32,87.52
2013-08-30,28,87.16
2013-09-06,27,87.25
2013-09-13,44,88.40
2013-09-20,26,88.66
2013-09-27,29,86.90
2013-10-04,36,86.32
2013-10-11,26,86.95
2013-10-18,38,87.55
2013-10-25,33,87.97
2013-11-01,28,89.82
2013-11-08,27,92.73
2013-11-15,39,95.27
2013-11-22,31,95.01
2013-11-29,29,93.48
2013-12-06,29,95.65
2013-12-13,26,95.31
2013-12-20,26,98.68
2013-12-27,20,101.51
2014-01-03,20,99.51
2014-01-10,20,100.52
2014-01-17,26,99.16
2014-01-24,26,94.85
2014-01-31,17,92.16
2014-02-07,23,90.58
2014-02-14,29,94.11
2014-02-21,34,95.03
2014-02-28,26,96.27
2014-03-07,35,94.99
2014-03-14,33,93.47
2014-03-21,28,94.31
2014-03-28,40,97.70
2014-04-04,34,97.36
2014-04-11,26,96.72
2014-04-18,24,
2014-04-25,25,100.41
2014-05-02,0,
