Date,3M Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,100,
2004-01-30,86,
2004-02-06,86,79.81
2004-02-13,0,79.68
2004-02-20,0,79.70
2004-02-27,0,78.02
2004-03-05,0,78.66
2004-03-12,0,76.22
2004-03-19,0,79.76
2004-03-26,0,79.98
2004-04-02,89,81.78
2004-04-09,91,
2004-04-16,92,83.73
2004-04-23,94,87.90
2004-04-30,68,86.48
2004-05-07,76,84.43
2004-05-14,84,83.81
2004-05-21,92,82.92
2004-05-28,67,84.56
2004-06-04,67,84.86
2004-06-11,67,
2004-06-18,67,87.09
2004-06-25,67,88.66
2004-07-02,74,87.50
2004-07-09,0,87.65
2004-07-16,0,87.84
2004-07-23,0,82.62
2004-07-30,0,82.36
2004-08-06,0,79.87
2004-08-13,0,77.66
2004-08-20,85,80.27
2004-08-27,82,81.48
2004-09-03,61,83.94
2004-09-10,61,84.69
2004-09-17,62,82.32
2004-09-24,63,78.68
2004-10-01,62,79.69
2004-10-08,81,79.26
2004-10-15,69,77.98
2004-10-22,73,75.88
2004-10-29,77,77.57
2004-11-05,81,81.40
2004-11-12,85,82.68
2004-11-19,90,80.95
2004-11-26,94,80.16
2004-12-03,52,81.08
2004-12-10,52,78.80
2004-12-17,69,80.62
2004-12-24,54,
2004-12-31,54,82.07
2005-01-07,54,82.30
2005-01-14,54,83.97
2005-01-21,54,81.27
2005-01-28,57,83.25
2005-02-04,61,84.08
2005-02-11,58,84.04
2005-02-18,75,85.55
2005-02-25,49,84.60
2005-03-04,51,86.46
2005-03-11,71,85.63
2005-03-18,58,86.16
2005-03-25,53,
2005-04-01,72,85.12
2005-04-08,44,84.55
2005-04-15,44,80.86
2005-04-22,57,77.06
2005-04-29,70,76.47
2005-05-06,50,77.33
2005-05-13,67,75.61
2005-05-20,44,77.06
2005-05-27,44,76.98
2005-06-03,49,76.00
2005-06-10,55,75.79
2005-06-17,64,76.92
2005-06-24,73,75.48
2005-07-01,83,73.00
2005-07-08,49,75.00
2005-07-15,48,75.45
2005-07-22,48,74.71
2005-07-29,52,75.00
2005-08-05,57,72.99
2005-08-12,47,71.94
2005-08-19,56,72.07
2005-08-26,49,70.99
2005-09-02,49,71.50
2005-09-09,45,73.52
2005-09-16,45,73.35
2005-09-23,61,72.55
2005-09-30,55,73.36
2005-10-07,55,71.73
2005-10-14,51,70.72
2005-10-21,53,74.89
2005-10-28,57,76.24
2005-11-04,39,75.13
2005-11-11,49,77.55
2005-11-18,58,78.16
2005-11-25,46,78.32
2005-12-02,46,79.40
2005-12-09,57,77.86
2005-12-16,37,77.09
2005-12-23,37,78.60
2005-12-30,42,77.50
2006-01-06,42,78.63
2006-01-13,48,77.50
2006-01-20,43,75.24
2006-01-27,67,72.65
2006-02-03,39,71.10
2006-02-10,38,72.61
2006-02-17,38,73.77
2006-02-24,56,73.91
2006-03-03,44,72.88
2006-03-10,34,72.32
2006-03-17,51,74.79
2006-03-24,53,76.80
2006-03-31,36,75.69
2006-04-07,37,81.03
2006-04-14,57,
2006-04-21,46,85.06
2006-04-28,47,85.43
2006-05-05,50,87.30
2006-05-12,33,86.57
2006-05-19,27,84.31
2006-05-26,36,83.87
2006-06-02,43,84.78
2006-06-09,45,80.57
2006-06-16,51,80.51
2006-06-23,45,79.92
2006-06-30,36,80.77
2006-07-07,44,74.10
2006-07-14,51,71.22
2006-07-21,49,70.72
2006-07-28,37,70.52
2006-08-04,43,69.45
2006-08-11,49,68.53
2006-08-18,36,71.21
2006-08-25,50,69.92
2006-09-01,58,71.72
2006-09-08,31,71.51
2006-09-15,50,74.14
2006-09-22,46,73.07
2006-09-29,46,74.42
2006-10-06,58,75.95
2006-10-13,45,75.40
2006-10-20,32,78.47
2006-10-27,48,78.95
2006-11-03,48,78.58
2006-11-10,46,79.19
2006-11-17,46,81.40
2006-11-24,47,81.15
2006-12-01,43,79.98
2006-12-08,34,78.56
2006-12-15,43,78.31
2006-12-22,35,78.35
2006-12-29,36,77.93
2007-01-05,45,77.42
2007-01-12,54,79.36
2007-01-19,28,79.25
2007-01-26,24,78.69
2007-02-02,45,73.87
2007-02-09,36,74.54
2007-02-16,64,76.84
2007-02-23,32,76.21
2007-03-02,35,73.01
2007-03-09,30,74.73
2007-03-16,36,75.28
2007-03-23,30,77.97
2007-03-30,39,76.43
2007-04-06,42,
2007-04-13,36,76.72
2007-04-20,46,77.75
2007-04-27,48,81.55
2007-05-04,41,84.21
2007-05-11,34,85.55
2007-05-18,44,86.90
2007-05-25,36,87.35
2007-06-01,37,88.43
2007-06-08,49,85.94
2007-06-15,37,87.67
2007-06-22,41,86.43
2007-06-29,30,86.79
2007-07-06,28,88.11
2007-07-13,48,90.22
2007-07-20,33,90.21
2007-07-27,49,90.05
2007-08-03,39,87.56
2007-08-10,53,85.97
2007-08-17,37,87.83
2007-08-24,45,89.15
2007-08-31,40,90.99
2007-09-07,28,88.92
2007-09-14,35,89.02
2007-09-21,41,91.68
2007-09-28,37,93.58
2007-10-05,37,95.85
2007-10-12,36,94.17
2007-10-19,40,86.62
2007-10-26,38,86.13
2007-11-02,29,84.89
2007-11-09,52,79.51
2007-11-16,37,81.57
2007-11-23,30,82.75
2007-11-30,41,83.26
2007-12-07,53,86.19
2007-12-14,39,85.93
2007-12-21,39,86.05
2007-12-28,39,85.09
2008-01-04,36,81.76
2008-01-11,50,77.58
2008-01-18,48,74.91
2008-01-25,49,75.51
2008-02-01,37,81.21
2008-02-08,41,78.56
2008-02-15,52,79.95
2008-02-22,33,79.67
2008-02-29,38,78.40
2008-03-07,32,76.51
2008-03-14,32,77.53
2008-03-21,31,
2008-03-28,40,77.95
2008-04-04,38,80.52
2008-04-11,40,78.47
2008-04-18,35,82.90
2008-04-25,35,77.82
2008-05-02,45,78.55
2008-05-09,39,76.32
2008-05-16,30,78.66
2008-05-23,41,75.81
2008-05-30,23,77.56
2008-06-06,26,74.86
2008-06-13,28,76.12
2008-06-20,23,73.02
2008-06-27,35,69.51
2008-07-04,23,
2008-07-11,30,68.72
2008-07-18,26,68.94
2008-07-25,33,70.95
2008-08-01,27,70.15
2008-08-08,26,73.48
2008-08-15,13,73.49
2008-08-22,28,72.28
2008-08-29,22,71.60
2008-09-05,36,69.19
2008-09-12,38,70.15
2008-09-19,41,72.68
2008-09-26,47,69.45
2008-10-03,37,64.60
2008-10-10,25,54.26
2008-10-17,34,56.49
2008-10-24,34,59.61
2008-10-31,41,64.30
2008-11-07,30,64.83
2008-11-14,38,63.06
2008-11-21,42,61.30
2008-11-28,17,66.93
2008-12-05,40,59.85
2008-12-12,40,56.04
2008-12-19,27,56.62
2008-12-26,24,55.74
2009-01-02,16,59.19
2009-01-09,21,57.74
2009-01-16,22,56.42
2009-01-23,28,52.90
2009-01-30,29,53.79
2009-02-06,33,52.39
2009-02-13,35,49.42
2009-02-20,28,47.25
2009-02-27,31,45.46
2009-03-06,30,41.83
2009-03-13,32,48.00
2009-03-20,28,45.93
2009-03-27,20,50.33
2009-04-03,25,52.11
2009-04-10,32,
2009-04-17,30,53.81
2009-04-24,27,57.00
2009-05-01,31,57.88
2009-05-08,32,60.09
2009-05-15,19,57.92
2009-05-22,22,56.07
2009-05-29,34,57.10
2009-06-05,18,60.94
2009-06-12,22,61.00
2009-06-19,23,59.37
2009-06-26,22,59.26
2009-07-03,17,
2009-07-10,25,59.79
2009-07-17,28,62.92
2009-07-24,34,69.42
2009-07-31,29,70.52
2009-08-07,21,72.90
2009-08-14,30,71.32
2009-08-21,21,72.64
2009-08-28,26,71.92
2009-09-04,25,71.35
2009-09-11,26,74.00
2009-09-18,32,74.62
2009-09-25,33,73.80
2009-10-02,31,71.93
2009-10-09,26,74.73
2009-10-16,31,76.02
2009-10-23,45,77.82
2009-10-30,26,73.57
2009-11-06,35,75.41
2009-11-13,44,77.32
2009-11-20,24,76.64
2009-11-27,21,76.75
2009-12-04,24,78.24
2009-12-11,26,81.75
2009-12-18,22,80.97
2009-12-25,12,
2010-01-01,10,
2010-01-08,27,84.32
2010-01-15,24,83.37
2010-01-22,23,81.48
2010-01-29,28,80.49
2010-02-05,23,78.54
2010-02-12,28,79.18
2010-02-19,26,81.52
2010-02-26,22,80.15
2010-03-05,22,82.44
2010-03-12,20,81.38
2010-03-19,30,81.96
2010-03-26,23,81.00
2010-04-02,23,
2010-04-09,27,83.49
2010-04-16,21,83.76
2010-04-23,29,86.58
2010-04-30,23,88.67
2010-05-07,20,82.63
2010-05-14,28,84.68
2010-05-21,23,80.70
2010-05-28,19,79.31
2010-06-04,24,76.10
2010-06-11,22,78.30
2010-06-18,23,81.18
2010-06-25,23,78.90
2010-07-02,20,77.67
2010-07-09,20,82.16
2010-07-16,20,80.95
2010-07-23,23,86.17
2010-07-30,22,85.54
2010-08-06,20,87.29
2010-08-13,23,84.01
2010-08-20,24,80.66
2010-08-27,25,81.00
2010-09-03,24,83.48
2010-09-10,29,83.94
2010-09-17,28,86.07
2010-09-24,30,86.96
2010-10-01,26,87.62
2010-10-08,31,89.16
2010-10-15,23,89.14
2010-10-22,18,90.44
2010-10-29,25,84.22
2010-11-05,20,86.34
2010-11-12,25,86.24
2010-11-19,14,85.01
2010-11-26,22,84.40
2010-12-03,28,86.94
2010-12-10,23,84.32
2010-12-17,23,86.37
2010-12-24,24,
2010-12-31,19,86.30
2011-01-07,22,86.23
2011-01-14,28,88.10
2011-01-21,23,89.29
2011-01-28,24,87.44
2011-02-04,23,88.29
2011-02-11,26,91.80
2011-02-18,26,92.96
2011-02-25,28,90.25
2011-03-04,25,92.19
2011-03-11,23,91.61
2011-03-18,22,88.98
2011-03-25,25,92.27
2011-04-01,19,93.13
2011-04-08,19,93.22
2011-04-15,21,92.82
2011-04-22,23,
2011-04-29,24,97.21
2011-05-06,23,95.60
2011-05-13,25,96.01
2011-05-20,23,93.56
2011-05-27,13,93.47
2011-06-03,24,90.70
2011-06-10,25,90.73
2011-06-17,22,91.78
2011-06-24,23,90.89
2011-07-01,16,96.67
2011-07-08,26,97.62
2011-07-15,18,95.47
2011-07-22,20,95.38
2011-07-29,24,87.14
2011-08-05,19,82.75
2011-08-12,24,82.54
2011-08-19,17,76.87
2011-08-26,24,80.01
2011-09-02,22,79.35
2011-09-09,20,76.65
2011-09-16,22,80.53
2011-09-23,27,73.99
2011-09-30,22,71.79
2011-10-07,17,73.82
2011-10-14,26,78.89
2011-10-21,21,80.48
2011-10-28,28,81.00
2011-11-04,24,79.30
2011-11-11,21,82.29
2011-11-18,25,80.54
2011-11-25,23,76.13
2011-12-02,27,79.76
2011-12-09,22,82.20
2011-12-16,22,78.87
2011-12-23,12,82.20
2011-12-30,15,81.73
2012-01-06,16,83.37
2012-01-13,22,83.60
2012-01-20,15,85.65
2012-01-27,18,87.46
2012-02-03,13,87.73
2012-02-10,20,87.14
2012-02-17,17,87.56
2012-02-24,23,88.20
2012-03-02,23,87.52
2012-03-09,19,86.80
2012-03-16,22,89.56
2012-03-23,19,88.46
2012-03-30,24,89.21
2012-04-06,18,
2012-04-13,20,85.69
2012-04-20,26,87.48
2012-04-27,18,89.36
2012-05-04,21,88.67
2012-05-11,27,86.73
2012-05-18,19,83.51
2012-05-25,23,84.78
2012-06-01,21,82.85
2012-06-08,16,86.00
2012-06-15,25,87.44
2012-06-22,22,86.83
2012-06-29,18,89.60
2012-07-06,17,88.99
2012-07-13,22,87.59
2012-07-20,20,89.99
2012-07-27,22,91.71
2012-08-03,24,91.70
2012-08-10,21,92.29
2012-08-17,22,94.24
2012-08-24,19,92.83
2012-08-31,26,92.60
2012-09-07,23,92.82
2012-09-14,22,93.98
2012-09-21,27,93.21
2012-09-28,26,92.42
2012-10-05,24,94.96
2012-10-12,26,92.75
2012-10-19,24,92.94
2012-10-26,21,88.03
2012-11-02,22,88.97
2012-11-09,21,88.81
2012-11-16,24,88.50
2012-11-23,18,90.28
2012-11-30,24,90.95
2012-12-07,28,91.51
2012-12-14,22,92.28
2012-12-21,16,93.10
2012-12-28,16,91.78
2013-01-04,17,95.37
2013-01-11,21,96.28
2013-01-18,24,98.74
2013-01-25,20,100.59
2013-02-01,22,101.56
2013-02-08,25,102.66
2013-02-15,22,103.23
2013-02-22,24,103.54
2013-03-01,17,103.77
2013-03-08,21,105.71
2013-03-15,22,106.40
2013-03-22,24,106.42
2013-03-29,21,
2013-04-05,18,105.78
2013-04-12,27,107.68
2013-04-19,25,105.71
2013-04-26,22,103.79
2013-05-03,19,107.83
2013-05-10,22,110.48
2013-05-17,22,111.39
2013-05-24,18,110.27
2013-05-31,17,110.27
2013-06-07,18,111.11
2013-06-14,20,111.03
2013-06-21,22,109.59
2013-06-28,19,109.35
2013-07-05,16,111.54
2013-07-12,24,115.14
2013-07-19,21,116.19
2013-07-26,20,116.91
2013-08-02,21,118.26
2013-08-09,17,118.31
2013-08-16,18,115.90
2013-08-23,24,114.40
2013-08-30,17,113.58
2013-09-06,21,115.04
2013-09-13,23,118.60
2013-09-20,27,120.01
2013-09-27,20,120.22
2013-10-04,22,119.40
2013-10-11,19,120.72
2013-10-18,22,122.84
2013-10-25,19,124.42
2013-11-01,20,125.90
2013-11-08,21,127.99
2013-11-15,17,129.85
2013-11-22,19,131.02
2013-11-29,21,133.51
2013-12-06,20,128.61
2013-12-13,21,126.43
2013-12-20,18,136.72
2013-12-27,11,139.35
2014-01-03,13,138.45
2014-01-10,17,136.18
2014-01-17,18,137.31
2014-01-24,20,130.22
2014-01-31,22,128.19
2014-02-07,20,130.33
2014-02-14,18,132.12
2014-02-21,17,131.57
2014-02-28,19,134.73
2014-03-07,15,134.11
2014-03-14,19,129.83
2014-03-21,19,133.12
2014-03-28,16,134.20
2014-04-04,17,135.86
2014-04-11,18,132.39
2014-04-18,17,
2014-04-25,20,136.56
2014-05-02,18,
