Date,Intel Corporation,Price
2004-01-09,70,
2004-01-16,62,
2004-01-23,63,
2004-01-30,47,
2004-02-06,54,30.88
2004-02-13,60,30.14
2004-02-20,69,30.00
2004-02-27,87,29.20
2004-03-05,79,28.95
2004-03-12,79,27.69
2004-03-19,79,26.49
2004-03-26,51,27.38
2004-04-02,51,28.12
2004-04-09,51,
2004-04-16,63,26.45
2004-04-23,76,27.53
2004-04-30,63,25.73
2004-05-07,63,26.47
2004-05-14,53,27.04
2004-05-21,67,27.55
2004-05-28,71,28.55
2004-06-04,60,28.14
2004-06-11,59,
2004-06-18,54,27.64
2004-06-25,63,27.78
2004-07-02,51,26.33
2004-07-09,56,26.57
2004-07-16,58,22.73
2004-07-23,60,22.67
2004-07-30,52,24.38
2004-08-06,64,22.77
2004-08-13,67,21.56
2004-08-20,70,21.62
2004-08-27,100,22.02
2004-09-03,59,20.05
2004-09-10,47,20.57
2004-09-17,62,20.59
2004-09-24,76,20.13
2004-10-01,58,20.85
2004-10-08,58,20.55
2004-10-15,52,20.61
2004-10-22,73,21.30
2004-10-29,56,22.26
2004-11-05,42,23.36
2004-11-12,56,23.69
2004-11-19,71,24.16
2004-11-26,52,23.21
2004-12-03,62,23.91
2004-12-10,59,22.56
2004-12-17,43,22.77
2004-12-24,59,
2004-12-31,92,23.39
2005-01-07,59,22.80
2005-01-14,80,23.02
2005-01-21,79,22.42
2005-01-28,54,22.24
2005-02-04,44,23.00
2005-02-11,46,24.17
2005-02-18,59,24.02
2005-02-25,62,24.09
2005-03-04,62,24.68
2005-03-11,54,24.20
2005-03-18,82,23.41
2005-03-25,74,
2005-04-01,40,23.01
2005-04-08,50,23.29
2005-04-15,44,22.12
2005-04-22,67,23.24
2005-04-29,82,23.52
2005-05-06,43,24.49
2005-05-13,53,25.12
2005-05-20,46,26.35
2005-05-27,67,27.39
2005-06-03,39,27.33
2005-06-10,51,26.98
2005-06-17,71,27.12
2005-06-24,56,26.10
2005-07-01,41,26.21
2005-07-08,45,27.28
2005-07-15,59,28.30
2005-07-22,41,26.75
2005-07-29,55,27.14
2005-08-05,52,26.77
2005-08-12,59,26.31
2005-08-19,59,25.65
2005-08-26,61,25.41
2005-09-02,54,25.28
2005-09-09,50,25.25
2005-09-16,57,24.81
2005-09-23,63,24.38
2005-09-30,78,24.65
2005-10-07,40,23.82
2005-10-14,44,23.23
2005-10-21,69,23.15
2005-10-28,72,23.33
2005-11-04,81,23.99
2005-11-11,59,25.13
