Date,"The Travelers Companies, Inc.",Price
2004-01-09,91,
2004-01-16,93,
2004-01-23,96,
2004-01-30,95,
2004-02-06,94,42.78
2004-02-13,94,43.22
2004-02-20,97,43.06
2004-02-27,95,42.74
2004-03-05,100,42.24
2004-03-12,90,40.63
2004-03-19,92,40.17
2004-03-26,82,39.74
2004-04-02,95,42.13
2004-04-09,93,
2004-04-16,88,42.70
2004-04-23,89,42.60
2004-04-30,89,40.67
2004-05-07,91,40.23
2004-05-14,85,40.23
2004-05-21,86,39.76
2004-05-28,85,39.68
2004-06-04,83,40.46
2004-06-11,88,
2004-06-18,90,41.27
2004-06-25,90,41.59
2004-07-02,84,39.61
2004-07-09,86,38.72
2004-07-16,92,38.30
2004-07-23,90,35.66
2004-07-30,91,37.07
2004-08-06,90,33.86
2004-08-13,90,32.94
2004-08-20,90,34.73
2004-08-27,90,34.75
2004-09-03,83,34.32
2004-09-10,76,33.69
2004-09-17,80,35.18
2004-09-24,81,34.32
2004-10-01,82,33.51
2004-10-08,81,33.85
2004-10-15,74,31.94
2004-10-22,77,31.13
2004-10-29,79,33.96
2004-11-05,75,36.31
2004-11-12,69,36.54
2004-11-19,78,35.71
2004-11-26,61,36.42
2004-12-03,75,37.23
2004-12-10,74,36.85
2004-12-17,72,37.19
2004-12-24,62,
2004-12-31,67,37.07
2005-01-07,78,36.98
2005-01-14,80,37.49
2005-01-21,75,36.20
2005-01-28,83,36.90
2005-02-04,80,38.67
2005-02-11,79,39.40
2005-02-18,78,38.14
2005-02-25,80,38.82
2005-03-04,74,38.24
2005-03-11,77,37.89
2005-03-18,75,36.96
2005-03-25,76,
2005-04-01,73,35.36
2005-04-08,69,35.28
2005-04-15,72,34.10
2005-04-22,73,34.45
2005-04-29,73,35.80
2005-05-06,75,37.92
2005-05-13,72,37.27
2005-05-20,75,37.40
2005-05-27,74,38.15
2005-06-03,70,38.38
2005-06-10,73,39.15
2005-06-17,74,38.89
2005-06-24,77,38.16
2005-07-01,71,39.60
2005-07-08,68,40.03
2005-07-15,80,41.46
2005-07-22,80,41.09
2005-07-29,77,44.02
2005-08-05,76,44.01
2005-08-12,78,44.40
2005-08-19,76,44.34
2005-08-26,72,44.74
2005-09-02,67,42.44
2005-09-09,64,41.86
2005-09-16,69,43.50
2005-09-23,70,42.75
2005-09-30,67,44.87
2005-10-07,71,42.47
2005-10-14,70,42.33
2005-10-21,70,42.30
2005-10-28,68,44.46
2005-11-04,67,45.72
2005-11-11,65,46.02
2005-11-18,67,46.45
2005-11-25,52,46.31
2005-12-02,66,46.50
2005-12-09,62,45.39
2005-12-16,62,44.78
2005-12-23,56,45.33
2005-12-30,53,44.67
2006-01-06,64,47.21
2006-01-13,69,47.25
2006-01-20,64,45.01
2006-01-27,68,46.54
2006-02-03,68,44.79
2006-02-10,68,43.63
2006-02-17,64,43.03
2006-02-24,65,42.55
2006-03-03,65,42.87
2006-03-10,65,42.32
2006-03-17,62,41.55
2006-03-24,63,41.46
2006-03-31,65,41.79
2006-04-07,62,41.29
2006-04-14,63,
2006-04-21,63,42.71
2006-04-28,62,44.03
2006-05-05,64,45.76
2006-05-12,62,44.72
2006-05-19,59,44.65
2006-05-26,57,43.81
2006-06-02,56,43.80
2006-06-09,63,43.10
2006-06-16,61,43.88
2006-06-23,61,44.15
2006-06-30,58,44.58
2006-07-07,52,44.10
2006-07-14,63,43.56
2006-07-21,65,44.22
2006-07-28,62,46.14
2006-08-04,61,44.49
2006-08-11,59,42.62
2006-08-18,63,44.50
2006-08-25,60,43.66
2006-09-01,56,44.30
2006-09-08,51,45.05
2006-09-15,56,45.96
2006-09-22,56,46.20
2006-09-29,58,46.89
2006-10-06,55,47.64
2006-10-13,55,49.09
2006-10-20,57,48.39
2006-10-27,56,49.92
2006-11-03,55,51.14
2006-11-10,52,52.91
2006-11-17,54,52.12
2006-11-24,42,51.13
2006-12-01,53,51.25
2006-12-08,50,52.32
2006-12-15,51,53.56
2006-12-22,47,53.55
2006-12-29,41,53.69
2007-01-05,51,52.41
2007-01-12,56,51.06
2007-01-19,54,51.37
2007-01-26,54,50.66
2007-02-02,55,52.43
2007-02-09,53,52.49
2007-02-16,53,52.73
2007-02-23,54,53.00
2007-03-02,51,50.58
2007-03-09,55,51.68
2007-03-16,52,50.35
2007-03-23,52,52.49
2007-03-30,52,51.77
2007-04-06,52,
2007-04-13,53,53.19
2007-04-20,53,53.96
2007-04-27,53,53.67
2007-05-04,52,54.70
2007-05-11,50,56.76
2007-05-18,52,56.29
2007-05-25,50,54.57
2007-06-01,48,54.58
2007-06-08,53,54.60
2007-06-15,50,53.92
2007-06-22,51,52.38
2007-06-29,50,53.50
2007-07-06,45,54.52
