Date,PG,Price
2004-01-09,54,
2004-01-16,48,
2004-01-23,43,
2004-01-30,51,
2004-02-06,50,102.36
2004-02-13,44,102.05
2004-02-20,51,102.50
2004-02-27,44,102.51
2004-03-05,43,101.76
2004-03-12,45,104.12
2004-03-19,41,104.03
2004-03-26,46,103.95
2004-04-02,43,106.11
2004-04-09,45,
2004-04-16,47,105.97
2004-04-23,44,104.99
2004-04-30,48,105.79
2004-05-07,47,106.72
2004-05-14,42,106.41
2004-05-21,47,106.91
2004-05-28,48,107.82
2004-06-04,43,107.87
2004-06-11,44,
2004-06-18,50,110.19
2004-06-25,49,54.75
2004-07-02,45,54.33
2004-07-09,46,54.72
2004-07-16,46,55.10
2004-07-23,46,52.49
2004-07-30,46,52.15
2004-08-06,39,52.99
2004-08-13,38,54.46
2004-08-20,46,54.85
2004-08-27,46,55.98
2004-09-03,46,56.55
2004-09-10,45,56.18
2004-09-17,44,56.26
2004-09-24,42,54.08
2004-10-01,44,54.66
2004-10-08,44,53.45
2004-10-15,49,53.69
2004-10-22,45,53.05
2004-10-29,49,51.18
2004-11-05,50,53.52
2004-11-12,50,54.60
2004-11-19,44,54.32
2004-11-26,44,53.64
2004-12-03,44,55.39
2004-12-10,46,56.44
2004-12-17,42,55.44
2004-12-24,41,
2004-12-31,41,55.08
2005-01-07,50,55.92
2005-01-14,45,55.88
2005-01-21,51,55.65
2005-01-28,48,54.15
2005-02-04,49,52.62
2005-02-11,47,52.15
2005-02-18,49,53.50
2005-02-25,52,54.19
2005-03-04,49,53.85
2005-03-11,53,52.51
2005-03-18,47,53.40
2005-03-25,43,
2005-04-01,44,52.61
2005-04-08,44,54.50
2005-04-15,45,54.80
2005-04-22,53,53.89
2005-04-29,42,54.15
2005-05-06,48,54.75
2005-05-13,47,54.75
2005-05-20,46,56.48
2005-05-27,50,55.76
2005-06-03,47,55.27
2005-06-10,55,54.75
2005-06-17,53,54.42
2005-06-24,56,52.82
2005-07-01,50,52.90
2005-07-08,48,52.96
2005-07-15,53,54.50
2005-07-22,50,54.99
2005-07-29,46,55.63
2005-08-05,47,54.10
2005-08-12,46,53.55
2005-08-19,46,54.54
2005-08-26,51,54.96
2005-09-02,49,55.99
2005-09-09,44,56.90
2005-09-16,47,55.95
2005-09-23,50,56.74
2005-09-30,46,59.46
2005-10-07,47,56.04
2005-10-14,58,56.11
2005-10-21,54,54.81
2005-10-28,53,55.92
2005-11-04,52,55.92
2005-11-11,49,56.37
2005-11-18,49,57.45
2005-11-25,45,57.28
2005-12-02,48,57.36
2005-12-09,49,57.33
2005-12-16,50,58.11
2005-12-23,42,58.88
2005-12-30,46,57.88
2006-01-06,48,58.64
2006-01-13,49,58.90
2006-01-20,47,57.84
2006-01-27,51,59.74
2006-02-03,51,59.68
2006-02-10,49,59.70
2006-02-17,52,61.00
2006-02-24,52,61.50
2006-03-03,50,59.67
