Date,UTX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,89,
2004-02-06,0,94.32
2004-02-13,0,94.63
2004-02-20,0,96.62
2004-02-27,0,92.11
2004-03-05,0,89.90
2004-03-12,0,87.35
2004-03-19,0,85.40
2004-03-26,0,86.30
2004-04-02,0,87.74
2004-04-09,0,
2004-04-16,0,88.72
2004-04-23,80,88.93
2004-04-30,73,86.26
2004-05-07,73,85.18
2004-05-14,73,83.25
2004-05-21,73,81.56
2004-05-28,0,84.61
2004-06-04,0,85.75
2004-06-11,0,
2004-06-18,0,89.95
2004-06-25,0,89.25
2004-07-02,0,89.49
2004-07-09,0,89.76
2004-07-16,0,90.79
2004-07-23,0,92.09
2004-07-30,0,93.50
2004-08-06,0,90.05
2004-08-13,0,90.92
2004-08-20,0,94.02
2004-08-27,0,93.41
2004-09-03,0,94.29
2004-09-10,0,94.42
2004-09-17,70,95.65
2004-09-24,68,92.14
2004-10-01,68,94.83
2004-10-08,68,92.43
2004-10-15,68,91.67
2004-10-22,0,91.00
2004-10-29,0,92.82
2004-11-05,0,97.25
2004-11-12,0,97.75
2004-11-19,0,97.26
2004-11-26,0,97.13
2004-12-03,0,98.43
2004-12-10,0,101.03
2004-12-17,0,103.90
2004-12-24,0,
2004-12-31,0,103.35
2005-01-07,0,100.02
2005-01-14,0,100.94
2005-01-21,0,100.08
2005-01-28,0,102.00
2005-02-04,0,101.72
2005-02-11,0,101.40
2005-02-18,0,100.91
2005-02-25,0,101.02
2005-03-04,47,100.74
2005-03-11,48,101.36
2005-03-18,49,103.75
2005-03-25,50,
2005-04-01,51,100.94
2005-04-08,56,100.81
2005-04-15,61,97.55
2005-04-22,53,101.56
2005-04-29,43,101.72
2005-05-06,77,102.03
2005-05-13,67,101.10
2005-05-20,44,105.15
2005-05-27,44,107.88
2005-06-03,45,106.25
2005-06-10,46,104.93
2005-06-17,64,53.14
2005-06-24,48,52.12
2005-07-01,57,51.38
2005-07-08,66,51.54
2005-07-15,75,51.71
2005-07-22,52,51.14
2005-07-29,56,50.70
2005-08-05,43,49.37
2005-08-12,43,51.78
2005-08-19,55,51.74
2005-08-26,58,50.29
2005-09-02,40,50.60
2005-09-09,44,51.44
2005-09-16,48,51.38
2005-09-23,42,51.70
2005-09-30,45,51.84
2005-10-07,48,50.15
2005-10-14,37,51.63
2005-10-21,42,50.91
2005-10-28,43,51.38
2005-11-04,43,51.63
2005-11-11,44,53.45
2005-11-18,44,53.54
2005-11-25,35,54.31
2005-12-02,41,54.99
2005-12-09,48,55.42
2005-12-16,54,58.03
2005-12-23,41,57.28
2005-12-30,42,55.91
2006-01-06,37,56.16
2006-01-13,37,55.66
2006-01-20,37,55.01
2006-01-27,55,58.75
2006-02-03,64,57.18
2006-02-10,47,57.13
2006-02-17,52,58.00
2006-02-24,54,58.89
2006-03-03,55,57.86
2006-03-10,43,57.82
2006-03-17,37,58.80
2006-03-24,34,59.28
2006-03-31,33,57.97
2006-04-07,48,57.62
2006-04-14,36,
2006-04-21,37,64.22
2006-04-28,67,62.81
2006-05-05,52,64.91
2006-05-12,47,64.90
2006-05-19,71,62.70
2006-05-26,47,62.60
2006-06-02,39,63.03
2006-06-09,39,60.05
2006-06-16,65,61.75
2006-06-23,42,62.28
2006-06-30,36,63.42
2006-07-07,46,63.10
2006-07-14,65,58.81
2006-07-21,74,59.96
2006-07-28,65,62.15
2006-08-04,50,62.57
2006-08-11,70,60.15
2006-08-18,58,61.84
2006-08-25,37,60.67
2006-09-01,38,63.26
2006-09-08,33,63.34
2006-09-15,54,64.61
2006-09-22,34,62.30
2006-09-29,43,63.35
2006-10-06,48,65.41
2006-10-13,50,66.50
2006-10-20,60,65.02
2006-10-27,46,64.94
2006-11-03,41,63.97
2006-11-10,35,65.06
2006-11-17,43,66.09
2006-11-24,25,65.99
2006-12-01,39,63.86
2006-12-08,49,64.72
2006-12-15,65,62.45
2006-12-22,44,62.56
2006-12-29,44,62.52
2007-01-05,36,62.68
2007-01-12,48,64.42
2007-01-19,50,65.18
2007-01-26,62,66.04
2007-02-02,51,68.00
2007-02-09,50,67.58
2007-02-16,64,68.68
2007-02-23,48,67.55
2007-03-02,61,64.35
2007-03-09,44,64.50
2007-03-16,43,64.60
2007-03-23,56,66.73
2007-03-30,26,65.00
2007-04-06,32,
2007-04-13,46,65.05
2007-04-20,62,67.48
2007-04-27,62,67.69
2007-05-04,50,68.00
2007-05-11,39,68.39
2007-05-18,56,69.19
2007-05-25,61,68.62
2007-06-01,41,70.78
2007-06-08,29,70.23
2007-06-15,49,72.01
2007-06-22,32,71.38
2007-06-29,30,70.93
2007-07-06,28,72.60
2007-07-13,56,75.00
2007-07-20,100,76.03
2007-07-27,61,73.29
2007-08-03,46,73.93
2007-08-10,46,73.08
2007-08-17,52,73.82
2007-08-24,47,74.33
2007-08-31,38,74.63
2007-09-07,33,73.79
2007-09-14,29,76.14
2007-09-21,55,79.43
2007-09-28,35,80.48
2007-10-05,46,80.84
2007-10-12,46,80.32
2007-10-19,60,76.00
2007-10-26,49,75.44
2007-11-02,45,75.65
2007-11-09,47,73.51
2007-11-16,49,74.30
2007-11-23,24,73.46
2007-11-30,36,74.77
2007-12-07,47,78.07
2007-12-14,38,76.69
2007-12-21,47,77.83
2007-12-28,28,76.87
2008-01-04,30,75.02
2008-01-11,37,71.68
2008-01-18,41,68.05
2008-01-25,61,72.75
2008-02-01,44,74.12
2008-02-08,33,71.35
2008-02-15,41,71.53
2008-02-22,52,72.23
2008-02-29,38,70.51
2008-03-07,48,67.49
2008-03-14,48,67.71
2008-03-21,56,
2008-03-28,58,68.55
2008-04-04,42,71.73
2008-04-11,43,69.53
2008-04-18,57,72.51
2008-04-25,27,72.68
2008-05-02,34,75.10
2008-05-09,44,73.13
2008-05-16,50,73.96
2008-05-23,39,70.01
2008-05-30,26,71.04
2008-06-06,49,67.01
2008-06-13,47,68.56
2008-06-20,24,68.80
2008-06-27,48,61.15
2008-07-04,38,
2008-07-11,43,60.69
2008-07-18,51,64.09
2008-07-25,38,65.23
2008-08-01,39,63.56
2008-08-08,39,66.86
2008-08-15,28,66.80
2008-08-22,28,65.98
2008-08-29,35,65.59
2008-09-05,32,64.08
2008-09-12,34,64.46
2008-09-19,48,64.30
2008-09-26,37,60.86
2008-10-03,54,54.86
2008-10-10,64,47.63
2008-10-17,77,50.71
2008-10-24,66,47.31
2008-10-31,58,54.96
2008-11-07,43,51.81
2008-11-14,53,50.23
2008-11-21,44,46.67
2008-11-28,27,48.53
2008-12-05,48,49.01
2008-12-12,39,48.82
2008-12-19,40,51.37
2008-12-26,35,51.13
2009-01-02,48,54.95
2009-01-09,36,52.70
2009-01-16,49,51.10
2009-01-23,40,47.41
2009-01-30,39,47.99
2009-02-06,41,49.03
2009-02-13,45,47.09
2009-02-20,45,43.99
2009-02-27,44,40.83
2009-03-06,48,38.54
2009-03-13,70,40.57
2009-03-20,51,40.53
2009-03-27,43,44.48
2009-04-03,40,45.63
2009-04-10,45,
2009-04-17,39,47.32
2009-04-24,45,49.37
2009-05-01,54,49.52
2009-05-08,44,53.55
2009-05-15,37,51.28
2009-05-22,37,51.04
2009-05-29,27,52.61
2009-06-05,51,56.39
2009-06-12,39,55.84
2009-06-19,43,54.20
2009-06-26,35,51.55
2009-07-03,33,
2009-07-10,27,49.64
2009-07-17,38,53.80
2009-07-24,42,52.23
2009-07-31,45,54.47
2009-08-07,33,55.59
2009-08-14,42,57.21
2009-08-21,33,58.71
2009-08-28,38,59.64
2009-09-04,41,60.52
2009-09-11,43,61.99
2009-09-18,38,62.82
2009-09-25,32,61.54
2009-10-02,37,59.63
2009-10-09,26,62.17
2009-10-16,38,64.89
2009-10-23,32,65.81
2009-10-30,28,61.45
2009-11-06,28,65.07
2009-11-13,34,67.99
2009-11-20,27,67.97
2009-11-27,27,67.20
2009-12-04,35,68.32
2009-12-11,31,69.40
2009-12-18,32,69.46
2009-12-25,33,
2010-01-01,42,
2010-01-08,39,70.63
2010-01-15,38,71.99
2010-01-22,38,69.08
2010-01-29,39,67.48
2010-02-05,33,66.50
2010-02-12,22,65.69
2010-02-19,36,68.52
2010-02-26,37,68.65
2010-03-05,34,71.25
2010-03-12,43,71.53
2010-03-19,33,73.24
2010-03-26,32,73.62
2010-04-02,34,
2010-04-09,30,73.99
2010-04-16,32,73.69
2010-04-23,38,76.47
2010-04-30,40,74.95
2010-05-07,38,69.46
2010-05-14,35,71.58
2010-05-21,40,66.44
2010-05-28,36,67.38
2010-06-04,35,65.14
2010-06-11,23,66.23
2010-06-18,34,69.18
2010-06-25,34,67.86
2010-07-02,28,64.29
2010-07-09,31,67.51
2010-07-16,29,66.03
2010-07-23,33,70.90
2010-07-30,31,71.10
2010-08-06,42,72.73
2010-08-13,29,70.70
2010-08-20,28,68.12
2010-08-27,26,66.57
2010-09-03,22,68.26
2010-09-10,27,68.89
2010-09-17,24,69.53
2010-09-24,35,71.50
2010-10-01,34,71.13
2010-10-08,26,72.91
2010-10-15,31,74.10
2010-10-22,35,74.94
2010-10-29,27,74.77
2010-11-05,33,76.75
2010-11-12,29,74.88
2010-11-19,24,75.31
2010-11-26,22,75.28
2010-12-03,31,78.74
2010-12-10,31,78.40
2010-12-17,29,78.80
2010-12-24,32,
2010-12-31,27,78.72
2011-01-07,32,79.08
2011-01-14,34,79.08
2011-01-21,30,80.20
2011-01-28,30,81.43
2011-02-04,26,82.52
2011-02-11,32,85.20
2011-02-18,33,85.01
2011-02-25,24,83.37
2011-03-04,32,82.86
2011-03-11,34,81.28
2011-03-18,27,80.16
2011-03-25,27,83.52
2011-04-01,30,85.32
2011-04-08,30,84.81
2011-04-15,36,83.45
2011-04-22,41,
2011-04-29,39,89.58
2011-05-06,34,89.21
2011-05-13,33,88.98
2011-05-20,25,87.50
2011-05-27,30,86.33
2011-06-03,24,83.24
2011-06-10,20,82.70
2011-06-17,27,84.57
2011-06-24,31,84.33
2011-07-01,37,90.13
2011-07-08,29,90.35
2011-07-15,32,88.32
2011-07-22,33,87.70
2011-07-29,31,82.84
2011-08-05,45,74.14
2011-08-12,49,72.45
2011-08-19,40,67.45
2011-08-26,38,71.56
2011-09-02,29,71.04
2011-09-09,27,70.53
2011-09-16,34,75.50
2011-09-23,62,68.92
2011-09-30,35,70.36
2011-10-07,28,71.46
2011-10-14,33,74.64
2011-10-21,40,75.56
2011-10-28,33,79.51
2011-11-04,30,77.80
2011-11-11,29,79.83
2011-11-18,28,76.11
2011-11-25,24,71.04
2011-12-02,26,76.54
2011-12-09,28,76.31
2011-12-16,32,72.39
2011-12-23,26,74.18
2011-12-30,26,73.09
2012-01-06,33,73.90
2012-01-13,34,76.08
2012-01-20,31,76.69
2012-01-27,32,77.62
2012-02-03,34,81.05
2012-02-10,35,83.50
2012-02-17,35,83.78
2012-02-24,25,83.97
2012-03-02,32,84.54
2012-03-09,29,83.55
2012-03-16,31,85.48
2012-03-23,25,81.80
2012-03-30,29,82.94
2012-04-06,24,
2012-04-13,40,79.80
2012-04-20,31,81.00
2012-04-27,34,82.00
2012-05-04,31,79.48
2012-05-11,27,77.18
2012-05-18,21,72.38
2012-05-25,32,73.02
2012-06-01,27,72.02
2012-06-08,35,75.50
2012-06-15,28,74.49
2012-06-22,27,75.20
2012-06-29,23,75.53
2012-07-06,30,74.09
2012-07-13,30,73.59
2012-07-20,26,74.23
2012-07-27,37,74.28
2012-08-03,31,76.81
2012-08-10,30,77.89
2012-08-17,29,80.37
2012-08-24,35,80.08
2012-08-31,29,79.85
2012-09-07,31,79.41
2012-09-14,31,82.45
2012-09-21,31,80.75
2012-09-28,30,78.29
2012-10-05,34,78.51
2012-10-12,28,75.96
2012-10-19,27,77.99
2012-10-26,34,78.20
2012-11-02,29,78.07
2012-11-09,37,75.84
2012-11-16,29,75.25
2012-11-23,31,78.61
2012-11-30,36,80.11
2012-12-07,29,80.99
2012-12-14,29,79.98
2012-12-21,32,82.54
2012-12-28,24,80.81
2013-01-04,38,84.98
2013-01-11,33,85.18
2013-01-18,38,86.95
2013-01-25,44,89.79
2013-02-01,33,89.84
2013-02-08,37,90.09
2013-02-15,30,90.78
2013-02-22,34,90.49
2013-03-01,40,90.13
2013-03-08,39,92.07
2013-03-15,35,93.28
2013-03-22,34,93.59
2013-03-29,30,
2013-04-05,38,92.64
2013-04-12,29,95.69
2013-04-19,32,93.22
2013-04-26,34,91.15
2013-05-03,27,93.11
2013-05-10,31,95.25
2013-05-17,36,97.35
2013-05-24,36,95.04
2013-05-31,28,94.90
2013-06-07,28,94.50
2013-06-14,30,94.02
2013-06-21,40,92.18
2013-06-28,32,92.94
2013-07-05,34,96.53
2013-07-12,40,99.83
2013-07-19,39,102.48
2013-07-26,49,104.97
2013-08-02,55,107.77
2013-08-09,41,105.62
2013-08-16,31,103.08
2013-08-23,31,102.80
2013-08-30,29,100.10
2013-09-06,34,103.23
2013-09-13,40,108.39
2013-09-20,41,109.58
2013-09-27,42,109.36
2013-10-04,42,104.27
2013-10-11,37,107.01
2013-10-18,40,107.74
2013-10-25,45,107.52
2013-11-01,38,107.51
2013-11-08,38,108.55
2013-11-15,40,108.59
2013-11-22,33,110.20
2013-11-29,37,110.86
2013-12-06,35,111.12
2013-12-13,38,107.35
2013-12-20,35,110.66
2013-12-27,36,112.80
2014-01-03,49,112.90
2014-01-10,32,113.83
2014-01-17,42,114.21
2014-01-24,48,111.80
2014-01-31,44,114.02
2014-02-07,43,110.73
2014-02-14,40,113.87
2014-02-21,33,115.38
2014-02-28,40,117.02
2014-03-07,39,118.31
2014-03-14,37,112.60
2014-03-21,35,114.57
2014-03-28,33,114.81
2014-04-04,47,118.18
2014-04-11,35,113.93
2014-04-18,38,
2014-04-25,46,117.21
2014-05-02,33,
