Date,KO,Price
2004-01-09,20,
2004-01-16,18,
2004-01-23,20,
2004-01-30,18,
2004-02-06,18,50.99
2004-02-13,17,51.14
2004-02-20,19,50.94
2004-02-27,19,49.96
2004-03-05,18,50.10
2004-03-12,16,48.45
2004-03-19,18,48.78
2004-03-26,15,48.78
2004-04-02,17,50.93
2004-04-09,17,
2004-04-16,17,51.93
2004-04-23,18,51.05
2004-04-30,17,50.57
2004-05-07,17,50.74
2004-05-14,16,50.00
2004-05-21,19,49.38
2004-05-28,18,51.35
2004-06-04,17,52.27
2004-06-11,17,
2004-06-18,17,51.39
2004-06-25,17,50.10
2004-07-02,16,50.53
2004-07-09,17,51.02
2004-07-16,17,50.58
2004-07-23,19,45.17
2004-07-30,20,43.86
2004-08-06,19,43.50
2004-08-13,18,44.37
2004-08-20,18,44.21
2004-08-27,19,44.72
2004-09-03,19,45.49
2004-09-10,20,42.96
2004-09-17,19,40.30
2004-09-24,19,39.99
2004-10-01,20,40.31
2004-10-08,18,40.00
2004-10-15,19,39.20
2004-10-22,17,38.90
2004-10-29,17,40.66
2004-11-05,19,41.40
2004-11-12,17,40.79
2004-11-19,19,39.73
2004-11-26,19,39.86
2004-12-03,19,40.71
2004-12-10,20,40.53
2004-12-17,19,40.95
2004-12-24,18,
2004-12-31,55,41.64
2005-01-07,29,41.16
2005-01-14,22,40.97
2005-01-21,21,40.91
2005-01-28,20,41.49
2005-02-04,19,42.47
2005-02-11,20,42.76
2005-02-18,17,42.96
2005-02-25,18,43.02
2005-03-04,18,43.64
2005-03-11,18,42.48
2005-03-18,17,41.46
2005-03-25,17,
2005-04-01,17,41.38
2005-04-08,18,42.10
2005-04-15,17,41.29
2005-04-22,19,42.13
2005-04-29,17,43.44
2005-05-06,19,44.19
2005-05-13,17,44.11
2005-05-20,18,45.05
2005-05-27,18,44.93
2005-06-03,20,44.23
2005-06-10,19,43.95
2005-06-17,19,44.05
2005-06-24,18,42.20
2005-07-01,18,42.21
2005-07-08,20,42.73
2005-07-15,19,43.08
2005-07-22,19,44.03
2005-07-29,19,43.76
2005-08-05,19,44.06
2005-08-12,20,43.58
2005-08-19,19,44.39
2005-08-26,21,43.57
2005-09-02,19,43.90
2005-09-09,20,44.05
2005-09-16,20,43.40
2005-09-23,19,42.35
2005-09-30,20,43.19
2005-10-07,21,42.20
2005-10-14,19,42.07
2005-10-21,19,41.93
2005-10-28,18,42.83
2005-11-04,19,42.30
2005-11-11,20,42.76
2005-11-18,19,42.20
2005-11-25,19,42.80
2005-12-02,20,42.82
2005-12-09,20,41.51
2005-12-16,21,41.21
2005-12-23,22,41.15
2005-12-30,22,40.31
2006-01-06,22,41.41
2006-01-13,21,41.31
2006-01-20,22,40.09
2006-01-27,22,41.97
2006-02-03,20,40.88
2006-02-10,22,41.16
2006-02-17,20,41.79
2006-02-24,21,42.23
2006-03-03,21,41.80
2006-03-10,20,42.77
