"Date","MJN","Price"
2009-02-13,60,26.81
2009-02-20,25,29.63
2009-02-27,38,27.59
2009-03-06,27,26.44
2009-03-13,40,27.42
2009-03-20,17,27.67
2009-03-27,34,27.53
2009-04-03,44,27.35
2009-04-17,43,26.47
2009-04-24,46,26.28
2009-05-01,32,28.36
2009-05-08,29,30.76
2009-05-15,38,28.82
2009-05-22,36,29.7
2009-05-29,36,31.16
2009-06-05,33,31.96
2009-06-12,30,31.36
2009-06-19,29,32.3
2009-06-26,39,31.9
2009-07-10,40,32.95
2009-07-17,34,33.71
2009-07-24,44,37
2009-07-31,35,36.41
2009-08-07,21,38.9
2009-08-14,47,37.41
2009-08-21,26,39.96
2009-08-28,48,40.06
2009-09-04,36,40
2009-09-11,21,39.05
2009-09-18,34,40.08
2009-09-25,41,42.48
2009-10-02,37,47.24
2009-10-09,24,44.31
2009-10-16,29,42.97
2009-10-23,20,42.16
2009-10-30,24,42.04
2009-11-06,30,44
2009-11-13,37,45.25
2009-11-20,39,44.31
2009-11-27,33,44.44
2009-12-04,38,43.9
2009-12-11,35,42.45
2009-12-18,53,41.5
2010-01-08,21,45.23
2010-01-15,29,46.81
2010-01-22,32,44.53
2010-01-29,32,45.23
2010-02-05,36,46.29
2010-02-12,25,45.05
2010-02-19,25,46.78
2010-02-26,28,47.3
2010-03-05,32,49.91
2010-03-12,33,51.99
2010-03-19,30,51.39
2010-03-26,27,51.83
2010-04-09,28,52.09
2010-04-16,41,51.4
2010-04-23,24,53.94
2010-04-30,37,51.61
2010-05-07,25,48.31
2010-05-14,18,50.32
2010-05-21,25,49.09
2010-05-28,19,49.32
2010-06-04,23,49.59
2010-06-11,38,51.9
2010-06-18,21,54.39
2010-06-25,31,51.41
2010-07-02,35,51.17
2010-07-09,40,53.88
2010-07-16,25,53.02
2010-07-23,40,54.55
2010-07-30,36,53.14
2010-08-06,37,53.33
2010-08-13,33,52.58
2010-08-20,26,53.41
2010-08-27,33,52.46
2010-09-03,25,55.14
2010-09-10,27,56.7
2010-09-17,32,55.1
2010-09-24,29,57.12
2010-10-01,35,56.25
2010-10-08,26,56.5
2010-10-15,27,57.82
2010-10-22,30,59.04
2010-10-29,27,58.82
2010-11-05,29,59.44
2010-11-12,31,59.61
2010-11-19,37,60.15
2010-11-26,38,60.54
2010-12-03,31,62.04
2010-12-10,29,62.26
2010-12-17,39,62.52
2010-12-31,33,62.25
2011-01-07,33,61.04
2011-01-14,32,62.86
2011-01-21,31,61.68
2011-01-28,38,58.31
2011-02-04,30,58.74
2011-02-11,34,60.3
2011-02-18,40,61.31
2011-02-25,25,60.7
2011-03-04,42,59.28
2011-03-11,36,57.7
2011-03-18,43,55.9
2011-03-25,35,58.79
2011-04-01,34,58.33
