"Date","SJM","Price"
2004-02-06,26,46.73
2004-02-13,31,47.22
2004-02-20,36,48.97
2004-02-27,41,50.58
2004-03-05,47,51.93
2004-03-12,52,51.27
2004-05-14,19,49.96
2004-05-21,20,48.27
2004-05-28,20,48.9
2004-06-04,20,49.09
2004-06-18,20,46.51
2004-07-30,22,41.81
2004-08-06,22,43.62
2004-08-13,22,44.69
2004-08-20,22,44.6
2004-08-27,19,46.38
2004-09-03,19,46.41
2004-09-10,19,45.86
2004-09-17,26,45.78
2004-09-24,22,43.19
2004-10-01,22,44.27
2004-10-08,19,43.7
2004-10-15,17,43.47
2004-10-22,17,43.43
2004-10-29,17,44.5
2004-11-05,17,46.32
2004-11-12,17,47.45
2004-11-19,18,44.75
2004-11-26,18,44.83
2004-12-03,18,46.06
2004-12-10,19,46.5
2004-12-17,19,47.48
2004-12-31,20,47.07
2005-01-07,20,46.75
2005-01-14,18,46.04
2005-01-21,19,46.65
2005-01-28,21,46.22
2005-02-04,23,47.87
2005-02-11,25,47.44
2005-02-18,25,48.19
2005-02-25,22,48.94
2005-03-04,21,51.5
2005-03-11,27,51
2005-03-18,13,49.38
2005-04-01,16,49.68
2005-04-08,16,49.67
2005-04-15,16,50.01
2005-04-22,13,48.8
2005-04-29,17,49.62
2005-05-06,19,49.2
2005-05-13,15,50.3
2005-05-20,17,50.51
2005-05-27,25,50.17
2005-06-03,21,50.53
2005-06-10,23,50.13
2005-06-17,23,48.6
2005-06-24,20,47.69
2005-07-01,20,47.18
2005-07-08,27,46.39
2005-07-15,20,46.81
2005-07-22,23,47.2
2005-07-29,16,47.57
2005-08-05,29,47.6
2005-08-12,18,47.08
2005-08-19,23,48.02
2005-08-26,20,46.99
2005-09-02,19,48.04
2005-09-09,19,48.02
2005-09-16,25,48.24
2005-09-23,16,47.11
2005-09-30,20,48.54
2005-10-07,19,46.66
2005-10-14,24,46.1
2005-10-21,16,45.72
2005-10-28,24,45.61
2005-11-04,25,45.9
2005-11-11,24,45.7
2005-11-18,18,45.28
2005-11-25,21,45.57
2005-12-02,47,45.5
2005-12-09,27,45.12
2005-12-16,20,44.26
2005-12-23,19,44.28
2005-12-30,19,44
2006-01-06,20,45.8
2006-01-13,28,45.09
2006-01-20,24,44.35
2006-01-27,27,43.74
2006-02-03,40,43.5
2006-02-10,22,41.76
2006-02-17,19,38.25
2006-02-24,21,39.55
2006-03-03,16,40.07
2006-03-10,18,40.25
2006-03-17,22,40.03
2006-03-24,20,39.94
2006-03-31,13,39.7
2006-04-07,25,38.8
2006-04-21,24,39.35
2006-04-28,23,39.26
2006-05-05,29,40.8
2006-05-12,27,40.22
2006-05-19,18,40.82
2006-05-26,23,40.95
2006-06-02,18,41.61
2006-06-09,22,40.94
2006-06-16,27,40.75
2006-06-23,31,44.24
2006-06-30,13,44.7
2006-07-07,19,45.89
2006-07-14,21,46.29
2006-07-21,25,45.62
2006-07-28,10,45.32
2006-08-04,18,44.23
2006-08-11,18,43.66
2006-08-18,26,45.21
2006-08-25,21,47.75
2006-09-01,21,48.97
2006-09-08,18,48.52
2006-09-15,25,48.42
2006-09-22,25,48.07
2006-09-29,20,47.95
2006-10-06,28,48.86
2006-10-13,30,48.19
2006-10-20,26,48.69
2006-10-27,29,48.37
2006-11-03,23,48.67
2006-11-10,25,49.55
2006-11-17,28,46.8
2006-11-24,30,47.46
2006-12-01,28,48.29
2006-12-08,33,48.21
2006-12-15,23,48.58
2006-12-22,27,48
2006-12-29,14,48.47
2007-01-05,21,48.3
2007-01-12,35,47.69
2007-01-19,35,47.25
2007-01-26,26,46.86
2007-02-02,29,48.12
2007-02-09,28,47.98
2007-02-16,28,49.41
2007-02-23,29,50.56
2007-03-02,43,50.15
2007-03-09,27,49.66
2007-03-16,26,49.85
2007-03-23,24,51.67
2007-03-30,25,53.32
2007-04-13,22,56.88
2007-04-20,24,56.52
2007-04-27,24,56.1
2007-05-04,27,57.95
2007-05-11,27,56.74
2007-05-18,25,58.99
2007-05-25,20,57.47
2007-06-01,27,58.95
2007-06-08,32,57.2
2007-06-15,27,57.81
2007-06-22,27,61.9
2007-06-29,36,63.66
2007-07-06,34,63.33
