"Date","WFM","Price"
2004-02-06,71,71.75
2004-02-13,46,74.5
2004-02-20,58,76.56
2004-02-27,65,77.31
2004-03-05,82,77.48
2004-03-12,100,73.98
2004-03-19,85,76.74
2004-03-26,92,74.5
2004-04-02,58,75.19
2004-04-16,73,76.9
2004-04-23,96,80.58
2004-04-30,46,79.99
2004-05-07,50,77.57
2004-05-14,89,77.73
2004-05-21,70,79.76
2004-05-28,48,86
2004-06-04,90,84.55
2004-06-18,62,91
2004-06-25,70,93.43
2004-07-02,75,95.53
2004-07-09,47,92.31
2004-07-16,61,89.63
2004-07-23,75,88.44
2004-07-30,86,82.32
2004-08-06,54,74.49
2004-08-13,80,74.02
2004-08-20,91,78.87
2004-08-27,67,79.69
2004-09-03,82,81.02
2004-09-10,56,84.06
2004-09-17,59,86.24
2004-09-24,63,84.73
2004-10-01,75,86.85
2004-10-08,49,84.87
2004-10-15,76,82.99
2004-10-22,38,82.09
2004-10-29,44,81.43
2004-11-05,50,87.31
2004-11-12,81,94.62
2004-11-19,59,91.38
2004-11-26,56,93.03
2004-12-03,55,89.8
2004-12-10,41,93.7
2004-12-17,62,93.25
2004-12-31,62,95.35
2005-01-07,55,92.73
2005-01-14,47,94.89
2005-01-21,69,93.89
2005-01-28,50,90.4
2005-02-04,70,91.82
2005-02-11,41,98.73
2005-02-18,37,102.52
2005-02-25,57,101.28
2005-03-04,47,104.81
2005-03-11,50,102.87
2005-03-18,44,101.35
2005-04-01,70,100.32
2005-04-08,70,102.08
2005-04-15,58,98.04
2005-04-22,54,97.25
2005-04-29,53,99.65
2005-05-06,36,108.34
2005-05-13,44,108.55
2005-05-20,43,116.85
2005-05-27,51,119.53
2005-06-03,62,117.5
2005-06-10,49,113.54
2005-06-17,45,119.64
2005-06-24,68,116.54
2005-07-01,49,118.37
2005-07-08,59,123.36
2005-07-15,61,122.21
2005-07-22,69,119.07
2005-07-29,57,136.51
2005-08-05,56,135.78
2005-08-12,56,135.95
2005-08-19,43,130.83
2005-08-26,74,129.33
2005-09-02,58,128.25
2005-09-09,63,135.31
2005-09-16,65,134.44
2005-09-23,51,128.87
2005-09-30,61,134.45
2005-10-07,53,130.97
2005-10-14,62,128.66
2005-10-21,47,135.28
2005-10-28,58,139.35
2005-11-04,43,149.93
2005-11-11,49,141.38
2005-11-18,52,144.59
2005-11-25,63,147.95
2005-12-02,54,152.53
2005-12-09,55,154.04
2005-12-16,39,153.5
2005-12-23,53,153.18
2005-12-30,54,77.39
2006-01-06,74,77.44
2006-01-13,49,73.32
2006-01-20,62,72.59
2006-01-27,65,73
2006-02-03,66,70.84
2006-02-10,49,64.85
2006-02-17,35,63.6
2006-02-24,45,63.73
2006-03-03,53,63.52
2006-03-10,54,63.49
2006-03-17,47,64.11
2006-03-24,74,65.1
2006-03-31,56,66.44
2006-04-07,51,66.06
2006-04-21,55,63.91
2006-04-28,43,61.38
2006-05-05,59,72.08
2006-05-12,59,68.96
2006-05-19,52,65.96
2006-05-26,48,66.85
2006-06-02,53,65.69
2006-06-09,76,64.6
2006-06-16,61,62.18
2006-06-23,57,61.97
2006-06-30,49,64.64
2006-07-07,57,62.47
2006-07-14,45,58.39
2006-07-21,39,57.09
2006-07-28,51,57.65
2006-08-04,59,51.23
2006-08-11,45,47.37
2006-08-18,38,53.95
2006-08-25,44,54.66
2006-09-01,50,53.54
2006-09-08,39,53.16
2006-09-15,37,56.32
2006-09-22,32,59.29
2006-09-29,55,59.43
2006-10-06,32,61.44
2006-10-13,54,62.76
2006-10-20,49,64.75
2006-10-27,52,64.75
2006-11-03,47,46.26
2006-11-10,46,48.97
2006-11-17,38,49.4
2006-11-24,48,49.17
2006-12-01,44,48.28
2006-12-08,46,48.88
2006-12-15,40,49.06
2006-12-22,51,47.68
2006-12-29,37,46.93
2007-01-05,43,46.63
2007-01-12,44,45.69
2007-01-19,44,43.96
2007-01-26,45,42.51
2007-02-02,36,44.67
2007-02-09,38,45.61
2007-02-16,35,46.43
2007-02-23,54,50.47
2007-03-02,45,46.23
2007-03-09,49,46.02
2007-03-16,45,44.22
2007-03-23,40,45.02
2007-03-30,37,44.85
2007-04-13,51,44.34
2007-04-20,45,45.91
2007-04-27,52,47.51
2007-05-04,32,45.25
2007-05-11,59,40.97
2007-05-18,30,39.74
2007-05-25,48,40.43
2007-06-01,49,41.67
2007-06-08,52,39.32
2007-06-15,37,39.66
2007-06-22,44,38.3
2007-06-29,40,38.3
2007-07-06,38,38.06
2007-07-13,61,40.5
2007-07-20,48,39.32
2007-07-27,48,36
2007-08-03,50,40.31
2007-08-10,49,42.27
2007-08-17,46,44.3
2007-08-24,43,44.54
2007-08-31,45,44.26
2007-09-07,47,43.13
2007-09-14,59,43.38
2007-09-21,39,45.03
2007-09-28,38,48.96
2007-10-05,35,53.2
2007-10-12,48,51.5
2007-10-19,44,47.25
2007-10-26,37,47.7
2007-11-02,51,48.91
2007-11-09,35,43.38
2007-11-16,44,45.31
2007-11-23,45,40.75
2007-11-30,40,43.01
2007-12-07,52,43.05
2007-12-14,39,40.58
2007-12-21,43,42.58
2007-12-28,35,41.6
2008-01-04,24,37.92
2008-01-11,51,37.5
2008-01-18,46,35.08
2008-01-25,45,37.55
2008-02-01,41,40.76
2008-02-08,42,39.38
2008-02-15,44,39.12
2008-02-22,45,36.76
2008-02-29,46,35.15
2008-03-07,53,34.07
2008-03-14,46,31.17
2008-03-28,42,32.48
2008-04-04,42,33.89
2008-04-11,45,32.04
2008-04-18,38,32.95
2008-04-25,43,31.19
2008-05-02,34,34.98
2008-05-09,47,32.78
2008-05-16,39,29.06
2008-05-23,39,27.62
2008-05-30,40,29
2008-06-06,43,28.5
2008-06-13,38,27.16
2008-06-20,45,26.32
2008-06-27,42,24.65
2008-07-11,35,21.04
2008-07-18,43,21.38
2008-07-25,45,22.52
2008-08-01,52,21.42
2008-08-08,45,18.65
2008-08-15,39,19.69
2008-08-22,53,18.44
2008-08-29,38,18.31
2008-09-05,40,18.12
2008-09-12,41,18.43
2008-09-19,47,20.79
2008-09-26,49,20.64
2008-10-03,29,18
2008-10-10,39,14.83
2008-10-17,43,13.98
2008-10-24,42,10.74
2008-10-31,49,10.72
2008-11-07,38,10.05
2008-11-14,45,9.38
2008-11-21,56,8.19
2008-11-28,41,10.58
2008-12-05,41,10.6
2008-12-12,39,10.35
2008-12-19,42,9.96
2008-12-26,35,8.89
2009-01-02,35,9.89
2009-01-09,45,12.57
2009-01-16,34,12.16
2009-01-23,51,11.37
2009-01-30,41,10.25
2009-02-06,43,10.88
2009-02-13,43,9.97
2009-02-20,35,12.84
2009-02-27,43,12.15
2009-03-06,41,12.08
2009-03-13,41,14.38
2009-03-20,34,15.37
2009-03-27,46,17.97
2009-04-03,33,18.64
2009-04-17,39,18.48
2009-04-24,44,19.74
2009-05-01,41,20.93
2009-05-08,46,22.17
2009-05-15,35,19.61
2009-05-22,43,18.9
2009-05-29,41,18.87
2009-06-05,40,21.16
2009-06-12,38,20.44
2009-06-19,46,19.27
2009-06-26,34,19.2
2009-07-10,35,19.25
2009-07-17,43,21.87
2009-07-24,48,23.73
2009-07-31,33,24.19
2009-08-07,45,28.42
2009-08-14,42,28.1
2009-08-21,42,28.78
2009-08-28,45,29.11
2009-09-04,38,27.65
2009-09-11,38,28.43
2009-09-18,42,28.6
2009-09-25,35,28.77
2009-10-02,32,29.21
2009-10-09,39,31.67
2009-10-16,34,33.74
2009-10-23,43,33.36
2009-10-30,43,32.06
2009-11-06,36,28.25
2009-11-13,37,27.49
2009-11-20,37,26.36
2009-11-27,41,25.9
2009-12-04,41,26.2
2009-12-11,33,26.67
2009-12-18,29,26.99
2010-01-08,44,27.96
2010-01-15,37,27.95
2010-01-22,39,28.45
2010-01-29,40,27.22
2010-02-05,35,27.38
2010-02-12,38,29.75
2010-02-19,47,33.66
2010-02-26,39,35.49
2010-03-05,36,36.11
2010-03-12,37,36.3
2010-03-19,33,35.83
2010-03-26,37,35.41
2010-04-09,39,38.8
2010-04-16,37,39.11
2010-04-23,40,40.2
2010-04-30,41,39.02
2010-05-07,32,36.68
2010-05-14,37,40.83
2010-05-21,32,39.24
2010-05-28,37,40.43
2010-06-04,35,38.61
2010-06-11,33,39.38
2010-06-18,38,40.36
2010-06-25,37,38.69
2010-07-02,33,35.02
2010-07-09,40,36.66
2010-07-16,38,37.21
2010-07-23,37,38.77
2010-07-30,37,37.97
2010-08-06,35,36.48
2010-08-13,40,36.42
2010-08-20,37,36.72
2010-08-27,37,35.7
2010-09-03,38,36.66
2010-09-10,33,35.47
2010-09-17,35,37.09
2010-09-24,38,37.07
2010-10-01,37,37.07
2010-10-08,32,34.57
2010-10-15,36,38.3
2010-10-22,32,39.89
2010-10-29,32,39.75
2010-11-05,39,45.49
2010-11-12,39,46.86
2010-11-19,37,45.71
2010-11-26,41,47.01
2010-12-03,37,48.87
2010-12-10,36,49.49
2010-12-17,39,50.46
2010-12-31,31,50.59
2011-01-07,34,48.6
2011-01-14,39,53.03
2011-01-21,33,51.83
2011-01-28,38,50.44
2011-02-04,34,53
2011-02-11,39,59.67
2011-02-18,41,60.03
2011-02-25,34,57.88
2011-03-04,33,59.05
2011-03-11,36,58.89
2011-03-18,36,60.44
2011-03-25,34,63.96
2011-04-01,38,66.73
2011-04-08,43,62.9
2011-04-15,38,64.71
2011-04-29,35,62.76
2011-05-06,39,61.57
2011-05-13,43,62.49
2011-05-20,39,60.84
2011-05-27,40,60.57
2011-06-03,41,57.15
2011-06-10,37,54.23
2011-06-17,31,55.69
2011-06-24,44,60.52
2011-07-01,39,64.41
2011-07-08,48,64.36
2011-07-15,39,64.52
2011-07-22,43,66.13
2011-07-29,49,66.7
2011-08-05,38,58.61
2011-08-12,49,58.29
2011-08-19,43,56.83
2011-08-26,36,61.08
2011-09-02,38,63.11
2011-09-09,38,64.48
2011-09-16,43,69.05
2011-09-23,44,68.2
2011-09-30,45,65.31
2011-10-07,40,66.8
2011-10-14,42,69.12
2011-10-21,42,72
2011-10-28,48,73.65
2011-11-04,49,68.67
2011-11-11,39,68.7
2011-11-18,40,65.42
2011-11-25,39,63.55
2011-12-02,40,68.37
2011-12-09,39,69.11
2011-12-16,38,66.16
2011-12-23,34,68.74
2011-12-30,33,69.58
2012-01-06,40,72.88
2012-01-13,43,73.69
2012-01-20,41,76.3
2012-01-27,38,74.89
2012-02-03,43,76.25
2012-02-10,51,81.62
2012-02-17,40,81.2
2012-02-24,47,81.1
2012-03-02,43,82.81
2012-03-09,41,83.87
2012-03-16,43,85.15
2012-03-23,40,83.45
2012-03-30,38,83.2
2012-04-13,42,85.31
2012-04-20,42,84.66
2012-04-27,38,83.49
2012-05-04,51,89.96
2012-05-11,39,88.54
2012-05-18,47,83.05
2012-05-25,49,87.27
2012-06-01,45,85.68
2012-06-08,39,90.93
2012-06-15,43,94.47
2012-06-22,40,96.27
2012-06-29,46,95.32
2012-07-06,40,95.08
2012-07-13,38,94.77
2012-07-20,49,84.03
2012-07-27,55,92.55
2012-08-03,40,94.6
2012-08-10,44,93.96
2012-08-17,37,95.73
2012-08-24,39,97.03
2012-08-31,40,96.75
2012-09-07,35,97.7
2012-09-14,46,97.76
2012-09-21,45,99.75
2012-09-28,46,97.4
2012-10-05,42,101.19
2012-10-12,44,96.4
2012-10-19,40,96.65
2012-10-26,40,94.21
2012-11-02,39,97.15
2012-11-09,50,91.57
2012-11-16,44,90.54
2012-11-23,43,95.06
2012-11-30,48,93.36
2012-12-07,44,90.59
2012-12-14,38,88.54
2012-12-21,40,91.18
2012-12-28,28,89.2
2013-01-04,38,91.22
2013-01-11,45,88.66
2013-01-18,46,90.54
2013-01-25,43,95.65
2013-02-01,44,96.22
2013-02-08,47,94.59
2013-02-15,60,88.12
2013-02-22,48,85.83
2013-03-01,46,85.79
2013-03-08,48,85
2013-03-15,47,87.06
2013-03-22,46,87.78
2013-04-05,41,83.02
2013-04-12,45,88.01
2013-04-19,44,86.07
2013-04-26,44,88.61
2013-05-03,46,91.46
2013-05-10,61,100.89
2013-05-17,49,103.77
2013-05-24,47,104.8
2013-05-31,60,51.86
2013-06-07,55,51.51
2013-06-14,55,51.38
2013-06-21,52,51.14
2013-06-28,51,51.48
2013-07-05,45,53.23
2013-07-12,48,56.23
2013-07-19,50,55.93
2013-07-26,45,55.97
2013-08-02,58,54.85
2013-08-09,44,55.42
2013-08-16,42,52.96
2013-08-23,47,52.88
2013-08-30,49,52.75
2013-09-06,45,54.52
2013-09-13,44,57.11
2013-09-20,41,57.85
2013-09-27,47,58.33
2013-10-04,48,59.55
2013-10-11,48,61.18
2013-10-18,54,63.85
2013-10-25,50,65.24
2013-11-01,48,63.3
2013-11-08,62,58.55
2013-11-15,54,58.84
2013-11-22,55,55.95
2013-11-29,49,56.6
2013-12-06,48,56.26
2013-12-13,45,56.01
2013-12-20,47,59.27
