"Date","FSLR","Price"
2006-11-17,8,24.74
2006-11-24,8,27.75
2006-12-01,9,27.89
2007-02-16,9,45.26
2007-02-23,9,49.43
2007-03-02,12,46.27
2007-03-09,15,52.06
2007-03-16,19,51.52
2007-03-23,11,58.25
2007-03-30,17,52.01
2007-04-13,15,61.26
2007-04-20,12,60.91
2007-04-27,14,63.64
2007-05-04,24,66.7
2007-05-11,13,67.87
2007-05-18,19,63.42
2007-05-25,15,66.72
2007-06-01,6,68.17
2007-06-08,13,71.22
2007-06-15,11,78.1
2007-06-22,13,84.64
2007-06-29,17,89.29
2007-07-06,11,96.29
2007-07-13,44,115.97
2007-07-20,19,110.14
2007-07-27,18,110.69
2007-08-03,21,100.05
2007-08-10,20,94.42
2007-08-17,19,85.21
2007-08-24,16,97.55
2007-08-31,20,103.74
2007-09-07,15,99.94
2007-09-14,12,98.33
2007-09-21,19,112.55
2007-09-28,18,117.74
2007-10-05,18,137.03
2007-10-12,20,135.72
2007-10-19,24,133.24
2007-10-26,26,150.44
2007-11-02,29,146.56
2007-11-09,100,206.85
2007-11-16,60,212.63
2007-11-23,43,210.13
2007-11-30,49,237.15
2007-12-07,56,235.47
2007-12-14,44,251.69
2007-12-21,65,266.4
2007-12-28,59,266.04
2008-01-04,50,245.58
2008-01-11,48,221
2008-01-18,53,175.88
2008-01-25,45,171.28
2008-02-01,45,185.94
2008-02-08,37,173.19
2008-02-15,89,219.39
2008-02-22,42,211.74
2008-02-29,40,205.15
2008-03-07,33,196.82
2008-03-14,34,200.84
2008-03-28,37,228.68
2008-04-04,58,278
2008-04-11,58,268.3
2008-04-18,57,285.79
2008-04-25,60,288.24
2008-05-02,87,276.24
2008-05-09,52,284.5
2008-05-16,52,311.14
2008-05-23,66,278.48
2008-05-30,54,267.54
2008-06-06,54,251.69
2008-06-13,48,274.39
2008-06-20,36,268.22
2008-06-27,42,266.25
2008-07-11,43,279.1
2008-07-18,35,279.27
2008-07-25,37,262.46
2008-08-01,53,280.74
2008-08-08,39,257.87
2008-08-15,33,264.92
2008-08-22,35,282.82
2008-08-29,32,276.65
2008-09-05,29,236.01
2008-09-12,36,214.65
2008-09-19,31,241.9
2008-09-26,40,207.13
2008-10-03,37,163.19
2008-10-10,42,117.45
2008-10-17,39,135
2008-10-24,34,120.53
2008-10-31,55,143.7
2008-11-07,53,149.67
2008-11-14,38,116.78
2008-11-21,39,92.81
2008-11-28,31,124.84
2008-12-05,29,128.54
2008-12-12,27,116.92
2008-12-19,35,140.68
2008-12-26,15,135.01
2009-01-02,23,151.5
2009-01-09,31,162.54
2009-01-16,29,145.42
2009-01-23,17,137.51
2009-01-30,20,142.8
2009-02-06,19,146.3
2009-02-13,18,144.45
2009-02-20,17,134.01
2009-02-27,52,105.74
2009-03-06,29,108.49
2009-03-13,25,129.55
2009-03-20,33,120.37
2009-03-27,28,147.36
2009-04-03,21,134.38
2009-04-17,20,143.8
2009-04-24,19,147.46
2009-05-01,43,180.89
2009-05-08,28,191.05
2009-05-15,21,177.43
2009-05-22,21,191.72
2009-05-29,23,190.29
2009-06-05,22,182.1
2009-06-12,23,183.8
2009-06-19,16,173.46
2009-06-26,18,160.72
2009-07-10,18,143.1
2009-07-17,17,144.55
2009-07-24,20,169.43
2009-07-31,44,154.39
2009-08-07,28,146.47
2009-08-14,22,141.78
2009-08-21,29,121.54
2009-08-28,27,124.21
2009-09-04,20,121.47
2009-09-11,26,136.75
2009-09-18,32,156.15
2009-09-25,24,152.87
2009-10-02,19,150
2009-10-09,17,156.69
2009-10-16,19,147.54
2009-10-23,14,152.39
2009-10-30,33,121.93
2009-11-06,19,117.93
2009-11-13,18,118.3
2009-11-20,15,121.18
2009-11-27,12,120.3
2009-12-04,15,129.62
2009-12-11,15,133.1
2009-12-18,17,135.67
2010-01-08,14,139.68
2010-01-15,14,124.07
2010-01-22,14,112.39
2010-01-29,14,113.3
2010-02-05,12,114.19
2010-02-12,13,115.1
2010-02-19,21,116
2010-02-26,24,105.75
2010-03-05,13,108.62
2010-03-12,14,115.53
2010-03-19,12,113.3
2010-03-26,15,116.5
2010-04-09,16,124.09
2010-04-16,19,134.32
2010-04-23,10,133.87
2010-04-30,22,143.98
2010-05-07,17,122.55
2010-05-14,13,120.31
2010-05-21,13,113.95
2010-05-28,11,112.36
2010-06-04,7,109.84
2010-06-11,12,107.27
2010-06-18,13,123.68
2010-06-25,13,119.26
2010-07-02,10,120.52
2010-07-09,12,132.13
2010-07-16,9,128.92
2010-07-23,12,139.99
2010-07-30,15,125.45
2010-08-06,14,129.34
2010-08-13,7,124.52
2010-08-20,6,125.03
2010-08-27,6,128.88
2010-09-03,6,136.45
2010-09-10,5,138.41
2010-09-17,10,144.88
2010-09-24,6,147.09
2010-10-01,7,147.23
2010-10-08,7,137.62
2010-10-15,10,144.56
2010-10-22,10,145.55
2010-10-29,14,137.68
2010-11-05,9,138.83
2010-11-12,5,138.39
2010-11-19,8,126.75
2010-11-26,5,126.22
2010-12-03,8,131.04
2010-12-10,6,138.2
2010-12-17,8,133.25
2010-12-31,8,130.14
2011-01-07,6,133.58
2011-01-14,5,140.84
2011-01-21,8,147.41
2011-01-28,8,147.49
2011-02-04,10,157.94
2011-02-11,9,166.11
2011-02-18,8,168.22
2011-02-25,11,155.72
2011-03-04,11,146.57
2011-03-11,8,139.74
2011-03-18,13,149.66
2011-03-25,9,150.44
2011-04-01,9,160.4
2011-04-08,8,147.32
