"Date","buy.AFL","Price"
2008-04-18,36,67.88
2008-04-25,39,67.72
2008-05-02,42,67.14
2008-07-25,38,54.9
2008-09-12,36,58.6
2008-09-19,33,63.58
2008-09-26,33,59.88
2009-02-27,28,16.76
2009-03-06,29,13.44
2009-03-13,29,14.58
2009-03-20,29,18.38
2009-03-27,30,19.81
2009-04-03,30,21.05
2009-04-17,31,28.7
2009-04-24,27,28.62
2009-05-01,30,29.32
2009-05-08,32,37.66
2009-05-15,35,32.14
2009-05-22,37,34.48
2009-05-29,40,35.5
2009-07-17,35,31.5
2009-07-24,33,35.87
2009-07-31,33,37.86
2009-08-07,27,41.7
2009-08-14,32,42.06
2009-08-21,37,41.87
2009-08-28,43,40.7
2009-09-04,48,38.2
2009-09-11,30,40.86
2009-09-18,47,42.75
2009-09-25,64,40.69
2009-12-18,26,46.16
2010-03-26,40,53.47
2010-04-09,33,55.76
2010-04-16,25,54.42
2010-04-23,31,55.47
2010-04-30,25,50.96
2010-05-07,21,44.27
2010-05-14,39,45.9
2010-05-21,34,43.39
2010-05-28,26,44.3
2010-06-04,28,41.33
2010-06-11,23,42.79
2010-06-18,28,44.4
2010-06-25,29,43.59
2010-07-02,30,43.12
2010-07-09,31,48.08
2010-07-16,32,46.26
2010-07-23,24,50.51
2010-07-30,26,49.19
2010-08-06,25,50.75
2010-08-13,36,47.76
2010-08-20,36,46.63
2010-08-27,31,47.82
2010-09-03,45,50.94
2010-09-10,32,50.77
2010-09-17,46,51.78
2010-09-24,100,52.35
2010-10-01,67,52.06
2010-10-08,42,54.35
2011-01-07,21,55.85
2011-01-14,19,57.67
2011-01-21,19,58.11
2011-01-28,19,56.99
2011-02-04,20,57.47
2011-02-11,21,57.22
2011-02-18,23,59.08
2011-02-25,22,57.84
2011-03-04,22,57.42
2011-03-11,19,55.55
2011-03-18,25,50.67
2011-03-25,34,52.65
2011-04-01,31,53.5
2011-04-08,38,53.66
2011-04-15,39,52.25
2011-04-29,43,56.19
2011-05-06,47,55.09
2011-05-13,31,54.02
2011-05-20,25,49.57
2011-05-27,33,48
2011-06-03,46,46.47
2011-06-10,29,44.86
2011-06-17,31,45.02
2011-06-24,26,44.3
2011-07-01,39,47.43
2011-07-08,32,46.51
2011-07-15,28,45.35
2011-07-22,44,46.21
2011-07-29,33,46.06
2011-08-05,30,41.72
2011-08-12,37,37.35
2011-08-19,32,34.61
2011-08-26,19,35.54
2011-09-02,39,34.99
2011-09-09,34,33.83
2011-09-16,41,36.33
2011-09-23,32,31.46
2011-09-30,51,34.95
2011-10-07,25,36.63
2011-10-14,17,41.3
2011-10-21,19,42.72
2011-10-28,13,46.74
2011-11-04,13,45.29
2011-11-11,13,44.87
2011-11-18,13,41.98
2011-12-30,15,43.26
2012-01-06,13,44.24
2012-01-13,15,43.18
2012-01-20,17,47.91
2012-01-27,19,49.04
2012-02-03,20,49.98
2012-02-10,21,48.33
2012-02-17,15,48.01
2012-02-24,15,46.9
2012-03-02,15,47.08
2012-03-09,30,45.16
2012-03-16,18,46.87
2012-03-23,21,45.72
2012-03-30,41,45.99
2012-04-13,35,42.88
2012-04-20,30,41.62
2012-04-27,31,45.17
2012-05-04,31,43.48
2012-05-11,36,43.36
2012-05-18,39,39.07
2012-05-25,34,39.22
2012-06-01,50,38.65
2012-06-08,38,40.64
2012-06-15,28,41.98
2012-06-22,40,41.11
2012-06-29,41,42.59
2012-07-06,33,42.63
2012-07-13,37,43.6
2012-07-20,43,43.28
2012-07-27,39,43.49
2012-08-03,34,44.58
2012-08-10,37,45.86
2012-08-17,54,46.12
2012-08-24,41,46.18
2012-08-31,39,46.18
2012-09-07,44,48.29
2012-09-14,37,49.66
2012-09-21,50,48.18
2012-09-28,55,47.88
2012-10-05,19,48.61
2012-10-12,22,48.14
2012-10-19,19,49.69
2012-10-26,19,49.58
2012-11-02,19,50.63
2012-11-09,19,49.62
2012-11-16,12,50.41
2012-11-23,12,51.89
2012-11-30,14,52.99
2012-12-07,18,53.58
2012-12-14,16,53.23
2012-12-21,14,53.81
2012-12-28,13,52.25
2013-01-04,14,52.04
2013-01-11,15,52.93
2013-01-18,17,51.47
2013-01-25,19,53.48
2013-02-01,21,53.06
2013-02-08,23,50.35
2013-02-15,17,49.34
2013-02-22,20,50.07
2013-03-01,11,50.19
2013-03-08,14,50.14
2013-03-15,15,51.08
2013-03-22,33,51.85
2013-04-05,29,49.49
2013-04-12,44,50.11
2013-04-19,49,49.39
2013-04-26,39,53.2
2013-05-03,39,55.36
2013-05-10,35,53.95
2013-05-17,40,55.24
2013-05-24,39,54.95
2013-05-31,44,55.69
2013-06-07,37,57.03
2013-06-14,28,57.51
2013-06-21,32,56.66
2013-06-28,40,58.12
2013-07-05,32,57.16
2013-07-12,32,59.14
2013-07-19,21,59.39
2013-07-26,34,61.09
2013-08-02,44,62.26
2013-08-09,34,61.52
2013-08-16,25,60.54
2013-08-23,36,59.83
2013-08-30,44,57.79
2013-09-06,36,58.38
2013-09-13,42,61.04
2013-09-20,53,62.32
2013-09-27,52,62.21
2013-10-04,22,63.73
2013-10-11,19,64.48
2013-10-18,15,65.78
2013-10-25,14,66.3
2013-11-01,11,65.1
2013-11-08,9,65.75
2013-11-15,9,67.48
2013-11-22,11,66.57
2013-11-29,9,66.37
2013-12-06,15,66.64
2013-12-13,21,65.96
2013-12-20,21,65.65
2013-12-27,19,67.25
2014-01-03,13,66.15
2014-01-10,13,65.17
2014-01-17,12,64.71
2014-01-24,12,62.29
2014-01-31,12,62.78
2014-02-07,18,62.68
2014-02-14,17,63.13
2014-02-21,23,62.32
2014-02-28,21,64.08
2014-03-07,20,65.61
2014-03-14,27,64.11
2014-03-21,27,62.98
2014-03-28,29,62.66
2014-04-04,34,63.28
2014-04-11,29,60.83
2014-04-25,43,61.84
