"Date","Waters.Corporation","Price"
2006-05-19,100,43.1
2006-11-03,90,49.45
2007-01-12,62,54.71
2007-03-16,81,56.1
2007-08-24,49,62.92
2007-11-23,43,77.35
2007-11-30,41,78.04
2007-12-07,41,79.22
2007-12-14,41,80.07
2008-04-11,37,56.63
2008-09-12,37,62.28
2008-09-19,45,57.65
2008-09-26,53,59.65
2008-10-03,49,54.06
2008-10-10,49,45.69
2008-10-17,34,45.87
2008-10-24,34,41.58
2008-10-31,34,43.8
2008-11-07,34,43.01
2008-11-14,34,39.14
2008-11-21,49,36.85
2008-11-28,31,41.23
2008-12-05,31,40.46
2008-12-12,44,37.21
2008-12-19,38,36.88
2008-12-26,38,36.1
2009-01-02,38,38.09
2009-01-09,38,35.67
2009-01-16,38,38.67
2009-01-23,41,36.51
2009-01-30,34,36.17
2009-02-06,34,41.76
2009-02-13,31,40.91
2009-02-20,31,37.36
2009-02-27,31,35.22
2009-03-06,31,33.24
2009-03-13,35,31.62
2009-03-20,39,31.99
2009-03-27,35,37.31
2009-04-03,36,39.1
2009-04-17,31,39.46
2009-04-24,27,37.52
2009-05-01,39,44.46
2009-05-08,30,44.45
2009-05-15,35,43.48
2009-05-22,32,43.19
2009-05-29,33,43.32
2009-06-05,34,46.69
2009-06-12,34,48.34
2009-06-19,29,49.07
2009-06-26,32,50.98
2009-07-10,38,48.94
2009-07-17,36,50.28
2009-07-24,36,51.86
2009-07-31,30,50.25
2009-08-07,30,51.28
2009-08-14,30,51.31
2009-08-21,43,51.8
2009-08-28,28,50.96
2009-09-04,28,50.76
2009-09-11,32,54.61
2009-09-18,36,55.32
2009-09-25,39,54.77
2009-10-02,39,53.9
2009-10-09,27,57.75
2009-10-16,29,57.47
2009-10-23,35,56.99
2009-10-30,35,57.43
2009-11-06,35,59.23
2009-11-13,37,60.72
2009-11-20,28,59.04
2009-11-27,31,59.02
2009-12-04,34,59.43
2009-12-11,37,61.21
2009-12-18,30,60.22
2010-01-08,36,61.21
2010-01-15,35,60.76
2010-01-22,28,59.49
2010-01-29,30,56.98
2010-02-05,41,57.47
2010-02-12,23,58.26
2010-02-19,29,58.78
2010-02-26,35,59.66
2010-03-05,27,64.21
2010-03-12,33,64.84
2010-03-19,23,65.06
2010-03-26,25,66.79
2010-04-09,37,69.23
2010-04-16,42,70.48
2010-04-23,35,70.03
2010-04-30,28,71.99
2010-05-07,34,66.11
2010-05-14,26,68.18
2010-05-21,47,65.5
2010-05-28,33,68.44
2010-06-04,28,66.54
2010-06-11,28,68.91
2010-06-18,39,71.71
2010-06-25,24,69.15
2010-07-02,21,63.11
2010-07-09,21,64.4
2010-07-16,21,63.02
2010-07-23,21,64.59
2010-07-30,37,64.16
2010-08-06,25,66.42
2010-08-13,31,62.39
2010-08-20,33,62.68
2010-08-27,36,62.15
2010-09-03,27,64.78
2010-09-10,27,65.97
2010-09-17,32,68.93
2010-09-24,22,71.49
2010-10-01,22,70.89
2010-10-08,18,70.79
2010-10-15,20,72.06
2010-10-22,20,72.53
2010-10-29,23,74.13
2010-11-05,27,77.88
2010-11-12,21,76.45
2010-11-19,21,78.73
2010-11-26,23,78.01
2010-12-03,24,79.4
2010-12-10,22,80.33
2010-12-17,21,80.17
2010-12-31,21,77.71
2011-01-07,21,75.21
2011-01-14,26,76.44
2011-01-21,29,76.25
2011-01-28,31,76.06
2011-02-04,31,75.37
2011-02-11,35,79.87
2011-02-18,24,83.38
2011-02-25,24,82.44
2011-03-04,22,87
2011-03-11,22,85.37
2011-03-18,27,83.57
2011-03-25,26,85.5
2011-04-01,29,87.93
2011-04-08,18,87.65
2011-04-15,22,87.81
2011-04-29,33,98
2011-05-06,24,96.87
2011-05-13,21,97.7
2011-05-20,36,98.73
2011-05-27,21,97.8
2011-06-03,22,94.01
2011-06-10,29,92.25
2011-06-17,41,92.09
2011-06-24,17,91.48
2011-07-01,16,97.63
2011-07-08,21,98.55
2011-07-15,21,93.69
2011-07-22,17,98.06
2011-07-29,25,87.89
2011-08-05,27,78.01
2011-08-12,27,78.89
2011-08-19,28,72.38
2011-08-26,24,78.34
