"Date","CTXS","Price"
2006-02-03,54,30.63
2006-04-21,75,40.59
2006-04-28,78,39.92
2006-05-05,82,43.61
2006-05-12,85,41
2006-05-19,57,39.95
2006-05-26,58,38.59
2006-06-02,60,37.52
2006-06-09,61,35.67
2006-06-16,62,36.89
2006-06-23,63,37.48
2006-06-30,52,40.1
2006-07-07,52,37.76
2006-07-14,59,34.7
2006-07-21,83,31
2006-07-28,44,31.61
2006-08-04,44,30.33
2006-08-11,57,28.47
2006-09-22,50,35.62
2006-09-29,43,36.21
2006-10-06,43,34.77
2006-10-13,50,34.89
2006-10-20,100,28.42
2006-10-27,78,29.25
2006-11-03,52,29.02
2006-11-10,39,29.17
2006-11-17,45,30.44
2006-11-24,41,30.68
2006-12-01,41,29
2007-01-12,36,30.44
2007-01-19,38,28.8
2007-01-26,96,31.1
2007-02-02,34,31.9
2007-02-09,37,31.45
2007-02-16,38,31.43
2007-02-23,38,33.06
2007-03-02,56,31.26
2007-03-09,33,32
2007-03-16,30,31.18
2007-03-23,33,32.48
2007-03-30,45,32.03
2007-04-13,38,33.66
2007-04-20,38,34.24
2007-04-27,32,33.24
2007-05-04,42,31.9
2007-05-11,35,31.65
2007-05-18,30,30.72
2007-05-25,31,32.87
2007-06-01,32,33.79
2007-06-08,33,33.62
2007-06-15,40,34.29
2007-06-22,30,33.45
2007-06-29,38,33.67
2007-07-06,36,33.98
2007-07-13,38,34.42
2007-07-20,61,37.4
2007-07-27,46,35.91
2007-08-03,33,35.74
2007-08-10,44,33.77
2007-08-17,54,32.69
2007-08-24,57,36.1
2007-08-31,39,36.35
2007-09-07,44,35.37
2007-09-14,49,37.92
2007-09-21,32,38.82
2007-09-28,46,40.32
2007-10-05,34,40.39
2007-10-12,38,42.1
2007-10-19,55,39.65
2007-10-26,45,42.06
2007-11-02,37,43.11
2007-11-09,47,41.79
2007-11-16,43,37.82
2007-11-23,33,36.69
2007-11-30,39,36.98
2007-12-07,49,38.7
2007-12-14,26,38.15
2007-12-21,33,37.85
2007-12-28,28,37.9
2008-01-04,28,37.38
2008-01-11,28,34.59
2008-01-18,37,33.69
2008-01-25,41,33.61
2008-02-01,27,34.71
2008-02-08,34,34.5
2008-02-15,52,35.87
2008-02-22,28,34.57
2008-02-29,28,32.93
2008-03-07,30,32.73
2008-03-14,31,30.8
2008-03-28,20,30.56
2008-04-04,20,31.75
2008-04-11,29,31.89
2008-04-18,31,32.27
