"Date","buy.CAM","Price"
2004-02-06,69,41.45
2004-02-13,72,44.15
2004-02-20,64,43.58
2004-02-27,65,44.22
2004-03-05,66,45.72
2004-03-12,67,45.63
2004-03-19,68,45.41
2004-03-26,71,43.9
2004-04-02,75,43.91
2004-04-16,57,47.24
2004-04-23,57,47.5
2004-04-30,57,48.35
2004-05-07,57,47.04
2004-05-14,57,45.85
2004-07-02,77,48.74
2004-07-09,81,48.94
2004-07-16,85,51.65
2004-07-23,88,49.71
2004-07-30,91,51.09
2004-08-06,75,47.74
2004-08-13,75,47.7
2004-08-20,75,49.23
2004-08-27,65,50.83
2004-09-03,65,52.05
2004-09-10,61,52.63
2004-09-17,61,53.16
2004-09-24,50,53.99
2004-10-01,61,55.98
2004-10-08,71,54.62
2004-10-15,66,53.08
2004-10-22,61,52.14
2004-10-29,61,48.35
2004-11-05,48,49.49
2004-11-12,48,50.52
2004-11-19,48,50.65
2004-11-26,48,52.71
2004-12-03,100,50.5
2004-12-10,55,50.74
2004-12-17,47,53.25
2004-12-31,70,53.81
2005-01-07,69,51.53
2005-01-14,64,55.35
2005-01-21,58,55.66
2005-01-28,58,55.68
2005-02-04,74,58.49
2005-02-11,72,58.02
2005-02-18,45,56.47
2005-02-25,43,58.48
2005-03-04,62,59.5
2005-03-11,59,54.52
2005-03-18,55,54.85
2005-05-06,64,57.82
2005-05-13,44,55.39
2005-05-20,68,58.11
2005-05-27,54,59.31
2005-06-03,65,60.03
2005-06-10,48,61.81
2005-06-17,49,63.11
2005-06-24,43,63.04
2005-07-01,50,62.5
2005-07-08,58,64.59
2005-07-15,73,63.37
2005-07-22,61,69.51
2005-07-29,70,70.98
2005-08-05,78,71.63
2005-08-12,86,72.34
2005-08-19,41,69.93
2005-08-26,49,69.29
2005-09-02,57,72.61
2005-09-09,59,73.39
2005-09-16,56,72.05
2005-09-23,47,71.63
2005-09-30,38,73.93
2005-10-07,39,69.95
2005-10-14,55,69.48
2005-10-21,31,66.78
2005-10-28,50,71.4
2005-11-04,44,73.83
2005-11-11,46,73.87
