"Date","CSX","Price"
2004-02-06,62,31.4
2004-02-13,67,31.6
2004-02-20,44,31.28
2004-02-27,50,31.53
2004-03-05,46,31.15
2004-03-12,55,30.62
2004-03-19,61,30
2004-03-26,56,29.86
2004-04-02,59,30.4
2004-04-16,43,29.71
2004-04-23,43,31.3
2004-04-30,49,30.76
2004-05-07,50,30.31
2004-05-14,41,31.03
2004-05-21,47,30.5
2004-05-28,54,31.6
2004-06-04,50,32.24
2004-06-18,41,31.61
2004-06-25,50,32.72
2004-07-02,42,31.78
2004-07-09,50,31.37
2004-07-16,60,30.81
2004-07-23,47,30.18
2004-07-30,44,31.3
2004-08-06,53,30.19
2004-08-13,52,30.35
2004-08-20,64,31.74
2004-08-27,37,31.8
2004-09-03,46,32.19
2004-09-10,49,33.25
2004-09-17,37,33.68
2004-09-24,54,34.1
2004-10-01,46,33.8
2004-10-08,45,35.31
2004-10-15,53,34.74
2004-10-22,52,34.38
2004-10-29,55,36.5
2004-11-05,45,36.87
2004-11-12,37,37.95
2004-11-19,44,37.55
2004-11-26,36,37.99
2004-12-03,51,38.38
2004-12-10,51,38.1
2004-12-17,45,39.22
2004-12-31,43,40.08
2005-01-07,52,38.85
2005-01-14,42,38.44
2005-01-21,49,37.32
2005-01-28,45,39.06
2005-02-04,47,39.45
2005-02-11,49,39.85
2005-02-18,50,40.28
2005-02-25,37,41.91
2005-03-04,45,43.02
2005-03-11,44,42.5
2005-03-18,44,42.66
2005-04-01,42,41.81
2005-04-08,50,41.54
2005-04-15,45,38.22
2005-04-22,50,39.59
2005-04-29,45,40.13
2005-05-06,48,41.35
2005-05-13,30,39.89
2005-05-20,45,42.08
2005-05-27,46,41.56
2005-06-03,36,42.07
2005-06-10,46,41.48
2005-06-17,50,44.1
2005-06-24,58,42.04
2005-07-01,40,42.92
2005-07-08,42,43.99
2005-07-15,45,44.85
2005-07-22,45,45.55
2005-07-29,48,45.54
2005-08-05,40,44.8
2005-08-12,47,44.69
2005-08-19,55,44.9
2005-08-26,39,45.97
2005-09-02,46,44.02
2005-09-09,50,45.15
2005-09-16,47,44.99
2005-09-23,54,44.55
2005-09-30,44,46.48
2005-10-07,52,45.1
2005-10-14,54,43.67
2005-10-21,54,43.21
2005-10-28,70,44.59
2005-11-04,58,46.53
2005-11-11,64,46.94
2005-11-18,83,48.63
2005-11-25,100,48.91
2005-12-02,71,48.85
2005-12-09,62,49.05
2005-12-16,60,49.34
2005-12-23,45,51.04
2005-12-30,51,50.77
2006-01-06,49,49.21
2006-01-13,46,50.78
2006-01-20,48,51.61
2006-01-27,62,53.62
2006-02-03,61,51.85
2006-02-10,61,52.74
2006-02-17,46,54.43
2006-02-24,75,55.36
2006-03-03,65,56.36
2006-03-10,47,55.24
2006-03-17,54,59.46
2006-03-24,52,59.01
2006-03-31,58,59.8
2006-04-07,55,63.4
2006-04-21,63,68.08
2006-04-28,58,68.49
2006-05-05,61,74.19
2006-05-12,58,70.72
2006-05-19,57,67.2
2006-05-26,52,67.33
2006-06-02,55,68.6
2006-06-09,58,61.9
2006-06-16,46,64.35
2006-06-23,52,65.46
2006-06-30,59,70.44
2006-07-07,43,67.33
2006-07-14,48,64.48
2006-07-21,64,61.94
2006-07-28,64,60.44
2006-08-04,65,61.94
2006-08-11,59,58.93
2006-08-18,67,30.91
2006-08-25,51,29.69
2006-09-01,53,30.39
2006-09-08,51,30.3
2006-09-15,53,31.61
2006-09-22,50,30.57
2006-09-29,50,32.83
2006-10-06,49,33.71
2006-10-13,64,34.77
2006-10-20,56,35.99
2006-10-27,57,36.44
2006-11-03,51,35.73
2006-11-10,61,36.79
2006-11-17,54,36.38
2006-11-24,47,36.22
2006-12-01,63,36.06
2006-12-08,61,36.77
2006-12-15,52,35.42
2006-12-22,51,33.93
2006-12-29,54,34.43
2007-01-05,52,34.28
2007-01-12,47,34.7
2007-01-19,66,35.73
2007-01-26,56,35.31
2007-02-02,56,37.92
2007-02-09,51,37.07
2007-02-16,52,40.67
2007-02-23,58,40.42
2007-03-02,53,36.17
2007-03-09,53,37.85
2007-03-16,62,40.11
2007-03-23,52,41.65
2007-03-30,50,40.05
2007-04-13,55,42.46
2007-04-20,62,45.04
2007-04-27,52,43.74
2007-05-04,57,46.01
2007-05-11,60,45.39
2007-05-18,64,46.55
2007-05-25,49,44.73
2007-06-01,49,46.17
2007-06-08,51,45
2007-06-15,48,45.06
2007-06-22,52,44.79
2007-06-29,56,45.08
2007-07-06,51,46.43
2007-07-13,59,48.23
2007-07-20,62,50.76
2007-07-27,62,46.41
2007-08-03,57,46.74
2007-08-10,56,47
2007-08-17,51,41.55
2007-08-24,53,43.08
2007-08-31,56,41
2007-09-07,48,40.09
2007-09-14,53,38.11
2007-09-21,57,40.29
2007-09-28,61,42.73
2007-10-05,51,43.52
2007-10-12,58,42.6
2007-10-19,58,44.62
2007-10-26,51,44.76
2007-11-02,61,43.62
2007-11-09,57,43.56
2007-11-16,54,43.24
2007-11-23,55,41.31
2007-11-30,59,42
2007-12-07,60,43.78
2007-12-14,54,43.49
2007-12-21,49,43.67
2007-12-28,53,44.27
2008-01-04,54,40.73
2008-01-11,60,42.48
2008-01-18,53,41.18
2008-01-25,59,45.45
2008-02-01,65,49.93
2008-02-08,56,48.02
2008-02-15,64,48.78
2008-02-22,55,50.16
2008-02-29,60,48.52
2008-03-07,59,47.09
2008-03-14,58,48.97
2008-03-28,69,56.55
2008-04-04,69,57.29
