"Date","JBL","Price"
2004-02-06,74,29.6
2004-02-13,72,28.6
2004-02-20,76,28.6
2004-02-27,79,27.98
2004-03-05,86,28.58
2004-03-12,67,27.49
2004-03-19,81,27.85
2004-03-26,69,28.8
2004-04-02,71,30.62
2004-04-16,74,28.51
2004-04-23,67,29.8
2004-04-30,61,26.39
2004-05-07,76,26.39
2004-05-14,66,25.58
2004-05-21,76,27.07
2004-05-28,72,28.31
2004-06-04,72,27.85
2004-06-18,70,24.58
2004-06-25,75,25.52
2004-07-02,73,24.35
2004-07-09,78,23.65
2004-07-16,76,22
2004-07-23,80,21.21
2004-07-30,78,21.75
2004-08-06,73,20.28
2004-08-13,69,19.56
2004-08-20,77,20.79
2004-08-27,78,21.15
2004-09-03,81,20.49
2004-09-10,79,21.78
2004-09-17,74,21.34
2004-09-24,70,22.68
2004-10-01,76,24.05
2004-10-08,74,23.36
2004-10-15,65,23.49
2004-10-22,67,23.6
2004-10-29,67,24.31
2004-11-05,77,25.43
2004-11-12,76,25.55
2004-11-19,80,25
2004-11-26,89,24.99
2004-12-03,83,25.85
2004-12-10,95,26.57
2004-12-17,84,25.71
2004-12-31,100,25.58
2005-01-07,87,23
2005-01-14,83,23.18
2005-01-21,83,22.3
2005-01-28,90,23.17
2005-02-04,83,23.71
2005-02-11,89,24.92
2005-02-18,80,24.74
2005-02-25,80,25.68
2005-03-04,77,26.06
2005-03-11,85,26.08
2005-03-18,72,27.58
2005-04-01,68,28.16
2005-04-08,74,28.97
2005-04-15,69,26.41
2005-04-22,71,27.2
2005-04-29,74,27.6
2005-05-06,72,27.75
2005-05-13,70,28.6
2005-05-20,76,29.44
2005-05-27,70,29.37
2005-06-03,69,29.3
2005-06-10,74,29.05
2005-06-17,75,28.96
2005-06-24,68,31.15
2005-07-01,72,30.67
2005-07-08,74,31.94
2005-07-15,71,32.08
2005-07-22,74,31.9
2005-07-29,73,31.19
2005-08-05,78,30.42
2005-08-12,74,29.61
2005-08-19,72,29.44
2005-08-26,77,29.34
2005-09-02,72,29.22
2005-09-09,71,29.49
2005-09-16,67,29.34
2005-09-23,68,29.7
2005-09-30,68,30.92
2005-10-07,73,30.33
2005-10-14,68,29.69
