"Date","CL","Price"
2004-02-06,42,54.8
2004-02-13,53,55.03
2004-02-20,46,56.05
2004-02-27,42,55.45
2004-03-05,41,56.35
2004-03-12,42,54.92
2004-03-19,40,54.75
2004-03-26,44,54.72
2004-04-02,47,55.62
2004-04-16,44,55.75
2004-04-23,47,56.64
2004-04-30,45,57.88
2004-05-07,41,57.63
2004-05-14,47,55.75
2004-05-21,43,57.23
2004-05-28,46,57.2
2004-06-04,44,56.92
2004-06-18,42,58.38
2004-06-25,48,57.35
2004-07-02,46,58.38
2004-07-09,44,57.76
2004-07-16,43,56.32
2004-07-23,38,52.64
2004-07-30,42,53.2
2004-08-06,45,51.75
2004-08-13,41,51.73
2004-08-20,46,52.66
2004-08-27,48,53.95
2004-09-03,46,54.85
2004-09-10,43,54.4
2004-09-17,45,54.33
2004-09-24,41,45.15
2004-10-01,48,45.12
2004-10-08,40,44.15
2004-10-15,44,43.93
2004-10-22,46,45.7
2004-10-29,38,44.62
2004-11-05,43,46.91
2004-11-12,39,47.62
2004-11-19,40,46.22
2004-11-26,46,45.9
2004-12-03,41,46.9
2004-12-10,45,50.46
2004-12-17,45,49.92
2004-12-31,37,51.16
2005-01-07,41,50.08
2005-01-14,41,50.08
2005-01-21,41,49.8
2005-01-28,41,51.66
2005-02-04,41,54.83
2005-02-11,43,54.65
2005-02-18,40,53.2
2005-02-25,46,52.6
2005-03-04,38,52.84
2005-03-11,45,52.34
2005-03-18,44,52.14
2005-04-01,42,51.52
2005-04-08,46,53.54
2005-04-15,42,52.82
2005-04-22,43,51.38
2005-04-29,48,49.79
2005-05-06,44,49.17
2005-05-13,43,48.6
2005-05-20,43,51.12
2005-05-27,48,50.06
2005-06-03,43,49.09
2005-06-10,44,49.76
2005-06-17,50,49.33
2005-06-24,46,50.6
2005-07-01,42,50.05
2005-07-08,45,50.46
2005-07-15,45,51.55
2005-07-22,42,51.98
2005-07-29,45,52.94
2005-08-05,43,52.62
2005-08-12,45,52.8
2005-08-19,43,52.12
2005-08-26,55,52.17
2005-09-02,48,52.49
2005-09-09,46,53.34
2005-09-16,47,53.62
2005-09-23,43,52.08
2005-09-30,47,52.79
2005-10-07,43,52.64
2005-10-14,44,52.4
2005-10-21,45,52.03
2005-10-28,47,53.14
2005-11-04,44,51.85
2005-11-11,47,53.63
2005-11-18,45,53.86
2005-11-25,49,54.05
2005-12-02,47,54.96
2005-12-09,51,55.04
2005-12-16,47,55.94
2005-12-23,48,55.5
2005-12-30,44,54.85
2006-01-06,45,54.82
2006-01-13,45,54.75
2006-01-20,44,53.7
2006-01-27,46,55.99
2006-02-03,45,54.54
2006-02-10,44,54.02
2006-02-17,42,54.8
2006-02-24,43,54.62
2006-03-03,41,54.86
2006-03-10,44,57.72
2006-03-17,44,56.69
2006-03-24,43,57.8
2006-03-31,45,57.1
2006-04-07,47,57.55
2006-04-21,45,56.86
2006-04-28,48,59.12
2006-05-05,45,60.33
2006-05-12,46,59.24
2006-05-19,50,59.47
2006-05-26,43,60.73
2006-06-02,44,60.22
2006-06-09,45,61.51
2006-06-16,42,60.69
2006-06-23,45,60.07
2006-06-30,48,59.9
2006-07-07,47,60.88
2006-07-14,44,61.01
2006-07-21,45,62.07
2006-07-28,46,59.67
2006-08-04,43,58.44
2006-08-11,47,59.51
2006-08-18,44,59
2006-08-25,50,58.79
2006-09-01,48,60.65
2006-09-08,44,60.76
2006-09-15,50,62.14
2006-09-22,45,61.6
2006-09-29,52,62.1
2006-10-06,47,62.65
2006-10-13,46,60.8
2006-10-20,47,60.74
2006-10-27,47,63.31
2006-11-03,49,63.67
2006-11-10,45,65.24
2006-11-17,44,66.01
2006-11-24,49,65.97
2006-12-01,43,65.36
2006-12-08,46,65.6
2006-12-15,46,65.33
2006-12-22,45,64.59
