"Date","Keurig.Green.Mountain","Price"
2007-12-07,70,33.3
2007-12-14,53,37.44
2007-12-21,53,41.48
2008-02-29,45,30.51
2008-03-07,46,26.23
2008-03-14,47,26.17
2008-10-31,34,28.99
2008-11-07,41,26.3
2008-11-14,47,29.25
2008-11-21,54,32.73
2008-11-28,47,36.3
2008-12-05,47,36
2008-12-12,58,35.37
2008-12-19,65,35.62
2008-12-26,62,38.33
2009-01-02,73,39.09
2009-01-09,45,34.74
2009-01-16,45,37.1
2009-01-23,63,39.8
2009-01-30,31,38.26
2009-02-06,31,41.5
2009-02-13,31,41.4
2009-02-20,37,40.01
2009-02-27,50,37.35
2009-03-06,37,39.35
2009-03-13,36,41.4
2009-03-20,36,45.27
2009-03-27,36,47.15
2009-04-03,40,50.2
2009-06-12,32,60.43
2009-06-19,35,56.53
2009-06-26,37,56.08
2009-08-07,36,69.9
2009-09-18,27,68.89
2009-09-25,32,68.93
2009-10-02,37,69.56
2009-10-09,32,73.43
2009-10-16,32,73.35
2009-10-23,36,74.64
2009-10-30,37,66.55
2009-11-06,38,67.61
2009-11-13,45,68.46
2009-11-20,55,65.01
2009-11-27,36,62.95
2009-12-04,68,61.19
2009-12-11,61,65.47
2009-12-18,51,69.25
2010-01-08,71,81.85
2010-01-15,79,80.41
2010-01-22,47,81.16
2010-01-29,55,84.82
2010-02-05,49,82.6
2010-02-12,28,83.71
2010-02-19,31,83.41
2010-02-26,36,84.39
2010-03-05,39,87.74
2010-03-12,36,92.65
2010-03-19,37,93.9
2010-03-26,32,93.13
2010-04-09,23,96.57
2010-04-16,23,94.35
2010-04-23,23,87.3
2010-04-30,23,72.76
2010-05-07,26,71.45
2010-05-14,31,75.85
2010-05-21,35,23.32
2010-05-28,36,23.65
2010-06-04,36,23.47
2010-06-11,26,23.81
2010-06-18,26,27.3
2010-06-25,26,27.21
2010-08-13,24,30.91
2010-08-20,25,32.46
2010-08-27,26,30.58
2010-09-03,23,31.97
2010-09-10,30,34.19
2010-09-17,25,35.43
2010-09-24,20,36.22
2010-10-01,36,29.57
2010-10-08,24,26.98
2010-10-15,20,29.99
2010-10-22,49,31.29
2010-10-29,53,32.99
2010-11-05,47,34.63
2010-11-12,41,31.45
2010-11-19,54,30.26
2010-11-26,69,37.63
2010-12-03,75,36.28
2010-12-10,62,33.81
2010-12-17,76,31.84
2010-12-31,100,32.86
2011-01-07,88,35.92
2011-01-14,80,35.33
2011-01-21,43,34.47
2011-01-28,35,33.76
2011-02-04,42,39.61
2011-02-11,41,43.46
2011-02-18,45,41.81
2011-02-25,34,41.57
2011-03-04,48,41.75
2011-03-11,50,58.86
2011-03-18,54,60.71
2011-03-25,36,62.65
2011-04-01,41,64.77
2011-04-08,49,64.74
2011-04-15,38,65.63
2011-04-29,36,66.96
2011-05-06,42,75.88
2011-05-13,38,75.56
2011-05-20,26,76.65
2011-05-27,22,82.54
2011-06-03,25,79.3
2011-06-10,25,74.05
2011-06-17,31,80.1
2011-06-24,38,83.43
2011-07-01,33,90.35
2011-07-08,19,96.2
2011-07-15,31,90.06
2011-07-22,43,92.71
2011-07-29,33,103.95
2011-08-05,33,95.99
2011-08-12,25,103.58
2011-08-19,26,84.08
2011-08-26,28,97.91
2011-09-02,34,103.56
2011-09-09,33,106.41
2011-09-16,50,107.99
