"Date","sell.HOT","Price"
2005-01-14,81,57.98
2005-01-21,67,57.5
2005-01-28,69,58.05
2005-02-04,71,60.55
2005-06-17,100,58.62
2005-06-24,79,57.91
2005-07-01,79,59.62
2005-07-08,79,61.45
2005-07-15,79,62.17
2005-07-22,76,63.49
2005-07-29,76,63.32
2005-08-05,76,61.1
2005-08-12,76,60.61
2005-08-19,59,60.28
2005-08-26,56,59.26
2005-09-02,56,57.48
2005-12-09,65,64.27
2005-12-16,58,63.89
2005-12-23,58,63.76
2005-12-30,58,63.86
2006-01-06,57,64.05
2006-01-13,57,63.8
2006-01-20,58,62.68
2006-01-27,59,62.99
2006-02-03,60,59.76
2006-02-10,61,62.29
2006-02-17,52,63.65
2006-02-24,53,63.65
2006-03-03,44,63.61
2006-03-10,54,64.55
2006-03-17,63,67.02
2006-03-24,46,66.62
2006-03-31,38,67.73
2006-04-07,46,68.08
2006-04-21,46,54.32
2006-04-28,46,57.38
2006-05-05,46,61.21
2006-05-12,46,60.61
2006-05-19,53,60.68
2006-05-26,61,62.27
2006-06-02,43,62.52
2006-06-09,39,59.85
2006-06-16,39,56.57
2006-06-23,39,58.01
2006-06-30,46,60.34
2006-07-07,42,59.3
2006-07-14,42,55.54
2006-07-21,42,54.3
2006-07-28,42,52.54
2006-08-04,42,54.94
2006-08-11,49,50.19
2006-08-18,42,53.06
2006-08-25,42,50.92
2006-09-01,42,54.06
2006-09-08,42,57.91
2006-09-15,44,59.69
2006-09-22,50,57.82
2006-09-29,37,57.19
2006-10-06,36,60.38
2006-10-13,41,59.96
2006-10-20,46,61.93
2006-10-27,51,59.47
2006-11-03,54,58.3
2006-11-10,61,61.48
2006-11-17,33,61.78
2006-11-24,31,65.38
2006-12-01,50,63.82
2006-12-08,39,64.57
2006-12-15,33,63.48
2006-12-22,32,62.72
2006-12-29,38,62.5
2007-01-05,41,60.9
2007-01-12,45,63.09
2007-01-19,35,63.69
2007-01-26,33,60.86
2007-02-02,57,66.18
2007-02-09,46,66.96
2007-02-16,46,68.83
2007-02-23,33,67.8
2007-03-02,49,64.49
2007-03-09,34,65.67
2007-03-16,55,62.99
2007-03-23,46,65.43
2007-03-30,41,64.85
2007-04-13,29,67.78
2007-04-20,38,69.14
2007-04-27,43,69.02
2007-05-04,31,70.91
2007-05-11,35,69.6
2007-05-18,37,69.2
2007-05-25,39,67.36
2007-06-01,66,73.71
2007-06-08,47,70.36
2007-06-15,60,71.66
2007-06-22,38,70.32
2007-06-29,32,67.07
2007-07-06,38,74.46
2007-07-13,42,75.09
2007-07-20,50,72.78
2007-07-27,49,63.33
2007-08-03,42,60.33
2007-08-10,49,56.17
2007-08-17,44,55.47
2007-08-24,49,62.15
2007-08-31,35,61.12
2007-09-07,36,56.31
2007-09-14,38,56.99
2007-09-21,48,58.75
2007-09-28,53,60.75
2007-10-05,29,60.27
2007-10-12,43,60.66
2007-10-19,40,58.47
2007-10-26,37,55.55
2007-11-02,50,55.79
2007-11-09,42,51.82
2007-11-16,38,51.93
2007-11-23,33,53.5
2007-11-30,35,53.68
2007-12-07,42,53.7
2007-12-14,39,46.62
2007-12-21,42,45.66
2007-12-28,44,43.35
2008-01-04,48,39.93
2008-01-11,37,39.45
2008-01-18,46,38.97
2008-01-25,42,42.53
2008-02-01,41,46.71
2008-02-08,36,45.48
2008-02-15,35,48.05
2008-02-22,35,49.74
2008-02-29,48,47.33
2008-03-07,30,48.98
2008-03-14,42,50.7
2008-03-28,51,51.49
2008-04-04,49,52.22
2008-04-11,45,49.13
2008-04-18,42,50.38
2008-04-25,34,53.16
2008-05-02,36,54.3
2008-05-09,57,52.13
2008-05-16,50,53.01
2008-05-23,34,48.81
2008-05-30,48,48.4
2008-06-06,44,45.99
2008-06-13,42,46.8
2008-06-20,34,44.44
2008-06-27,49,40.26
2008-07-11,54,34.16
2008-07-18,60,37.61
2008-07-25,44,35
2008-08-01,46,35.61
2008-08-08,53,39.8
2008-08-15,40,40.71
2008-08-22,38,36.7
2008-08-29,47,36.25
2008-09-05,48,36.93
2008-09-12,33,38.7
2008-09-19,41,36.47
2008-09-26,47,30.27
2008-10-03,41,24.59
2008-10-10,32,21.03
2008-10-17,54,21.25
2008-10-24,59,19.29
2008-10-31,53,22.54
2008-11-07,48,18.94
2008-11-14,59,14.99
2008-11-21,49,12.2
2008-11-28,48,16.86
2008-12-05,53,16.05
2008-12-12,47,15.51
2008-12-19,45,17.54
2008-12-26,53,17.09
2009-01-02,37,20.8
2009-01-09,57,21.42
2009-01-16,55,17.34
2009-01-23,46,16.17
2009-01-30,58,15.12
2009-02-06,45,15.31
2009-02-13,32,12.63
2009-02-20,57,11.57
2009-02-27,55,11.59
2009-03-06,40,9.52
2009-03-13,55,12.27
2009-03-20,52,11.64
2009-03-27,39,13.91
2009-04-03,50,16.08
2009-04-17,45,17.97
2009-04-24,40,20.82
2009-05-01,35,19.6
2009-05-08,51,22.08
2009-05-15,42,19.85
2009-05-22,56,21.61
2009-05-29,43,24.47
2009-06-05,47,25.14
2009-06-12,35,24.42
2009-06-19,53,22.65
2009-06-26,51,22.59
2009-07-10,57,19.75
2009-07-17,45,20.65
2009-07-24,60,22.92
2009-07-31,56,23.61
2009-08-07,36,29.68
2009-08-14,49,28.44
2009-08-21,61,30.35
2009-08-28,57,30.57
2009-09-04,60,28.57
2009-09-11,31,30.85
2009-09-18,48,34.09
2009-09-25,45,31.48
2009-10-02,48,29.7
2009-10-09,48,33.26
2009-10-16,47,35.38
2009-10-23,45,33
2009-10-30,63,29.06
2009-11-06,54,31.09
2009-11-13,45,33.58
2009-11-20,42,32.05
2009-11-27,48,31.6
2009-12-04,54,33.44
2009-12-11,56,34
2009-12-18,68,36.55
2010-01-08,53,37.62
2010-01-15,55,38.93
2010-01-22,59,35.95
2010-01-29,67,33.32
2010-02-05,62,36.75
2010-02-12,42,36.95
2010-02-19,60,38.06
2010-02-26,51,38.7
2010-03-05,46,41.38
2010-03-12,36,42.33
2010-03-19,46,42.57
2010-03-26,52,46.21
2010-04-09,42,50
2010-04-16,58,48.29
2010-04-23,51,53.95
2010-04-30,66,54.51
2010-05-07,45,46.99
2010-05-14,49,48.13
2010-05-21,57,45.31
2010-05-28,56,46.25
2010-06-04,60,44.07
2010-06-11,63,46.95
2010-06-18,56,48.29
2010-06-25,54,45.64
2010-07-02,60,40.88
2010-07-09,59,44.95
2010-07-16,66,43.17
2010-07-23,62,47.68
2010-07-30,74,48.45
2010-08-06,59,49.49
2010-08-13,56,46.72
2010-08-20,81,47.15
2010-08-27,62,47.45
2010-09-03,64,50.67
2010-09-10,70,50.67
2010-09-17,66,51.94
2010-09-24,63,52.56
2010-10-01,41,52.76
2010-10-08,45,55.01
2010-10-15,43,55.18
2010-10-22,63,56.96
2010-10-29,64,54.14
2010-11-05,53,59.29
2010-11-12,61,56.35
2010-11-19,50,56.66
2010-11-26,64,57.77
2010-12-03,54,58.84
2010-12-10,72,61.23
2010-12-17,78,59.75
2010-12-31,67,60.78
2011-01-07,68,61.29
2011-01-14,59,62.89
2011-01-21,71,62
2011-01-28,55,58.44
2011-02-04,61,61.71
2011-02-11,70,65.01
2011-02-18,49,65.09
2011-02-25,62,61.55
2011-03-04,50,58.98
2011-03-11,57,57.84
2011-03-18,59,57.81
2011-03-25,55,58.74
2011-04-01,60,57.77
2011-04-08,59,56.43
2011-04-15,58,57.48
2011-04-29,61,59.57
2011-05-06,60,58.71
2011-05-13,57,58.14
2011-05-20,56,59.21
2011-05-27,63,60.48
2011-06-03,69,58.03
2011-06-10,63,54.98
2011-06-17,76,51.88
2011-06-24,59,53.25
2011-07-01,64,58.18
2011-07-08,64,58.13
2011-07-15,60,55.86
2011-07-22,70,57.87
2011-07-29,59,54.96
2011-08-05,69,46.84
2011-08-12,63,43.78
2011-08-19,63,38.43
2011-08-26,58,41.26
2011-09-02,54,42.04
2011-09-09,58,39.62
2011-09-16,55,45.46
2011-09-23,45,39.72
2011-09-30,50,38.82
2011-10-07,58,40.93
2011-10-14,58,47.32
2011-10-21,59,48.23
2011-10-28,69,51.98
2011-11-04,57,50.63
2011-11-11,51,50.24
2011-11-18,54,49.08
2011-11-25,55,43.41
2011-12-02,52,48.43
2011-12-09,58,48.37
2011-12-16,51,45.42
2011-12-23,62,48.75
2011-12-30,68,47.97
2012-01-06,60,50.42
2012-01-13,56,51.31
2012-01-20,53,53.55
2012-01-27,54,54.36
2012-02-03,54,56.72
2012-02-10,64,55.67
2012-02-17,56,55.06
2012-02-24,54,54.99
2012-03-02,57,54.19
2012-03-09,58,54.89
2012-03-16,52,56.03
2012-03-23,62,57.56
2012-03-30,58,56.41
2012-04-13,56,56.08
2012-04-20,56,57.61
2012-04-27,58,60.19
2012-05-04,58,57.54
2012-05-11,64,56.69
2012-05-18,62,50.46
2012-05-25,60,53.38
2012-06-01,63,49.13
2012-06-08,60,52.09
2012-06-15,57,51.27
2012-06-22,64,52.33
2012-06-29,58,53.04
2012-07-06,62,53.44
2012-07-13,77,50.62
2012-07-20,61,51.91
2012-07-27,67,54.03
2012-08-03,65,55.71
2012-08-10,73,54.22
2012-08-17,72,55.01
2012-08-24,54,54.41
2012-08-31,64,55.13
2012-09-07,66,57.86
2012-09-14,65,60.7
2012-09-21,60,58.87
2012-09-28,63,57.96
2012-10-05,62,57.26
2012-10-12,59,56.27
2012-10-19,57,55.72
2012-10-26,66,51.95
2012-11-02,61,51.57
2012-11-09,57,51.75
