"Date","MCD","Price"
2004-02-06,20,27.16
2004-02-13,24,26.63
2004-02-20,20,27.16
2004-02-27,18,28.3
2004-03-05,20,29.85
2004-03-12,21,29.01
2004-03-19,17,28.1
2004-03-26,19,27.87
2004-04-02,17,28.94
2004-04-16,19,27.46
2004-04-23,22,27.34
2004-04-30,18,27.23
2004-05-07,19,26.71
2004-05-14,20,26.17
2004-05-21,15,25.45
2004-05-28,21,26.4
2004-06-04,17,26.86
2004-06-18,21,26.92
2004-06-25,22,26.99
2004-07-02,19,26.12
2004-07-09,22,26.51
2004-07-16,16,27.81
2004-07-23,20,27.08
2004-07-30,18,27.5
2004-08-06,18,26.34
2004-08-13,16,25.81
2004-08-20,16,27.07
2004-08-27,21,27.17
2004-09-03,18,27.76
2004-09-10,21,27.05
2004-09-17,23,27.67
2004-09-24,18,27.6
2004-10-01,20,28.14
2004-10-08,19,27.94
2004-10-15,21,28.99
2004-10-22,23,28.52
2004-10-29,19,29.15
2004-11-05,21,30.06
2004-11-12,15,30.5
2004-11-19,18,29.3
2004-11-26,18,30.57
2004-12-03,23,31.28
2004-12-10,20,31.65
2004-12-17,18,32.54
2004-12-31,18,32.06
2005-01-07,16,31.87
2005-01-14,19,31.31
2005-01-21,19,31.25
2005-01-28,18,32
2005-02-04,19,32.57
2005-02-11,15,32.25
2005-02-18,19,32.33
2005-02-25,20,32.98
2005-03-04,17,33.96
2005-03-11,17,32.59
2005-03-18,23,31.9
2005-04-01,20,31
2005-04-08,20,31.14
2005-04-15,19,30.3
2005-04-22,22,30.06
2005-04-29,24,29.31
2005-05-06,18,29.38
2005-05-13,21,29.65
2005-05-20,20,30.94
2005-05-27,17,31.26
2005-06-03,22,30.51
2005-06-10,18,29.53
2005-06-17,22,29
2005-06-24,20,28.28
2005-07-01,25,27.94
2005-07-08,20,28.65
2005-07-15,20,30.99
2005-07-22,22,30.94
2005-07-29,19,31.17
2005-08-05,21,31.3
2005-08-12,17,33.25
2005-08-19,14,33.38
2005-08-26,19,33.48
2005-09-02,18,31.9
2005-09-09,20,34.14
2005-09-16,15,34.24
2005-09-23,19,32.64
2005-09-30,17,33.49
2005-10-07,24,32.22
2005-10-14,21,32.32
2005-10-21,24,32.48
2005-10-28,25,32.29
2005-11-04,21,33.43
2005-11-11,17,33.8
2005-11-18,19,33.09
2005-11-25,18,33.46
2005-12-02,20,34.91
2005-12-09,20,34.84
2005-12-16,19,34.75
2005-12-23,21,34.55
2005-12-30,18,33.72
2006-01-06,22,34.06
2006-01-13,21,34.47
2006-01-20,23,35.86
2006-01-27,55,35.05
2006-02-03,56,35.97
2006-02-10,38,36.33
2006-02-17,27,36.06
2006-02-24,27,35.34
2006-03-03,21,34.85
2006-03-10,24,34.65
2006-03-17,23,35.1
2006-03-24,25,34.7
2006-03-31,25,34.36
2006-04-07,29,34.88
2006-04-21,21,34.6
2006-04-28,26,34.57
2006-05-05,21,35.21
2006-05-12,20,34.88
2006-05-19,23,34.15
2006-05-26,22,32.92
2006-06-02,20,33.51
2006-06-09,23,33.38
2006-06-16,19,33.14
2006-06-23,22,32.6
2006-06-30,22,33.6
2006-07-07,22,33.18
2006-07-14,23,33.04
2006-07-21,26,34.7
2006-07-28,22,35.29
2006-08-04,20,35.41
2006-08-11,19,34.69
2006-08-18,21,36.18
2006-08-25,22,35.23
2006-09-01,23,36.76
2006-09-08,22,37.5
2006-09-15,28,37.73
2006-09-22,23,38.21
2006-09-29,26,39.12
2006-10-06,24,40.11
2006-10-13,29,42.11
2006-10-20,26,41.47
2006-10-27,28,41.47
2006-11-03,25,41.24
2006-11-10,29,41.97
2006-11-17,21,41.82
2006-11-24,23,41.88
2006-12-01,25,42.08
2006-12-08,24,43.76
2006-12-15,28,43.41
2006-12-22,28,43.57
2006-12-29,38,44.33
2007-01-05,35,43.54
2007-01-12,24,44.22
2007-01-19,25,44.81
2007-01-26,23,42.93
2007-02-02,25,44.54
2007-02-09,27,44.56
2007-02-16,23,45.32
2007-02-23,22,46.01
2007-03-02,23,43.67
2007-03-09,25,44.15
2007-03-16,22,43.48
2007-03-23,22,45.05
2007-03-30,25,45.05
2007-04-13,28,47.64
2007-04-20,27,48.36
2007-04-27,24,48.95
2007-05-04,23,49.92
2007-05-11,22,50.65
2007-05-18,25,52.33
2007-05-25,25,50.9
2007-06-01,23,50.95
2007-06-08,26,51.41
2007-06-15,30,52.17
2007-06-22,32,50.42
2007-06-29,54,50.76
2007-07-06,26,51.43
2007-07-13,23,51.91
2007-07-20,25,52.09
2007-07-27,23,48.76
2007-08-03,23,48.52
2007-08-10,22,49.41
2007-08-17,22,47.57
2007-08-24,22,50.12
2007-08-31,21,49.25
2007-09-07,22,49.24
2007-09-14,21,55.45
2007-09-21,24,54.8
2007-09-28,23,54.47
2007-10-05,28,56.37
2007-10-12,30,57.02
2007-10-19,37,56.42
2007-10-26,32,58.47
2007-11-02,27,59.02
2007-11-09,23,58.31
2007-11-16,25,58.13
2007-11-23,27,57.72
2007-11-30,30,58.47
2007-12-07,29,60.16
2007-12-14,26,61.16
2007-12-21,25,60.03
2007-12-28,22,59.5
2008-01-04,21,57.05
2008-01-11,28,54.32
2008-01-18,25,52.4
2008-01-25,24,54.1
2008-02-01,27,54.22
2008-02-08,23,55.64
2008-02-15,24,55.3
2008-02-22,23,55.69
2008-02-29,25,54.11
2008-03-07,26,52.27
2008-03-14,27,54.78
2008-03-28,27,55.48
2008-04-04,29,55.72
2008-04-11,23,55.4
2008-04-18,23,58.3
2008-04-25,26,59.67
2008-05-02,26,60.95
2008-05-09,25,59.24
2008-05-16,25,60.53
2008-05-23,27,57.73
2008-05-30,26,59.32
2008-06-06,30,56.95
2008-06-13,34,59.95
2008-06-20,37,57.4
2008-06-27,41,56.5
2008-07-11,24,57.32
2008-07-18,21,60.44
2008-07-25,25,58.65
2008-08-01,23,59.77
2008-08-08,23,65.67
2008-08-15,23,63.63
2008-08-22,26,63.42
2008-08-29,24,62
2008-09-05,25,60.3
2008-09-12,23,64.06
