"Date","buy.MAR","Price"
2007-10-05,77,43
2007-11-16,77,35.64
2008-01-11,63,32.86
2008-01-18,73,32.68
2008-01-25,75,33.95
2008-02-01,78,37.32
2008-02-08,80,34.62
2008-02-15,66,35.53
2008-02-22,58,35.23
2008-02-29,58,34.1
2008-03-07,58,33.46
2008-03-14,58,32.9
2008-03-28,73,34.46
2008-04-04,80,36.04
2008-04-11,59,33.38
2008-04-18,59,33.46
2008-04-25,59,34.92
2008-05-02,59,36.78
2008-06-20,69,27.45
2008-06-27,59,26.69
2008-07-11,59,23.73
2008-07-18,59,26.33
2008-07-25,59,26.12
2008-08-01,81,26.75
2008-08-08,60,28.27
2008-08-15,60,29.12
2008-10-10,55,18.76
2008-10-17,53,19.1
2008-10-24,53,18.42
2008-10-31,53,20.87
2008-11-07,53,18.86
2008-11-14,53,15.66
2008-11-21,54,12.92
2008-11-28,55,16.79
2008-12-05,57,15.86
2008-12-12,53,16.61
2008-12-19,58,17.96
2008-12-26,95,18.34
2009-01-02,55,20.06
2009-01-09,55,19.63
2009-01-16,55,17.84
2009-01-23,48,17.19
2009-01-30,48,16.31
2009-02-06,48,16.4
2009-02-13,48,14.94
2009-02-20,48,14.32
2009-02-27,57,14.16
2009-03-06,100,12.63
2009-03-13,56,15.48
2009-03-20,70,15.67
2009-03-27,59,17.05
2009-04-03,78,19.37
2009-04-17,67,19.7
2009-04-24,47,22.3
2009-05-01,48,22.64
2009-05-08,46,23.92
2009-05-15,46,21.57
2009-05-22,51,21.94
2009-05-29,55,23.36
2009-06-05,41,24.52
2009-06-12,70,24.01
2009-06-19,45,22.15
2009-06-26,41,21.81
2009-07-10,42,19.57
2009-07-17,43,19.98
2009-07-24,49,21.24
2009-07-31,55,21.54
2009-08-07,44,25.28
2009-08-14,44,23.88
2009-08-21,44,24.69
2009-08-28,44,24.52
2009-09-04,44,23.05
2009-09-11,51,24.6
2009-09-18,50,27.16
2009-09-25,43,26.1
2009-10-02,44,25.61
2009-10-09,45,26.8
2009-10-16,46,27.94
2009-10-23,48,27.2
2009-10-30,36,25.06
2009-11-06,36,26.13
2009-11-13,54,26.96
2009-11-20,41,26.13
2009-11-27,41,25.26
2009-12-04,46,27.17
2009-12-11,54,27.08
2009-12-18,55,28
2010-01-08,49,28.04
2010-01-15,37,29.3
2010-01-22,60,27.45
2010-01-29,50,26.23
2010-02-05,50,26.2
2010-02-12,33,26.84
2010-02-19,50,27.26
2010-02-26,48,27.11
2010-03-05,75,27.87
2010-03-12,52,28.7
2010-03-19,68,29.06
2010-03-26,59,31.09
2010-04-09,61,33.1
2010-04-16,55,33.88
2010-04-23,56,37.57
2010-04-30,56,36.76
2010-05-07,60,33.34
2010-05-14,34,34.61
2010-05-21,43,32.94
2010-05-28,44,33.45
2010-06-04,44,32.18
2010-06-11,68,33.32
2010-06-18,92,35.3
2010-06-25,44,32.71
2010-07-02,61,29.55
2010-07-09,58,31.14
2010-07-16,51,30.31
2010-07-23,51,33.14
2010-07-30,73,33.91
2010-08-06,58,35.18
2010-08-13,51,33.48
