"Date","buy.PM","Price"
2008-10-17,66,43.3
2008-10-24,64,40.5
2008-10-31,64,43.47
2008-11-07,64,42.2
2008-11-14,64,38.41
2008-11-21,64,38.26
2009-03-20,58,38.36
2009-03-27,52,37.58
2009-04-03,52,36.2
2009-04-17,52,37.32
2009-04-24,52,37.43
2009-09-18,56,48.18
2009-09-25,46,47.64
2009-10-02,46,48.36
2009-11-20,52,49.73
2009-11-27,56,49.99
2009-12-04,60,49.82
2009-12-11,47,48.48
2009-12-18,53,48.66
2010-01-08,42,49.26
2010-03-05,39,51.25
2010-03-12,45,50.14
2010-03-19,51,52.68
2010-03-26,47,52.12
2010-04-09,54,52.75
2010-04-16,51,50.74
2010-04-23,51,51.14
2010-04-30,52,49.08
2010-05-07,48,46.42
2010-05-14,81,46.56
2010-05-21,52,44.26
2010-05-28,86,44.12
2010-06-04,40,43.74
2010-06-11,40,44.35
2010-06-18,49,45.91
2010-06-25,43,45.9
2010-07-02,43,46.45
2010-07-09,43,48.59
2010-07-16,42,49.67
2010-07-23,39,50.66
2010-07-30,41,51.04
2010-08-06,43,52.19
2010-08-13,46,51.99
2010-08-20,73,51.98
2010-08-27,36,51.44
2010-09-03,36,54.04
2010-09-10,36,54.6
2010-09-17,41,55.12
2010-09-24,45,56.1
2010-10-01,51,55.55
2010-10-08,45,56.63
2010-10-15,45,58.54
2010-10-22,40,58.13
2010-10-29,64,58.51
2010-11-05,37,60.44
2010-11-12,63,59.64
2010-11-19,46,59.81
2010-11-26,46,58.78
2010-12-03,55,58.12
2010-12-10,42,59
2010-12-17,55,59.69
2010-12-31,48,58.53
2011-01-07,52,56.42
2011-01-14,56,56.67
2011-01-21,31,56.7
2011-01-28,49,56.6
2011-02-04,43,58.67
2011-02-11,30,59.62
2011-02-18,39,61.43
2011-02-25,47,62.25
2011-03-04,44,63.5
2011-03-11,38,63.78
2011-03-18,41,61.72
2011-03-25,32,65.12
2011-04-01,53,64.93
2011-04-08,39,65.83
2011-04-15,48,66.56
2011-04-29,43,69.44
2011-05-06,36,68.6
2011-05-13,45,68.31
2011-05-20,47,70.19
2011-05-27,38,70.52
2011-06-03,42,68.99
2011-06-10,46,67.35
2011-06-17,55,68.48
2011-06-24,38,65.1
2011-07-01,42,66.75
2011-07-08,71,69.41
2011-07-15,41,66.93
2011-07-22,41,72.11
2011-07-29,35,71.17
2011-08-05,47,69.34
2011-08-12,46,66.63
2011-08-19,53,68.83
2011-08-26,51,69.2
2011-09-02,50,68.24
2011-09-09,57,65.9
2011-09-16,49,69.08
2011-09-23,35,63.81
2011-09-30,36,62.38
2011-10-07,37,65.13
2011-10-14,38,67.4
2011-10-21,26,70
2011-10-28,26,72.12
2011-11-04,52,70.21
2011-11-11,62,71.64
2011-11-18,45,73.09
2011-11-25,74,71.31
2011-12-02,94,75.47
2011-12-09,58,75.58
2011-12-16,61,75.6
2011-12-23,50,78.75
2011-12-30,44,78.48
2012-01-06,53,77.08
2012-01-13,45,77.32
2012-01-20,35,74.52
2012-01-27,49,75.46
2012-02-03,49,76.62
2012-02-10,63,80.44
2012-02-17,47,81.74
2012-02-24,35,83.02
2012-03-02,49,84.55
2012-03-09,54,84.61
2012-03-16,44,85.81
2012-03-23,54,86.83
2012-03-30,35,88.61
2012-04-13,58,87.84
2012-04-20,41,87.81
2012-04-27,39,89.81
2012-05-04,59,89.13
2012-05-11,55,86.15
2012-05-18,55,84.3
2012-05-25,35,85.38
2012-06-01,32,82.79
2012-06-08,57,83.97
2012-06-15,41,87.73
2012-06-22,51,86.01
2012-06-29,48,87.26
2012-07-06,65,89.45
2012-07-13,43,90.21
2012-07-20,39,88.89
2012-07-27,61,90.3
2012-08-03,74,91.93
2012-08-10,70,92.21
2012-08-17,77,93.38
2012-08-24,40,89.76
2012-08-31,59,89.3
2012-09-07,47,88.83
2012-09-14,71,89.48
2012-09-21,44,92.14
2012-09-28,50,89.94
2012-10-05,60,93.74
2012-10-12,67,91.7
2012-10-19,54,88.12
2012-10-26,42,88.28
2012-11-02,54,86.93
2012-11-09,43,85.42
2012-11-16,31,84.93
2012-11-23,62,90.41
2012-11-30,60,89.88
2012-12-07,58,89.47
2012-12-14,36,87.75
2012-12-21,39,84.95
2012-12-28,57,82.65
2013-01-04,26,86.52
2013-01-11,39,89.23
2013-01-18,49,89.98
2013-01-25,52,89.42
2013-02-01,36,88.13
2013-02-08,49,90.45
2013-02-15,42,89.99
2013-02-22,40,93.42
2013-03-01,40,91.44
2013-03-08,59,91.11
2013-03-15,57,91.37
2013-03-22,44,91.62
2013-04-05,37,92.72
2013-04-12,48,96.44
2013-04-19,46,91.95
2013-04-26,63,95.31
2013-05-03,64,94.26
2013-05-10,36,93.32
2013-05-17,67,95.68
2013-05-24,61,94.12
2013-05-31,46,90.91
2013-06-07,48,92.09
2013-06-14,61,92.12
2013-06-21,59,87.46
2013-06-28,67,86.62
2013-07-05,76,87.51
2013-07-12,65,89.7
2013-07-19,60,88.61
2013-07-26,49,88.88
2013-08-02,60,89.59
2013-08-09,47,88.7
2013-08-16,73,85.75
2013-08-23,47,85.37
2013-08-30,73,83.44
2013-09-06,61,84.19
2013-09-13,88,87.78
2013-09-20,63,90.47
2013-09-27,69,87.33
2013-10-04,59,87.04
2013-10-11,69,85.03
2013-10-18,32,86.93
2013-10-25,38,88.6
2013-11-01,51,89.76
2013-11-08,53,89.41
2013-11-15,61,91.36
2013-11-22,69,86.95
2013-11-29,100,85.54
2013-12-06,70,85.83
2013-12-13,62,85.24
2013-12-20,44,85.52
2013-12-27,40,86.74
2014-01-03,66,85.53
2014-01-10,51,82.57
2014-01-17,52,83.33
2014-01-24,55,81.5
2014-01-31,39,78.14
2014-02-07,52,80.25
2014-02-14,68,80.39
2014-02-21,53,78.97
2014-02-28,65,80.91
2014-03-07,58,80.34
2014-03-14,52,79.89
2014-03-21,63,81
2014-03-28,61,81.02
2014-04-04,54,82.81
2014-04-11,59,83.14
2014-04-25,58,84.11
