"Date","AMAT","Price"
2004-02-06,52,22.38
2004-02-13,67,21.77
2004-02-20,53,21.75
2004-02-27,54,21.25
2004-03-05,72,21.42
2004-03-12,66,21.3
2004-03-19,71,20.34
2004-03-26,49,21.43
2004-04-02,81,22.55
2004-04-16,56,20.8
2004-04-23,55,19.98
2004-04-30,49,18.27
2004-05-07,62,18.67
2004-05-14,55,18.54
2004-05-21,51,18.38
2004-05-28,59,19.97
2004-06-04,54,18.76
2004-06-18,51,18.14
2004-06-25,82,19.27
2004-07-02,72,18.5
2004-07-09,57,18.66
2004-07-16,68,16.65
2004-07-23,50,16.36
2004-07-30,86,16.97
2004-08-06,53,16.33
2004-08-13,66,15.64
2004-08-20,64,16.02
2004-08-27,51,16.36
2004-09-03,68,15.7
2004-09-10,63,16.9
2004-09-17,74,16.9
2004-09-24,42,16.65
2004-10-01,46,17.3
2004-10-08,65,16.21
2004-10-15,65,15.7
2004-10-22,54,15.96
2004-10-29,57,16.1
2004-11-05,49,16.28
2004-11-12,46,16.17
2004-11-19,68,16.99
2004-11-26,59,16.99
2004-12-03,63,17.89
2004-12-10,50,17.03
2004-12-17,56,16.84
2004-12-31,54,17.1
2005-01-07,61,16.15
2005-01-14,55,16.53
2005-01-21,76,15.59
2005-01-28,53,16.04
2005-02-04,65,16.79
2005-02-11,67,17.14
2005-02-18,80,17.4
2005-02-25,57,17.92
2005-03-04,53,16.88
2005-03-11,47,16.4
2005-03-18,60,15.99
2005-04-01,53,16.01
2005-04-08,50,16.07
2005-04-15,69,14.5
2005-04-22,79,14.96
2005-04-29,53,14.87
2005-05-06,67,15.63
2005-05-13,70,16.16
2005-05-20,64,15.85
2005-05-27,78,16.65
2005-06-03,64,16.87
2005-06-10,70,17.15
2005-06-17,62,16.9
2005-06-24,62,16.45
2005-07-01,59,16.14
2005-07-08,55,16.66
2005-07-15,68,17.35
2005-07-22,67,18.3
2005-07-29,55,18.48
2005-08-05,47,17.85
2005-08-12,53,17.42
2005-08-19,61,18.17
2005-08-26,57,17.96
2005-09-02,61,17.7
2005-09-09,76,17.97
2005-09-16,80,17.92
2005-09-23,55,16.94
2005-09-30,64,16.96
2005-10-07,61,16.88
2005-10-14,59,17.33
2005-10-21,57,16.93
2005-10-28,62,16.36
2005-11-04,49,16.85
2005-11-11,80,17.96
2005-11-18,78,17.24
2005-11-25,50,18.3
2005-12-02,59,18.83
2005-12-09,58,18.8
2005-12-16,69,18.93
2005-12-23,59,18.4
2005-12-30,52,17.94
2006-01-06,57,19.37
2006-01-13,90,20.15
2006-01-20,57,19.07
2006-01-27,62,19.75
2006-02-03,61,18.68
2006-02-10,54,19.96
2006-02-17,72,19.72
2006-02-24,55,18.8
2006-03-03,59,18.62
2006-03-10,69,17.79
2006-03-17,50,17.49
2006-03-24,66,17.94
2006-03-31,59,17.51
2006-04-07,65,18.04
2006-04-21,51,18.06
2006-04-28,61,17.95
2006-05-05,59,19.05
2006-05-12,69,18.09
2006-05-19,71,17
2006-05-26,61,16.91
2006-06-02,70,17.04
2006-06-09,58,16.47
2006-06-16,70,16.3
2006-06-23,63,16.13
2006-06-30,71,16.28
2006-07-07,63,16.08
2006-07-14,63,15.42
2006-07-21,61,14.76
2006-07-28,60,15.59
2006-08-04,60,15.5
2006-08-11,59,15.17
2006-08-18,57,15.77
2006-08-25,58,16.13
2006-09-01,63,16.84
2006-09-08,65,16.53
2006-09-15,69,17.2
2006-09-22,62,16.84
2006-09-29,71,17.73
2006-10-06,75,18.3
2006-10-13,64,19.02
2006-10-20,69,17.25
2006-10-27,91,17.26
2006-11-03,59,17.08
2006-11-10,55,17.62
2006-11-17,72,18.12
2006-11-24,58,18.52
2006-12-01,79,17.73
2006-12-08,60,18.47
2006-12-15,55,18.13
2006-12-22,65,18.16
2006-12-29,52,18.45
2007-01-05,49,18.67
2007-01-12,68,19.5
2007-01-19,59,18.21
2007-01-26,61,17.78
2007-02-02,65,18.12
2007-02-09,72,17.97
2007-02-16,65,19.02
2007-02-23,64,19.19
2007-03-02,70,17.98
2007-03-09,62,18.33
2007-03-16,61,18.49
2007-03-23,67,18.79
2007-03-30,59,18.32
2007-04-13,71,19.08
2007-04-20,70,19.48
2007-04-27,74,19.3
2007-05-04,67,19.75
2007-05-11,65,19.77
2007-05-18,81,18.85
2007-05-25,71,19.23
2007-06-01,78,19.34
2007-06-08,81,18.79
2007-06-15,77,19.85
2007-06-22,73,20.25
2007-06-29,66,19.87
2007-07-06,76,19.99
2007-07-13,74,20.48
2007-07-20,81,21.46
2007-07-27,71,21.56
2007-08-03,72,22.21
2007-08-10,67,21.85
2007-08-17,69,20.8
2007-08-24,74,20.86
2007-08-31,72,21.36
2007-09-07,71,20.79
2007-09-14,71,20.33
2007-09-21,71,21.3
2007-09-28,75,20.7
2007-10-05,75,21.13
2007-10-12,83,21.04
2007-10-19,76,20.1
2007-10-26,74,18.86
2007-11-02,71,18.87
2007-11-09,89,18.71
2007-11-16,84,18.55
2007-11-23,74,18.33
2007-11-30,75,18.83
2007-12-07,73,18.29
2007-12-14,73,17.77
2007-12-21,77,17.94
2007-12-28,71,17.87
2008-01-04,68,16.77
2008-01-11,74,16.4
2008-01-18,82,18.02
2008-01-25,77,17.42
2008-02-01,77,18.88
2008-02-08,78,17.93
2008-02-15,87,19.04
2008-02-22,73,19.68
2008-02-29,76,19.17
2008-03-07,89,20.09
2008-03-14,79,20.58
2008-03-28,73,19.52
2008-04-04,85,20.89
2008-04-11,68,19.11
2008-04-18,76,19.13
2008-04-25,75,19.1
2008-05-02,79,19.7
2008-05-09,86,19.29
2008-05-16,78,19.57
2008-05-23,76,18.92
2008-05-30,77,19.81
2008-06-06,75,18.89
2008-06-13,77,20.09
2008-06-20,88,20.1
2008-06-27,82,19.29
2008-07-11,75,17.91
2008-07-18,70,18.28
2008-07-25,73,17.01
2008-08-01,71,17.53
2008-08-08,64,18.79
2008-08-15,71,19.3
2008-08-22,84,18.49
2008-08-29,81,17.92
2008-09-05,73,17.16
2008-09-12,76,16.23
2008-09-19,83,15.9
2008-09-26,88,15.95
2008-10-03,73,14.19
2008-10-10,76,12.7
2008-10-17,82,11.99
2008-10-24,73,11.4
2008-10-31,77,12.91
2008-11-07,75,11.3
2008-11-14,81,10.23
2008-11-21,83,8.35
2008-11-28,80,9.58
2008-12-05,77,10
2008-12-12,81,10.45
2008-12-19,70,10.13
2008-12-26,68,9.69
2009-01-02,68,10.67
2009-01-09,74,10.37
2009-01-16,71,10.18
2009-01-23,70,9.71
2009-01-30,71,9.37
2009-02-06,72,10.45
2009-02-13,75,9.51
2009-02-20,73,8.76
2009-02-27,74,9.21
2009-03-06,77,8.7
2009-03-13,68,10.59
2009-03-20,79,10.21
2009-03-27,75,11.23
2009-04-03,75,11.81
2009-04-17,69,11.92
2009-04-24,68,11.7
