"Date","buy.KEY","Price"
2004-02-06,26,31.3
2004-02-13,42,31.65
2004-02-20,51,31.9
2004-02-27,48,32.42
2004-03-05,48,32.94
2004-03-12,49,31.31
2004-03-19,49,30.65
2004-03-26,32,29.87
2004-04-02,32,29.73
2004-04-16,37,29.26
2004-04-23,40,30.14
2004-04-30,40,29.7
2004-05-07,31,29.52
2004-05-14,52,30.35
2004-05-21,48,31.52
2004-05-28,48,31.41
2004-06-04,34,30.53
2004-06-18,41,29.95
2004-06-25,40,30
2004-07-02,49,29.74
2004-07-09,57,29.41
2004-07-16,40,29.09
2004-07-23,47,29.33
2004-07-30,43,30.18
2004-08-06,60,29.75
2004-08-13,55,30.28
2004-08-20,44,31.25
2004-08-27,50,31.51
2004-09-03,50,31.45
2004-09-10,57,31.43
2004-09-17,29,31.93
2004-09-24,45,31.11
2004-10-01,25,31.78
2004-10-08,42,31.81
2004-10-15,39,32.38
2004-10-22,66,32.27
2004-10-29,49,33.59
2004-11-05,27,33.87
2004-11-12,32,34.24
2004-11-19,37,33.2
2004-11-26,59,33.21
2004-12-03,45,33.53
2004-12-10,40,32.98
2004-12-17,42,33.27
2004-12-31,34,33.9
2005-01-07,52,32.45
2005-01-14,49,31.69
2005-01-21,51,32.53
2005-01-28,39,32.7
2005-02-04,45,33.92
2005-02-11,27,33.79
2005-02-18,42,32.93
2005-02-25,41,32.94
2005-03-04,61,33.85
2005-03-11,46,32.82
2005-03-18,40,32.4
2005-04-01,43,32.01
2005-04-08,29,31.98
2005-04-15,59,32.27
2005-04-22,41,32.71
2005-04-29,30,33.16
2005-05-06,41,32.96
2005-05-13,45,32.06
2005-05-20,47,33.32
2005-05-27,44,32.8
2005-06-03,46,32.77
2005-06-10,42,32.7
2005-06-17,47,33.42
2005-06-24,34,32.84
2005-07-01,41,33.14
2005-07-08,51,33.37
2005-07-15,44,34.34
2005-07-22,57,34.45
2005-07-29,35,34.24
2005-08-05,39,33.92
2005-08-12,55,33.73
2005-08-19,55,33.72
2005-08-26,43,32.6
2005-09-02,47,33.23
2005-09-09,50,33.46
2005-09-16,44,33.32
2005-09-23,44,32
2005-09-30,39,32.25
2005-10-07,48,31.72
2005-10-14,39,31.44
2005-10-21,43,31.25
2005-10-28,40,32.12
2005-11-04,38,32.23
2005-11-11,35,33.43
2005-11-18,53,33.38
2005-11-25,43,33.47
2005-12-02,64,33.38
2005-12-09,43,33.13
2005-12-16,41,34.04
2005-12-23,45,33.8
2005-12-30,56,32.93
2006-01-06,47,34.05
2006-01-13,50,33.69
2006-01-20,42,34.17
2006-01-27,48,35.68
2006-02-03,35,35.34
2006-02-10,36,35.98
2006-02-17,39,36.73
2006-02-24,36,37.04
2006-03-03,41,36.3
2006-03-10,36,36.7
2006-03-17,47,37.37
2006-03-24,35,37.31
2006-03-31,50,36.8
2006-04-07,38,36.85
2006-04-21,42,36.39
2006-04-28,46,38.22
2006-05-05,50,37.33
2006-05-12,49,36.55
2006-05-19,43,35.89
2006-05-26,40,35.95
2006-06-02,33,36.58
2006-06-09,49,36.23
2006-06-16,46,35.17
2006-06-23,38,34.82
2006-06-30,39,35.68
2006-07-07,41,35.41
2006-07-14,42,34.94
2006-07-21,37,36.29
2006-07-28,40,37.28
2006-08-04,53,37.77
2006-08-11,60,36.97
2006-08-18,50,36.93
2006-08-25,43,36.79
2006-09-01,48,36.69
2006-09-08,47,36.62
2006-09-15,47,37.27
2006-09-22,50,37.15
2006-09-29,38,37.44
2006-10-06,40,37.45
2006-10-13,37,37.02
2006-10-20,35,37.39
2006-10-27,40,37.23
2006-11-03,34,36.73
2006-11-10,40,37.01
2006-11-17,49,36.89
2006-11-24,41,36.4
2006-12-01,42,36.13
2006-12-08,47,35.93
2006-12-15,50,37.86
2006-12-22,44,37.7
2006-12-29,36,38.03
2007-01-05,53,37.32
2007-01-12,46,37.59
2007-01-19,87,37.88
2007-01-26,64,38
2007-02-02,62,38.77
2007-02-09,48,39.05
2007-02-16,38,39.5
2007-02-23,54,39.08
2007-03-02,40,37.6
2007-03-09,45,37.94
2007-03-16,40,36.89
2007-03-23,37,38.55
2007-03-30,50,37.47
2007-04-13,43,37.55
2007-04-20,40,36.74
2007-04-27,42,36.1
2007-05-04,56,36.34
2007-05-11,47,36.64
2007-05-18,37,36.83
2007-05-25,45,35.72
2007-06-01,43,36.23
2007-06-08,46,35.44
2007-06-15,39,36.06
2007-06-22,44,34.99
2007-06-29,50,34.33
2007-07-06,53,34.93
2007-07-13,48,35.29
2007-07-20,63,36.2
2007-07-27,51,34.99
2007-08-03,48,33.34
2007-08-10,66,33.29
2007-08-17,59,34.43
2007-08-24,57,34.39
2007-08-31,55,33.3
2007-09-07,51,32.31
2007-09-14,54,32.85
2007-09-21,56,33.7
2007-09-28,43,32.33
2007-10-05,51,33.77
2007-10-12,45,33.04
2007-10-19,44,28.69
2007-10-26,52,28.55
2007-11-02,44,26.27
2007-11-09,51,26.5
2007-11-16,55,25.5
2007-11-23,66,25.05
2007-11-30,54,26.34
2007-12-07,70,25.28
2007-12-14,55,22.67
2007-12-21,59,23.46
2007-12-28,62,23.65
2008-01-04,66,21.84
2008-01-11,53,23.23
2008-01-18,62,21.1
2008-01-25,55,25.03
2008-02-01,47,26.42
2008-02-08,57,24.65
2008-02-15,55,24.34
2008-02-22,54,23.95
2008-02-29,58,22.05
2008-03-07,56,20.94
2008-03-14,46,21.24
2008-03-28,47,21.88
2008-04-04,47,23.72
2008-04-11,37,23.61
2008-04-18,49,24.68
2008-04-25,59,24.34
2008-05-02,52,25.48
2008-05-09,48,23.99
2008-05-16,47,23.72
2008-05-23,59,21.87
2008-05-30,57,19.47
2008-06-06,55,17.3
2008-06-13,52,11.73
