"Date","ETR","Price"
2004-02-06,55,59.55
2004-02-13,37,57.99
2004-02-20,60,57.9
2004-02-27,53,59.29
2004-03-05,36,58.58
2004-03-12,44,57.8
2004-03-19,31,58.11
2004-03-26,40,58.3
2004-04-02,34,59.37
2004-04-16,34,56.23
2004-04-23,44,56.34
2004-04-30,53,54.6
2004-05-07,31,52.24
2004-05-14,47,51.67
2004-05-21,38,51.54
2004-05-28,29,54.61
2004-06-04,42,54.19
2004-06-18,45,54.98
2004-06-25,56,56.48
2004-07-02,26,55.98
2004-07-09,43,55.5
2004-07-16,37,56.95
2004-07-23,51,55.13
2004-07-30,61,57.5
2004-08-06,42,58.88
2004-08-13,40,59.02
2004-08-20,57,59.7
2004-08-27,38,59.79
2004-09-03,53,60.58
2004-09-10,48,61.72
2004-09-17,61,60.67
2004-09-24,47,59.88
2004-10-01,45,60.45
2004-10-08,48,62.92
2004-10-15,43,62.57
2004-10-22,49,62.77
2004-10-29,43,65.36
2004-11-05,45,65.5
2004-11-12,32,68.04
2004-11-19,47,65.51
2004-11-26,51,66.92
2004-12-03,36,64.95
2004-12-10,50,65.1
2004-12-17,41,66.7
2004-12-31,39,67.59
2005-01-07,37,64.91
2005-01-14,44,66.5
2005-01-21,42,66.7
2005-01-28,51,69.54
2005-02-04,45,71.58
2005-02-11,47,70.21
2005-02-18,47,68.85
2005-02-25,43,70.27
2005-03-04,34,71.2
2005-03-11,33,70
2005-03-18,41,70.22
2005-04-01,51,71.24
2005-04-08,35,72.45
2005-04-15,34,70.1
2005-04-22,42,72.35
2005-04-29,40,73.3
2005-05-06,45,72.6
2005-05-13,48,70.43
2005-05-20,41,71.01
2005-05-27,46,72.07
2005-06-03,43,72.7
2005-06-10,51,73.6
2005-06-17,51,73.63
2005-06-24,44,74.91
2005-07-01,42,75.77
2005-07-08,42,76.58
2005-07-15,44,75.8
2005-07-22,54,76.93
2005-07-29,38,77.94
2005-08-05,34,76.38
2005-08-12,51,75.55
2005-08-19,52,75.33
2005-08-26,45,77.29
2005-09-02,57,75.55
2005-09-09,58,74.8
2005-09-16,62,74.77
2005-09-23,63,72
2005-09-30,43,74.32
2005-10-07,46,71.68
2005-10-14,40,69.72
2005-10-21,42,68.38
2005-10-28,45,70.44
2005-11-04,47,69.83
2005-11-11,60,68.96
2005-11-18,56,68.7
2005-11-25,48,71
2005-12-02,41,70.19
2005-12-09,34,70.45
2005-12-16,59,70.4
2005-12-23,46,69.18
2005-12-30,32,68.65
2006-01-06,45,70.58
2006-01-13,50,70.87
2006-01-20,41,70.48
2006-01-27,47,69.78
2006-02-03,40,69.01
2006-02-10,48,70
2006-02-17,34,70.77
