"Date","GILD","Price"
2004-02-13,32,58.3
2004-02-20,31,55.66
2004-02-27,31,54.27
2004-04-16,34,57.32
2004-04-23,34,60.12
2004-04-30,28,60.94
2004-05-07,28,55.55
2004-05-14,28,55.73
2004-05-21,28,63.33
2004-05-28,28,65.33
2004-06-04,29,64.54
2004-06-18,28,64.4
2004-06-25,27,64.95
2004-07-02,27,67.42
2004-07-09,27,65.33
2004-07-16,29,62.44
2004-07-23,31,58.19
2004-07-30,32,64.64
2004-08-06,35,61.63
2004-08-13,39,62.99
2004-08-20,31,66.21
2004-08-27,36,69.39
2004-09-03,41,70.32
2004-09-10,27,35.49
2004-09-17,39,36.89
2004-09-24,27,36.5
2004-10-01,28,37.69
2004-10-08,29,37.8
2004-10-15,24,37.49
2004-10-22,24,33.25
2004-10-29,38,34.63
2004-11-05,26,37.42
2004-11-12,28,36.94
2004-11-19,30,34.35
2004-11-26,32,34.51
2004-12-03,33,35.48
2004-12-10,41,36.38
2004-12-17,31,34.85
2004-12-31,26,34.99
2005-01-07,26,33.55
2005-01-14,38,32.67
2005-01-21,19,32.89
2005-01-28,21,32.51
2005-02-04,31,33.26
2005-02-11,38,32.8
2005-02-18,35,33.55
2005-02-25,21,35.56
2005-03-04,26,34.86
2005-03-11,30,34.57
2005-03-18,21,35.4
2005-04-01,30,35.33
2005-04-08,26,37.12
2005-04-15,35,35.33
2005-04-22,33,39.55
2005-04-29,48,37.11
2005-05-06,44,38.72
2005-05-13,50,38.8
2005-05-20,60,40.18
2005-05-27,69,41.01
2005-06-03,48,41.43
2005-06-10,76,43.32
2005-06-17,72,45.49
2005-06-24,64,41.75
2005-07-01,34,44.13
2005-07-08,42,46.63
2005-07-15,36,45.47
2005-07-22,36,44.47
2005-07-29,41,44.81
2005-08-05,51,42.63
2005-08-12,64,42.41
2005-08-19,30,42.5
2005-08-26,40,41.05
2005-09-02,51,42.59
2005-09-09,45,44.28
2005-09-16,32,46.32
2005-09-23,45,46.03
2005-09-30,46,48.76
2005-10-07,50,47.51
2005-10-14,48,47.42
2005-10-21,50,45.62
2005-10-28,31,47.12
2005-11-04,79,49.68
2005-11-11,53,54.08
2005-11-18,55,54.36
2005-11-25,39,54.23
2005-12-02,47,53.58
2005-12-09,28,51.98
2005-12-16,52,50.69
2005-12-23,41,54.56
2005-12-30,57,52.57
2006-01-06,51,57.03
2006-01-13,57,59.4
2006-01-20,63,57.56
2006-01-27,70,59.74
2006-02-03,75,60.7
2006-02-10,54,59.1
2006-02-17,49,61.46
2006-02-24,38,61.66
2006-03-03,62,60.09
2006-03-10,41,61.09
2006-03-17,56,63.31
2006-03-24,40,62.34
2006-03-31,59,62.22
2006-04-07,52,61.5
2006-04-21,52,64.52
2006-04-28,50,57.5
2006-05-05,74,56.25
2006-05-12,46,55.54
2006-05-19,52,54.94
2006-05-26,51,57.16
2006-06-02,40,58.4
2006-06-09,56,57.31
2006-06-16,44,57.86
2006-06-23,40,55.57
2006-06-30,56,59.16
2006-07-07,52,60.76
2006-07-14,69,59.91
