"Date","buy.THC","Price"
2008-10-31,58,4.38
2009-02-13,81,1.17
2009-02-20,63,0.98
2009-02-27,63,1.11
2009-03-06,63,0.92
2009-03-13,63,1.03
2009-03-20,63,1
2009-03-27,63,1.16
2009-04-03,64,1.11
2009-04-17,64,1.56
2009-04-24,62,2.11
2009-05-01,62,2.4
2009-05-08,62,2.38
2009-06-19,54,2.78
2009-08-07,68,4.12
2009-08-14,69,4.77
2009-08-21,70,4.55
2009-08-28,71,4.76
2009-09-04,72,4.81
2009-09-11,72,5.45
2009-09-18,71,5.61
2009-09-25,71,5.44
2009-10-02,65,5.36
2009-10-09,65,5.98
2009-10-16,48,5.94
2009-10-23,48,5.79
2009-12-18,62,4.91
2010-01-08,46,6.25
2010-01-15,49,6.07
2010-01-22,44,5.19
2010-01-29,56,5.54
2010-02-05,59,5.1
2010-02-12,61,5.21
2010-02-19,43,5.59
2010-02-26,43,5.27
2010-03-05,43,5.51
2010-03-12,64,5.39
2010-03-19,51,5.75
2010-03-26,47,5.81
2010-04-09,54,5.99
2010-04-16,51,5.8
2010-04-23,81,6.34
2010-04-30,53,6.25
2010-05-07,53,5.32
2010-05-14,53,5.6
2010-05-21,97,5.37
2010-05-28,49,5.72
2010-06-04,49,4.92
2010-06-11,49,5.07
2010-06-18,85,4.9
2010-06-25,63,4.71
2010-07-02,63,4.15
2010-07-09,63,4.57
2010-07-16,63,4.49
2010-07-23,47,4.41
2010-07-30,54,4.6
2010-08-06,51,4.42
2010-08-13,67,4.17
2010-08-20,63,4.23
2010-08-27,56,4.11
2010-09-03,56,4.37
2010-09-10,56,4.46
2010-09-17,42,4.22
2010-09-24,46,4.23
2010-10-01,67,4.53
2010-10-08,41,4.62
2010-10-15,59,4.42
2010-10-22,77,4.33
2010-10-29,51,4.36
2010-11-05,37,4.53
2010-11-12,65,4.65
2010-11-19,36,4.37
2010-11-26,40,4.21
2010-12-03,66,4.29
2010-12-10,64,6.65
2010-12-17,83,6.74
2010-12-31,57,6.69
2011-01-07,86,6.89
2011-01-14,57,7.06
2011-01-21,43,6.7
2011-01-28,74,6.67
2011-02-04,44,6.67
2011-02-11,39,7
2011-02-18,46,7.01
2011-02-25,58,7.07
2011-03-04,48,7.18
2011-03-11,68,7.09
2011-03-18,61,7.01
2011-03-25,64,7.22
2011-04-01,49,7.63
2011-04-08,62,7.55
2011-04-15,78,6.66
2011-04-29,61,6.93
2011-05-06,49,6.53
2011-05-13,45,6.34
2011-05-20,35,6.28
2011-05-27,58,6.4
2011-06-03,46,6.25
2011-06-10,67,5.91
2011-06-17,61,6.41
2011-06-24,45,5.99
2011-07-01,52,6.51
2011-07-08,49,6.3
2011-07-15,43,6.02
2011-07-22,39,6.26
2011-07-29,65,5.56
2011-08-05,55,4.95
2011-08-12,38,4.95
2011-08-19,38,4.65
2011-08-26,56,5.13
2011-09-02,30,5.03
2011-09-09,32,5.02
2011-09-16,34,4.79
2011-09-23,35,4.19
2011-09-30,46,4.11
2011-10-07,29,4.35
2011-10-14,53,4.56
2011-10-21,46,4.87
2011-10-28,54,5.07
2011-11-04,42,4.86
2011-11-11,40,5.19
2011-11-18,45,4.5
2011-11-25,56,4.17
2011-12-02,83,4.18
2011-12-09,60,4.45
2011-12-16,35,4.42
2011-12-23,40,4.98
2011-12-30,30,5.13
2012-01-06,52,4.99
2012-01-13,44,5.07
2012-01-20,41,5.1
2012-01-27,57,5.48
2012-02-03,41,5.97
2012-02-10,38,5.72
2012-02-17,51,5.66
2012-02-24,46,5.78
2012-03-02,28,5.66
2012-03-09,63,5.47
2012-03-16,53,5.58
2012-03-23,48,5.25
2012-03-30,56,5.31
2012-04-13,55,5.3
2012-04-20,55,5.41
2012-04-27,38,5.21
2012-05-04,62,5.03
2012-05-11,50,5.07
2012-05-18,63,4.58
2012-05-25,69,4.75
2012-06-01,41,4.49
2012-06-08,62,4.68
2012-06-15,52,4.61
2012-06-22,48,4.89
2012-06-29,68,5.24
2012-07-06,43,5.08
2012-07-13,62,5.14
2012-07-20,55,4.65
2012-07-27,69,4.82
2012-08-03,61,4.69
2012-08-10,54,5.22
2012-08-17,57,5.27
2012-08-24,60,5.17
2012-08-31,64,5.19
2012-09-07,49,5.41
2012-09-14,51,5.76
2012-09-21,43,6.18
2012-09-28,40,6.27
2012-10-05,52,6.19
2012-10-12,51,23.67
2012-10-19,41,23.51
2012-10-26,50,23.33
2012-11-02,41,25.03
2012-11-09,41,26.21
2012-11-16,56,26.39
2012-11-23,36,28.29
2012-11-30,51,28.96
2012-12-07,59,28.85
2012-12-14,60,30.63
2012-12-21,45,32.43
2012-12-28,32,31.33
2013-01-04,66,34.11
2013-01-11,72,34.3
2013-01-18,41,38.04
2013-01-25,46,39.05
2013-02-01,64,39.33
2013-02-08,40,39.85
2013-02-15,59,40.1
2013-02-22,46,39.31
2013-03-01,71,39.48
2013-03-08,59,43.2
2013-03-15,54,44.22
2013-03-22,72,45.38
2013-04-05,72,43.82
2013-04-12,55,42.4
2013-04-19,41,40.04
2013-04-26,51,41.16
2013-05-03,58,46.52
2013-05-10,57,48.66
2013-05-17,56,45.82
2013-05-24,58,44.89
2013-05-31,73,47.37
2013-06-07,52,46.58
2013-06-14,71,46.67
2013-06-21,59,41.85
2013-06-28,91,46.1
2013-07-05,56,43.28
2013-07-12,66,43.81
2013-07-19,74,42.65
2013-07-26,60,44.78
2013-08-02,63,43.93
2013-08-09,54,41.66
2013-08-16,69,39.67
2013-08-23,69,39.99
2013-08-30,60,39.05
2013-09-06,47,39.86
2013-09-13,64,40.22
2013-09-20,67,42.03
2013-09-27,49,40.33
2013-10-04,71,46.1
2013-10-11,65,46.21
2013-10-18,64,47.79
2013-10-25,66,45.93
2013-11-01,78,47.19
2013-11-08,73,42.33
2013-11-15,62,42.39
2013-11-22,72,42.1
2013-11-29,56,43.15
2013-12-06,63,42.7
2013-12-13,49,40.34
2013-12-20,54,40.31
2013-12-27,73,40.89
2014-01-03,71,44.2
2014-01-10,95,46.68
2014-01-17,79,47.24
2014-01-24,64,44.95
2014-01-31,87,46.01
2014-02-07,59,44.79
2014-02-14,65,46.56
2014-02-21,74,46.87
2014-02-28,70,44.12
2014-03-07,85,42.31
2014-03-14,76,39.8
2014-03-21,76,40.19
2014-03-28,93,41.86
2014-04-04,84,41.88
2014-04-11,63,39.34
2014-04-25,61,46.12
