"Date","buy.ABT","Price"
2005-12-23,100,40.86
2006-11-24,60,46.95
2006-12-01,86,46.57
2006-12-08,75,47.96
2006-12-15,75,48.47
2006-12-22,75,47.73
2006-12-29,55,48.71
2007-01-05,55,49.9
2007-01-12,55,50.45
2007-01-19,57,53.52
2007-01-26,59,52.55
2007-02-02,66,52.67
2007-02-09,73,52.27
2007-06-01,46,56.3
2007-06-08,51,54.29
2007-06-15,55,54.72
2007-06-22,60,52.86
2007-06-29,51,53.55
2007-07-06,51,54
2007-07-13,51,53.24
2007-07-20,51,52.87
2007-07-27,46,50.03
2007-08-03,46,51.09
2007-08-10,46,55.22
2007-08-17,46,52.73
2007-08-24,42,52.53
2007-08-31,42,51.91
2007-09-07,42,51.86
2007-09-14,43,52.1
2007-09-21,45,54.44
2007-09-28,46,53.62
2007-10-05,47,55
2007-10-12,48,52.64
2007-10-19,50,51.4
2007-10-26,52,54.07
2007-11-02,54,54.05
2007-11-09,56,54.12
2007-11-16,41,55.21
2007-11-23,49,55.49
2007-11-30,52,57.51
2007-12-07,54,58.22
2007-12-14,36,57.51
2007-12-21,86,58.26
2007-12-28,100,57.23
2008-01-04,42,55.79
2008-01-11,36,60.5
2008-01-18,42,59.43
2008-01-25,47,55.48
2008-02-01,52,57.55
2008-02-08,53,56.8
2008-02-15,55,55.55
2008-02-22,33,54.54
2008-02-29,33,53.55
2008-03-07,33,51.04
2008-03-14,53,51.38
2008-03-28,47,53.07
2008-04-04,39,54.84
2008-04-11,39,52.8
2008-04-18,49,50.72
2008-04-25,43,51.28
2008-05-02,34,53.17
2008-05-09,34,51.78
2008-05-16,35,54.71
2008-05-23,35,54.26
2008-05-30,32,56.35
2008-06-06,32,54.76
2008-06-13,32,54.11
2008-06-20,33,53.35
2008-06-27,34,53
2008-07-11,37,56.43
2008-07-18,34,57.58
2008-07-25,33,57.42
2008-08-01,33,56.07
2008-08-08,42,59.03
2008-08-15,51,59.62
2008-09-26,33,59.4
2008-10-03,44,58.51
2008-10-10,38,49.45
2008-10-17,31,55.46
2008-10-24,31,54.3
2008-10-31,31,55.15
2008-11-07,32,55.3
2008-11-14,49,55.06
2008-11-21,35,51.52
2008-11-28,83,52.39
2008-12-05,81,52.75
2008-12-12,67,50.75
2008-12-19,83,52.27
2008-12-26,88,52.51
2009-01-02,76,53.56
2009-01-09,64,51.17
2009-01-16,52,49.92
2009-01-23,41,52.81
2009-01-30,59,55.44
2009-02-06,38,57.15
2009-02-13,43,54.94
2009-02-20,43,54.03
2009-02-27,38,47.34
2009-03-06,50,46.89
2009-03-13,32,46.85
2009-03-20,40,47.54
2009-03-27,44,46.6
2009-04-03,30,44.12
2009-04-17,25,43.89
2009-04-24,27,43.09
2009-05-01,33,41.52
2009-05-08,39,44.93
2009-05-15,31,43.32
2009-05-22,33,43.94
2009-05-29,36,45.06
2009-06-05,28,44.98
2009-06-12,30,45.42
2009-06-19,45,47.58
2009-06-26,28,47.43
2009-07-10,29,45.41
2009-07-17,34,44.47
2009-07-24,32,45.01
2009-07-31,39,44.99
2009-08-07,25,43.84
2009-08-14,25,44.36
2009-08-21,25,45.39
2009-08-28,26,45.92
2009-09-04,25,45.63
2009-09-11,38,46.83
2009-09-18,22,45.97
2009-09-25,38,47.33
2009-10-02,32,49.84
