"Date","sell.IP","Price"
2010-01-22,67,24.43
2010-05-28,57,23.23
2010-06-04,52,21.93
2010-06-11,52,24.3
2010-06-18,52,25.73
2010-06-25,52,24.59
2010-07-02,56,22.59
2010-07-09,60,23.67
2010-07-16,49,22.78
2010-07-23,49,24.98
2010-07-30,49,24.2
2010-08-06,49,24.06
2010-08-13,49,21.87
2010-08-20,52,21.21
2010-08-27,55,20.38
2010-09-03,58,22.39
2010-09-10,61,22.39
2010-09-17,81,23.46
2010-09-24,75,21.83
2010-10-01,66,22.36
2010-10-08,91,22.19
2010-10-15,57,23.53
2010-10-22,47,23.68
2010-10-29,47,25.28
2010-11-05,59,26.44
2010-11-12,63,25.67
2010-11-19,67,24.8
2010-11-26,54,25.12
2010-12-03,77,26.24
2010-12-10,99,26.85
2010-12-17,46,25.94
2010-12-31,76,27.24
2011-01-07,79,27.99
2011-01-14,47,28.67
2011-01-21,62,27.91
2011-01-28,43,28.44
2011-02-04,59,29.22
2011-02-11,58,29.34
2011-02-18,57,29.02
2011-02-25,45,28.08
2011-03-04,82,26.78
2011-03-11,75,25.99
2011-03-18,49,26.87
2011-03-25,67,27.79
2011-04-01,38,30.42
2011-04-08,69,29.9
2011-04-15,65,29.95
2011-04-29,83,30.88
2011-05-06,68,31.77
2011-05-13,80,31.37
2011-05-20,90,31.31
2011-05-27,79,30.91
2011-06-03,89,29.88
2011-06-10,89,28.3
2011-06-17,85,26.57
2011-06-24,86,28.78
2011-07-01,72,30.61
2011-07-08,76,30.26
2011-07-15,65,29.87
2011-07-22,93,30.86
2011-07-29,67,29.7
2011-08-05,68,25.55
2011-08-12,63,25.55
2011-08-19,90,23.67
2011-08-26,61,25.68
2011-09-02,81,25.49
2011-09-09,89,26.17
2011-09-16,100,27.98
2011-09-23,48,25.02
2011-09-30,64,23.25
2011-10-07,94,24.05
2011-10-14,58,26.01
2011-10-21,57,25.93
2011-10-28,63,28.81
2011-11-04,69,28.81
2011-11-11,95,28.89
2011-11-18,90,28.02
2011-11-25,78,25.89
2011-12-02,100,28.77
2011-12-09,51,28.27
2011-12-16,87,27.79
2011-12-23,84,29.24
2011-12-30,50,29.6
2012-01-06,80,30.94
2012-01-13,55,31.49
2012-01-20,66,32.46
2012-01-27,48,30.98
2012-02-03,36,31.85
2012-02-10,54,31.85
2012-02-17,66,33.46
2012-02-24,39,32.92
2012-03-02,51,35.62
2012-03-09,39,35.23
2012-03-16,68,35.57
2012-03-23,51,35.19
2012-03-30,42,35.1
2012-04-13,43,32.97
2012-04-20,43,33.02
2012-04-27,44,33.85
2012-05-04,39,32.13
2012-05-11,35,31.28
2012-05-18,58,28.88
2012-06-29,56,28.91
2012-07-06,39,29.07
2012-07-13,32,30.75
2012-07-20,47,32.29
2012-07-27,30,33.36
2012-08-03,33,32.71
2012-08-10,34,32.89
2012-08-17,36,34.58
2012-08-24,36,34.55
2012-08-31,32,34.56
2012-09-07,37,36.3
2012-09-14,73,35.52
2012-09-21,54,35.51
2012-09-28,44,36.32
2012-10-05,40,36.81
2012-10-12,40,36.8
2012-10-19,40,37.42
2012-10-26,40,35.66
2012-11-02,32,35.93
2012-11-09,37,34.85
2012-11-16,29,34.31
2012-11-23,45,36.26
2012-11-30,41,37.14
2012-12-07,33,36.04
2012-12-14,38,38.06
2012-12-21,61,39.31
2012-12-28,25,38.91
2013-01-04,25,40.85
2013-01-11,25,40.11
2013-01-18,36,41.91
2013-01-25,54,42.51
2013-02-01,31,42.35
2013-02-08,41,42.6
2013-02-15,39,42.17
2013-02-22,26,43
2013-03-01,42,44.28
2013-03-08,28,46.78
2013-03-15,26,45.66
2013-03-22,26,45.1
2013-04-05,45,46.15
2013-04-12,26,48.2
2013-04-19,34,45.67
2013-04-26,42,46.41
2013-05-03,24,45.62
2013-05-10,30,46.5
2013-05-17,35,48.18
2013-05-24,59,47.05
2013-05-31,26,46.15
2013-06-07,40,45.62
2013-06-14,40,45.35
2013-06-21,40,43.6
2013-06-28,26,44.31
2013-07-05,27,46.32
2013-07-12,29,48.13
2013-07-19,25,47.72
2013-07-26,31,49.11
2013-08-02,29,49.4
2013-08-09,34,48.02
2013-08-16,32,47.97
2013-08-23,36,46.86
2013-08-30,30,47.21
2013-09-06,30,47.86
2013-09-13,45,48.67
2013-09-20,25,47.79
2013-09-27,25,45.44
2013-10-04,29,43.7
2013-10-11,36,44.89
2013-10-18,34,45.47
2013-10-25,26,45.57
2013-11-01,40,44.96
2013-11-08,41,43.96
2013-11-15,27,45.53
2013-11-22,26,46.89
2013-11-29,29,46.65
2013-12-06,28,46.44
2013-12-13,35,47.83
2013-12-20,51,48.35
2013-12-27,46,49.04
2014-01-03,40,48.62
2014-01-10,44,48.93
2014-01-17,23,48.34
2014-01-24,31,45.56
2014-01-31,29,47.74
2014-02-07,39,47.42
2014-02-14,25,49.18
2014-02-21,47,49.16
2014-02-28,49,48.89
2014-03-07,39,48.15
2014-03-14,45,46.13
2014-03-21,31,45.78
2014-03-28,35,45.8
2014-04-04,38,45.81
2014-04-11,41,44.98
2014-04-25,34,45.63
