"Date","buy.HON","Price"
2009-09-18,42,40.17
2009-12-04,35,40.14
2010-04-09,43,45.77
2010-04-16,44,45.82
2010-04-23,45,47.72
2010-04-30,46,47.47
2010-05-07,70,43.52
2010-05-14,94,45.48
2010-05-21,50,42.07
2010-05-28,44,42.77
2010-06-04,34,41.07
2010-06-11,34,41.32
2010-06-18,34,42.92
2010-06-25,34,41.6
2010-07-02,54,38.53
2010-07-09,38,41.27
2010-07-16,38,40.19
2010-07-23,42,43.5
2010-07-30,45,42.86
2010-08-06,48,43.77
2010-08-13,38,41.32
2010-08-20,40,40.64
2010-08-27,43,39.65
2010-09-03,50,42.82
2010-09-10,38,42.81
2010-09-17,38,43.82
2010-11-12,27,47.52
2010-11-19,26,49.78
2010-11-26,26,50.13
2010-12-03,26,51.45
2010-12-10,48,51.98
2010-12-17,40,52.99
2010-12-31,34,53.16
2011-01-07,30,54.3
2011-01-14,28,55.02
2011-01-21,28,54.49
2011-01-28,33,55.32
2011-02-04,26,57.12
2011-02-11,40,57.98
2011-03-25,36,57.39
2011-04-01,54,59.26
2011-04-08,37,58.3
2011-04-15,34,57.75
2011-04-29,25,61.23
2011-05-06,32,60.95
2011-05-13,49,60.51
2011-05-20,46,58.99
2011-05-27,42,59.19
2011-06-03,35,57.25
2011-06-10,29,55.53
2011-06-17,41,55.85
2011-06-24,24,56.35
2011-07-01,29,60.19
2011-07-08,34,59.54
2011-07-15,30,57.25
2011-07-22,41,56.4
2011-07-29,56,53.1
2011-08-05,100,47.98
2011-08-12,36,46.88
2011-08-19,58,42.19
2011-08-26,56,45.48
2011-09-02,59,45.45
2011-09-09,40,44.72
2011-09-16,38,47.13
2011-09-23,42,42.43
2011-09-30,44,43.91
2011-10-07,29,45.49
2011-10-14,29,49.45
2011-10-21,37,51.28
2011-10-28,30,53.88
2011-11-04,28,53.95
2011-11-11,23,54.79
2011-11-18,25,52.75
2011-11-25,44,49.14
2011-12-02,25,54.13
2011-12-09,37,54
2011-12-16,25,53.1
2011-12-23,42,54.98
2011-12-30,25,54.35
2012-01-06,30,55.18
2012-01-13,35,56.7
2012-01-20,45,57.38
2012-01-27,33,58.27
2012-02-03,44,60.74
2012-02-10,44,59.33
2012-02-17,27,60.1
2012-02-24,27,59.27
2012-03-02,43,59.75
2012-03-09,23,59.78
2012-03-16,21,60.37
2012-03-23,37,60.16
2012-03-30,37,61.05
2012-04-13,30,58.07
2012-04-20,23,59.39
2012-04-27,36,61.29
2012-05-04,27,59.31
2012-05-11,24,58.55
2012-05-18,25,55.23
2012-05-25,25,56.75
2012-06-01,26,53.94
2012-06-08,27,55.99
2012-06-15,28,56.04
2012-06-22,28,55.51
2012-06-29,34,55.84
2012-07-06,40,54.89
2012-07-13,19,54.58
2012-07-20,20,57.74
2012-07-27,21,59.01
2012-08-03,23,58.91
2012-08-10,21,59.01
2012-08-17,21,59.5
2012-08-24,21,58.36
2012-08-31,21,58.45
2012-09-07,22,59.9
2012-09-14,24,61.02
2012-09-21,26,60.52
2012-09-28,21,59.75
2012-10-05,18,61.43
2012-10-12,17,60.2
2012-10-19,22,62.49
2012-10-26,26,61.49
2012-11-02,22,62.43
2012-11-09,20,60.83
2012-11-16,20,59.15
2012-11-23,20,61.26
2012-11-30,20,61.33
2012-12-07,17,61.97
2012-12-14,17,61.55
2012-12-21,31,64.21
2012-12-28,24,62.92
2013-01-04,20,66.33
2013-01-11,27,66.31
2013-01-18,17,67.81
2013-01-25,16,68.33
2013-02-01,16,69.15
2013-02-08,16,70.53
2013-04-05,17,72.98
2013-04-12,17,74.25
2013-04-19,17,74.18
2013-04-26,18,73.9
2013-05-03,19,75.24
2013-05-10,15,77.74
2013-05-17,15,80.75
2013-05-24,15,79.29
2013-05-31,17,78.46
2013-06-07,15,79.08
2013-06-14,15,78.18
2013-06-21,18,78.25
2013-06-28,20,79.34
2013-08-09,30,83.32
2013-08-16,17,81.96
2013-08-23,17,81.4
2013-08-30,17,79.57
2013-09-06,17,81.66
2013-09-13,17,84.05
2013-09-20,17,85.48
2013-09-27,19,83.58
2013-10-04,21,82.24
2013-10-11,23,86.46
2013-10-18,16,84.58
2013-10-25,17,87.5
2013-11-01,17,86.91
2013-11-08,17,87.44
2013-12-27,16,91.14
2014-01-03,17,90.52
2014-01-10,25,90.16
2014-03-07,16,95.44
2014-03-14,13,92.01
2014-03-21,13,92.99
2014-03-28,13,90.89
2014-04-04,13,93.33
