"Date","XL.Capital","Price"
2005-03-04,52,75.67
2005-07-29,53,71.82
2005-10-28,47,62.1
2005-11-04,72,69.39
2005-11-11,59,73.02
2005-11-18,65,73.1
2005-11-25,70,67.42
2005-12-02,52,68.69
2005-12-09,45,66.55
2005-12-16,41,66
2006-02-10,56,66.13
2006-02-17,39,66.06
2006-02-24,39,67.44
2006-03-03,39,68.1
2006-03-10,38,66.6
2006-03-17,38,67.45
2006-03-24,38,65.39
2006-03-31,38,64.11
2006-04-07,38,63.75
2006-04-21,34,65.5
2006-04-28,34,65.89
2006-05-05,35,66.77
2006-05-12,37,65.51
2006-05-19,38,64.24
2006-05-26,40,64.03
2006-06-02,37,63.63
2006-06-09,37,63.82
2006-06-16,37,61.95
2006-06-23,37,61.11
2006-06-30,37,61.3
2006-07-07,32,63.02
2006-07-14,32,62.76
2006-07-21,32,64.56
2006-07-28,32,65.09
2006-09-08,31,66.9
2006-09-15,31,67.78
2006-09-22,32,67.23
2006-09-29,32,68.7
2006-10-06,32,70.91
2006-10-13,26,71.79
2006-10-20,26,70.76
2006-10-27,27,70.82
2006-11-03,29,69.4
2006-11-10,30,71.16
2006-11-17,31,72.01
2006-11-24,26,71.64
2006-12-01,26,70.55
2006-12-08,26,70.87
2006-12-15,26,72.08
2006-12-22,26,71.24
2006-12-29,23,72.02
2007-01-05,23,71.01
2007-01-12,23,68.3
2007-01-19,22,67.85
2007-01-26,22,68.86
2007-02-02,33,69.89
2007-02-09,32,72.64
2007-02-16,25,73.85
2007-02-23,25,72.9
2007-03-02,25,69.69
2007-03-09,21,70.69
2007-03-16,23,68.31
2007-03-23,25,70.85
2007-03-30,40,69.96
2007-04-13,27,70.8
2007-04-20,28,73.09
2007-04-27,28,78.19
2007-05-04,21,79.43
2007-05-11,19,80.45
2007-05-18,19,81.58
2007-05-25,21,80.03
2007-06-01,23,81.9
2007-06-08,28,81.44
2007-06-15,28,83.42
2007-06-22,28,83.31
2007-06-29,28,84.29
2007-07-06,27,83.44
2007-07-13,27,84.33
2007-07-20,23,83
2007-07-27,26,78.01
2007-08-03,28,72.94
2007-08-10,19,75.16
2007-08-17,26,73.64
2007-08-24,32,78.45
2007-08-31,19,76.2
2007-09-07,19,73.5
2007-09-14,31,73.91
2007-09-21,17,76.62
2007-09-28,33,79.2
2007-10-05,31,81.24
2007-10-12,31,79.7
2007-10-19,31,74.06
2007-10-26,31,71.89
2007-11-02,29,64.9
2007-11-09,23,64.68
2007-11-16,29,63.2
2007-11-23,39,52.99
2007-11-30,31,58.53
2007-12-07,24,60.3
2007-12-14,27,52.46
2007-12-21,42,50.16
2007-12-28,27,50.02
2008-01-04,27,49.89
2008-01-11,42,49.69
2008-01-18,36,39.52
2008-01-25,51,44.69
2008-02-01,49,46.44
2008-02-08,61,42.68
2008-02-15,36,38.65
2008-02-22,21,36.86
2008-02-29,32,36.06
2008-03-07,27,32.58
2008-03-14,31,31.47
2008-03-28,25,29.5
2008-04-04,31,30.33
2008-04-11,31,29.95
2008-04-18,24,30.44
2008-04-25,32,32.28
2008-05-02,34,37.78
2008-05-09,23,34.26
2008-05-16,24,35.45
2008-05-23,22,33.87
2008-05-30,20,34.91
2008-06-06,23,32.31
2008-06-13,19,30.58
2008-06-20,20,28.36
2008-06-27,40,23.77
2008-07-11,16,16.25
2008-07-18,32,19.88
2008-07-25,46,18.77
2008-08-01,71,18.47
2008-08-08,43,19.87
2008-08-15,21,20.04
2008-08-22,19,19.5
2008-08-29,26,20.1
2008-09-05,16,19.08
2008-09-12,20,17.78
2008-09-19,25,20.59
2008-09-26,18,18.41
2008-10-03,26,14.99
2008-10-10,99,5.43
2008-10-17,83,9.85
2008-10-24,33,7.21
2008-10-31,21,9.7
2008-11-07,21,8.42
2008-11-14,36,6.14
2008-11-21,20,4.64
2008-11-28,32,5.03
2008-12-05,27,6.05
2008-12-12,100,2.68
2008-12-19,73,4
2008-12-26,17,3.33
2009-01-02,35,3.89
2009-01-09,29,4.3
2009-01-16,26,3.18
2009-01-23,28,3.32
2009-01-30,31,2.9
2009-02-06,23,3.03
2009-02-13,56,4.31
2009-02-20,33,3.38
2009-02-27,22,3.31
2009-03-06,21,2.95
2009-03-13,23,3.99
2009-03-20,18,4.24
2009-03-27,30,6.19
2009-04-03,17,6.13
2009-04-17,18,8.16
2009-04-24,20,8.96
2009-05-01,30,9.84
2009-05-08,29,11.12
2009-05-15,22,8.93
2009-05-22,15,9.86
2009-05-29,17,10.12
2009-06-05,20,10.67
2009-06-12,16,11.63
2009-06-19,15,11.23
2009-06-26,14,10.85
2009-07-10,19,11.05
2009-07-17,19,12.44
2009-07-24,12,13.61
2009-07-31,18,14.08
2009-08-07,11,14.98
2009-08-14,15,15.04
2009-08-21,15,15.77
2009-08-28,18,17.22
2009-09-04,15,16.85
2009-09-11,9,16.98
2009-09-18,16,16.89
2009-09-25,14,16.86
2009-10-02,14,16.78
2009-10-09,17,17.81
2009-10-16,13,17.88
2009-10-23,16,17.18
2009-10-30,18,16.41
2009-11-06,13,17.22
2009-11-13,8,17.45
2009-11-20,23,18
2009-11-27,13,17.7
2009-12-04,14,18.21
2009-12-11,15,18.15
2009-12-18,13,18.21
2010-01-08,16,18.2
2010-01-15,16,17.09
2010-01-22,10,16.48
2010-01-29,9,16.77
2010-02-05,13,16.46
2010-02-12,17,17.64
2010-02-19,9,18.42
2010-02-26,14,18.27
2010-03-05,17,19.34
2010-03-12,13,18.78
2010-03-19,16,18.83
2010-03-26,12,18.89
2010-04-09,19,19.09
2010-04-16,28,19.72
2010-04-23,16,19.96
2010-04-30,16,17.8
2010-05-07,15,17.26
2010-05-14,18,18.8
2010-05-21,13,17.37
2010-05-28,13,17.61
2010-06-04,10,16.41
2010-06-11,15,17.35
2010-06-18,12,17.99
2010-06-25,13,17.39
2010-07-02,16,15.97
2010-07-09,12,17.4
2010-07-16,12,16.8
2010-07-23,10,17.77
2010-07-30,10,17.73
2010-08-06,12,17.99
2010-08-13,14,18
2010-08-20,9,17.63
2010-08-27,10,18.17
2010-09-03,11,19.1
2010-09-10,14,20.24
2010-09-17,12,20.89
2010-09-24,11,21.22
2010-10-01,15,21.55
2010-10-08,13,22.08
2010-10-15,13,22.04
2010-10-22,12,21.98
2010-10-29,9,21.15
2010-11-05,10,20.8
2010-11-12,10,20.13
2010-11-19,8,20.18
2010-11-26,12,19.75
2010-12-03,8,20.55
2010-12-10,6,21.11
2010-12-17,7,21.7
2010-12-31,8,21.82
2011-01-07,8,22.12
2011-01-14,8,23.57
2011-01-21,8,22.69
2011-01-28,9,22.81
2011-02-04,8,23.44
2011-02-11,10,23.24
2011-02-18,12,24.65
2011-02-25,7,23.28
2011-03-04,7,22.95
2011-03-11,7,22.22
2011-03-18,7,21.97
2011-03-25,7,23.12
2011-04-01,12,24.78
2011-04-08,6,25.19
2011-04-15,9,24.47
2011-04-29,8,24.42
2011-05-06,8,23.45
2011-05-13,11,23
2011-05-20,10,23.54
2011-05-27,12,23.21
2011-06-03,8,22.44
2011-06-10,10,20.87
2011-06-17,7,21.32
2011-06-24,10,21.18
2011-07-01,10,22.3
2011-07-08,12,22.11
2011-07-15,9,21.19
2011-07-22,10,21.57
2011-07-29,12,20.52
2011-08-05,8,19.96
2011-08-12,7,19.24
2011-08-19,6,18.76
2011-08-26,6,19.27
2011-09-02,7,19.56
2011-09-09,8,19.25
2011-09-16,9,20.03
2011-09-23,6,18.36
2011-09-30,9,18.8
2011-10-07,6,18.76
2011-10-14,12,19.75
2011-10-21,9,21.54
2011-10-28,7,22.56
2011-11-04,10,21.31
2011-11-11,8,21.2
2011-11-18,11,19.86
2011-11-25,8,18.92
2011-12-02,6,20.75
2011-12-09,6,20.56
2011-12-16,7,19.66
2011-12-23,5,20.27
2011-12-30,6,19.77
2012-01-06,6,19.93
2012-01-13,7,20.26
2012-01-20,8,20.39
2012-01-27,5,20.3
2012-02-03,5,21.02
2012-02-10,6,19.27
2012-02-17,7,19.94
2012-02-24,6,20.08
2012-03-02,7,21.02
2012-03-09,10,21.22
2012-03-16,9,21.87
2012-03-23,5,21.13
2012-03-30,5,21.69
2012-04-13,6,20.81
2012-04-20,7,21.38
