"Date","sell.AMP","Price"
2010-11-19,71,52.41
2010-11-26,72,51.81
2011-01-07,77,60.26
2011-01-14,83,60.88
2011-01-21,89,60.36
2011-01-28,94,60.31
2011-02-04,100,58.08
2011-04-29,68,62.06
2011-05-06,69,61.2
2011-05-13,69,62.4
2011-05-20,70,62.17
2011-05-27,70,60.37
2011-06-03,76,58.23
2011-06-10,81,56.04
2011-06-17,65,56.66
2011-06-24,65,55.4
2011-07-01,65,58.39
2011-07-08,65,58.14
2011-07-15,65,54.05
2011-07-22,64,55.38
2011-07-29,64,54.1
2011-08-05,83,47.18
2011-08-12,61,44.21
2011-08-19,61,39.04
2011-08-26,61,43.45
2011-09-02,65,42.37
2011-09-09,70,41.73
2011-09-16,70,45.07
2011-09-23,81,39.77
2011-09-30,57,39.36
2011-10-07,57,39.06
2011-10-14,62,42.88
2011-10-21,68,43.46
2011-10-28,73,48.74
2011-11-04,66,46.26
2011-11-11,66,47.22
2011-11-18,66,44.21
2011-11-25,65,41.51
2011-12-02,65,45.98
2011-12-09,60,47.1
2011-12-16,60,46.55
2012-01-27,61,53.67
2012-02-03,61,53.65
2012-02-10,76,54.19
2012-02-17,51,56.54
2012-02-24,51,56.41
2012-03-02,51,55.84
2012-03-09,62,56.08
2012-03-16,65,57.72
2012-03-23,68,57.1
2012-03-30,71,57.13
2012-04-13,94,53.13
2012-04-20,56,53.45
2012-04-27,56,54.08
2012-05-04,56,52
2012-05-11,55,50.47
2012-05-18,55,46.41
2012-05-25,55,47.78
2012-06-01,60,45.81
2012-06-08,64,48.53
2012-06-15,69,49.75
2012-06-22,65,50.82
2012-06-29,65,52.26
2012-07-06,65,50.96
2012-07-13,50,51.11
2012-07-20,50,50.3
2012-07-27,55,52.53
2012-08-03,61,52.63
2012-08-10,66,54.5
2012-08-17,72,55.3
2012-08-24,81,55.18
2012-08-31,49,54.91
2012-09-07,73,56.47
2012-09-14,62,59.2
2012-09-21,57,57.6
2012-09-28,47,56.69
2012-10-05,52,57.83
2012-10-12,45,55.96
2012-10-19,59,57.8
2012-10-26,73,59.3
2012-11-02,54,60.12
2012-11-09,67,58.05
2012-11-16,54,58.38
2012-11-23,90,61
2012-11-30,73,60.67
2012-12-07,73,62.35
2012-12-14,58,61.22
2012-12-21,58,62.67
2012-12-28,60,62.19
2013-01-04,61,65.95
2013-01-11,55,65.07
2013-01-18,70,65.9
2013-01-25,41,67.38
2013-02-01,43,67.15
2013-02-08,45,66.49
2013-02-15,54,68.77
2013-02-22,64,67.93
2013-03-01,44,68.08
2013-03-08,44,72.09
2013-03-15,87,74.33
2013-03-22,55,73.65
2013-04-05,65,71.48
2013-04-12,88,74.73
2013-04-19,44,72.18
2013-04-26,68,73.48
2013-05-03,53,75.8
2013-05-10,40,78.2
2013-05-17,40,81.69
2013-05-24,71,80.2
2013-05-31,44,81.52
2013-06-07,59,83.07
2013-06-14,64,81.86
2013-06-21,68,79.16
2013-06-28,52,80.88
2013-07-05,41,83.1
2013-07-12,66,86.6
2013-07-19,92,86.31
2013-07-26,61,88.18
2013-08-02,61,91.21
2013-08-09,45,90.08
2013-08-16,58,88.23
2013-08-23,56,89.03
2013-08-30,47,86.15
2013-09-06,58,87.59
2013-09-13,84,90.8
2013-09-20,64,92.22
2013-09-27,88,91.43
2013-10-04,49,92.89
2013-10-11,72,94.3
2013-10-18,65,99.75
2013-10-25,74,99.56
2013-11-01,42,101.06
2013-11-08,70,103.12
2013-11-15,60,105.47
2013-11-22,51,107.58
2013-11-29,37,108.25
2013-12-06,43,108.99
2013-12-13,70,106.68
2013-12-20,64,111.81
2013-12-27,52,113.94
2014-01-03,52,113.9
2014-01-10,61,115.06
2014-01-17,60,113.37
2014-01-24,84,106.79
2014-01-31,70,105.64
2014-02-07,55,107.61
2014-02-14,55,107.09
2014-02-21,52,106.81
2014-02-28,66,108.99
2014-03-07,38,112.65
2014-03-14,52,108.25
2014-03-21,49,111.78
2014-03-28,59,108.81
2014-04-04,41,111.42
2014-04-11,76,101.74
2014-04-25,75,103.53
