"Date","sell.F","Price"
2008-09-05,79,4.41
2009-05-01,59,5.69
2009-05-08,63,6.24
2009-05-15,77,5.49
2009-05-22,51,5.26
2009-05-29,51,5.75
2009-08-07,58,8.01
2009-08-14,52,7.83
2009-08-21,59,7.74
2009-08-28,66,7.73
2009-09-04,72,7.43
2009-09-11,61,7.33
2009-09-18,61,6.94
2009-09-25,61,7.29
2009-10-02,61,6.84
2009-10-09,61,7.12
2009-10-16,46,7.42
2009-10-23,50,7.63
2009-10-30,54,7
2009-11-06,49,7.75
2009-11-13,74,8.41
2009-11-20,70,8.64
2009-11-27,54,8.73
2010-01-08,43,11.69
2010-01-15,41,11.6
2010-01-22,41,10.52
2010-01-29,45,10.84
2010-03-12,56,13.34
2010-03-19,64,13.29
2010-03-26,48,13.86
2010-04-09,46,12.72
2010-04-16,44,13.42
2010-04-23,44,14.21
2010-04-30,40,13.02
2010-05-07,57,11.51
2010-05-14,70,12.11
2010-05-21,45,11.26
2010-05-28,45,11.73
2010-06-04,56,11.5
2010-06-11,66,11.4
2010-06-18,41,11.46
2010-06-25,41,10.75
2010-07-02,43,10.28
2010-07-09,44,10.85
2010-07-16,59,11.34
2010-07-23,59,12.72
2010-07-30,59,12.77
2010-08-06,51,13.04
2010-08-13,39,12.15
2010-08-20,39,11.77
2010-08-27,75,11.56
2010-09-03,44,12.07
2010-09-10,44,11.79
2010-09-17,46,12.49
2010-09-24,42,12.56
2010-10-01,38,12.26
2010-10-08,38,13.66
2010-10-15,50,13.8
2010-10-22,61,13.95
2010-10-29,78,14.13
2010-11-05,41,16.21
2010-11-12,40,16.3
2010-11-19,50,16.28
2010-11-26,64,16.1
2010-12-03,52,16.8
2010-12-10,53,16.73
2010-12-17,50,16.8
2010-12-31,68,16.79
2011-01-07,56,18.27
2011-01-14,53,18.65
2011-01-21,53,17.95
2011-01-28,68,16.27
2011-02-04,62,15.72
2011-02-11,52,16.38
2011-02-18,63,15.77
2011-02-25,69,15.07
2011-03-04,54,14.42
2011-03-11,54,14.36
2011-03-18,36,14.49
2011-03-25,51,15.01
2011-04-01,36,15.16
2011-04-08,40,15.33
2011-04-15,58,14.71
2011-04-29,34,15.47
2011-05-06,72,15.11
2011-05-13,42,15.08
2011-05-20,63,15
2011-05-27,42,14.6
2011-06-03,52,14.01
2011-06-10,53,13.35
2011-06-17,81,12.77
2011-06-24,42,13.24
2011-07-01,63,14.02
2011-07-08,30,13.88
2011-07-15,37,13.09
2011-07-22,42,13.31
2011-07-29,69,12.21
2011-08-05,63,10.84
2011-08-12,53,11.06
2011-08-19,70,9.99
2011-08-26,40,10.4
2011-09-02,82,10.42
2011-09-09,60,10.05
2011-09-16,49,10.62
2011-09-23,65,9.86
2011-09-30,76,9.67
2011-10-07,56,10.69
2011-10-14,78,11.56
2011-10-21,56,12.26
2011-10-28,53,12
2011-11-04,47,11.27
2011-11-11,82,11.14
2011-11-18,54,10.1
2011-11-25,68,9.75
2011-12-02,72,10.9
2011-12-09,33,11.03
2011-12-16,64,10.25
2011-12-23,64,10.95
2011-12-30,73,10.76
2012-01-06,51,11.71
2012-01-13,54,12.04
2012-01-20,65,12.59
2012-01-27,91,12.21
2012-02-03,79,12.79
2012-02-10,57,12.44
2012-02-17,47,12.75
2012-02-24,42,12.23
2012-03-02,63,12.72
2012-03-09,84,12.58
2012-03-16,65,12.51
2012-03-23,55,12.32
2012-03-30,33,12.48
2012-04-13,64,11.92
2012-04-20,61,11.41
2012-04-27,54,11.6
2012-05-04,48,10.67
2012-05-11,65,10.58
2012-05-18,44,10.01
2012-05-25,57,10.6
2012-06-01,59,10.12
2012-06-08,58,10.66
2012-06-15,81,10.35
2012-06-22,77,10.19
2012-06-29,51,9.59
2012-07-06,52,9.5
2012-07-13,63,9.27
2012-07-20,72,9.21
2012-07-27,53,9
2012-08-03,76,9.09
2012-08-10,83,9.35
2012-08-17,67,9.63
2012-08-24,63,9.49
2012-08-31,60,9.34
2012-09-07,64,10.14
2012-09-14,62,10.53
2012-09-21,74,10.4
2012-09-28,55,9.86
2012-10-05,51,10.16
2012-10-12,68,10.12
2012-10-19,44,10.18
2012-10-26,64,10.36
2012-11-02,48,11.17
2012-11-09,44,10.93
2012-11-16,76,10.5
2012-11-23,63,11.1
2012-11-30,64,11.45
2012-12-07,71,11.48
2012-12-14,53,11.1
2012-12-21,61,11.86
