"Date","Edwards.Lifesciences","Price"
2004-10-01,100,33.57
2005-08-05,76,44.54
2005-08-12,64,44.02
2005-08-19,64,43.01
2005-08-26,64,43.12
2005-09-02,64,43.8
2005-11-04,63,41.9
2005-11-11,69,42.13
2005-11-18,74,41.69
2005-11-25,79,41.3
2005-12-02,85,41.9
2006-01-20,59,42.2
2006-01-27,59,42.55
2006-02-03,59,46.2
2006-03-31,45,43.5
2006-04-07,45,43.26
2006-04-21,45,45.5
2006-04-28,45,44.44
2006-05-05,46,44.32
2006-05-12,47,43.98
2006-05-19,48,44.24
2006-06-30,54,45.43
2006-07-07,53,44.91
2006-07-14,53,44.21
2006-07-21,53,45.15
2006-07-28,53,43.98
2006-08-04,53,44.7
2006-08-11,44,45.2
2006-08-18,44,46.13
2006-09-29,46,46.59
2006-10-06,39,47.45
2006-10-13,40,46.97
2006-10-20,41,44.4
2006-10-27,37,44.04
2006-11-03,37,43.35
2006-11-10,46,43.19
2006-11-17,41,44.06
2006-11-24,41,44.93
2006-12-01,41,45.97
2006-12-08,41,46.6
2007-01-19,54,49.26
2007-01-26,42,51.02
2007-02-02,40,51.83
2007-02-09,40,50.59
2007-02-16,44,52.41
2007-02-23,32,51.7
2007-03-02,39,50.31
2007-03-09,39,49.69
2007-03-16,39,48.77
2007-03-23,42,49.76
2007-03-30,42,50.7
2007-04-13,53,52.27
2007-04-20,53,51.95
2007-04-27,35,48.86
2007-05-04,33,48.81
2007-05-11,33,49.09
2007-05-18,33,49.82
2007-05-25,33,50.38
2007-06-01,27,50.38
2007-06-08,38,49.68
2007-06-15,38,49.3
2007-06-22,33,49.14
2007-06-29,33,49.34
2007-07-06,33,50.25
2007-07-13,35,49.9
2007-07-20,36,50.01
2007-07-27,46,46.44
2007-08-03,41,46.35
2007-08-10,30,46.26
2007-08-17,41,47
2007-08-24,31,48.04
2007-08-31,36,48.3
2007-09-07,40,48.3
2007-09-14,34,47.87
2007-09-21,29,48.75
2007-09-28,29,49.31
2007-10-05,31,51.52
2007-10-12,28,49.77
2007-10-19,39,49.63
2007-10-26,39,49.49
2007-11-02,39,50.19
2007-11-09,24,49.9
2007-11-16,30,50.44
2007-11-23,41,49.69
2007-11-30,51,49.45
2007-12-07,49,48.49
2007-12-14,28,48.98
2007-12-21,28,47.62
2007-12-28,28,46.18
2008-01-04,28,45.31
2008-01-11,28,45.87
2008-01-18,33,46.51
2008-01-25,23,45.69
2008-02-01,21,46.45
2008-02-08,27,44.24
2008-02-15,33,42.79
2008-02-22,20,43.02
2008-02-29,26,43.61
2008-03-07,30,43.45
2008-03-14,55,44.01
2008-03-28,32,44.86
2008-04-04,27,45.79
2008-04-11,35,46.43
2008-04-18,31,48.21
2008-04-25,41,56.01
2008-05-02,34,55.55
2008-05-09,39,55.81
2008-05-16,27,56.62
2008-05-23,30,55.61
2008-05-30,37,57.71
2008-06-06,21,59.67
2008-06-13,21,60.24
2008-06-20,37,60.4
