"Date","ALXN","Price"
2011-02-18,41,94.64
2011-04-08,38,102.38
2011-10-14,39,66.8
2011-10-21,37,68.38
2011-10-28,40,67.93
2011-11-04,39,66.04
2011-11-11,39,64.25
2011-11-18,40,64.12
2011-11-25,40,63.87
2011-12-02,41,66.98
2011-12-09,41,65.06
2011-12-16,41,66.37
2011-12-23,41,69.08
2011-12-30,41,71.5
2012-01-06,41,74.45
2012-01-13,33,74.62
2012-01-20,35,73.58
2012-01-27,37,75.4
2012-02-03,39,78.88
2012-02-10,71,83.45
2012-02-17,30,81
2012-02-24,30,84.63
2012-03-02,30,85.26
2012-03-09,30,84.73
2012-03-16,43,89.01
2012-03-23,56,93.82
2012-03-30,53,92.86
2012-04-13,43,89.02
2012-04-20,53,91.76
2012-04-27,64,90.56
2012-05-04,63,87.28
2012-05-11,38,86.29
2012-05-18,32,84.26
2012-05-25,32,92.42
2012-06-01,34,87.6
2012-06-08,36,92.43
2012-06-15,37,93.31
2012-06-22,52,95.95
2012-06-29,41,99.3
2012-07-06,41,101.25
2012-07-13,40,97.35
2012-07-20,51,99.35
2012-07-27,62,108.97
2012-08-03,44,106.96
2012-08-10,33,103.42
2012-08-17,39,102.31
2012-08-24,37,106.74
2012-08-31,37,107.21
2012-09-07,37,110.61
2012-09-14,28,110.47
2012-09-21,39,114.21
2012-09-28,36,114.4
2012-10-05,52,118.15
2012-10-12,61,111.19
2012-10-19,50,107.62
2012-10-26,85,95.26
2012-11-02,53,89.09
2012-11-09,42,90.8
2012-11-16,49,90.91
2012-11-23,55,94.71
2012-11-30,28,96.02
2012-12-07,35,91.5
2012-12-14,33,93.4
2012-12-21,33,93.88
2012-12-28,33,92.36
2013-01-04,33,97.62
2013-01-11,36,100.39
2013-01-18,38,97.42
2013-01-25,41,94.68
2013-02-01,26,97.87
2013-02-08,36,93.66
2013-02-15,51,86.01
2013-02-22,28,87.44
2013-03-01,37,86.77
2013-03-08,45,91.06
2013-03-15,28,93.66
2013-03-22,28,93.48
2013-04-05,52,99.2
2013-04-12,49,100.1
2013-04-19,47,92.6
2013-04-26,47,99.34
2013-05-03,38,98.17
2013-05-10,38,104.14
2013-05-17,79,102.9
2013-05-24,32,99.17
2013-05-31,49,97.58
2013-06-07,28,94.38
2013-06-14,31,92.22
2013-06-21,33,88.49
2013-06-28,26,92.24
2013-07-05,49,96.45
2013-07-12,72,114.26
2013-07-19,100,112.17
2013-07-26,60,112.5
2013-08-02,66,117.28
2013-08-09,34,114.09
2013-08-16,31,105
2013-08-23,31,105.46
2013-08-30,39,107.76
2013-09-06,22,111.56
2013-09-13,22,114.14
2013-09-20,26,113.65
2013-09-27,29,116.42
2013-10-04,24,116.44
2013-10-11,31,108.81
2013-10-18,39,108.43
2013-10-25,47,125.17
2013-11-01,29,123.36
2013-11-08,32,117.43
2013-11-15,23,124.07
2013-11-22,23,122.79
2013-11-29,35,124.5
2013-12-06,25,125.45
2013-12-13,37,123.69
2013-12-20,27,130.64
2013-12-27,30,131.57
2014-01-03,34,131.72
2014-01-10,38,135.21
2014-01-17,42,139.71
2014-01-24,35,133.64
2014-01-31,74,158.73
2014-02-07,54,163.63
2014-02-14,69,180.55
2014-02-21,49,181.52
2014-02-28,55,176.8
2014-03-07,74,168.05
2014-03-14,61,175.28
2014-03-21,59,159.79
2014-03-28,79,149.42
2014-04-04,61,142.5
2014-04-11,63,139.61
2014-04-25,73,153.19
