"Date","TSO","Price"
2004-02-06,67,15
2004-02-13,74,16.03
2004-02-20,63,16.5
2004-02-27,62,18.25
2004-03-05,57,19.17
2004-03-12,64,17.44
2004-03-19,65,17.95
2004-03-26,50,17.98
2004-04-02,60,18.13
2004-04-16,47,21.25
2004-04-23,57,20.9
2004-04-30,51,20.31
2004-05-07,60,20.51
2004-05-14,42,22.07
2004-05-21,48,21.85
2004-05-28,68,23.82
2004-06-04,54,22.91
2004-06-18,54,24.55
2004-06-25,62,26.5
2004-07-02,66,28.01
2004-07-09,48,28.9
2004-07-16,75,30.83
2004-07-23,50,27.88
2004-07-30,61,29
2004-08-06,58,22.61
2004-08-13,63,23.75
2004-08-20,58,23.52
2004-08-27,59,23.71
2004-09-03,58,24.25
2004-09-10,55,25.17
2004-09-17,70,27.81
2004-09-24,64,29.85
2004-10-01,69,30.1
2004-10-08,70,31.38
2004-10-15,54,28.8
2004-10-22,72,30.75
2004-10-29,58,30.28
2004-11-05,50,29.13
2004-11-12,60,30.48
2004-11-19,68,32.11
2004-11-26,79,33.72
2004-12-03,74,31.28
2004-12-10,71,30.49
2004-12-17,76,31.75
2004-12-31,72,31.86
2005-01-07,54,29.04
2005-01-14,62,29.55
2005-01-21,67,30.05
2005-01-28,47,31.31
2005-02-04,60,32.44
2005-02-11,52,33.31
2005-02-18,63,34.38
2005-02-25,65,36.76
2005-03-04,53,37.39
2005-03-11,51,35.22
2005-03-18,56,35.21
2005-04-01,52,40.36
2005-04-08,54,40.1
2005-04-15,55,35.01
2005-04-22,51,39.22
2005-04-29,54,37.94
2005-05-06,44,39.7
2005-05-13,50,37.96
2005-05-20,58,39.7
2005-05-27,52,44.09
2005-06-03,47,46.1
2005-06-10,48,46.75
2005-06-17,61,49.43
2005-06-24,61,48
2005-07-01,63,47.9
2005-07-08,51,48.2
2005-07-15,61,47.57
2005-07-22,60,48.79
2005-07-29,61,48.22
2005-08-05,60,53.43
2005-08-12,55,54.98
2005-08-19,62,51.61
2005-08-26,59,51.5
2005-09-02,59,59.05
2005-09-09,57,67.39
2005-09-16,65,62.53
2005-09-23,68,67.24
2005-09-30,60,67.24
2005-10-07,63,61.45
2005-10-14,57,57.34
2005-10-21,55,55.26
2005-10-28,59,58.87
2005-11-04,68,58.57
2005-11-11,58,53.94
2005-11-18,77,55.8
2005-11-25,59,58.09
2005-12-02,79,58.45
2005-12-09,98,57.84
2005-12-16,100,57.54
2005-12-23,93,62.03
2005-12-30,61,61.55
2006-01-06,51,66.9
2006-01-13,57,70.69
2006-01-20,54,71.35
2006-01-27,62,70.06
2006-02-03,68,65.25
2006-02-10,55,60.82
2006-02-17,54,62.8
2006-02-24,67,63.23
2006-03-03,60,62.39
2006-03-10,63,61.16
2006-03-17,53,64.88
2006-03-24,66,64.98
2006-03-31,54,68.34
2006-04-07,50,70.16
2006-04-21,50,75
2006-04-28,57,69.92
2006-05-05,64,71.01
2006-05-12,59,69.3
2006-05-19,49,64.49
2006-05-26,51,67.11
2006-06-02,50,70.22
2006-06-09,50,64.28
2006-06-16,51,64.85
2006-06-23,50,68.01
2006-06-30,56,74.36
