"Date","XRX","Price"
2004-04-23,94,13.18
2004-04-30,95,13.43
2004-05-07,97,12.96
2004-05-14,98,12.85
2004-05-21,99,13.35
2004-05-28,100,13.54
2004-07-30,87,13.86
2005-03-11,57,15.1
2005-03-18,63,14.73
2005-04-01,76,14.97
2005-05-27,56,13.83
2005-06-03,53,13.56
2005-06-10,53,13.9
2005-06-17,54,14.23
2005-06-24,56,13.91
2005-07-01,57,13.66
2005-07-08,58,13.72
2005-07-15,60,13.81
2005-07-22,61,14.05
2005-07-29,55,13.21
2005-08-05,60,13.51
2005-08-12,65,13.84
2005-08-19,51,13.75
2005-08-26,51,13.11
2005-09-02,51,13.44
2005-09-09,51,13.43
2005-09-16,52,13.99
2005-09-23,53,13.78
2005-09-30,54,13.65
2005-10-07,55,13.83
2005-10-14,56,13.39
2005-10-21,50,13.45
2005-10-28,59,13.25
2005-11-04,50,13.89
2005-11-11,49,14
2005-11-18,49,14.26
2005-11-25,49,14.16
2005-12-02,46,14.53
2006-01-13,49,15
2006-01-20,51,14.29
2006-01-27,53,14.1
2006-02-03,54,14.25
2006-02-10,45,14.5
2006-03-31,50,15.2
2006-04-07,54,14.74
2006-04-21,44,14.8
2006-04-28,46,14.04
2006-05-05,37,14.76
2006-05-12,36,14.13
2006-05-19,36,13.62
2006-05-26,36,13.79
2006-06-02,36,13.99
2006-06-09,36,13.63
2006-06-16,36,13.67
2006-06-23,45,13.6
2006-06-30,53,13.91
2006-07-07,44,14.12
2006-07-14,40,13.48
2006-07-21,40,13.31
2006-07-28,43,14.25
2006-08-04,46,14.41
2006-08-11,33,14.42
2006-08-18,33,14.8
2006-08-25,33,14.61
2006-09-01,32,14.91
2006-09-08,32,14.9
2006-09-15,32,14.85
2006-09-22,40,15.29
2006-09-29,41,15.56
2006-10-06,43,15.68
2006-10-13,30,16.14
2006-10-20,53,16
2006-10-27,29,16.7
2006-11-03,41,16.74
2006-11-10,60,16.9
2006-11-17,44,17.14
2006-11-24,40,16.62
2006-12-01,49,16.39
2006-12-08,49,16.98
2006-12-15,64,17.1
2006-12-22,33,17.11
2006-12-29,33,16.95
2007-01-05,33,16.73
2007-01-12,36,17.01
2007-01-19,63,16.87
2007-01-26,58,17.03
2007-02-02,48,17.23
2007-02-09,46,17.41
2007-02-16,65,18.09
2007-02-23,53,17.88
2007-03-02,57,16.88
2007-03-09,48,17.05
2007-03-16,56,16.75
2007-03-23,36,17.34
2007-03-30,58,16.89
2007-04-13,48,17.66
2007-04-20,56,18.6
2007-04-27,44,18.22
2007-05-04,57,18.09
2007-05-11,64,17.93
2007-05-18,45,18.28
2007-05-25,45,18.7
2007-06-01,24,18.97
2007-06-08,48,19.26
2007-06-15,47,18.89
2007-06-22,52,19
2007-06-29,45,18.48
2007-07-06,44,19.14
2007-07-13,65,19.9
2007-07-20,64,19.57
2007-07-27,63,17.11
2007-08-03,37,16.91
2007-08-10,37,16.07
2007-08-17,35,16.21
2007-08-24,37,16.85
2007-08-31,45,17.13
2007-09-07,34,17.02
2007-09-14,31,16.99
2007-09-21,25,17.02
2007-09-28,43,17.34
2007-10-05,49,17.54
2007-10-12,43,17.24
2007-10-19,37,16.67
2007-10-26,52,16.89
2007-11-02,46,17.19
2007-11-09,32,15.88
2007-11-16,38,15.82
2007-11-23,46,16.56
2007-11-30,43,16.88
2007-12-07,32,17.55
2007-12-14,22,16.17
2007-12-21,28,16.44
2007-12-28,34,16.34
2008-01-04,26,15.11
2008-01-11,36,14.28
2008-01-18,31,13.26
2008-01-25,64,14.46
2008-02-01,31,15.79
2008-02-08,48,15.33
2008-02-15,41,14.92
2008-02-22,37,14.87
2008-02-29,33,14.7
2008-03-07,28,13.87
2008-03-14,39,14.16
2008-03-28,54,14.88
2008-04-04,42,15.1
2008-04-11,42,14.71
2008-04-18,42,14.57
2008-04-25,49,14.02
2008-05-02,37,14.45
2008-05-09,30,14.23
2008-05-16,35,14.41
2008-05-23,53,13.47
2008-05-30,39,13.58
2008-06-06,49,13.39
2008-06-13,23,13.72
2008-06-20,30,14.02
2008-06-27,30,13.53
2008-07-11,45,13.06
2008-07-18,43,13.7
2008-07-25,32,13.55
2008-08-01,30,13.53
2008-08-08,38,14.28
2008-08-15,37,14.39
2008-08-22,32,14.03
2008-08-29,31,13.93
2008-09-05,20,13.76
2008-09-12,36,13.39
2008-09-19,32,13.04
2008-09-26,31,11.82
2008-10-03,35,10
2008-10-10,48,7.87
2008-10-17,46,8.39
2008-10-24,45,7.45
2008-10-31,49,8.02
2008-11-07,34,7.32
2008-11-14,40,6.36
2008-11-21,31,5.25
2008-11-28,35,6.99
2008-12-05,19,6.99
2008-12-12,26,7.75
2008-12-19,21,7.79
2008-12-26,32,7.68
2009-01-02,19,8.38
2009-01-09,34,8.73
