"Date","buy.WU","Price"
2007-06-08,86,22.16
2007-06-15,74,22.89
2007-06-22,74,20.97
2007-06-29,74,20.83
2007-07-06,74,20.31
2007-07-13,66,20.66
2007-11-16,49,22.64
2007-11-23,51,21.68
2007-11-30,53,22.6
2007-12-07,55,22.71
2007-12-14,58,23.66
2008-04-11,56,20.28
2008-09-05,52,26.86
2008-09-12,42,25.51
2008-09-19,42,25.72
2008-09-26,42,25.23
2008-10-03,42,21.24
2008-10-10,43,18.13
2008-10-17,44,19.21
2008-10-24,45,14.53
2008-10-31,47,15.26
2008-11-07,41,15.49
2008-12-19,40,13.83
2008-12-26,38,14.01
2009-01-02,38,15.2
2009-01-09,38,15.03
2009-01-16,38,14.74
2009-01-23,100,13.77
2009-01-30,44,13.66
2009-02-06,44,12.84
2009-02-13,36,12.58
2009-02-20,36,11.42
2009-02-27,35,11.16
2009-03-06,35,10.43
2009-03-13,35,12
2009-05-29,38,17.63
2009-09-11,39,18.87
2009-12-11,32,19.07
2009-12-18,30,19.13
2010-02-12,35,16.12
2010-02-19,30,16.35
2010-02-26,30,15.78
2010-03-05,30,16.31
2010-04-23,51,17.78
2010-04-30,31,18.25
2010-05-07,31,16.55
2010-05-14,31,16.64
2010-05-21,31,15.9
2010-05-28,31,15.96
2010-07-23,29,16.31
2010-07-30,29,16.23
2010-08-06,29,16.29
2010-08-13,31,15.98
2010-08-20,31,15.94
2010-08-27,32,16.03
2010-09-03,32,16.48
2010-09-10,27,16.36
2010-09-17,28,16.98
2010-09-24,29,17.55
2010-10-01,30,17.68
2010-10-08,27,17.74
2010-10-15,27,17.89
2010-10-22,27,17.9
2010-10-29,27,17.59
2010-11-05,27,18.24
2010-11-12,25,18.11
2010-11-19,29,18.09
2010-11-26,31,18.15
2010-12-03,33,18.25
2010-12-10,27,18.71
2010-12-17,25,18.28
2010-12-31,58,18.57
2011-01-07,34,19.19
2011-01-14,34,19.26
2011-01-21,23,19.31
2011-01-28,23,19.75
2011-02-04,28,20.96
2011-02-11,24,21.4
2011-02-18,24,21.66
2011-02-25,24,21.72
2011-03-04,30,21.72
