"Date","buy.V","Price"
2008-03-28,9,62.76
2008-04-04,10,64.48
2008-04-11,9,66.11
2008-04-18,10,69
2008-04-25,9,75.1
2008-05-02,10,82.75
2008-05-09,11,82.86
2008-05-16,10,82.37
2008-05-23,10,76.35
2008-05-30,10,86.36
2008-06-06,8,83.65
2008-06-13,9,81.53
2008-06-20,10,83.57
2008-06-27,8,82.6
2008-07-11,11,74.55
2008-07-18,11,73.4
2008-07-25,9,71.96
2008-08-01,10,71.73
2008-08-08,12,72.6
2008-08-15,11,75.79
2008-08-22,12,74.09
2008-08-29,10,75.9
2008-09-05,8,71.76
2008-09-12,10,71.65
2008-09-19,10,69.57
2008-09-26,9,62.04
2008-10-03,8,56.84
2008-10-10,11,52
2008-10-17,9,52.22
2008-10-24,11,47.98
2008-10-31,9,55.35
2008-11-07,9,53.5
2008-11-14,10,54.24
2008-11-21,10,46.38
2008-11-28,11,52.56
2008-12-05,12,53.18
2008-12-12,13,52.95
2008-12-19,12,54.97
2008-12-26,12,53.25
2009-01-02,11,53.44
2009-01-09,11,55.62
2009-01-16,11,47.41
2009-01-23,9,44.32
2009-01-30,10,49.35
2009-02-06,9,55.41
2009-02-13,9,55.95
2009-02-20,10,55.66
2009-02-27,12,56.71
2009-03-06,12,50.19
2009-03-13,11,52.05
2009-03-20,9,52.53
2009-03-27,10,54.25
2009-04-03,10,60.08
2009-04-17,9,58
2009-04-24,10,60.38
2009-05-01,8,65.01
2009-05-08,10,68.43
2009-05-15,10,65.07
2009-05-22,10,65.75
2009-05-29,8,67.71
2009-06-05,10,69.28
2009-06-12,9,64.36
2009-06-19,11,61.37
2009-06-26,10,63.82
2009-07-10,9,59.86
2009-07-17,11,64.1
2009-07-24,12,67.29
2009-07-31,11,65.46
2009-08-07,12,69.17
2009-08-14,13,67.8
2009-08-21,12,69
2009-08-28,12,70.5
2009-09-04,10,70.36
2009-09-11,9,72.29
2009-09-18,10,73.79
2009-09-25,11,70.66
2009-10-02,10,67.79
2009-10-09,12,72.94
2009-10-16,12,74.29
2009-10-23,11,74.12
2009-10-30,13,75.76
2009-11-06,10,79.67
2009-11-13,12,80
2009-11-20,11,80
2009-11-27,15,80.33
2009-12-04,12,80.27
2009-12-11,12,81.34
2009-12-18,12,88.97
2010-01-08,10,87
2010-01-15,10,86.14
2010-01-22,13,82.73
2010-01-29,11,82.03
2010-02-05,13,82.56
2010-02-12,13,84.78
2010-02-19,11,86.81
2010-02-26,8,85.28
2010-03-05,17,88.51
2010-03-12,11,93.25
2010-03-19,11,88.84
2010-03-26,10,90.25
2010-04-09,11,92.52
2010-04-16,9,93.85
2010-04-23,10,96.59
2010-04-30,12,90.23
2010-05-07,11,82.29
2010-05-14,10,77.26
2010-05-21,10,74.2
2010-05-28,10,72.46
2010-06-04,10,72.13
2010-06-11,10,76.08
2010-06-18,11,77.04
2010-06-25,9,76.66
2010-07-02,10,73.18
2010-07-09,11,77.38
2010-07-16,11,71.45
2010-07-23,11,75.59
2010-07-30,10,73.35
2010-08-06,13,72.14
2010-08-13,12,72.22
2010-08-20,13,70.1
2010-08-27,12,71.11
2010-09-03,12,72.5
2010-09-10,13,68.09
2010-09-17,13,68.49
2010-09-24,15,72.37
2010-10-01,13,73.32
2010-10-08,11,74
2010-10-15,12,77.6
2010-10-22,13,79.29
2010-10-29,11,78.16
2010-11-05,12,79.8
2010-11-12,11,76.94
2010-11-19,13,77.05
2010-11-26,17,75.48
2010-12-03,13,77.35
2010-12-10,12,80.2
2010-12-17,14,66.9
2010-12-31,13,70.38
2011-01-07,14,72.96
2011-01-14,14,71.12
2011-01-21,11,70.15
2011-01-28,13,69.46
2011-02-04,14,72.9
2011-02-11,14,74.93
2011-02-18,13,75.83
2011-02-25,13,74.68
2011-03-04,20,74.69
2011-03-11,16,72.51
2011-03-18,14,71.42
2011-03-25,15,72.09
2011-04-01,14,74.22
2011-04-08,11,76.72
2011-04-15,12,76.47
2011-04-29,11,78.12
2011-05-06,12,79.41
2011-05-13,11,79.91
2011-05-20,14,78.23
2011-05-27,14,79.8
2011-06-03,12,79.13
2011-06-10,11,74.69
2011-06-17,13,74.43
2011-06-24,12,73.37
2011-07-01,14,87.97
2011-07-08,12,89.73
2011-07-15,13,88.75
2011-07-22,12,89.52
2011-07-29,12,85.54
2011-08-05,12,83.41
2011-08-12,13,83.83
2011-08-19,15,79.6
2011-08-26,12,85.85
2011-09-02,11,85.55
2011-09-09,13,86.35
2011-09-16,12,90.85
2011-09-23,12,90.08
2011-09-30,12,85.72
2011-10-07,11,86.25
2011-10-14,13,93.92
2011-10-21,13,93.43
2011-10-28,13,95.1
2011-11-04,13,92.64
2011-11-11,15,95.16
2011-11-18,16,90.81
2011-11-25,18,89.02
2011-12-02,15,97.2
2011-12-09,15,97.19
2011-12-16,13,97.44
2011-12-23,16,102.48
2011-12-30,17,101.53
2012-01-06,14,100.71
2012-01-13,14,100.74
2012-01-20,13,100.58
2012-01-27,15,101.05
2012-02-03,13,107.03
2012-02-10,14,113.9
2012-02-17,13,115.01
2012-02-24,13,117.54
2012-03-02,13,116.16
2012-03-09,14,117.17
2012-03-16,14,116.68
2012-03-23,13,118.78
2012-03-30,12,118
2012-04-13,12,123.16
2012-04-20,12,121.01
2012-04-27,15,123.52
2012-05-04,15,117.79
2012-05-11,13,117.92
2012-05-18,13,112.64
2012-05-25,12,119.37
2012-06-01,12,112.25
2012-06-08,15,116.58
2012-06-15,13,118.4
2012-06-22,14,124.95
2012-06-29,14,123.63
2012-07-06,13,125.28
2012-07-13,15,124.09
2012-07-20,16,125.75
2012-07-27,14,129.14
2012-08-03,15,130.98
2012-08-10,15,129.09
2012-08-17,16,128.69
2012-08-24,16,126.66
2012-08-31,15,128.25
2012-09-07,13,129.71
2012-09-14,14,134.25
2012-09-21,14,135
2012-09-28,13,134.28
2012-10-05,14,140.26
2012-10-12,13,139.12
2012-10-19,13,139.97
2012-10-26,15,138.31
2012-11-02,12,143.4
2012-11-09,14,142.93
2012-11-16,14,142.71
2012-11-23,18,148.12
2012-11-30,15,149.71
2012-12-07,16,148.55
2012-12-14,15,146.82
2012-12-21,15,150.77
2012-12-28,18,148.65
2013-01-04,15,156.77
2013-01-11,14,161.16
2013-01-18,12,158.27
2013-01-25,15,159.84
2013-02-01,14,158.56
2013-02-08,15,157.8
2013-02-15,12,157.99
2013-02-22,13,159.43
2013-03-01,16,158.08
2013-03-08,14,160.67
2013-03-15,13,158.55
2013-03-22,13,160.09
2013-04-05,13,165.16
2013-04-12,15,165.75
2013-04-19,12,163.96
2013-04-26,13,167.23
2013-05-03,13,179.54
2013-05-10,12,178.75
2013-05-17,13,184.57
2013-05-24,12,180.45
2013-05-31,12,178.14
2013-06-07,12,179.94
2013-06-14,12,180.93
2013-06-21,12,179.5
2013-06-28,12,182.75
2013-07-05,12,190.79
2013-07-12,14,190.72
2013-07-19,14,189.92
2013-07-26,15,193.2
2013-08-02,13,184
2013-08-09,13,179.81
2013-08-16,16,173.13
2013-08-23,15,179.1
2013-08-30,16,174.42
2013-09-06,15,176.67
2013-09-13,20,189
2013-09-20,95,198.83
2013-09-27,100,193.05
2013-10-04,70,190.48
2013-10-11,56,192.2
2013-10-18,50,200.45
2013-10-25,40,203.06
2013-11-01,37,199.16
2013-11-08,35,198.29
2013-11-15,30,202
2013-11-22,27,202.12
2013-11-29,27,203.46
2013-12-06,23,201.87
2013-12-13,23,207.36
2013-12-20,24,215.97
2013-12-27,32,219.67
2014-01-03,29,221.16
2014-01-10,24,221.13
2014-01-17,22,232.18
2014-01-24,20,221.25
2014-01-31,18,215.43
2014-02-07,17,221.78
2014-02-14,18,226
2014-02-21,17,223.36
2014-02-28,18,225.94
2014-03-07,20,225.56
2014-03-14,16,220.77
2014-03-21,15,223.37
2014-03-28,16,212.09
2014-04-04,15,207.7
2014-04-11,17,196.63
2014-04-25,14,198.93
