"Date","EXPD","Price"
2006-04-21,84,90.05
2006-04-28,87,85.61
2006-05-05,90,106.55
2006-05-12,100,103.02
2006-05-19,87,97.1
2006-05-26,87,98.62
2006-06-02,87,103.03
2006-06-09,87,96.07
2006-06-16,77,99.35
2006-06-23,77,103.8
2006-06-30,77,56.01
2006-07-07,77,54.55
2006-07-14,73,50.65
2006-07-21,73,45.3
2006-07-28,73,46.07
2006-08-04,73,41.3
2006-08-11,79,39.1
2006-10-20,77,47.65
2006-10-27,80,47.02
2006-11-03,83,46.09
2006-11-10,53,46.65
2007-02-16,47,45.1
2007-05-04,44,45.92
2007-05-11,53,44.49
2007-05-18,56,44.3
2007-07-13,41,45.71
2007-08-24,62,45.78
2007-10-12,39,50.19
2007-10-19,40,47.45
2007-10-26,41,48.95
2007-11-02,42,50.64
2007-11-09,43,45.36
2007-11-16,45,44.47
2007-11-23,49,43.64
2007-11-30,47,46.92
2008-01-25,31,44.74
2008-02-01,33,46.97
2008-02-08,35,43.6
2008-02-15,37,41.36
2008-02-22,32,40.83
2008-02-29,32,39.32
2008-03-07,32,39.76
2008-03-14,32,39.7
2008-03-28,30,44
2008-04-04,31,47.84
2008-04-11,32,45.34
2008-04-18,34,48.65
2008-04-25,35,46.7
2008-05-02,36,48.95
2008-05-09,47,46.93
2008-05-16,40,47.19
2008-05-23,40,44.27
2008-05-30,40,47.08
2008-06-06,32,45.58
2008-06-13,32,44.18
2008-07-25,36,37.14
2008-08-01,39,33.76
2008-08-08,42,35.75
2008-08-15,33,36.72
2008-08-22,35,36.23
2008-08-29,29,36.09
2008-09-05,29,34.14
2008-09-12,29,35.41
2008-09-19,29,38.4
2008-09-26,39,36.17
2008-10-03,38,33
2008-10-10,38,27.86
2008-10-17,38,29.91
2008-10-24,27,28.19
2008-10-31,29,32.65
2008-11-07,48,33.43
2008-11-14,24,30.68
2008-11-21,31,29.13
2008-11-28,34,33.43
2008-12-05,36,33.03
2008-12-12,26,31.81
2008-12-19,26,32.05
2008-12-26,26,32.16
2009-01-02,26,34.43
2009-01-09,26,31.52
2009-01-16,25,29.21
2009-01-23,25,28.43
2009-01-30,23,27.81
2009-02-06,22,30.55
2009-02-13,22,31.4
2009-02-20,23,29.39
2009-02-27,25,27.55
2009-03-06,35,24.6
2009-03-13,30,26.74
