"Date","buy.BAC","Price"
2008-09-19,64,37.48
2009-01-16,44,7.18
2009-01-23,40,6.24
2009-01-30,52,6.58
2009-02-06,51,6.13
2009-02-13,54,5.57
2009-02-20,47,3.79
2009-02-27,78,3.95
2009-03-06,46,3.14
2009-03-13,61,5.76
2009-03-20,62,6.19
2009-03-27,71,7.34
2009-04-03,62,7.6
2009-04-17,39,10.6
2009-04-24,53,9.1
2009-05-01,57,8.7
2009-05-08,61,14.17
2009-05-15,37,10.67
2009-05-22,37,11.07
2009-05-29,56,11.27
2009-06-05,36,11.86
2009-06-12,36,13.72
2009-06-19,44,13.22
2009-06-26,36,12.75
2009-07-10,60,11.88
2009-07-17,53,12.89
2009-07-24,53,12.51
2009-07-31,49,14.79
2009-08-07,55,16.42
2009-08-14,60,17.39
2009-10-16,40,17.26
2009-11-27,46,15.47
2009-12-04,56,16.28
2009-12-11,35,15.63
2009-12-18,32,15.03
2010-02-19,30,15.88
2010-05-14,36,16.34
2010-05-21,33,15.99
2010-05-28,33,15.74
2010-06-04,33,15.35
2010-06-11,33,15.6
2010-06-18,33,15.82
2010-06-25,33,15.42
2010-07-02,33,13.84
2010-07-09,37,15.11
2010-07-16,28,13.98
2010-07-23,28,13.74
2010-07-30,30,14.04
2010-08-06,31,13.96
2010-08-13,32,13.23
2010-08-20,34,12.87
2010-08-27,33,12.64
2010-09-03,30,13.5
2010-09-10,30,13.55
2010-09-17,30,13.4
2010-09-24,30,13.6
2010-10-01,30,13.3
2010-10-08,33,13.18
2010-10-15,36,11.98
2010-10-22,40,11.44
2010-10-29,32,11.45
2010-11-05,42,12.36
2010-11-12,32,12.12
2010-11-19,32,11.66
2010-11-26,26,11.12
2010-12-03,26,11.86
2010-12-10,31,12.8
2010-12-17,31,12.57
2010-12-31,34,13.34
2011-01-07,41,14.25
2011-01-14,36,15.25
2011-01-21,36,14.25
2011-01-28,29,13.6
2011-02-04,25,14.29
2011-02-11,35,14.77
2011-02-18,37,14.75
2011-02-25,24,14.2
2011-03-04,39,14.12
2011-03-11,22,14.38
2011-03-18,22,14.04
2011-03-25,30,13.34
2011-04-01,28,13.37
2011-04-08,28,13.48
2011-04-15,24,12.82
2011-04-29,24,12.28
2011-05-06,24,12.31
2011-05-13,24,11.93
2011-05-20,26,11.58
2011-05-27,28,11.69
2011-06-03,29,11.28
2011-06-10,25,10.8
2011-06-17,22,10.68
2011-06-24,22,10.52
2011-07-01,27,11.09
2011-07-08,32,10.7
2011-07-15,37,10
2011-07-22,50,10.13
2011-07-29,32,9.71
2011-08-05,33,8.17
2011-08-12,100,7.19
2011-08-19,51,6.97
2011-08-26,99,7.76
2011-09-02,75,7.25
2011-09-09,51,6.98
2011-09-16,41,7.23
2011-09-23,49,6.31
2011-09-30,37,6.12
2011-10-07,58,5.9
2011-10-14,28,6.19
2011-10-21,56,6.46
2011-10-28,42,7.35
2011-11-04,26,6.49
2011-11-11,30,6.21
2011-11-18,32,5.78
2011-11-25,49,5.17
2011-12-02,61,5.64
2011-12-09,26,5.72
2011-12-16,32,5.2
2011-12-23,39,5.6
2011-12-30,56,5.56
2012-01-06,39,6.18
2012-01-13,38,6.61
2012-01-20,59,7.07
2012-01-27,43,7.29
2012-02-03,38,7.84
2012-02-10,44,8.07
2012-02-17,29,8.02
2012-02-24,32,7.88
2012-03-02,36,8.13
2012-03-09,30,8.05
2012-03-16,30,9.8
2012-03-23,27,9.85
2012-03-30,33,9.57
2012-04-13,27,8.68
2012-04-20,24,8.36
2012-04-27,29,8.25
2012-05-04,35,7.74
2012-05-11,22,7.55
2012-05-18,32,7.02
2012-05-25,37,7.15
2012-06-01,19,7.02
2012-06-08,32,7.56
2012-06-15,23,7.9
2012-06-22,20,7.94
2012-06-29,29,8.18
2012-07-06,17,7.66
2012-07-13,20,7.82
2012-07-20,30,7.07
2012-07-27,27,7.31
2012-08-03,24,7.43
2012-08-10,21,7.74
2012-08-17,31,8
2012-08-24,22,8.16
2012-08-31,18,7.99
2012-09-07,30,8.8
2012-09-14,37,9.55
2012-09-21,24,9.11
2012-09-28,19,8.83
2012-10-05,17,9.32
2012-10-12,21,9.12
2012-10-19,18,9.44
2012-10-26,18,9.12
2012-11-02,15,9.85
2012-11-09,27,9.43
2012-11-16,30,9.12
2012-11-23,40,9.9
2012-11-30,23,9.86
2012-12-07,34,10.64
2012-12-14,31,10.58
2012-12-21,29,11.29
2012-12-28,28,11.36
2013-01-04,32,12.11
2013-01-11,24,11.63
2013-01-18,18,11.14
2013-01-25,18,11.62
2013-02-01,28,11.71
2013-02-08,17,11.76
2013-02-15,21,12.03
2013-02-22,19,11.44
2013-03-01,24,11.34
2013-03-08,32,12.07
2013-03-15,36,12.57
2013-03-22,45,12.56
2013-04-05,25,11.97
2013-04-12,18,12.17
2013-04-19,26,11.66
2013-04-26,20,12.42
2013-05-03,22,12.24
2013-05-10,23,13.02
2013-05-17,27,13.43
2013-05-24,23,13.24
2013-05-31,20,13.66
2013-06-07,21,13.38
2013-06-14,29,13.07
2013-06-21,23,12.69
2013-06-28,24,12.86
2013-07-05,22,13.06
2013-07-12,19,13.78
2013-07-19,28,14.75
2013-07-26,24,14.73
2013-08-02,16,14.84
2013-08-09,25,14.45
2013-08-16,28,14.42
2013-08-23,16,14.57
2013-08-30,23,14.12
2013-09-06,22,14.36
2013-09-13,18,14.49
2013-09-20,18,14.44
2013-09-27,18,13.9
2013-10-04,17,14.05
2013-10-11,13,14.19
2013-10-18,17,14.63
2013-10-25,18,14.26
2013-11-01,19,14.02
2013-11-08,24,14.32
2013-11-15,19,14.92
2013-11-22,18,15.64
2013-11-29,20,15.82
2013-12-06,26,15.56
2013-12-13,25,15.18
2013-12-20,30,15.6
2013-12-27,28,15.67
2014-01-03,26,16.41
2014-01-10,24,16.77
2014-01-17,32,17.01
2014-01-24,17,16.45
2014-01-31,15,16.75
2014-02-07,24,16.82
2014-02-14,15,16.7
2014-02-21,21,16.29
2014-02-28,24,16.53
2014-03-07,20,17.33
2014-03-14,20,16.8
2014-03-21,12,17.56
2014-03-28,15,16.98
2014-04-04,21,16.72
2014-04-11,16,15.77
2014-04-25,21,15.95
