"Date","Southwestern.Energy","Price"
2006-02-17,80,34.97
2006-10-06,66,29.48
2007-06-15,50,49.57
2007-10-05,41,44.9
2007-10-12,42,45.5
2007-10-19,44,46.59
2007-10-26,46,50.86
2007-11-02,47,55.48
2007-11-09,45,52.48
2007-11-16,37,51.97
2008-01-11,37,57.98
2008-01-18,42,50.84
2008-01-25,32,51.05
2008-02-01,36,56.11
2008-02-08,39,58.07
2008-02-15,32,60.56
2008-02-22,31,61.72
2008-02-29,31,65.23
2008-03-07,31,62.83
2008-03-14,34,65.85
2008-03-28,41,33.22
2008-04-04,45,36.38
2008-04-11,48,36.8
2008-04-18,34,40.42
2008-04-25,43,44.46
2008-05-02,57,41.95
2008-05-09,33,45.4
2008-05-16,33,46.12
2008-05-23,45,45.05
2008-05-30,44,44.34
2008-06-06,44,45.98
2008-06-13,100,46.63
2008-06-20,30,45.57
2008-06-27,37,46.62
2008-07-11,40,42.64
2008-07-18,40,38.53
2008-07-25,54,34
2008-08-01,67,36.32
2008-08-08,31,32.56
2008-08-15,38,35.18
2008-08-22,35,37.67
2008-08-29,35,38.37
2008-09-05,39,33.79
2008-09-12,44,32.8
2008-09-19,45,35.42
2008-09-26,46,33.24
2008-10-03,46,29.33
2008-10-10,43,20.81
2008-10-17,29,29.1
2008-10-24,31,27.11
2008-10-31,30,35.62
2008-11-07,28,34.42
2008-11-14,28,30.26
2008-11-21,28,26.7
2008-11-28,28,34.37
2008-12-05,28,26.13
2008-12-12,26,28.78
2008-12-19,51,28.23
2008-12-26,40,27.88
2009-01-02,27,31.09
2009-01-09,27,30.23
2009-01-16,27,28.6
2009-01-23,52,31.74
2009-01-30,26,31.65
2009-02-06,26,32.73
2009-02-13,42,32.33
2009-02-20,28,27.63
2009-02-27,44,28.77
2009-03-06,34,28.72
2009-03-13,23,27.43
2009-03-20,25,30.85
2009-03-27,27,31.97
2009-04-03,25,32.32
2009-04-17,33,33.71
2009-04-24,39,34.43
2009-05-01,46,38.49
2009-05-08,39,41.32
2009-05-15,31,39.05
2009-05-22,22,40.11
2009-05-29,35,43.47
2009-06-05,26,42.38
2009-06-12,39,44.53
2009-06-19,39,40.96
2009-06-26,39,38.94
2009-07-10,22,36.78
2009-07-17,45,40.6
2009-07-24,41,42.46
2009-07-31,34,41.43
2009-08-07,39,39.62
2009-08-14,39,38.11
2009-08-21,29,41.48
2009-08-28,32,38.43
2009-09-04,50,37.21
2009-09-11,37,41.59
2009-09-18,37,44.03
2009-09-25,28,41
2009-10-02,30,40.77
2009-10-09,46,45.34
2009-10-16,30,49.12
2009-10-23,37,47.22
2009-10-30,56,43.58
2009-11-06,46,44.74
2009-11-13,40,42.29
2009-11-20,27,41.49
2009-11-27,27,43.86
2009-12-04,47,42.95
2009-12-11,36,41.45
2009-12-18,59,47.45
2010-01-08,37,51.47
2010-01-15,41,48.65
2010-01-22,30,45.44
2010-01-29,26,42.88
2010-02-05,25,42.1
2010-02-12,28,44.27
2010-02-19,36,45.3
2010-02-26,49,42.55
2010-03-05,37,42.59
2010-03-12,19,44.36
2010-03-19,36,39.6
2010-03-26,45,37.7
2010-04-09,22,41.3
2010-04-16,22,40.48
2010-04-23,38,43.09
