"Date","Dr.Pepper.Snapple.Group","Price"
2008-05-09,100,25.24
2008-05-16,69,26.5
2008-05-23,71,25.42
2008-05-30,72,25.18
2008-06-06,73,24.98
2008-06-13,64,24.67
2008-06-20,64,24
2008-08-01,76,20.92
2008-08-08,58,21.95
2008-08-15,58,23.82
2008-08-22,58,24.3
2008-10-17,61,20.92
2008-11-28,59,16.14
2008-12-05,54,14.47
2008-12-12,54,15.55
2009-01-30,64,16.45
2009-02-06,45,16.62
2009-02-13,49,16.6
2009-02-20,50,15.48
2009-02-27,52,14.05
2009-03-06,53,12.21
2009-03-13,74,14.56
2009-03-20,55,15.13
2009-03-27,55,17.09
2009-04-03,55,18.5
2009-04-17,67,20.05
2009-04-24,56,19
2009-05-01,48,20.27
2009-05-08,48,20.94
2009-05-15,43,22.07
2009-05-22,46,21.27
2009-07-10,43,21.65
2009-07-17,54,23.43
2009-07-24,65,23.95
2009-07-31,52,24.61
2009-08-07,52,23.7
2009-08-14,43,25.54
2009-08-21,51,27.25
2009-08-28,50,26.53
2009-09-04,52,26.85
2009-09-11,40,27.06
2009-09-18,47,27.84
2009-09-25,51,27.37
2009-10-02,42,28.25
2009-10-09,38,30.09
2009-10-16,38,29.1
2009-10-23,52,27.65
2009-10-30,47,27.26
2009-11-06,47,26.62
2009-11-13,47,27.37
2009-11-20,37,27.3
2009-11-27,37,26.27
2009-12-04,64,26.8
2009-12-11,51,28.25
2009-12-18,40,28.17
2010-01-08,42,28.87
2010-01-15,55,28.44
2010-01-22,54,27.36
2010-01-29,37,27.66
2010-02-05,47,27.1
2010-02-12,37,27.08
2010-02-19,34,28.93
2010-02-26,49,31.75
2010-03-05,50,32.35
2010-03-12,36,34.97
2010-03-19,36,36.18
2010-03-26,44,35.8
2010-04-09,58,35.15
2010-04-16,66,34.03
2010-04-23,43,33.59
2010-04-30,43,32.73
2010-05-07,44,35.72
2010-05-14,44,37.25
2010-05-21,34,36.72
2010-05-28,51,37.86
2010-06-04,38,36.49
2010-06-11,75,37.29
2010-06-18,48,37.96
2010-06-25,48,36.57
2010-07-02,55,37.28
2010-07-09,49,38.54
2010-07-16,45,38.25
2010-07-23,45,39.82
2010-07-30,42,37.55
2010-08-06,36,36.87
2010-08-13,52,36.84
2010-08-20,34,36.76
2010-08-27,34,37.38
2010-09-03,39,38.3
2010-09-10,43,34.73
2010-09-17,47,35.31
2010-09-24,40,34.95
2010-10-01,40,35.11
2010-10-08,43,34.73
2010-10-15,37,34.97
2010-10-22,37,35.89
2010-10-29,48,36.59
2010-11-05,36,37.15
2010-11-12,39,36.18
2010-11-19,36,37.98
2010-11-26,30,37.29
2010-12-03,30,37.64
2010-12-10,44,37.42
2010-12-17,33,37.97
2010-12-31,31,35.16
2011-01-07,60,35.44
2011-01-14,26,35.55
2011-01-21,31,35.18
2011-01-28,43,34.84
2011-02-04,49,35.64
2011-02-11,48,33.96
2011-02-18,45,36.41
2011-02-25,30,36.43
2011-03-04,40,37.41
2011-03-11,30,37.47
2011-03-18,27,37.88
2011-03-25,59,37.88
2011-04-01,42,37.51
2011-04-08,41,37.46
2011-04-15,45,38.31
2011-04-29,44,39.2
2011-05-06,35,39.28
2011-05-13,25,41.78
2011-05-20,55,42.1
2011-05-27,47,41.06
2011-06-03,36,40.3
2011-06-10,32,40.31
2011-06-17,47,40.54
2011-06-24,42,39.89
2011-07-01,50,42.15
2011-07-08,45,41.92
2011-07-15,61,40.83
2011-07-22,64,40.36
2011-07-29,82,37.76
2011-08-05,47,37.44
2011-08-12,51,37.43
2011-08-19,58,35.74
2011-08-26,59,36.57
2011-09-02,49,37.73
2011-09-09,41,36.85
2011-09-16,48,38.43
2011-09-23,43,36.97
2011-09-30,61,38.78
2011-10-07,22,38.47
2011-10-14,60,39.8
2011-10-21,35,40.08
2011-10-28,41,37.39
2011-11-04,43,37.13
2011-11-11,37,37.19
2011-11-18,36,36.72
2011-11-25,33,34.96
2011-12-02,45,36.69
2011-12-09,42,37.82
2011-12-16,36,38.81
2011-12-23,24,39.83
2011-12-30,26,39.48
2012-01-06,28,38.52
2012-01-13,44,37.82
2012-01-20,22,37.67
2012-01-27,59,38.71
2012-02-03,38,38.65
2012-02-10,47,38.51
2012-02-17,49,39.55
2012-02-24,62,38.59
2012-03-02,38,37.8
2012-03-09,48,38.09
2012-03-16,37,38.55
2012-03-23,24,38.77
2012-03-30,45,40.21
2012-04-13,42,39.26
