"Date","BorgWarner","Price"
2004-06-18,65,44.44
2004-10-22,60,40.61
2004-10-29,80,46.38
2004-11-05,100,49.58
2004-11-12,52,51.16
2004-11-19,52,49.51
2004-11-26,52,51.36
2004-12-03,52,50.86
2005-02-25,49,52.75
2005-05-27,40,53.5
2005-06-03,40,52.7
2005-06-10,40,54.03
2005-06-17,40,54.18
2005-06-24,40,51.14
2005-07-01,39,53.97
2005-07-08,39,57.38
2005-07-15,39,57.52
2005-07-22,39,59.35
2005-07-29,39,58.17
2005-08-05,55,56.58
2005-08-12,62,58.22
2005-08-19,48,59.4
2005-08-26,48,59.58
2005-09-02,51,58.23
2005-09-09,54,57.6
2005-11-25,45,61.61
2005-12-02,40,59.58
2005-12-09,40,60.18
2005-12-16,40,60.1
2005-12-23,38,59.95
2005-12-30,38,60.63
2006-01-06,38,58.21
2006-01-13,55,56.58
2006-01-20,28,55.6
2006-01-27,39,55.04
2006-02-03,42,54.77
2006-02-10,46,54.35
2006-02-17,27,57.04
2006-02-24,43,56.15
2006-03-03,29,54.98
2006-03-10,31,56.24
2006-03-17,32,58.71
2006-03-24,33,60.29
2006-03-31,38,60.04
2006-04-07,44,59.98
2006-04-21,26,60.46
2006-04-28,36,60.73
2006-05-05,26,64.45
2006-05-12,31,63.31
2006-05-19,35,66.2
2006-05-26,28,66.96
2006-06-02,34,64.99
2006-06-09,26,63.06
2006-06-16,26,62.7
2006-06-23,32,63.85
2006-06-30,38,65.1
2006-07-07,29,63.96
2006-07-14,36,60.39
2006-07-21,28,58.42
2006-07-28,28,60.23
2006-08-04,25,59.65
2006-08-11,32,58.69
2006-08-18,38,58.65
2006-08-25,33,55.63
2006-09-01,32,56.96
2006-09-08,32,54.72
2006-09-15,29,56.3
2006-09-22,42,53.76
2006-09-29,22,57.17
2006-10-06,31,59.44
2006-10-13,41,59.81
2006-10-20,38,59.55
2006-10-27,38,58.25
2006-11-03,23,56.42
2006-11-10,36,58.26
2006-11-17,26,60.13
2006-11-24,35,58.69
2006-12-01,19,57.9
2006-12-08,29,57.76
2006-12-15,22,57.76
2006-12-22,22,57.88
2006-12-29,22,59.02
2007-01-05,22,58.6
2007-01-12,26,64.21
2007-01-19,23,65.42
2007-01-26,25,67.36
2007-02-02,35,69.26
2007-02-09,24,74.94
2007-02-16,18,76.62
2007-02-23,29,78.08
2007-03-02,32,72.97
2007-03-09,35,74.66
2007-03-16,26,73.13
2007-03-23,27,76.52
2007-03-30,20,75.42
2007-04-13,29,74.07
2007-04-20,22,75.06
2007-04-27,41,79.15
2007-05-04,27,80.06
2007-05-11,27,79.96
2007-05-18,23,82.77
2007-05-25,26,82.27
2007-06-01,20,83.65
2007-06-08,26,82.68
2007-06-15,29,83.37
2007-06-22,39,84.75
2007-06-29,32,86.04
2007-07-06,19,88.66
2007-07-13,30,92.46
2007-07-20,22,91.19
2007-07-27,26,84.7
2007-08-03,18,87.74
2007-08-10,19,90.74
2007-08-17,22,77.5
2007-08-24,32,82.84
2007-08-31,26,84.5
2007-09-07,20,82.33
2007-09-14,22,84.85
2007-09-21,23,85.56
2007-09-28,29,91.53
2007-10-05,26,96.84
2007-10-12,28,94.22
2007-10-19,34,94.74
2007-10-26,38,97.96
2007-11-02,34,103.67
2007-11-09,33,98.32
2007-11-16,47,99.15
2007-11-23,37,94.49
2007-11-30,23,96.61
2007-12-07,34,99
2007-12-14,33,97.2
2007-12-21,30,49.77
2007-12-28,18,49.27
2008-01-04,20,43.54
2008-01-11,27,42.25
2008-01-18,34,44.75
2008-01-25,31,48.75
2008-02-01,39,50.93
2008-02-08,32,45.34
2008-02-15,37,46.08
2008-02-22,24,46.6
2008-02-29,43,43.11
2008-03-07,34,41.3
2008-03-14,40,41.67
2008-03-28,39,41.84
2008-04-04,39,45.2
2008-04-11,42,43.44
2008-04-18,35,47.49
2008-04-25,37,48.37
2008-05-02,29,51.48
2008-05-09,39,52.25
2008-05-16,30,55.28
2008-05-23,22,52.21
2008-05-30,23,51.71
2008-06-06,27,48.37
2008-06-13,24,49.47
2008-06-20,23,48.59
2008-06-27,33,44.5
2008-07-11,33,38.65
2008-07-18,34,41.63
2008-07-25,34,41.35
2008-08-01,31,40.18
2008-08-08,36,43.31
2008-08-15,30,42.51
2008-08-22,34,41.61
2008-08-29,29,41.35
2008-09-05,22,39
2008-09-12,29,41.26
2008-09-19,32,38.2
2008-09-26,28,32.46
2008-10-03,21,27.84
2008-10-10,26,23.65
2008-10-17,20,21.94
2008-10-24,31,21.8
2008-10-31,33,22.47
2008-11-07,30,20.79
2008-11-14,28,17.42
2008-11-21,21,18.74
2008-11-28,22,23.66
2008-12-05,27,22.53
2008-12-12,29,21.14
2008-12-19,22,21.79
2008-12-26,18,21.07
2009-01-02,13,22.96
2009-01-09,18,22.87
2009-01-16,31,18.89
2009-01-23,25,17.62
2009-01-30,31,16.88
2009-02-06,33,21.05
2009-02-13,35,21.37
2009-02-20,31,17.77
2009-02-27,24,17.25
2009-03-06,24,15.18
2009-03-13,30,18.3
2009-03-20,28,18.61
2009-03-27,29,21.76
2009-04-03,32,24.63
2009-04-17,21,26.25
2009-04-24,21,28.33
2009-05-01,26,28.7
2009-05-08,24,31.09
2009-05-15,15,27.65
2009-05-22,24,29.24
2009-05-29,27,32.25
2009-06-05,19,35
2009-06-12,24,34.08
2009-06-19,24,32.57
2009-06-26,22,32.55
2009-07-10,20,30.14
2009-07-17,20,33.01
2009-07-24,20,35.85
2009-07-31,21,33.19
2009-08-07,26,32.4
2009-08-14,19,30.26
2009-08-21,18,30.37
2009-08-28,21,29.23
2009-09-04,23,31.6
2009-09-11,21,33.5
2009-09-18,16,30.86
2009-09-25,17,29.96
2009-10-02,19,27.85
2009-10-09,22,30.41
2009-10-16,22,31.55
2009-10-23,26,33.07
2009-10-30,25,30.32
2009-11-06,22,31.84
2009-11-13,24,32.03
2009-11-20,26,30.91
2009-11-27,19,30.42
2009-12-04,17,31
2009-12-11,17,31.25
2009-12-18,15,33.05
2010-01-08,19,36.51
2010-01-15,21,37.35
2010-01-22,23,36.47
2010-01-29,23,35.09
2010-02-05,22,34.71
2010-02-12,22,36.64
2010-02-19,19,37.35
2010-02-26,23,37.46
2010-03-05,18,37.65
2010-03-12,24,37.08
2010-03-19,24,36.54
2010-03-26,23,37.03
2010-04-09,22,38.19
2010-04-16,30,38.35
2010-04-23,22,41.16
2010-04-30,26,43.34
2010-05-07,37,37.09
2010-05-14,29,39.2
2010-05-21,19,36.23
2010-05-28,33,37.26
2010-06-04,23,37.6
2010-06-11,18,37.82
2010-06-18,25,41.31
2010-06-25,29,39.3
2010-07-02,30,37.47
2010-07-09,22,39.93
2010-07-16,25,40.43
2010-07-23,27,42.97
2010-07-30,23,43.86
2010-08-06,29,47.01
2010-08-13,24,45.31
2010-08-20,18,45.51
2010-08-27,29,44.09
2010-09-03,25,48.42
2010-09-10,34,46.38
2010-09-17,29,47.65
2010-09-24,25,49.68
2010-10-01,21,52.18
2010-10-08,23,52.82
2010-10-15,29,54.19
2010-10-22,23,54.06
2010-10-29,25,56.11
2010-11-05,30,59.26
2010-11-12,26,57.63
2010-11-19,26,59.88
2010-11-26,21,60.62
2010-12-03,22,66.43
2010-12-10,22,66.9
2010-12-17,27,71.05
2010-12-31,21,72.36
2011-01-07,27,69.97
2011-01-14,27,70.41
2011-01-21,28,68
2011-01-28,22,67.63
2011-02-04,28,67.03
2011-02-11,35,77.33
2011-02-18,33,80.23
2011-02-25,28,76.95
2011-03-04,32,77.75
2011-03-11,28,74.66
2011-03-18,36,74.45
2011-03-25,32,77.28
2011-04-01,28,81.03
2011-04-08,27,75.37
2011-04-15,35,71.98
2011-04-29,27,77.24
2011-05-06,26,76.27
2011-05-13,31,73.82
2011-05-20,39,70.63
2011-05-27,27,71.89
2011-06-03,23,68.91
2011-06-10,21,67.93
2011-06-17,22,71.52
2011-06-24,27,78.16
2011-07-01,22,80.74
2011-07-08,23,80.19
2011-07-15,26,76.48
2011-07-22,28,76.16
2011-07-29,32,79.62
2011-08-05,30,68.47
2011-08-12,32,69.7
2011-08-19,22,63.44
