"Date","Microchip.Technology","Price"
2004-10-15,100,27.65
2005-06-03,57,29.92
2006-02-10,39,36.13
2006-04-28,37,37.26
2006-05-05,36,37.95
2006-05-12,36,34.72
2006-05-19,36,33.88
2006-07-14,37,33.18
2006-07-21,39,31.11
2006-07-28,42,32.45
2006-10-27,37,32.41
2007-01-12,38,35.86
2007-01-19,26,34.83
2007-01-26,26,35.08
2007-02-02,26,35.58
2007-02-09,28,35.41
2007-02-16,31,36.02
2007-02-23,33,37.49
2007-03-02,36,35.17
2007-03-09,38,36.96
2007-03-16,25,36.44
2007-03-23,24,36.51
2007-03-30,24,35.53
2007-04-13,24,36.9
2007-04-20,24,37.45
2007-04-27,30,41.36
2007-05-04,27,41.1
2007-05-11,42,40.76
2007-05-18,40,40.64
2007-05-25,40,39.22
2007-06-01,25,41.05
2007-06-08,25,40.49
2007-06-15,25,42.06
2007-06-22,23,37.8
2007-06-29,23,37.04
2007-07-06,23,37.8
2007-07-13,28,38.06
2007-07-20,32,37.75
2007-07-27,39,37.03
2007-08-03,27,36.78
2007-08-10,27,38.83
2007-08-17,27,37.84
2007-08-24,27,37.2
2007-08-31,27,38.52
2007-09-07,27,37.53
2007-09-14,39,36.84
2007-09-21,29,36.66
2007-09-28,29,36.32
2007-10-05,29,36.5
2007-10-12,30,31.78
2007-10-19,29,30.08
2007-10-26,19,32.08
2007-11-02,27,32.67
2007-11-09,28,31.51
2007-11-16,22,30.76
2007-11-23,23,28.52
2007-11-30,25,28.79
2007-12-07,26,30.52
2007-12-14,22,31.59
2007-12-21,22,32.69
2007-12-28,23,31.56
2008-01-04,23,29.84
2008-01-11,32,28.32
2008-01-18,21,28.49
2008-01-25,17,30.28
2008-02-01,17,32.41
2008-02-08,24,31.1
2008-02-15,31,30.78
2008-02-22,20,31
2008-02-29,25,30.78
2008-03-07,20,31.39
2008-03-14,26,32.07
2008-03-28,23,32.5
2008-04-04,21,34.01
2008-04-11,37,33.04
2008-04-18,19,35.04
2008-04-25,21,36
2008-05-02,20,37.28
2008-05-09,19,36.64
2008-05-16,19,38.13
2008-05-23,19,36.28
2008-05-30,23,36.84
2008-06-06,26,34.81
2008-06-13,23,31.75
2008-06-20,18,31.69
2008-06-27,18,30.87
2008-07-11,23,29.75
2008-08-29,20,32.01
2008-09-05,24,29.7
2008-09-12,28,29.43
2008-09-19,21,31.61
2008-09-26,26,30.66
2008-10-03,32,26.95
2008-10-10,21,24.21
2008-10-17,30,22.84
2008-10-24,14,22.38
2008-10-31,16,24.63
2008-11-07,27,22.15
2008-11-14,22,19.75
2008-11-21,20,17.56
2008-11-28,23,18.5
2008-12-05,25,18.18
2008-12-12,18,20.48
2008-12-19,18,19.61
2008-12-26,13,18.37
2009-01-02,13,19.57
2009-01-09,13,17.93
2009-01-16,13,17.71
2009-01-23,13,17.21
2009-01-30,14,18.97
2009-02-06,14,20.63
2009-02-13,16,19.9
2009-02-20,15,18.86
2009-02-27,19,18.77
2009-03-06,20,18.24
2009-03-13,13,20.4
2009-03-20,16,20.18
2009-03-27,18,21.67
2009-04-03,18,22.97
2009-04-17,18,23.11
2009-04-24,20,22.25
2009-05-01,22,22.84
2009-05-08,25,21.51
2009-05-15,17,20.16
2009-05-22,15,21.01
2009-05-29,15,21.57
2009-06-05,13,21.74
2009-06-12,14,22.75
2009-06-19,13,22.47
2009-06-26,20,22.41
2009-07-10,16,22.73
2009-07-17,17,25.7
2009-07-24,22,27.03
2009-07-31,12,26.93
2009-08-07,29,26.43
2009-08-14,18,27.03
2009-08-21,24,26.73
2009-08-28,21,26.86
2009-09-04,21,26.72
2009-09-11,16,27.44
2009-09-18,18,27.11
2009-09-25,22,26.29
2009-10-02,26,25
2009-10-09,15,26.16
2009-10-16,15,26.1
2009-10-23,14,25.29
2009-10-30,14,23.96
2009-11-06,16,25.59
2009-11-13,15,26.76
2009-11-20,19,25.53
2009-11-27,16,26.05
2009-12-04,25,27.77
2009-12-11,22,28.25
2009-12-18,29,28.42
2010-01-08,26,28.5
2010-01-15,26,27.39
2010-01-22,27,26.21
2010-01-29,20,25.81
2010-02-05,32,26.28
2010-02-12,18,27.23
2010-02-19,27,27.41
2010-02-26,16,27.06
2010-03-05,22,27.26
2010-03-12,25,28.23
2010-03-19,17,28.25
2010-03-26,16,28.43
2010-04-09,21,28.64
2010-04-16,17,30.14
2010-04-23,15,30.6
2010-04-30,9,29.21
2010-05-07,24,27.8
2010-05-14,18,28.08
2010-05-21,20,27.36
2010-05-28,15,27.85
2010-06-04,14,27.31
2010-06-11,12,28.26
2010-06-18,21,29.7
2010-06-25,11,28.86
2010-07-02,20,27.6
2010-07-09,13,29.23
2010-07-16,10,29.37
2010-07-23,16,30.78
2010-07-30,9,30.45
2010-08-06,14,30.51
2010-08-13,12,28.77
2010-08-20,14,28.61
2010-08-27,14,28.72
2010-09-03,8,29.35
2010-09-10,25,28.04
2010-09-17,13,29.72
2010-09-24,15,30.61
2010-10-01,10,31.41
2010-10-08,14,30.97
2010-10-15,11,31
2010-10-22,16,31.35
2010-10-29,18,32.18
2010-11-05,16,33.96
2010-11-12,15,33.55
2010-11-19,8,33.91
2010-11-26,11,34.29
2010-12-03,11,35.66
2010-12-10,14,35.16
2010-12-17,11,34.1
2010-12-31,10,34.21
2011-01-07,10,34.98
2011-01-14,15,37.03
2011-01-21,13,36.47
2011-01-28,11,36.89
2011-02-04,18,37.61
2011-02-11,18,37.98
2011-02-18,15,38.19
2011-02-25,18,37.33
2011-03-04,9,37.2
2011-03-11,12,35.61
2011-03-18,11,35.7
2011-03-25,18,37.72
2011-04-01,14,37.92
2011-04-08,16,37.96
2011-04-15,8,37.69
2011-04-29,9,41.04
2011-05-06,9,41.24
2011-05-13,19,40.87
2011-05-20,16,39.97
2011-05-27,13,39.13
2011-06-03,15,37.37
2011-06-10,18,36.46
2011-06-17,18,35.69
2011-06-24,15,36.55
2011-07-01,13,38.35
2011-07-08,10,37.87
2011-07-15,12,32.34
2011-07-22,16,34.11
2011-07-29,10,33.75
2011-08-05,16,31.18
2011-08-12,13,32.05
2011-08-19,10,29.6
2011-08-26,12,32.29
2011-09-02,12,31.36
2011-09-09,11,32.06
2011-09-16,13,34.55
2011-09-23,7,32.92
2011-09-30,14,31.11
2011-10-07,14,33.68
2011-10-14,16,33.45
2011-10-21,11,33.8
2011-10-28,14,36.46
2011-11-04,11,37.02
2011-11-11,14,36.76
2011-11-18,18,34.58
2011-11-25,13,32.3
2011-12-02,12,34.65
2011-12-09,7,34.81
2011-12-16,15,34.48
2011-12-23,9,36.6
2011-12-30,10,36.63
2012-01-06,16,35.62
2012-01-13,14,35.61
2012-01-20,13,37.37
2012-01-27,12,36.79
2012-02-03,16,38.42
2012-02-10,10,36.69
2012-02-17,15,37.17
2012-02-24,19,36.37
2012-03-02,13,35.7
2012-03-09,12,36.13
2012-03-16,10,36.48
2012-03-23,15,36.57
2012-03-30,11,37.2
2012-04-13,8,35.81
2012-04-20,16,35.28
2012-04-27,18,35.41
2012-05-04,17,33.79
2012-05-11,14,31.9
2012-05-18,10,30.49
2012-05-25,12,30.93
2012-06-01,7,30.4
2012-06-08,14,32.01
2012-06-15,12,32.48
2012-06-22,11,33.2
2012-06-29,12,33.08
2012-07-06,14,32.2
2012-07-13,10,31.63
2012-07-20,10,32.39
2012-07-27,10,32.9
2012-08-03,9,34.7
2012-08-10,9,35.06
2012-08-17,12,35.73
2012-08-24,7,34.73
2012-08-31,15,34.75
2012-09-07,10,34.67
2012-09-14,9,34.35
2012-09-21,8,34.07
2012-09-28,14,32.74
2012-10-05,11,33.25
2012-10-12,9,31.71
2012-10-19,7,31.35
2012-10-26,9,31.73
2012-11-02,9,32.14
2012-11-09,7,30.62
2012-11-16,12,29.37
2012-11-23,6,29.99
2012-11-30,12,30.42
2012-12-07,10,30.85
2012-12-14,11,31.64
2012-12-21,7,32.59
2012-12-28,6,32.11
2013-01-04,8,33.21
2013-01-11,12,33.59
2013-01-18,10,33.53
2013-01-25,9,33.3
2013-02-01,11,34.52
2013-02-08,12,36.39
2013-02-15,10,37.08
2013-02-22,10,36.87
2013-03-01,11,36.46
2013-03-08,12,36.85
2013-03-15,9,36.28
2013-03-22,13,36.2
2013-04-05,9,35.54
2013-04-12,9,36.31
2013-04-19,7,34.34
2013-04-26,11,35.6
2013-05-03,8,37.55
2013-05-10,7,37.21
2013-05-17,10,37.08
