"Date","buy.EA","Price"
2004-12-17,100,59.64
2005-12-09,53,55.14
2005-12-16,60,53.42
2005-12-23,67,53.37
2005-12-30,73,52.31
2006-02-24,61,51.79
2006-03-03,45,52.21
2006-03-10,45,50.64
2006-03-17,54,52.58
2006-03-24,45,52.58
2006-06-23,57,41.2
2006-06-30,46,43.04
2006-07-07,46,42.04
2006-07-14,46,45.31
2006-07-21,46,44.94
2006-07-28,41,46.82
2006-09-29,35,55.84
2006-10-06,35,54.56
2006-10-13,36,57
2006-10-20,37,56.03
2006-10-27,50,54.51
2006-11-03,39,59.24
2006-11-10,39,58.48
2006-11-17,39,58.65
2006-11-24,39,58.42
2006-12-01,37,55.23
2006-12-08,37,53
2006-12-15,44,53.85
2006-12-22,37,51.06
2006-12-29,44,50.36
2007-01-05,52,53.07
2007-01-12,35,51.76
2007-01-19,29,50.34
2007-01-26,30,48.22
2007-02-02,32,51.13
2007-02-09,34,49.48
2007-02-16,36,50.01
2007-02-23,37,53.19
2007-03-02,40,49.1
2007-03-09,44,50.83
2007-03-16,41,48.92
2007-03-23,33,50.13
2007-03-30,33,50.36
2007-04-13,34,53.44
2007-04-20,34,51.81
2007-04-27,27,51.99
2007-05-04,27,51.65
2007-05-11,24,50.07
2007-05-18,24,48.58
2007-05-25,25,47.87
2007-06-01,40,48.44
2007-06-08,24,49.13
2007-06-15,24,50.49
2007-06-22,30,48.57
2007-06-29,27,47.32
2007-07-06,45,50.9
2007-07-13,30,48.25
2007-07-20,58,51.87
2007-07-27,42,49.83
2007-08-03,29,50.04
2007-08-10,54,53.28
2007-08-17,32,52.47
2007-08-24,23,52.55
2007-08-31,54,52.94
2007-09-07,34,51.36
2007-09-14,46,54.76
2007-09-21,53,55.94
2007-09-28,47,55.99
2007-10-05,47,58.96
2007-10-12,41,61.4
2007-10-19,33,57.62
2007-10-26,26,58.08
2007-11-02,50,60.46
2007-11-09,38,55.73
2007-11-16,53,56.57
2007-11-23,36,54.29
2007-11-30,50,56.19
2007-12-07,42,54.05
2007-12-14,45,58.08
2007-12-21,52,58.93
2007-12-28,61,58.56
2008-01-04,61,54.51
2008-01-11,27,52.86
2008-01-18,20,49.42
2008-01-25,33,47.22
2008-02-01,20,48.62
2008-02-08,30,44.57
2008-02-15,24,48.72
2008-02-22,18,49.74
2008-02-29,53,47.29
2008-03-07,37,46.31
2008-03-14,41,46.91
2008-03-28,38,49.34
2008-04-04,41,51.94
2008-04-11,40,50.21
2008-04-18,30,52.01
2008-04-25,25,51.53
2008-05-02,36,53.17
2008-05-09,21,52.61
2008-05-16,26,49.6
2008-05-23,27,48.34
2008-05-30,31,50.2
2008-06-06,44,47.55
2008-06-13,37,46.99
2008-06-20,44,46.94
2008-06-27,43,43.94
2008-07-11,32,44.1
2008-07-18,25,48.46
2008-07-25,25,47.73
2008-08-01,23,42.9
2008-08-08,32,46.65
2008-08-15,35,48.24
2008-08-22,37,47.75
2008-08-29,37,48.81
2008-09-05,39,46.48
2008-09-12,75,44.99
2008-09-19,61,43.42
2008-09-26,41,39.63
2008-10-03,31,32.68
2008-10-10,26,27.99
2008-10-17,29,29.79
2008-10-24,36,24.77
2008-10-31,19,22.78
2008-11-07,31,23.56
2008-11-14,36,20.44
2008-11-21,39,18.87
2008-11-28,34,19.06
2008-12-05,38,19.98
2008-12-12,52,17.01
2008-12-19,40,17.39
2008-12-26,43,15.32
2009-01-02,59,17.44
2009-01-09,37,17.79
2009-01-16,26,17.53
2009-01-23,31,16.95
2009-01-30,28,15.44
2009-02-06,38,19.34
2009-02-13,32,16.93
2009-02-20,26,16.38
2009-02-27,22,16.31
2009-03-06,28,15.31
2009-03-13,24,17.76
2009-03-20,23,18.22
2009-03-27,43,18.69
2009-04-03,29,20.7
2009-04-17,34,18.62
2009-04-24,37,19.97
2009-05-01,20,20
2009-05-08,47,20.18
2009-05-15,42,21.03
2009-05-22,61,21.9
2009-05-29,56,22.99
2009-06-05,69,23
2009-06-12,44,21.93
2009-06-19,48,20.72
2009-06-26,50,20.9
2009-07-10,39,20.97
2009-07-17,47,20.93
2009-07-24,34,21.16
2009-07-31,42,21.47
2009-08-07,34,20.71
2009-08-14,42,21.29
2009-08-21,40,19.44
2009-08-28,37,18.76
