"Date","Principal.Financial.Group","Price"
2004-02-06,50,35.88
2004-02-13,65,36.46
2004-02-20,46,36.72
2004-02-27,54,36.2
2004-03-05,61,36.74
2004-03-12,68,35.02
2004-03-19,75,34.97
2004-03-26,85,35.02
2004-04-02,95,35.73
2004-04-16,59,35.22
2004-04-23,59,35.17
2004-04-30,51,35.3
2004-05-07,51,33
2004-05-14,52,34.93
2004-05-21,53,34.73
2004-05-28,54,34.95
2004-06-04,47,35.58
2004-06-18,41,35.15
2004-06-25,47,34.56
2004-07-02,55,35.3
2004-07-09,61,35.48
2004-07-16,43,34.4
2004-07-23,43,33.75
2004-07-30,43,33.99
2004-08-06,52,32.22
2004-08-13,53,32.72
2004-08-20,54,33.68
2004-08-27,56,34.1
2004-09-03,43,35.1
2004-09-10,43,35.45
2004-09-17,36,36.1
2004-09-24,36,35.32
2004-10-01,36,36.71
2004-10-08,42,36.16
2004-10-15,47,35.07
2004-10-22,41,35.51
2004-10-29,45,37.76
2004-11-05,48,38.37
2004-11-12,53,38.74
2004-11-19,58,38.31
2004-11-26,39,38.24
2004-12-03,39,38.8
2004-12-10,55,39
2004-12-17,40,39.86
2004-12-31,55,40.94
2005-01-07,49,39.81
2005-01-14,31,40.27
2005-01-21,52,39.89
2005-01-28,36,39.74
2005-02-04,50,41.45
2005-02-11,58,39.76
2005-02-18,38,39.39
2005-02-25,46,39.49
2005-03-04,50,38.89
2005-03-11,65,38.17
2005-03-18,51,38.96
2005-04-01,48,38.11
2005-04-08,30,38.1
2005-04-15,30,37.11
2005-04-22,48,37.56
2005-04-29,57,39.08
2005-05-06,48,40.02
2005-05-13,34,38.95
2005-05-20,36,39.82
2005-05-27,38,39.79
2005-06-03,54,39.4
2005-06-10,51,39.89
2005-06-17,38,41.15
2005-06-24,45,41.21
2005-07-01,44,42.32
2005-07-08,30,43.49
2005-07-15,33,43.84
2005-07-22,49,43.99
2005-07-29,44,43.95
2005-08-05,47,44.61
2005-08-12,48,45.89
2005-08-19,35,45.93
2005-08-26,39,45.89
2005-09-02,43,46.52
2005-09-09,37,47.58
2005-09-16,52,46.96
2005-09-23,48,46.74
2005-09-30,30,47.37
2005-10-07,44,46.74
2005-10-14,41,47.27
2005-10-21,47,48.29
2005-10-28,29,49.56
2005-11-04,45,50.37
2005-11-11,33,51.7
2005-11-18,34,49.65
2005-11-25,38,50.3
2005-12-02,42,50.41
2005-12-09,38,49.66
2005-12-16,45,49.72
2005-12-23,54,48.28
2005-12-30,40,47.43
2006-01-06,42,47.29
2006-01-13,56,47.61
2006-01-20,44,45.97
2006-01-27,45,47.2
2006-02-03,56,46.53
2006-02-10,37,47.76
2006-02-17,57,48.01
2006-02-24,32,49.24
2006-03-03,50,48.14
2006-03-10,30,48.6
2006-03-17,50,50.15
2006-03-24,47,49.75
2006-03-31,35,48.8
2006-04-07,48,49.04
2006-04-21,36,50.47
2006-04-28,42,51.31
2006-05-05,49,53.55
2006-05-12,51,53.04
2006-05-19,41,52.18
2006-05-26,50,54.45
2006-06-02,32,54.93
2006-06-09,44,53.92
2006-06-16,32,53.47
2006-06-23,46,53.02
2006-06-30,41,55.65
2006-07-07,29,55.45
2006-07-14,41,53.41
2006-07-21,43,53.78
2006-07-28,36,54.08
2006-08-04,54,52.99
2006-08-11,41,53.48
2006-08-18,44,53.59
2006-08-25,33,52.92
2006-09-01,35,53.1
2006-09-08,38,53.07
2006-09-15,36,53.52
2006-09-22,45,53.71
2006-09-29,76,54.28
2006-10-06,42,54.42
2006-10-13,46,54.89
2006-10-20,42,55.53
2006-10-27,57,56
2006-11-03,54,56.1
2006-11-10,46,58.18
2006-11-17,52,59.25
2006-11-24,28,57.56
2006-12-01,38,57.42
2006-12-08,55,58.27
2006-12-15,38,58.31
2006-12-22,62,58.62
2006-12-29,61,58.7
2007-01-05,65,58.57
2007-01-12,62,60.37
2007-01-19,50,60.53
2007-01-26,76,60.21
2007-02-02,53,62.77
2007-02-09,65,62.66
2007-02-16,65,63.48
2007-02-23,58,62.89
2007-03-02,77,60.04
2007-03-09,64,60.43
2007-03-16,59,59.03
2007-03-23,51,60.85
2007-03-30,67,59.87
2007-04-13,63,60.26
2007-04-20,54,63.37
2007-04-27,68,64.09
2007-05-04,68,63.04
2007-05-11,50,61.4
2007-05-18,58,61.72
2007-05-25,52,61.01
2007-06-01,60,61.45
2007-06-08,50,59.12
2007-06-15,53,59.86
2007-06-22,65,57.33
2007-06-29,50,58.29
2007-07-06,60,60.06
2007-07-13,67,61.86
2007-07-20,92,61.03
2007-07-27,71,55.99
2007-08-03,57,52.77
2007-08-10,66,55.67
2007-08-17,60,56.99
2007-08-24,48,57.55
2007-08-31,61,55.49
2007-09-07,47,55.13
2007-09-14,61,57.79
2007-09-21,67,59.94
2007-09-28,55,63.09
2007-10-05,59,64.35
2007-10-12,69,65.56
2007-10-19,67,60.88
2007-10-26,64,65.29
2007-11-02,73,66.44
2007-11-09,64,65.34
2007-11-16,55,66.31
2007-11-23,51,66.24
2007-11-30,57,65.49
2007-12-07,66,66.6
2007-12-14,66,67.41
2007-12-21,58,69.72
2007-12-28,44,69.12
2008-01-04,67,67.09
2008-01-11,62,66.23
2008-01-18,76,59.88
2008-01-25,58,57.36
2008-02-01,78,61.21
2008-02-08,61,55.01
2008-02-15,55,56.79
2008-02-22,63,58.34
2008-02-29,71,55.23
2008-03-07,62,51.68
2008-03-14,61,49.15
2008-03-28,47,54.66
2008-04-04,64,57.27
2008-04-11,57,53.21
2008-04-18,69,54.98
2008-04-25,65,54.06
2008-05-02,48,57.92
2008-05-09,54,53.57
2008-05-16,50,55.78
2008-05-23,58,52.23
2008-05-30,35,53.88
2008-06-06,41,49.19
2008-06-13,39,50.65
2008-06-20,41,48.27
2008-06-27,41,42.52
2008-07-11,42,37.36
2008-07-18,46,39.68
2008-07-25,55,41.25
2008-08-01,42,41.98
2008-08-08,43,45.99
2008-08-15,35,48.93
2008-08-22,41,45.05
2008-08-29,36,45.79
2008-09-05,36,44.7
2008-09-12,45,47.44
2008-09-19,84,51.95
2008-09-26,63,44.15
2008-10-03,79,32.51
2008-10-10,100,18.2
2008-10-17,71,20.91
2008-10-24,54,19.61
2008-10-31,49,18.99
2008-11-07,53,25.19
2008-11-14,55,16.83
2008-11-21,66,10
2008-11-28,38,13.81
2008-12-05,49,19.2
2008-12-12,74,17.85
2008-12-19,46,20.31
2008-12-26,27,19.49
2009-01-02,37,23.6
2009-01-09,44,20.94
2009-01-16,48,16.19
2009-01-23,51,15.7
2009-01-30,44,16.59
2009-02-06,47,16.83
2009-02-13,56,11.64
2009-02-20,45,10.52
2009-02-27,67,7.99
2009-03-06,70,6.08
2009-03-13,81,7.77
2009-03-20,68,7
2009-03-27,77,10.3
2009-04-03,69,10.53
2009-04-17,56,14.72
2009-04-24,49,15.31
2009-05-01,54,15.43
2009-05-08,54,23.68
2009-05-15,60,18.58
2009-05-22,48,20.58
2009-05-29,34,22.2
2009-06-05,38,22.23
2009-06-12,45,20.89
2009-06-19,54,19
2009-06-26,52,19.11
2009-07-10,52,17.14
2009-07-17,61,19.78
2009-07-24,71,22.88
2009-07-31,72,23.7
2009-08-07,62,25.75
2009-08-14,56,25.54
2009-08-21,64,27.74
2009-08-28,63,28.88
2009-09-04,43,26.06
2009-09-11,46,27.83
2009-09-18,70,28.29
2009-09-25,51,25.8
2009-10-02,46,25.26
2009-10-09,51,28.29
2009-10-16,67,28.85
2009-10-23,58,28.21
2009-10-30,47,25.04
2009-11-06,50,25.71
2009-11-13,54,25.73
2009-11-20,52,25.78
2009-11-27,37,25
2009-12-04,67,24.09
2009-12-11,60,23.6
2009-12-18,48,23.72
2010-01-08,74,25.67
2010-01-15,50,25.26
2010-01-22,53,23.34
2010-01-29,64,23.05
2010-02-05,63,22.46
2010-02-12,50,22.04
2010-02-19,51,22.83
2010-02-26,52,23.21
2010-03-05,54,24.8
2010-03-12,61,25.61
2010-03-19,59,27.4
2010-03-26,62,29.17
2010-04-09,74,29.3
2010-04-16,68,29.04
2010-04-23,73,31.04
2010-04-30,71,29.22
2010-05-07,62,27.67
2010-05-14,50,28.9
2010-05-21,43,26.2
2010-05-28,43,27.19
2010-06-04,30,25.87
2010-06-11,42,25.75
2010-06-18,45,26.35
2010-06-25,37,25.4
2010-07-02,39,23.01
2010-07-09,33,24.87
2010-07-16,42,23.8
2010-07-23,33,25.59
2010-07-30,44,25.61
2010-08-06,48,24
2010-08-13,38,22.89
2010-08-20,43,22.39
2010-08-27,33,23.21
2010-09-03,39,25.56
2010-09-10,42,25.45
2010-09-17,43,25.35
2010-09-24,42,25.9
2010-10-01,59,25.92
2010-10-08,50,27.36
2010-10-15,52,26.48
2010-10-22,44,27.07
2010-10-29,54,26.84
2010-11-05,46,29.8
2010-11-12,49,28.34
2010-11-19,43,28.81
2010-11-26,28,27.53
2010-12-03,41,29.68
2010-12-10,43,31.45
2010-12-17,36,31.93
2010-12-31,33,32.56
2011-01-07,48,32.44
2011-01-14,39,33.35
2011-01-21,33,32.36
2011-01-28,42,32.55
2011-02-04,35,33.56
2011-02-11,34,32.53
2011-02-18,37,34.69
2011-02-25,32,33.94
2011-03-04,30,32.99
2011-03-11,36,32.33
2011-03-18,33,31.75
2011-03-25,33,31.86
2011-04-01,33,31.73
2011-04-08,40,31.72
2011-04-15,38,31.4
2011-04-29,38,33.75
