"Date","buy.STI","Price"
2008-04-18,91,54.4
2008-07-11,77,30.94
2008-09-12,63,47.31
2008-09-19,65,59.2
2008-09-26,67,50.48
2008-10-03,69,54.62
2008-10-10,74,36.4
2008-12-26,100,27.68
2009-01-02,70,29.92
2009-03-06,52,9.36
2009-03-13,55,12.21
2009-03-20,58,12.05
2009-03-27,57,12.58
2009-04-03,57,13.82
2009-04-17,57,18.04
2009-04-24,57,15.96
2009-05-01,59,13.81
2009-05-08,61,20.77
2009-05-15,63,15.05
2009-05-22,65,13.71
2009-05-29,55,13.17
2009-06-05,55,16.97
2009-06-12,55,16.69
2009-06-19,55,16.27
2009-06-26,55,15.91
2009-07-10,52,15.2
2009-07-17,52,16.24
2009-07-24,52,17.05
2009-07-31,57,19.5
2009-08-07,67,21.78
2009-08-14,78,21.05
2009-08-21,48,22.64
2009-08-28,48,23.68
2009-09-04,48,20.76
2009-09-11,48,21.89
2009-09-18,47,23.71
2009-09-25,50,22.27
2009-10-02,52,21.15
2009-10-09,55,22.5
2009-10-16,82,21.71
2009-10-23,44,20.99
2009-10-30,44,19.11
2009-11-06,44,19.93
2009-11-13,43,20.07
2009-11-20,43,22.04
2009-11-27,43,22.59
2009-12-04,43,22.8
2009-12-11,57,22.31
2009-12-18,45,21.01
2010-01-08,45,23.01
2010-01-15,45,23.39
2010-01-22,53,24.55
2010-01-29,40,24.33
2010-02-05,40,22.49
2010-02-12,48,22.37
2010-02-19,45,23.03
2010-02-26,43,23.81
2010-03-05,40,25.06
2010-03-12,42,26.86
2010-03-19,43,27.18
2010-03-26,42,26.5
2010-04-09,45,28.65
2010-04-16,47,28.48
2010-04-23,51,29.44
2010-04-30,44,29.6
2010-05-07,41,27.46
2010-05-14,41,29.82
2010-05-21,53,26.99
2010-05-28,57,26.95
2010-06-04,45,25.03
2010-06-11,46,25.89
2010-06-18,47,26.2
2010-06-25,48,25.51
2010-07-02,49,22.44
2010-07-09,56,25.46
2010-07-16,63,23.31
2010-07-23,70,25.04
2010-07-30,38,25.95
2010-08-06,43,25.85
2010-08-13,73,24.39
2010-08-20,58,24
2010-08-27,48,22.67
2010-09-03,40,24.18
2010-09-10,46,24.52
2010-09-17,53,25.96
2010-09-24,42,26.04
2010-10-01,48,26.1
2010-10-08,58,26.83
2010-10-15,55,24.38
2010-10-22,44,26.2
2010-10-29,40,25.01
2010-11-05,44,26.47
2010-11-12,63,25.11
2010-11-19,56,24.16
2010-11-26,49,23.58
2010-12-03,67,25.74
2010-12-10,65,27.58
2010-12-17,53,27.04
2010-12-31,43,29.51
2011-01-07,46,28.8
2011-01-14,43,28.92
2011-01-21,43,29.5
2011-01-28,46,29.58
2011-02-04,49,31.5
2011-02-11,33,32.53
2011-02-18,48,31.74
2011-02-25,35,30.82
2011-03-04,47,29.4
2011-03-11,39,29
2011-03-18,44,29.59
2011-03-25,50,29.21
2011-04-01,51,29.2
2011-04-08,45,29.65
2011-04-15,69,28.14
2011-04-29,56,28.19
2011-05-06,33,28.17
2011-05-13,48,27.47
2011-05-20,56,27.89
2011-05-27,60,27.99
2011-06-03,70,25.85
2011-06-10,35,25.18
2011-06-17,68,26.18
2011-06-24,50,25
2011-07-01,39,26.41
2011-07-08,36,25.67
2011-07-15,33,24.64
2011-07-22,39,25.95
2011-07-29,53,24.49
2011-08-05,41,21.51
2011-08-12,47,18.31
2011-08-19,53,16.91
2011-08-26,62,18.79
2011-09-02,36,18.22
2011-09-09,56,18.25
2011-09-16,51,19.92
2011-09-23,40,16.97
2011-09-30,56,17.95
2011-10-07,37,18.14
2011-10-14,74,19.04
2011-10-21,50,18.57
2011-10-28,42,20.63
2011-11-04,34,19.49
2011-11-11,42,19.28
2011-11-18,26,18.09
2011-11-25,54,16.53
2011-12-02,56,18.57
2011-12-09,45,17.22
2011-12-16,55,16.48
2011-12-23,53,17.75
2011-12-30,53,17.7
2012-01-06,40,19.75
2012-01-13,43,20.8
2012-01-20,38,21.29
2012-01-27,43,20.61
2012-02-03,42,22.28
2012-02-10,47,22.03
2012-02-17,28,22.69
2012-02-24,30,22.3
2012-03-02,31,22.91
2012-03-09,28,22.43
2012-03-16,28,24.38
2012-03-23,49,23.73
2012-03-30,36,24.17
2012-04-13,29,22.58
2012-04-20,37,22.6
2012-04-27,39,24.8
2012-05-04,55,23.75
2012-05-11,60,23.7
2012-05-18,37,21.72
2012-05-25,54,22.49
2012-06-01,54,21.86
2012-06-08,41,22.18
2012-06-15,50,22.43
2012-06-22,39,23.02
2012-06-29,44,24.23
2012-07-06,33,24.22
2012-07-13,46,24.75
2012-07-20,46,23.52
2012-07-27,23,23.78
2012-08-03,49,24.09
2012-08-10,42,24.83
2012-08-17,52,25.49
2012-08-24,43,25.1
2012-08-31,41,25.17
2012-09-07,48,27.5
2012-09-14,55,29.91
2012-09-21,44,28.43
2012-09-28,46,28.27
2012-10-05,41,30.31
2012-10-12,40,29.17
2012-10-19,40,28.63
2012-10-26,50,27.1
2012-11-02,39,27.14
2012-11-09,41,26.56
2012-11-16,37,26.02
2012-11-23,54,27.48
2012-11-30,48,27.15
2012-12-07,50,27.18
2012-12-14,57,27.07
2012-12-21,39,28.27
2012-12-28,41,27.79
2013-01-04,39,29.42
2013-01-11,45,28.31
2013-01-18,44,29.14
2013-01-25,69,29.35
2013-02-01,42,29.1
2013-02-08,59,29.25
2013-02-15,42,28.12
2013-02-22,35,27.9
2013-03-01,41,27.55
2013-03-08,36,29.35
2013-03-15,41,29.06
2013-03-22,50,28.23
2013-04-05,47,28.04
2013-04-12,46,28.79
2013-04-19,28,28.31
2013-04-26,31,29.05
2013-05-03,45,29.37
2013-05-10,37,30.46
2013-05-17,50,31.88
2013-05-24,37,31.94
2013-05-31,52,32.09
2013-06-07,61,32.25
2013-06-14,39,31.09
2013-06-21,54,31.23
2013-06-28,26,31.57
2013-07-05,50,34.31
2013-07-12,57,33.97
2013-07-19,43,34.83
2013-07-26,53,34.89
2013-08-02,54,35.44
2013-08-09,47,34.97
2013-08-16,36,34.6
2013-08-23,49,34.24
2013-08-30,61,32.02
2013-09-06,50,32.91
2013-09-13,34,33.31
2013-09-20,35,32.94
2013-09-27,30,32.6
2013-10-04,49,32.99
2013-10-11,39,33.51
2013-10-18,39,34.67
2013-10-25,36,33.71
2013-11-01,39,33.75
2013-11-08,55,35.72
2013-11-15,52,36.03
2013-11-22,55,36.41
2013-11-29,67,36.23
2013-12-06,41,35.45
2013-12-13,47,34.99
2013-12-20,46,36.39
2013-12-27,19,36.61
2014-01-03,45,36.55
2014-01-10,45,38.39
2014-01-17,53,39.34
2014-01-24,57,38.05
2014-01-31,33,37.02
2014-02-07,51,38.05
2014-02-14,52,37.84
2014-02-21,37,37.22
2014-02-28,50,37.68
2014-03-07,52,39.74
2014-03-14,52,38.62
2014-03-21,37,40.36
2014-03-28,40,39.03
2014-04-04,43,39.68
2014-04-11,40,37.75
2014-04-25,40,38.44
