"Date","TAP","Price"
2004-02-06,18,62.29
2004-02-13,20,64.35
2004-02-20,19,65.62
2004-02-27,19,67.78
2004-03-05,21,66.23
2004-03-12,19,67.39
2004-03-19,18,67.76
2004-03-26,18,67.98
2004-04-02,18,70.71
2004-04-16,19,68.51
2004-04-23,19,67.55
2004-04-30,18,65.71
2004-05-07,18,66.2
2004-05-14,17,64.65
2004-05-21,19,64.4
2004-05-28,18,64.45
2004-06-04,18,65.67
2004-06-18,19,69.26
2004-06-25,19,71.12
2004-07-02,17,71.95
2004-07-09,19,72.11
2004-07-16,19,73.02
2004-07-23,20,71.45
2004-07-30,19,68.76
2004-08-06,20,66.2
2004-08-13,17,67.6
2004-08-20,19,67
2004-08-27,19,67.8
2004-09-03,19,69
2004-09-10,19,68.88
2004-09-17,20,69.24
2004-09-24,18,67.54
2004-10-01,19,67.75
2004-10-08,19,66.84
2004-10-15,19,65.98
2004-10-22,18,67.19
2004-10-29,17,66.7
2004-11-05,17,70.03
2004-11-12,20,71.88
2004-11-19,18,72.5
2004-11-26,16,72.04
2004-12-03,18,75.25
2004-12-10,18,73.55
2004-12-17,17,74.41
2004-12-31,17,75.67
2005-01-07,19,72.19
2005-01-14,19,74.02
2005-01-21,19,74.48
2005-01-28,19,72.75
2005-02-04,19,75.75
2005-02-11,25,73.1
2005-02-18,21,70.18
2005-02-25,21,68.73
2005-03-04,20,71.65
2005-03-11,20,74.15
2005-03-18,19,75.9
2005-04-01,19,77.97
2005-04-08,19,78.99
2005-04-15,20,75.84
2005-04-22,19,77.45
2005-04-29,19,61.75
2005-05-06,20,61.84
2005-05-13,19,60.2
2005-05-20,18,60.4
2005-05-27,18,58.97
2005-06-03,19,58.88
2005-06-10,18,59.57
2005-06-17,20,58.83
2005-06-24,19,59.95
2005-07-01,19,61.59
2005-07-08,21,62.37
2005-07-15,21,63.31
2005-07-22,19,63.58
2005-07-29,20,62.7
2005-08-05,19,63.32
2005-08-12,21,62.75
2005-08-19,20,64.5
2005-08-26,18,63.42
2005-09-02,19,64.52
2005-09-09,19,66.06
2005-09-16,20,66.95
2005-09-23,20,64.55
2005-09-30,19,64.01
2005-10-07,20,62.69
2005-10-14,20,61.81
2005-10-21,18,60.87
2005-10-28,19,60.9
2005-11-04,18,64.1
2005-11-11,19,67.05
2005-11-18,20,66.45
2005-11-25,17,66.7
2005-12-02,18,67.09
2005-12-09,18,65.42
2005-12-16,18,66.23
2005-12-23,17,66.28
2005-12-30,18,66.99
2006-01-06,21,68
2006-01-13,20,68.85
2006-01-20,20,65.06
2006-01-27,20,62.64
2006-02-03,20,62.54
2006-02-10,20,63.23
2006-02-17,20,63.24
2006-02-24,21,63.17
2006-03-03,19,65.1
2006-03-10,19,68.26
2006-03-17,20,69.95
2006-03-24,19,69.58
2006-03-31,20,68.62
2006-04-07,20,68.35
2006-04-21,20,70.64
2006-04-28,20,73.86
2006-05-05,20,67.45
2006-05-12,20,65.88
2006-05-19,20,64.93
2006-05-26,20,63.98
2006-06-02,19,66.23
2006-06-09,19,67.96
2006-06-16,19,67.58
2006-06-23,20,67.6
2006-06-30,20,67.88
2006-07-07,19,68.97
2006-07-14,20,68.4
2006-07-21,22,70.36
2006-07-28,22,70.68
2006-08-04,20,66.21
2006-08-11,21,67.59
2006-08-18,21,69.35
2006-08-25,21,69.5
2006-09-01,21,70.13
2006-09-08,21,69.86
2006-09-15,22,68
2006-09-22,20,67.34
2006-09-29,20,68.9
2006-10-06,19,65.87
2006-10-13,20,66.77
2006-10-20,20,68.37
2006-10-27,19,68
2006-11-03,20,70.51
2006-11-10,19,71.72
2006-11-17,19,71
2006-11-24,17,70.71
2006-12-01,19,71.09
2006-12-08,18,72.49
2006-12-15,18,73.9
2006-12-22,17,75.95
2006-12-29,18,76.44
2007-01-05,20,75.44
2007-01-12,21,76.86
2007-01-19,21,77.96
2007-01-26,20,80.51
2007-02-02,20,80.85
2007-02-09,20,81.9
2007-02-16,19,86.61
2007-02-23,20,85.1
2007-03-02,20,82.83
2007-03-09,21,86.35
2007-03-16,21,88.83
2007-03-23,19,92.88
2007-03-30,20,94.62
2007-04-13,20,95.03
2007-04-20,21,96.1
2007-04-27,21,96
2007-05-04,20,96.74
2007-05-11,20,92.56
2007-05-18,20,91.58
2007-05-25,19,89.86
2007-06-01,19,91.52
2007-06-08,20,89.12
2007-06-15,20,91.93
2007-06-22,20,91.06
2007-06-29,21,92.46
2007-07-06,23,93.19
2007-07-13,25,92.86
2007-07-20,23,91.2
2007-07-27,23,87.48
2007-08-03,22,90.93
2007-08-10,22,82.69
2007-08-17,22,85.19
2007-08-24,21,85.9
2007-08-31,21,89.46
2007-09-07,22,89.24
2007-09-14,22,93.68
2007-09-21,22,98.4
2007-09-28,22,99.67
2007-10-05,21,49.68
2007-10-12,22,55.05
