"Date","buy.HRS","Price"
2010-05-07,45,46.8
2010-07-30,69,44.53
2010-11-12,41,46.18
2010-11-19,41,46.43
2010-11-26,59,46.1
2010-12-03,54,45.57
2010-12-10,54,46.17
2010-12-17,44,46.4
2010-12-31,67,45.3
2011-01-07,38,46.36
2011-01-14,38,48.33
2011-01-21,34,47.56
2011-01-28,55,46.36
2011-02-04,39,47.36
2011-02-11,41,49.21
2011-02-18,50,48.65
2011-02-25,36,46.45
2011-03-04,42,46.18
2011-03-11,48,45.58
2011-03-18,53,46.52
2011-03-25,33,48.06
2011-04-01,33,50.05
2011-04-08,35,50.8
2011-04-15,37,50.05
2011-04-29,35,53.13
2011-05-06,37,48.16
2011-05-13,40,48.88
2011-05-20,33,49.48
2011-05-27,37,48.96
2011-06-03,34,46.75
2011-06-10,46,45.23
2011-06-17,39,44.34
2011-06-24,33,44.03
2011-07-01,40,45.55
2011-07-08,54,44.55
2011-07-15,40,42.52
2011-07-22,33,43.36
2011-07-29,33,39.87
2011-08-05,33,37.51
2011-08-12,33,36.7
2011-08-19,43,34.78
2011-08-26,30,37.69
2011-09-02,30,38.23
2011-09-09,30,38.51
2011-09-16,49,40.72
2011-09-23,51,35.54
2011-09-30,45,34.17
2011-10-07,38,34.54
2011-10-14,43,36.74
2011-10-21,43,36.79
2011-10-28,43,38.85
2011-11-04,43,37.99
2011-11-11,35,38.29
2011-11-18,40,36.53
2011-11-25,86,33.26
2011-12-02,45,35.87
2011-12-09,59,35.51
2011-12-16,37,34.29
2011-12-23,54,36.88
2011-12-30,66,36.04
2012-01-06,45,37.18
2012-01-13,43,38.41
2012-01-20,32,39.4
2012-01-27,50,39.7
2012-02-03,44,41.93
2012-02-10,34,42.18
2012-02-17,39,42.66
2012-02-24,40,43.11
2012-03-02,45,43.79
2012-03-09,37,43.62
2012-03-16,29,44.4
2012-03-23,29,44.05
2012-03-30,29,45.08
2012-04-13,26,44.42
2012-04-20,26,44.1
2012-04-27,26,45.64
2012-05-04,34,41.02
2012-05-11,40,41.23
2012-05-18,46,38.43
2012-05-25,34,39.37
2012-06-01,36,39.1
2012-06-08,44,40.86
2012-06-15,51,41.23
2012-06-22,31,41.39
2012-06-29,26,41.85
2012-07-06,31,41.96
2012-07-13,36,40.85
2012-07-20,34,41.25
2012-07-27,37,42.51
2012-08-03,37,43.27
2012-08-10,50,45.64
2012-08-17,34,46.35
2012-08-24,26,46.53
2012-08-31,36,47.03
2012-09-07,28,47.1
2012-09-14,25,50.52
2012-09-21,30,51.16
2012-09-28,29,51.22
2012-10-05,48,51.97
2012-10-12,31,48.84
2012-10-19,33,46.33
2012-10-26,38,47.14
2012-11-02,35,47.46
2012-11-09,35,48.65
2012-11-16,28,46.42
2012-11-23,63,46.83
2012-11-30,50,47.13
2012-12-07,47,48.49
2012-12-14,32,48.17
2012-12-21,42,49.67
2012-12-28,100,48.31
2013-01-04,64,49.88
2013-01-11,33,49.75
2013-01-18,23,49.94
2013-01-25,30,49.49
2013-02-01,45,46.28
2013-02-08,34,46.62
2013-02-15,34,47.61
2013-02-22,43,47.98
2013-03-01,37,47.71
2013-03-08,35,45.42
2013-03-15,27,44.36
2013-03-22,29,43.99
2013-04-05,31,44.52
2013-04-12,51,44.06
2013-04-19,23,41.98
2013-04-26,23,43.93
2013-05-03,36,46.47
2013-05-10,32,48.79
2013-05-17,27,50.46
2013-05-24,25,50.37
2013-05-31,39,50.13
2013-06-07,37,50.35
2013-06-14,50,49.82
2013-06-21,31,48.58
2013-06-28,54,49.25
2013-07-05,43,49.56
2013-07-12,49,51.76
2013-07-19,37,52.7
2013-07-26,45,52.74
2013-08-02,42,57.12
2013-08-09,28,57.65
2013-08-16,30,57.29
2013-08-23,25,56.97
2013-08-30,29,56.63
2013-09-06,30,57.28
2013-09-13,46,57.93
2013-09-20,46,58.15
2013-09-27,44,59.23
2013-10-04,43,59.59
2013-10-11,40,59.3
2013-10-18,42,59.5
2013-10-25,31,59.61
2013-11-01,43,61.72
2013-11-08,36,63.62
2013-11-15,23,64.42
2013-11-22,36,65.49
2013-11-29,48,64.51
2013-12-06,38,66.42
2013-12-13,19,65.55
2013-12-20,30,68.74
2013-12-27,94,70.16
2014-01-03,52,69.3
2014-01-10,39,68.96
2014-01-17,29,70.54
2014-01-24,29,68.06
2014-01-31,18,69.34
2014-02-07,21,70.92
2014-02-14,34,72
2014-02-21,22,72.85
2014-02-28,34,73.82
2014-03-07,35,74.72
2014-03-14,31,72.56
2014-03-21,34,73.55
2014-03-28,23,71.88
2014-04-04,41,72.43
2014-04-11,23,69.58
2014-04-25,39,71.62
