"Date","LO","Price"
2008-06-13,55,72.76
2008-06-20,56,70.91
2008-06-27,58,67.98
2008-07-11,54,70.5
2008-07-18,52,68.5
2008-07-25,51,66
2008-08-01,50,67.44
2008-08-08,51,68.41
2008-08-15,50,72.48
2008-08-22,53,72.17
2008-08-29,61,72.24
2008-09-05,62,74.09
2008-09-12,55,77.14
2008-09-19,55,72.14
2008-09-26,58,74.12
2008-10-03,58,66.83
2008-10-10,57,59
2008-10-17,57,57.73
2008-10-24,56,58.13
2008-10-31,57,65.86
2008-11-07,55,61.12
2008-11-14,56,60.78
2008-11-21,55,59.68
2008-11-28,56,60.43
2008-12-05,55,61.51
2008-12-12,55,58.81
2008-12-19,50,57.47
2008-12-26,49,55.81
2009-01-02,50,55.22
2009-01-09,50,56.21
2009-01-16,54,59.97
2009-01-23,57,61
2009-01-30,56,59.46
2009-02-06,56,62.26
2009-02-13,55,63.91
2009-02-20,55,63.27
2009-02-27,57,58.44
2009-03-06,58,57.68
2009-03-13,60,62.19
2009-03-20,60,62.28
2009-03-27,63,63.11
2009-04-03,64,62.56
2009-04-17,59,64.98
2009-04-24,62,62.6
2009-05-01,61,62.1
2009-05-08,63,65.82
2009-05-15,66,69.39
2009-05-22,65,67.77
2009-05-29,66,68.33
2009-06-05,65,69.06
2009-06-12,65,67.75
2009-06-19,63,69.05
2009-06-26,62,67.76
2009-07-10,62,67.05
2009-07-17,60,69.98
2009-07-24,61,71.9
2009-07-31,61,73.72
2009-08-07,62,72.81
2009-08-14,61,72.38
2009-08-21,63,74.87
2009-08-28,67,72.13
2009-09-04,73,74.18
2009-09-11,68,74.8
2009-09-18,67,75.22
2009-09-25,68,72.81
2009-10-02,65,74.61
2009-10-09,67,77.79
2009-10-16,65,80.52
2009-10-23,64,79.82
2009-10-30,64,77.72
2009-11-06,66,77.65
2009-11-13,70,79.28
2009-11-20,68,79.48
2009-11-27,72,78.91
2009-12-04,65,78.48
2009-12-11,63,78.57
2009-12-18,63,77.48
2010-01-08,61,77.95
2010-01-15,65,77.54
2010-01-22,65,74.42
2010-01-29,65,75.7
2010-02-05,66,74.5
2010-02-12,66,75.35
2010-02-19,71,76.51
2010-02-26,68,73.04
2010-03-05,69,75.5
2010-03-12,70,75.98
2010-03-19,71,77.08
2010-03-26,73,76
2010-04-09,73,77.01
2010-04-16,75,77.35
2010-04-23,75,79.57
2010-04-30,77,78.37
2010-05-07,75,76.21
2010-05-14,75,78.83
2010-05-21,77,74.69
2010-05-28,77,71.49
2010-06-04,76,71.59
2010-06-11,76,73.71
2010-06-18,73,74.99
2010-06-25,71,71.77
2010-07-02,74,71.91
2010-07-09,70,74.42
2010-07-16,69,73.53
2010-07-23,68,76.3
2010-07-30,69,76.24
2010-08-06,69,76.32
2010-08-13,69,75.3
2010-08-20,72,74.74
2010-08-27,79,77.2
2010-09-03,88,80.7
2010-09-10,88,81.76
2010-09-17,81,80.7
2010-09-24,82,81.4
2010-10-01,81,80.03
2010-10-08,79,79.97
2010-10-15,81,82.97
2010-10-22,82,84.05
2010-10-29,79,85.34
2010-11-05,80,88.92
2010-11-12,81,87.8
2010-11-19,84,86.03
2010-11-26,83,83.52
2010-12-03,79,81.75
2010-12-10,78,82.15
2010-12-17,74,82.39
2010-12-31,75,82.06
2011-01-07,75,77.29
2011-01-14,79,77.07
2011-01-21,85,74.2
2011-01-28,79,74.65
2011-02-04,77,75
2011-02-11,83,78.24
2011-02-18,100,79.53
2011-02-25,88,77.19
2011-03-04,84,77.74
2011-03-11,84,79.35
2011-03-18,86,87.11
2011-03-25,89,94.74
2011-04-01,89,94.78
2011-04-08,93,96.25
2011-04-15,91,98.93
2011-04-29,93,106.5
2011-05-06,90,108.62
2011-05-13,94,111.51
2011-05-20,95,116.37
2011-05-27,93,114.96
2011-06-03,94,107.73
2011-06-10,91,99.85
