"Date","buy.USB","Price"
2004-02-06,65,27.86
2004-02-13,50,27.5
2004-02-20,50,28.03
2004-02-27,70,28.53
2004-03-05,51,29.36
2004-03-12,63,28.22
2004-03-19,74,27.66
2004-03-26,61,27.6
2004-04-02,47,27.01
2004-04-16,59,26.3
2004-04-23,63,26.14
2004-04-30,63,25.64
2004-05-07,50,25.45
2004-05-14,52,26.41
2004-05-21,57,26.94
2004-05-28,52,28.1
2004-06-04,54,28.37
2004-06-18,75,28.32
2004-06-25,63,27.79
2004-07-02,69,28.11
2004-07-09,57,27.86
2004-07-16,50,27.99
2004-07-23,87,27.8
2004-07-30,80,28.3
2004-08-06,66,28.15
2004-08-13,83,28.76
2004-08-20,64,28.85
2004-08-27,67,29.32
2004-09-03,62,29.54
2004-09-10,60,29.41
2004-09-17,60,29.24
2004-09-24,73,28.59
2004-10-01,71,29.27
2004-10-08,53,29.42
2004-10-15,70,29.37
2004-10-22,58,27.86
2004-10-29,90,28.61
2004-11-05,70,29.77
2004-11-12,60,30.48
2004-11-19,53,29.6
2004-11-26,65,29.94
2004-12-03,62,29.67
2004-12-10,80,29.4
2004-12-17,80,29.9
2004-12-31,84,31.32
2005-01-07,64,30.45
2005-01-14,64,30.19
2005-01-21,78,29.96
2005-01-28,61,29.8
2005-02-04,81,30.46
2005-02-11,78,30.3
2005-02-18,51,29.41
2005-02-25,49,29.85
2005-03-04,71,29.65
2005-03-11,38,29.56
2005-03-18,66,29.29
2005-04-01,72,28.5
2005-04-08,51,28.38
2005-04-15,45,27.97
2005-04-22,72,27.2
2005-04-29,66,27.9
2005-05-06,47,28.42
2005-05-13,59,28.27
2005-05-20,39,29.75
2005-05-27,50,29.53
2005-06-03,41,29.27
2005-06-10,50,29.1
2005-06-17,56,29.52
2005-06-24,60,29.14
2005-07-01,69,29.05
2005-07-08,53,29.27
2005-07-15,53,30.64
2005-07-22,46,30.59
2005-07-29,68,30.06
2005-08-05,49,29.65
2005-08-12,51,30.22
2005-08-19,56,29.9
2005-08-26,66,29.11
2005-09-02,68,29.75
2005-09-09,66,29.88
2005-09-16,68,29.95
2005-09-23,61,29.09
2005-09-30,55,28.08
2005-10-07,60,27.88
2005-10-14,69,27.96
2005-10-21,67,28.93
2005-10-28,40,29.57
2005-11-04,55,28.69
2005-11-11,49,30.37
2005-11-18,58,30
2005-11-25,75,30.72
2005-12-02,85,30.48
2005-12-09,79,30.14
2005-12-16,71,30.92
2005-12-23,72,30.9
2005-12-30,81,29.89
2006-01-06,84,30.78
2006-01-13,68,30.59
2006-01-20,65,29.03
2006-01-27,65,29.77
2006-02-03,71,29.3
2006-02-10,58,29.96
2006-02-17,53,30.47
2006-02-24,51,30.93
2006-03-03,56,30.4
2006-03-10,45,30.68
2006-03-17,54,31.16
2006-03-24,40,30.9
2006-03-31,41,30.5
2006-04-07,52,30.5
2006-04-21,58,30.53
2006-04-28,44,31.44
2006-05-05,57,31.36
2006-05-12,50,31.37
2006-05-19,51,31.1
2006-05-26,47,31.03
2006-06-02,50,31.68
2006-06-09,56,31.58
2006-06-16,51,31.28
2006-06-23,51,31.02
2006-06-30,49,30.88
2006-07-07,60,30.99
2006-07-14,56,30.77
2006-07-21,59,31.81
2006-07-28,57,32
2006-08-04,68,32.31
2006-08-11,59,31.9
2006-08-18,45,32.5
2006-08-25,63,32.12
2006-09-01,56,32.05
2006-09-08,50,32.19
2006-09-15,47,33.26
2006-09-22,59,33.14
2006-09-29,57,33.22
2006-10-06,55,33.67
2006-10-13,49,33.76
2006-10-20,45,33.43
2006-10-27,58,34
2006-11-03,44,33.57
2006-11-10,56,33.66
2006-11-17,50,33.91
2006-11-24,54,33.72
2006-12-01,50,33.66
2006-12-08,61,33.96
2006-12-15,64,35.79
2006-12-22,75,36.65
2006-12-29,100,36.19
2007-01-05,61,35.77
2007-01-12,63,35.55
2007-01-19,59,35.46
2007-01-26,60,35.54
2007-02-02,52,35.81
2007-02-09,49,35.84
2007-02-16,48,36.62
2007-02-23,57,36.55
2007-03-02,48,35.39
2007-03-09,45,35.53
2007-03-16,49,35.1
2007-03-23,51,35.91
2007-03-30,44,34.97
2007-04-13,49,34.47
2007-04-20,56,34.55
2007-04-27,44,34.55
2007-05-04,44,34.49
2007-05-11,42,34.66
2007-05-18,54,34.78
2007-05-25,46,34.39
2007-06-01,52,34.63
2007-06-08,45,34.21
2007-06-15,45,34.12
2007-06-22,44,33.42
2007-06-29,45,32.95
2007-07-06,57,33.39
2007-07-13,54,33.18
2007-07-20,59,31.89
2007-07-27,47,29.99
2007-08-03,59,29.26
2007-08-10,60,29.96
2007-08-17,62,32.81
2007-08-24,61,33.05
2007-08-31,51,32.35
2007-09-07,61,31.46
2007-09-14,59,32.27
2007-09-21,57,33.1
2007-09-28,63,32.53
2007-10-05,51,33.71
2007-10-12,58,32.88
2007-10-19,45,31.27
2007-10-26,48,32.38
2007-11-02,51,31.3
2007-11-09,55,30.92
2007-11-16,53,31.43
2007-11-23,62,31.21
2007-11-30,72,33.09
2007-12-07,64,32.86
2007-12-14,61,32.68
2007-12-21,72,32.28
2007-12-28,96,31.81
2008-01-04,78,29.44
2008-01-11,62,29.85
2008-01-18,60,30.19
2008-01-25,63,32.96
2008-02-01,54,34
2008-02-08,64,32.34
2008-02-15,57,32.68
2008-02-22,55,32.91
2008-02-29,51,32.02
2008-03-07,50,30.88
2008-03-14,52,31.57
2008-03-28,53,32.66
2008-04-04,47,33.2
2008-04-11,53,32.62
2008-04-18,55,33.56
2008-04-25,48,34.89
2008-05-02,57,34.6
2008-05-09,52,33.55
2008-05-16,46,33.91
2008-05-23,50,32.68
2008-05-30,57,33.19
2008-06-06,52,32.07
2008-06-13,53,30.83
2008-06-20,59,29.67
2008-06-27,57,28.31
2008-07-11,65,25.74
2008-07-18,57,28.39
2008-07-25,61,28.9
2008-08-01,72,30.8
2008-08-08,65,31.46
2008-08-15,66,31.58
2008-08-22,53,31.44
2008-08-29,63,31.86
2008-09-05,59,32.74
2008-09-12,64,33.83
2008-09-19,62,37.99
2008-09-26,53,36.2
2008-10-03,56,35.06
2008-10-10,54,30.36
2008-10-17,53,30.55
2008-10-24,51,29.45
2008-10-31,52,29.81
2008-11-07,52,27.21
2008-11-14,58,26.3
2008-11-21,58,22.53
2008-11-28,75,26.98
2008-12-05,72,28.91
2008-12-12,71,25.84
2008-12-19,68,24.85
2008-12-26,86,24.25
2009-01-02,87,25.25
2009-01-09,73,22.35
2009-01-16,73,18.32
2009-01-23,65,14.64
2009-01-30,67,14.84
2009-02-06,55,16.19
2009-02-13,61,12.4
2009-02-20,62,10.58
2009-02-27,67,14.31
2009-03-06,56,8.82
2009-03-13,56,13.57
2009-03-20,54,13.42
2009-03-27,60,15.64
2009-04-03,57,15.97
2009-04-17,57,18.6
2009-04-24,60,18.97
2009-05-01,60,17.96
2009-05-08,56,20.54
2009-05-15,58,17.67
2009-05-22,56,17.83
2009-05-29,63,19.2
2009-06-05,58,18
2009-06-12,57,18.58
