"Date","CMS.Energy","Price"
2005-04-29,100,12.92
2006-02-24,63,14.23
2006-03-03,56,14.14
2006-03-10,60,13.69
2006-03-17,54,13.85
2006-03-24,54,13.32
2006-03-31,54,12.95
2006-04-07,54,12.91
2006-04-21,57,13.57
2006-04-28,59,13.32
2006-05-05,53,13.13
2006-05-12,53,12.51
2006-11-10,55,15.25
2007-01-26,46,16.71
2007-02-02,51,16.9
2007-02-09,55,17.52
2007-02-16,55,17.52
2007-02-23,55,17.9
2007-03-02,55,17.07
2007-03-09,55,17.29
2007-03-16,51,17.03
2007-03-23,56,17.69
2007-03-30,62,17.8
2007-04-13,35,18.31
2007-04-20,35,18.73
2007-04-27,46,18.53
2007-05-04,46,18.81
2007-05-11,32,18.35
2007-05-18,32,18.74
2007-05-25,36,17.89
2007-06-01,39,18.25
2007-06-08,42,17.35
2007-06-15,46,17.65
2007-06-22,49,16.78
2007-06-29,50,17.2
2007-07-06,52,17.5
2007-07-13,53,17.65
2007-07-20,54,17.55
2007-07-27,56,16
2007-08-03,33,15.8
2007-08-10,33,15.51
2007-08-17,32,15.95
2007-08-24,34,16.53
2007-08-31,36,16.32
2007-09-07,37,15.85
2007-09-14,38,16.27
2007-09-21,29,16.61
2007-09-28,29,16.82
2007-10-05,29,16.88
2007-10-12,32,16.58
2007-10-19,36,16.06
2007-12-21,33,17.76
2007-12-28,30,17.64
2008-01-04,30,16.97
2008-01-11,30,16.91
2008-01-18,30,15.77
2008-01-25,30,15.22
2008-02-01,30,16.07
2008-02-08,30,15.7
2008-02-15,30,15.7
2008-02-22,30,15.44
2008-02-29,31,14.39
2008-03-07,26,13.76
2008-03-14,23,13.45
2008-03-28,33,13.46
2008-05-09,24,15.02
2008-07-11,29,14.06
2008-07-18,29,13.63
2008-07-25,29,13.52
2008-08-01,29,13.22
2008-08-08,29,13.65
2008-08-15,26,13.25
2008-08-22,26,13.16
2008-08-29,26,13.57
2008-09-05,26,13.34
2008-10-24,20,10.05
2008-10-31,25,10.25
2008-11-07,26,10.26
2008-11-14,27,10.76
2008-11-21,29,9.57
2008-11-28,25,10.16
2008-12-05,25,9.84
2008-12-12,26,9.9
2008-12-19,27,9.72
2008-12-26,29,9.45
2009-01-02,31,10.45
2009-01-09,18,11.18
2009-01-16,18,11.26
2009-01-23,25,12.02
2009-01-30,28,11.75
2009-02-06,27,12.09
2009-02-13,27,11.46
2009-02-20,32,10.41
2009-04-03,19,12.2
2009-04-17,21,11.94
2009-04-24,24,11.59
2009-05-01,26,12
2009-05-08,23,11.91
2009-05-15,22,11.24
2009-05-22,22,11
2009-05-29,22,11.34
2009-06-05,20,11.78
2009-06-12,20,12.3
2009-06-19,20,12.05
2009-06-26,25,11.98
2009-07-10,27,11.87
2009-07-17,28,12.29
2009-07-24,22,12.87
2009-07-31,17,12.94
2009-08-07,23,12.91
2009-08-14,24,13.21
2009-09-25,16,13.35
2009-10-02,21,13.21
2009-10-09,22,13.47
2009-10-16,18,13.75
2009-10-23,27,13.59
2009-10-30,19,13.3
2009-11-06,19,13.53
2009-11-13,17,14.37
2009-11-20,15,14.05
2009-11-27,19,14.14
2009-12-04,23,14.86
2009-12-11,18,15.46
2009-12-18,18,15.67
2010-01-08,18,15.55
2010-01-15,18,15.69
2010-01-22,20,15.22
2010-01-29,17,15.17
2010-02-05,16,14.81
2010-02-12,22,14.83
2010-02-19,28,15.58
2010-02-26,17,15.27
2010-03-05,23,15.69
2010-03-12,20,15.71
2010-03-19,22,15.82
2010-03-26,17,15.53
2010-04-09,15,15.9
2010-04-16,21,15.72
2010-04-23,29,16.38
2010-04-30,17,16.26
2010-05-07,24,15.07
2010-05-14,22,15.56
2010-05-21,23,14.78
2010-05-28,18,14.68
2010-06-04,21,14.26
2010-06-11,18,14.91
2010-06-18,21,15.54
2010-06-25,23,15.18
2010-07-02,25,14.68
2010-07-09,21,15.67
2010-07-16,13,15.62
2010-07-23,23,16.06
2010-07-30,23,15.92
2010-08-06,14,16.89
2010-08-13,18,17.36
2010-08-20,17,17.04
2010-08-27,15,17.76
2010-09-03,21,17.79
2010-09-10,27,17.7
2010-09-17,26,17.73
2010-09-24,18,18.06
2010-10-01,24,18.22
2010-10-08,18,18.84
2010-10-15,17,18.81
2010-10-22,17,18.69
2010-10-29,17,18.38
2010-11-05,22,18.38
2010-11-12,26,17.84
2010-11-19,29,17.83
2010-11-26,14,17.88
2010-12-03,14,18.62
2010-12-10,14,18.76
2010-12-17,14,19.09
2010-12-31,15,18.6
2011-01-07,19,18.91
2011-01-14,14,19
2011-01-21,11,19.13
2011-01-28,15,19.34
2011-02-04,18,19.35
2011-02-11,16,19.27
2011-02-18,17,19.62
2011-02-25,13,19.13
2011-03-04,17,19.17
2011-03-11,11,19.23
2011-03-18,13,18.91
2011-03-25,13,19.13
2011-04-01,16,19.7
2011-04-08,15,19.26
2011-04-15,15,19.28
2011-04-29,21,19.8
2011-05-06,13,20.15
2011-05-13,19,20.21
2011-05-20,11,20.28
2011-05-27,13,19.7
2011-06-03,15,19.74
2011-06-10,12,19.46
2011-06-17,10,19.68
2011-06-24,17,19.5
2011-07-01,14,20.11
2011-07-08,11,20.06
2011-07-15,16,19.7
2011-07-22,15,19.93
2011-07-29,13,19.14
2011-08-05,13,18.27
2011-08-12,14,18.24
2011-08-19,10,18.88
2011-08-26,10,19.23
2011-09-02,14,19.3
2011-09-09,14,18.81
2011-09-16,15,20.31
2011-09-23,13,19.66
2011-09-30,17,19.79
2011-10-07,19,19.82
2011-10-14,14,20.48
2011-10-21,11,20.97
2011-10-28,17,21.11
2011-11-04,12,20.59
2011-11-11,13,21.21
2011-11-18,15,20.88
2011-11-25,15,19.71
2011-12-02,22,20.79
2011-12-09,17,20.75
2011-12-16,16,20.87
2011-12-23,12,22.02
2011-12-30,9,22.08
2012-01-06,12,21.63
2012-01-13,14,21.91
2012-01-20,16,21.48
2012-01-27,13,22.09
2012-02-03,17,22.03
2012-02-10,25,21.63
2012-02-17,11,21.54
2012-02-24,16,21.68
2012-03-02,25,21.41
2012-03-09,17,21.89
2012-03-16,14,21.65
2012-03-23,10,21.91
2012-03-30,9,22
2012-04-13,17,21.54
2012-04-20,11,22.3
2012-04-27,14,22.83
2012-05-04,17,22.47
2012-05-11,17,22.84
2012-05-18,10,22.68
2012-05-25,12,23.12
2012-06-01,11,23.07
2012-06-08,14,23.56
2012-06-15,14,23.74
2012-06-22,15,23.24
2012-06-29,18,23.5
2012-07-06,14,23.68
2012-07-13,9,24.32
2012-07-20,15,24.54
2012-07-27,8,24.8
2012-08-03,8,24.19
2012-08-10,9,23.89
2012-08-17,14,23.38
2012-08-24,17,22.86
2012-08-31,14,23.07
2012-09-07,11,23.34
2012-09-14,11,23.19
2012-09-21,13,23.14
2012-09-28,13,23.55
2012-10-05,14,23.82
2012-10-12,8,23.67
2012-10-19,11,24.3
2012-10-26,13,24.22
2012-11-02,12,23.98
2012-11-09,9,23
2012-11-16,15,23.22
2012-11-23,13,23.52
2012-11-30,11,24.43
2012-12-07,10,24.67
2012-12-14,13,24.03
2012-12-21,17,24.54
2012-12-28,12,24.05
2013-01-04,12,25.1
2013-01-11,10,24.89
2013-01-18,14,25.09
2013-01-25,12,25.23
2013-02-01,14,25.83
2013-02-08,10,25.66
2013-02-15,6,25.77
2013-02-22,14,26.4
2013-03-01,9,26.45
2013-03-08,10,27.08
2013-03-15,14,27.44
2013-03-22,11,27.33
2013-04-05,14,28.21
2013-04-12,17,28.73
2013-04-19,14,29.09
2013-04-26,12,29.43
2013-05-03,15,29.39
2013-05-10,13,28.42
2013-05-17,11,29.1
2013-05-24,15,27.53
2013-05-31,16,26.95
2013-06-07,11,27.04
2013-06-14,16,27.4
2013-06-21,13,26.4
2013-06-28,9,27.17
2013-07-05,8,26.7
2013-07-12,11,27.92
2013-07-19,12,28.48
2013-07-26,11,28.2
2013-08-02,8,28.52
2013-08-09,9,27.96
2013-08-16,8,26.87
2013-08-23,8,26.94
2013-08-30,9,26.53
2013-09-06,6,25.98
2013-09-13,12,26.19
2013-09-20,11,26.59
2013-09-27,14,26.21
2013-10-04,11,26.03
2013-10-11,12,27.06
2013-10-18,12,27.32
2013-10-25,17,28.03
2013-11-01,9,27.62
2013-11-08,13,27.28
2013-11-15,13,27.61
2013-11-22,8,27.31
2013-11-29,9,26.54
2013-12-06,13,26.49
2013-12-13,10,26.21
2013-12-20,14,26.92
2013-12-27,12,26.69
2014-01-03,10,26.29
2014-01-10,8,27.11
2014-01-17,12,26.43
2014-01-24,14,26.54
2014-01-31,11,27.79
2014-02-07,13,27.23
2014-02-14,9,28.53
2014-02-21,11,28.48
2014-02-28,12,28.43
2014-03-07,12,27.98
2014-03-14,14,28.8
2014-03-21,9,28.58
2014-03-28,11,28.83
2014-04-04,10,29.38
2014-04-11,9,29.45
2014-04-25,9,30.39
