"Date","PSA","Price"
2004-02-06,57,48.25
2004-02-13,60,48.29
2004-02-20,54,48.05
2004-02-27,54,47.73
2004-03-05,65,50
2004-03-12,50,48.16
2004-03-19,54,48.84
2004-03-26,56,48.4
2004-04-02,65,49.6
2004-04-16,48,43.15
2004-04-23,51,42.28
2004-04-30,52,41.79
2004-05-07,48,41.58
2004-05-14,53,40.71
2004-05-21,48,42.67
2004-05-28,53,45.99
2004-06-04,49,47.84
2004-06-18,48,45.8
2004-06-25,57,46.37
2004-07-02,49,47.18
2004-07-09,57,46.99
2004-07-16,50,48.05
2004-07-23,48,45.9
2004-07-30,49,47.13
2004-08-06,46,48.05
2004-08-13,45,47.66
2004-08-20,46,49.75
2004-08-27,50,50.67
2004-09-03,52,51.81
2004-09-10,53,51.07
2004-09-17,55,51.38
2004-09-24,62,49.5
2004-10-01,55,50.43
2004-10-08,58,50.79
2004-10-15,54,51.88
2004-10-22,56,51.63
2004-10-29,55,52.25
2004-11-05,57,53.35
2004-11-12,41,56.2
2004-11-19,55,52.86
2004-11-26,53,53.9
2004-12-03,54,55.33
2004-12-10,53,56.97
2004-12-17,49,56.3
2004-12-31,44,55.75
2005-01-07,50,53.05
2005-01-14,53,53.24
2005-01-21,53,54.5
2005-01-28,53,53.18
2005-02-04,54,55.25
2005-02-11,55,56
2005-02-18,59,56.65
2005-02-25,57,55.27
2005-03-04,52,57.95
2005-03-11,53,56.96
2005-03-18,51,58.7
2005-04-01,47,56.28
2005-04-08,48,56.46
2005-04-15,52,56.9
2005-04-22,51,56.6
2005-04-29,53,58.7
2005-05-06,50,59.18
2005-05-13,53,60.8
2005-05-20,57,63
2005-05-27,51,60.44
2005-06-03,51,60.85
2005-06-10,56,62.45
2005-06-17,60,63.42
2005-06-24,58,62.8
2005-07-01,49,63.53
2005-07-08,50,65.92
2005-07-15,52,65.12
2005-07-22,53,65.38
2005-07-29,50,66.75
2005-08-05,47,62.95
2005-08-12,47,62.3
2005-08-19,52,65.91
2005-08-26,50,66.7
2005-09-02,49,67.97
