"Date","WMB","Price"
2004-05-21,62,10.83
2004-05-28,62,11.91
2004-06-04,62,11.7
2004-12-10,44,15.5
2004-12-17,50,16.25
2004-12-31,45,16.29
2005-01-07,45,15.33
2005-01-14,45,15.85
2005-01-21,45,15.89
2005-01-28,49,16.73
2005-02-04,52,17.64
2005-02-11,56,17.73
2005-02-18,59,18.84
2005-02-25,59,19.29
2005-03-04,41,19.18
2005-03-11,41,17.89
2005-03-18,41,18.88
2005-04-01,45,19.06
2005-04-08,47,18.3
2005-04-15,48,16.55
2005-04-22,37,18
2005-04-29,37,17.02
2005-05-06,38,17.77
2005-05-13,39,16.4
2005-05-20,40,17.52
2005-05-27,40,18.38
2005-06-03,41,18.8
2005-06-10,53,18.75
2005-06-17,40,19.21
2005-06-24,52,18.77
2005-07-01,41,19.16
2005-07-08,56,19.9
2005-07-15,55,19.83
2005-07-22,55,20.8
2005-07-29,55,21.24
2005-08-05,45,21.88
2005-08-12,40,21.93
2005-08-19,47,21.18
2005-08-26,45,20.99
2005-09-02,38,22.21
2005-09-09,43,23.49
2005-09-16,48,23.59
2005-09-23,52,23.23
2005-09-30,56,25.05
2005-10-07,40,22.95
2005-10-14,40,22
2005-10-21,45,21.56
2005-10-28,42,22.11
2005-11-04,43,21.87
2005-11-11,38,20.22
2005-11-18,38,21.75
2005-11-25,39,22.35
2005-12-02,39,22.13
2005-12-09,40,22.74
2005-12-16,51,23.74
2005-12-23,44,23.83
2005-12-30,50,23.17
2006-01-06,59,23.89
2006-01-13,41,24.6
2006-01-20,44,25.02
2006-01-27,58,23.9
2006-02-03,44,23.05
2006-02-10,43,21.9
2006-02-17,52,22.25
2006-02-24,48,22.36
2006-03-03,75,21.67
2006-03-10,36,19.96
2006-03-17,46,20.89
2006-03-24,31,20.81
2006-03-31,50,21.39
2006-04-07,45,21.97
2006-04-21,47,22.74
2006-04-28,38,21.93
2006-05-05,62,22.68
2006-05-12,28,22.12
2006-05-19,40,20.83
2006-05-26,45,21.34
2006-06-02,36,23.26
2006-06-09,45,21.5
2006-06-16,54,21.69
2006-06-23,46,22.25
2006-06-30,57,23.36
2006-07-07,41,22.86
2006-07-14,41,23.16
2006-07-21,39,22.52
2006-07-28,34,23.85
2006-08-04,33,24.45
2006-08-11,51,24.35
2006-08-18,40,24.93
2006-08-25,51,25.17
2006-09-01,32,24.83
2006-09-08,50,23.95
2006-09-15,29,23.04
2006-09-22,49,22.82
2006-09-29,35,23.87
2006-10-06,29,23.79
2006-10-13,34,24.25
2006-10-20,37,24.54
2006-10-27,25,24.51
2006-11-03,41,24.75
2006-11-10,47,26.52
2006-11-17,63,26.71
2006-11-24,31,26.61
2006-12-01,42,27.95
2006-12-08,44,27.42
2006-12-15,48,27.15
2006-12-22,36,26.42
2006-12-29,45,26.12
2007-01-05,41,25.76
2007-01-12,52,25.83
2007-01-19,72,26.35
2007-01-26,52,26.52
2007-02-02,43,27.42
2007-02-09,39,27.81
2007-02-16,31,27.5
2007-02-23,24,27.91
2007-03-02,46,26.23
2007-03-09,43,27.43
2007-03-16,45,26.59
2007-03-23,48,28.21
2007-03-30,38,28.46
2007-04-13,47,28.47
2007-04-20,45,29.02
2007-04-27,62,30.09
2007-05-04,36,29.37
2007-05-11,51,28.6
2007-05-18,32,28.95
2007-05-25,43,31
2007-06-01,33,32.05
2007-06-08,32,30.27
2007-06-15,41,31.78
2007-06-22,51,31.96
2007-06-29,48,31.62
2007-07-06,32,32.99
2007-07-13,51,34.05
2007-07-20,48,34.72
2007-07-27,43,31.4
2007-08-03,42,32.79
2007-08-10,51,31.73
2007-08-17,40,31.38
2007-08-24,50,31.88
2007-08-31,49,31
2007-09-07,46,31.91
2007-09-14,39,32.88
2007-09-21,49,33.49
2007-09-28,60,34.06
2007-10-05,25,34.84
2007-10-12,26,34.9
2007-10-19,38,33.82
2007-10-26,47,36.36
2007-11-02,45,36.3
2007-11-09,49,35.35
2007-11-16,43,34.91
2007-11-23,42,34.94
2007-11-30,40,34.71
2007-12-07,47,35.57
2007-12-14,49,35.01
2007-12-21,46,35.98
2007-12-28,37,36.31
2008-01-04,41,35.59
2008-01-11,45,35.14
2008-01-18,53,31.77
2008-01-25,45,31.87
2008-02-01,38,32.49
2008-02-08,46,32.9
2008-02-15,37,34.1
2008-02-22,44,35.57
2008-02-29,44,36.02
2008-03-07,34,34.85
2008-03-14,45,33.7
2008-03-28,32,32.47
2008-04-04,40,34.09
2008-04-11,33,34.63
2008-04-18,42,36.58
2008-04-25,42,37.88
2008-05-02,45,37.27
2008-05-09,41,36.47
2008-05-16,57,38.83
2008-05-23,43,37.84
2008-05-30,38,38.04
2008-06-06,33,39.18
2008-06-13,56,38.78
2008-06-20,56,38.15
2008-06-27,47,39.17
2008-07-11,45,36.36
2008-07-18,76,34.12
2008-07-25,52,32.21
2008-08-01,42,31.76
2008-08-08,52,28.27
2008-08-15,53,28.09
2008-08-22,43,30.3
2008-08-29,47,30.89
2008-09-05,55,27.85
2008-09-12,36,26.75
2008-09-19,66,26.88
2008-09-26,52,25.49
2008-10-03,57,19.06
2008-10-10,54,14.4
2008-10-17,63,18.34
2008-10-24,44,16.77
2008-10-31,51,20.97
2008-11-07,49,19.48
2008-11-14,50,16.45
2008-11-21,54,14.08
2008-11-28,51,16.22
2008-12-05,47,13.02
2008-12-12,58,14.72
2008-12-19,46,13.91
2008-12-26,42,13.73
2009-01-02,40,15.23
2009-01-09,51,15.84
2009-01-16,48,14
2009-01-23,45,13.71
2009-01-30,48,14.15
2009-02-06,49,15.76
2009-02-13,51,15.36
2009-02-20,49,11.59
2009-02-27,57,11.3
2009-03-06,49,9.83
2009-03-13,50,10.97
2009-03-20,50,11.74
2009-03-27,45,11.55
2009-04-03,53,12.48
2009-04-17,51,13.97
2009-04-24,59,13.77
2009-05-01,52,14.45
2009-05-08,49,16.16
2009-05-15,52,15.05
2009-05-22,52,15.82
2009-05-29,42,16.78
2009-06-05,41,17.05
2009-06-12,48,17.31
2009-06-19,44,15.47
2009-06-26,42,15.28
2009-07-10,44,14.28
2009-07-17,40,15.68
2009-07-24,55,16.52
2009-07-31,56,16.69
2009-08-07,39,16.93
2009-08-14,45,16.83
2009-08-21,50,17.38
2009-08-28,51,16.8
2009-09-04,48,16.75
2009-09-11,42,18.2
2009-09-18,50,18.37
2009-09-25,42,17.73
2009-10-02,51,16.89
2009-10-09,49,19.39
2009-10-16,43,19.94
2009-10-23,52,19.13
2009-10-30,45,18.85
2009-11-06,48,19.57
2009-11-13,37,20.05
2009-11-20,39,19.85
2009-11-27,50,19.97
2009-12-04,39,19.75
2009-12-11,47,19.59
2009-12-18,44,20.68
2010-01-08,44,22.61
2010-01-15,40,21.37
2010-01-22,48,22.12
2010-01-29,42,20.84
2010-02-05,42,20.26
2010-02-12,46,21.64
2010-02-19,40,22.24
2010-02-26,38,21.54
2010-03-05,41,23.13
2010-03-12,42,22.88
2010-03-19,52,22.53
2010-03-26,46,22.75
2010-04-09,45,24.12
2010-04-16,43,23.57
2010-04-23,49,24.5
2010-04-30,41,23.61
2010-05-07,44,20.33
2010-05-14,41,21.64
2010-05-21,42,19.4
2010-05-28,43,19.75
2010-06-04,34,19.24
2010-06-11,47,20.02
2010-06-18,44,21.42
2010-06-25,41,19.82
2010-07-02,38,17.67
2010-07-09,31,19.13
2010-07-16,46,18.67
2010-07-23,44,19.66
2010-07-30,41,19.41
2010-08-06,45,20.84
2010-08-13,41,19.44
2010-08-20,50,18.65
2010-08-27,43,18.51
2010-09-03,44,19.32
2010-09-10,38,19.26
2010-09-17,62,18.4
2010-09-24,45,18.85
2010-10-01,55,19.37
2010-10-08,41,19.72
2010-10-15,48,21.24
2010-10-22,44,20.99
2010-10-29,45,21.51
2010-11-05,60,22.34
2010-11-12,51,23.05
2010-11-19,56,23.51
2010-11-26,53,22.9
2010-12-03,55,23.72
2010-12-10,63,23.98
2010-12-17,60,23.9
2010-12-31,52,24.72
2011-01-07,47,24.92
2011-01-14,60,26.46
2011-01-21,46,26.4
2011-01-28,60,26.6
2011-02-04,57,27.46
2011-02-11,45,26.99
2011-02-18,60,30.37
2011-02-25,45,30.26
2011-03-04,49,30.84
2011-03-11,60,29.98
2011-03-18,47,29.69
2011-03-25,49,31.13
2011-04-01,56,31.28
2011-04-08,55,30.83
2011-04-15,68,31.05
2011-04-29,67,33.17
2011-05-06,56,30.85
2011-05-13,65,30.26
2011-05-20,59,30.76
2011-05-27,61,31
2011-06-03,44,30.46
2011-06-10,50,29.34
2011-06-17,60,28.31
2011-06-24,56,28.55
2011-07-01,58,30.75
2011-07-08,48,29.58
2011-07-15,51,30.37
2011-07-22,45,31.09
2011-07-29,52,31.7
2011-08-05,63,27.05
2011-08-12,81,27.68
2011-08-19,73,24.73
2011-08-26,55,25.22
2011-09-02,55,25.94
2011-09-09,57,25.71
2011-09-16,67,27.05
2011-09-23,57,25.01
2011-09-30,58,24.34
2011-10-07,57,24.97
2011-10-14,60,27.32
2011-10-21,71,30.16
2011-10-28,50,31.25
2011-11-04,56,31.27
2011-11-11,53,31.34
2011-11-18,56,30.45
2011-11-25,53,29.7
2011-12-02,57,32.37
2011-12-09,58,31.65
2011-12-16,60,31
2011-12-23,62,32.71
2011-12-30,71,33.02
2012-01-06,78,27.39
2012-01-13,72,28.22
2012-01-20,61,28.84
2012-01-27,74,28.55
2012-02-03,64,29.7
2012-02-10,81,29.06
2012-02-17,75,29.11
2012-02-24,68,29.31
2012-03-02,58,30.26
2012-03-09,79,29.86
2012-03-16,52,30.46
2012-03-23,62,30.18
2012-03-30,66,30.81
2012-04-13,54,32.1
2012-04-20,59,32.3
2012-04-27,56,33.63
2012-05-04,55,32.7
2012-05-11,61,32.54
2012-05-18,61,29.67
2012-05-25,68,30.77
2012-06-01,58,29.01
2012-06-08,65,29.37
2012-06-15,59,30.07
2012-06-22,66,28.43
2012-06-29,72,28.82
2012-07-06,52,28.94
2012-07-13,63,29.89
2012-07-20,67,31.31
2012-07-27,63,31.6
2012-08-03,68,31.52
2012-08-10,69,31.85
2012-08-17,71,32.31
2012-08-24,70,32.11
2012-08-31,70,32.27
2012-09-07,71,33.89
2012-09-14,66,35.1
2012-09-21,67,34.32
2012-09-28,71,34.97
2012-10-05,72,35.95
2012-10-12,60,35.14
2012-10-19,63,34.97
2012-10-26,72,34.82
2012-11-02,59,33.07
2012-11-09,78,32.07
2012-11-16,71,31.68
2012-11-23,67,33.44
2012-11-30,71,32.84
2012-12-07,64,31.22
2012-12-14,72,31.49
2012-12-21,62,32.8
2012-12-28,63,31.79
2013-01-04,77,34.14
2013-01-11,80,33.49
2013-01-18,74,34.74
2013-01-25,78,34.83
2013-02-01,83,35.43
2013-02-08,77,36
2013-02-15,75,35.11
2013-02-22,68,34.44
2013-03-01,73,33.83
2013-03-08,65,34.71
2013-03-15,77,35.43
2013-03-22,74,36.87
2013-04-05,76,36.91
2013-04-12,74,37.73
2013-04-19,68,37.27
2013-04-26,64,38.04
2013-05-03,59,37.54
2013-05-10,67,36.5
2013-05-17,62,37.21
2013-05-24,68,36.67
2013-05-31,67,35.18
2013-06-07,66,35.23
2013-06-14,66,33.31
2013-06-21,77,32.29
2013-06-28,76,32.47
2013-07-05,69,32.68
2013-07-12,64,33.82
2013-07-19,61,34.28
2013-07-26,58,33.91
2013-08-02,66,36.22
2013-08-09,65,35.39
2013-08-16,61,34.99
2013-08-23,61,36.31
2013-08-30,68,36.24
2013-09-06,66,35.12
2013-09-13,70,35.93
2013-09-20,70,36.63
2013-09-27,71,36.24
2013-10-04,68,35.92
2013-10-11,61,36.15
2013-10-18,65,36.24
2013-10-25,76,37.3
2013-11-01,78,35.52
2013-11-08,71,34.79
2013-11-15,73,35.23
2013-11-22,74,35.27
2013-11-29,71,35.22
2013-12-06,70,36.21
2013-12-13,67,34.25
2013-12-20,75,37.01
2013-12-27,70,38.3
2014-01-03,81,38.03
2014-01-10,82,39.35
2014-01-17,100,39.22
2014-01-24,74,38.97
2014-01-31,77,40.49
2014-02-07,75,41.42
2014-02-14,79,40.83
2014-02-21,80,42.06
2014-02-28,63,41.3
2014-03-07,65,42.69
2014-03-14,68,41.41
2014-03-21,68,40.61
2014-03-28,66,40.92
2014-04-04,69,40.26
2014-04-11,69,40.14
2014-04-25,70,41.26
