"Date","buy.HAR","Price"
2009-05-22,100,16.89
2010-09-10,72,32.02
2010-10-29,66,33.55
2011-01-21,61,44.24
2011-03-04,53,48.73
2011-03-11,56,49.37
2011-03-18,60,46.5
2011-03-25,63,47.14
2011-04-01,67,46.52
2011-04-08,70,45.88
2011-04-15,62,46.06
2011-09-02,50,34.29
2011-12-16,59,35.08
2011-12-23,55,37.59
2011-12-30,55,38.04
2012-01-06,55,39.52
2012-01-13,57,40.39
2012-01-20,60,43.85
2012-03-02,51,48.8
2012-03-09,42,48.03
2012-03-16,42,48.18
2012-03-23,45,47.16
2012-03-30,47,46.81
2012-04-13,52,44.68
2012-04-20,58,45.95
2012-04-27,47,47.26
2012-05-04,47,45.52
2012-05-11,42,42.82
2012-05-18,42,38.91
2012-05-25,42,40.59
2012-06-01,42,38.01
2012-06-08,51,40.09
2012-06-15,61,37.23
2012-06-22,46,37.36
2012-06-29,46,39.6
2012-07-06,50,39.35
2012-07-13,54,38.03
2012-07-20,54,39.45
2012-07-27,46,40.89
2012-08-03,46,40.35
2012-08-10,51,45.68
2012-08-17,40,46.54
2012-08-24,40,45.45
2012-08-31,40,46.03
2012-09-07,40,48.04
2012-09-14,46,49.38
2012-09-21,52,48.79
2012-09-28,49,46.16
2012-10-05,49,46.27
2012-10-12,49,42.81
2012-10-19,49,43.78
2012-10-26,37,42.14
2012-11-02,37,42.31
2012-11-09,37,39.06
2012-11-16,37,37.35
2012-11-23,37,38.89
2012-11-30,54,39.56
2012-12-07,49,40.75
2012-12-14,49,42.08
2012-12-21,49,43.85
2012-12-28,53,43.32
2013-01-04,47,46.23
2013-01-11,42,49.9
2013-01-18,42,49.62
2013-01-25,42,50.25
2013-02-01,62,45.29
2013-02-08,38,45.59
2013-02-15,34,44.19
2013-02-22,60,43.46
2013-03-01,37,42.5
2013-03-08,37,43.96
2013-03-15,36,45.72
2013-03-22,40,44.36
2013-04-05,40,42.07
2013-04-12,40,44.91
2013-04-19,53,41.38
2013-04-26,33,44.64
2013-05-03,38,48.44
2013-05-10,34,49.58
2013-05-17,33,52.05
2013-05-24,45,51.62
2013-05-31,57,53.1
2013-06-07,40,52.99
2013-06-14,33,51.64
2013-06-21,33,49.6
2013-06-28,53,54.2
2013-07-05,38,54.48
2013-07-12,51,55.25
2013-07-19,46,56.06
2013-07-26,51,58.72
2013-08-02,41,60.67
2013-08-09,41,68.79
2013-08-16,35,67.11
2013-08-23,51,68.42
2013-08-30,36,64.02
2013-09-06,41,64.59
2013-09-13,45,66.46
2013-09-20,50,65.16
2013-09-27,54,66.2
2013-10-04,31,69.39
2013-10-11,37,67.79
2013-10-18,44,71.76
2013-10-25,50,72.63
2013-11-01,44,81.96
2013-11-08,40,77.78
2013-11-15,41,81.13
2013-11-22,42,81.35
2013-11-29,44,81.04
2013-12-06,30,81.28
2013-12-13,37,78.97
2013-12-20,44,83.39
2013-12-27,43,83.36
2014-01-03,43,80.7
2014-01-10,35,88.28
2014-01-17,35,90.48
2014-01-24,35,89.38
2014-01-31,32,103.43
2014-02-07,35,102.93
2014-02-14,38,104.79
2014-02-21,35,104.55
2014-02-28,35,104.73
2014-03-07,44,109.09
2014-03-14,41,104.53
2014-03-21,29,109.35
2014-03-28,32,105.44
2014-04-04,43,104.27
2014-04-11,40,102.09
